"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",203,2,0.08,1,0.0024,0.0024,0.00985221674876847,"Tenm2, Ntng1"
"2","MF","GO:0042803","protein homodimerization activity",807,3,0.31,2,0.0024,0.0024,0.00371747211895911,"Tenm2, Ntrk2, Dpyd"
"3","MF","GO:0016628","oxidoreductase activity, acting on the C...",21,1,0.01,4,0.008,0.008,0.0476190476190476,"Dpyd"
"4","MF","GO:1901618","organic hydroxy compound transmembrane t...",26,1,0.01,5,0.0099,0.0099,0.0384615384615385,"Slc2a13"
"5","MF","GO:0098632","cell-cell adhesion mediator activity",27,1,0.01,6,0.0103,0.0103,0.037037037037037,"Ntng1"
"6","MF","GO:0071949","FAD binding",33,1,0.01,7,0.0126,0.0126,0.0303030303030303,"Dpyd"
"7","MF","GO:0098631","cell adhesion mediator activity",34,1,0.01,8,0.013,0.013,0.0294117647058824,"Ntng1"
"8","MF","GO:0050661","NADP binding",38,1,0.01,9,0.0145,0.0145,0.0263157894736842,"Dpyd"
"9","MF","GO:0051539","4 iron, 4 sulfur cluster binding",38,1,0.01,10,0.0145,0.0145,0.0263157894736842,"Dpyd"
"10","MF","GO:0004714","transmembrane receptor protein tyrosine ...",53,1,0.02,12,0.0202,0.0202,0.0188679245283019,"Ntrk2"
"11","MF","GO:0051540","metal cluster binding",61,1,0.02,14,0.0232,0.0232,0.0163934426229508,"Dpyd"
"12","MF","GO:0051536","iron-sulfur cluster binding",61,1,0.02,15,0.0232,0.0232,0.0163934426229508,"Dpyd"
"13","MF","GO:0019199","transmembrane receptor protein kinase ac...",68,1,0.03,16,0.0258,0.0258,0.0147058823529412,"Ntrk2"
"14","MF","GO:0030971","receptor tyrosine kinase binding",70,1,0.03,17,0.0266,0.0266,0.0142857142857143,"Ntrk2"
"15","MF","GO:0050660","flavin adenine dinucleotide binding",74,1,0.03,18,0.0281,0.0281,0.0135135135135135,"Dpyd"
"16","MF","GO:0015294","solute:cation symporter activity",78,1,0.03,19,0.0296,0.0296,0.0128205128205128,"Slc2a13"
"17","MF","GO:0046914","transition metal ion binding",788,2,0.3,20,0.0332,0.0332,0.00253807106598985,"Dpyd, Prickle1"
