"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"31","BP","GO:0048843","negative regulation of axon extension in...",24,3,0.08,21,7.6e-05,7.6e-05,0.125,"Sema5a, Sema6d, Slit1"
"32","BP","GO:0007215","glutamate receptor signaling pathway",83,4,0.29,33,0.00019,0.00019,0.0481927710843374,"Gria2, Shisa6, Grm8, Homer2"
"33","BP","GO:0010977","negative regulation of neuron projection...",161,7,0.56,3,0.00104,1.3e-06,0.0434782608695652,"Epha7, Epha3, Sema5a, Sema6d, Ntm, Slit1, Stmn2"
"34","BP","GO:0050804","modulation of chemical synaptic transmis...",468,7,1.62,83,0.0011,0.0011,0.014957264957265,"Gria2, Shisa6, Grm8, Cdh11, Prkca, Plcb4, Clstn2"
"35","BP","GO:0010959","regulation of metal ion transport",359,6,1.25,93,0.00146,0.00146,0.0167130919220056,"Fgf12, Kcnip1, Plcb4, Stac, Homer2, Nkain3"
"36","BP","GO:2001257","regulation of cation channel activity",149,4,0.52,94,0.00176,0.00176,0.0268456375838926,"Shisa6, Asic2, Fgf12, Stac"
"37","BP","GO:0051965","positive regulation of synapse assembly",71,3,0.25,96,0.00191,0.00191,0.0422535211267606,"Asic2, Prkca, Clstn2"
"38","BP","GO:0048864","stem cell development",72,3,0.25,98,0.00199,0.00199,0.0416666666666667,"Msi2, Sema5a, Sema6d"
"39","BP","GO:0003073","regulation of systemic arterial blood pr...",76,3,0.26,102,0.00232,0.00232,0.0394736842105263,"Asic2, Postn, Corin"
"40","BP","GO:0007413","axonal fasciculation",25,2,0.09,114,0.00337,0.00337,0.08,"Epha3, Sema5a"
"41","BP","GO:0002761","regulation of myeloid leukocyte differen...",94,3,0.33,121,0.00423,0.00423,0.0319148936170213,"Prdm16, Prkca, Rassf2"
"42","BP","GO:0043243","positive regulation of protein complex d...",29,2,0.1,122,0.00452,0.00452,0.0689655172413793,"Sema5a, Stmn2"
"43","BP","GO:0050906","detection of stimulus involved in sensor...",70,4,0.24,25,0.0051,1e-04,0.0571428571428571,"Ano1, Sema5a, Grm8, Asic2"
"44","BP","GO:0099560","synaptic membrane adhesion",31,2,0.11,126,0.00515,0.00515,0.0645161290322581,"Epha3, Mdga2"
"45","BP","GO:0048013","ephrin receptor signaling pathway",31,2,0.11,127,0.00515,0.00515,0.0645161290322581,"Epha7, Epha3"
"46","BP","GO:0051963","regulation of synapse assembly",106,5,0.37,12,0.00587,3.2e-05,0.0471698113207547,"Epha7, Asic2, Mdga2, Prkca, Clstn2"
"47","BP","GO:0009583","detection of light stimulus",35,2,0.12,131,0.00653,0.00653,0.0571428571428571,"Sema5a, Asic2"
"48","BP","GO:0050918","positive chemotaxis",36,2,0.12,132,0.0069,0.0069,0.0555555555555556,"Sema5a, Prkca"
"49","BP","GO:0071526","semaphorin-plexin signaling pathway",37,2,0.13,135,0.00728,0.00728,0.0540540540540541,"Sema5a, Sema6d"
"50","BP","GO:0050974","detection of mechanical stimulus involve...",38,2,0.13,139,0.00767,0.00767,0.0526315789473684,"Grm8, Asic2"
"51","BP","GO:0021955","central nervous system neuron axonogenes...",39,2,0.14,141,0.00806,0.00806,0.0512820512820513,"Cdh11, Prkca"
"52","BP","GO:0031952","regulation of protein autophosphorylatio...",41,2,0.14,143,0.00888,0.00888,0.0487804878048781,"Epha7, Rassf2"
"53","BP","GO:0050873","brown fat cell differentiation",41,2,0.14,144,0.00888,0.00888,0.0487804878048781,"Prdm16, Ebf2"
"54","BP","GO:0098742","cell-cell adhesion via plasma-membrane a...",159,5,0.55,41,0.00896,0.00022,0.0314465408805031,"Epha3, Cdh11, Mdga2, Tenm2, Clstn2"
"55","BP","GO:0050919","negative chemotaxis",42,2,0.15,145,0.00931,0.00931,0.0476190476190476,"Sema6d, Slit1"
"56","BP","GO:0015672","monovalent inorganic cation transport",387,5,1.34,150,0.01077,0.01077,0.0129198966408269,"Asic2, Fgf12, Kcnip1, Plcb4, Nkain3"
"57","BP","GO:0001755","neural crest cell migration",46,2,0.16,151,0.01109,0.01109,0.0434782608695652,"Sema5a, Sema6d"
