"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",201,2,0.15,1,0.0094,0.0094,0.00995024875621891,"Thy1, Ctnna3"
"2","MF","GO:0008198","ferrous iron binding",22,1,0.02,2,0.0163,0.0163,0.0454545454545455,"Fth1"
"3","MF","GO:0003899","DNA-directed 5'-3' RNA polymerase activi...",36,1,0.03,3,0.0265,0.0265,0.0277777777777778,"Polr3e"
"4","MF","GO:0034062","5'-3' RNA polymerase activity",37,1,0.03,4,0.0272,0.0272,0.027027027027027,"Polr3e"
"5","MF","GO:0097747","RNA polymerase activity",37,1,0.03,5,0.0272,0.0272,0.027027027027027,"Polr3e"
"6","MF","GO:0003779","actin binding",361,2,0.27,6,0.0284,0.0284,0.00554016620498615,"Ctnna3, Mobp"
"7","MF","GO:0045296","cadherin binding",54,1,0.04,7,0.0395,0.0395,0.0185185185185185,"Ctnna3"
"8","MF","GO:0019888","protein phosphatase regulator activity",61,1,0.05,8,0.0446,0.0446,0.0163934426229508,"Rcan2"
"9","MF","GO:0005198","structural molecule activity",483,2,0.36,9,0.0484,0.0484,0.0041407867494824,"Cldn11, Mobp"
"10","MF","GO:0017022","myosin binding",67,1,0.05,10,0.0488,0.0488,0.0149253731343284,"Mobp"
"11","MF","GO:0019208","phosphatase regulator activity",74,1,0.06,11,0.0538,0.0538,0.0135135135135135,"Rcan2"
"12","MF","GO:0008013","beta-catenin binding",81,1,0.06,12,0.0588,0.0588,0.0123456790123457,"Ctnna3"
"13","MF","GO:0005178","integrin binding",108,1,0.08,13,0.0776,0.0776,0.00925925925925926,"Thy1"
"14","MF","GO:0005506","iron ion binding",109,1,0.08,14,0.0783,0.0783,0.00917431192660551,"Fth1"
"15","MF","GO:0016779","nucleotidyltransferase activity",111,1,0.08,15,0.0797,0.0797,0.00900900900900901,"Polr3e"
"16","MF","GO:0030234","enzyme regulator activity",767,2,0.57,17,0.1088,0.1088,0.00260756192959583,"Thy1, Rcan2"
"17","MF","GO:0017137","Rab GTPase binding",155,1,0.12,18,0.1097,0.1097,0.00645161290322581,"Mobp"
"18","MF","GO:0051015","actin filament binding",173,1,0.13,19,0.1217,0.1217,0.00578034682080925,"Ctnna3"
"19","MF","GO:0008092","cytoskeletal protein binding",847,2,0.63,20,0.1284,0.1284,0.00236127508854782,"Ctnna3, Mobp"
"20","MF","GO:0030246","carbohydrate binding",188,1,0.14,21,0.1316,0.1316,0.00531914893617021,"C4b"
"21","MF","GO:0005096","GTPase activator activity",220,1,0.16,22,0.1523,0.1523,0.00454545454545455,"Thy1"
"22","MF","GO:0035091","phosphatidylinositol binding",222,1,0.17,23,0.1536,0.1536,0.0045045045045045,"Thy1"
"23","MF","GO:0003713","transcription coactivator activity",227,1,0.17,24,0.1568,0.1568,0.00440528634361234,"Dcc"
"24","MF","GO:0030695","GTPase regulator activity",236,1,0.18,25,0.1626,0.1626,0.00423728813559322,"Thy1"
"25","MF","GO:0005261","cation channel activity",251,1,0.19,26,0.172,0.172,0.00398406374501992,"Piezo2"
"26","MF","GO:0022836","gated channel activity",266,1,0.2,27,0.1814,0.1814,0.0037593984962406,"Piezo2"
"27","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",273,1,0.2,28,0.1857,0.1857,0.00366300366300366,"Thy1"
"28","MF","GO:0044877","protein-containing complex binding",1070,2,0.8,29,0.1873,0.1873,0.00186915887850467,"Thy1, Ctnna3"
"29","MF","GO:0140098","catalytic activity, acting on RNA",293,1,0.22,30,0.198,0.198,0.00341296928327645,"Polr3e"
"30","MF","GO:0005515","protein binding",7174,8,5.35,16,0.2144,0.0963,0.00111513799832729,"C4b, Thy1, Piezo2, Fth1, Cldn11, Ctnna3, Dcc, Mobp"
"31","BP","GO:0034113","heterotypic cell-cell adhesion",36,2,0.02,1,0.00025,0.00025,0.0555555555555556,"Thy1, Ctnna3"
"32","BP","GO:0051235","maintenance of location",263,2,0.18,2,0.01285,0.01285,0.00760456273764259,"Thy1, Fth1"
"33","BP","GO:0002253","activation of immune response",280,2,0.19,3,0.01447,0.01447,0.00714285714285714,"C4b, Thy1"
"34","BP","GO:0098901","regulation of cardiac muscle cell action...",22,1,0.01,4,0.01475,0.01475,0.0454545454545455,"Ctnna3"
"35","BP","GO:0086005","ventricular cardiac muscle cell action p...",22,1,0.01,5,0.01475,0.01475,0.0454545454545455,"Ctnna3"
"36","BP","GO:0061099","negative regulation of protein tyrosine ...",23,1,0.02,6,0.01541,0.01541,0.0434782608695652,"Thy1"
"37","BP","GO:0009605","response to external stimulus",1599,4,1.08,7,0.0166,0.0166,0.00250156347717323,"Piezo2, Polr3e, Dcc, Naaladl2"
"38","BP","GO:0086091","regulation of heart rate by cardiac cond...",25,1,0.02,8,0.01674,0.01674,0.04,"Ctnna3"
"39","BP","GO:0051894","positive regulation of focal adhesion as...",25,1,0.02,9,0.01674,0.01674,0.04,"Thy1"
"40","BP","GO:0006955","immune response",864,3,0.58,10,0.01739,0.01739,0.00347222222222222,"C4b, Thy1, Polr3e"
"41","BP","GO:0021952","central nervous system projection neuron...",26,1,0.02,11,0.01741,0.01741,0.0384615384615385,"Dcc"
"42","BP","GO:0002691","regulation of cellular extravasation",26,1,0.02,12,0.01741,0.01741,0.0384615384615385,"Thy1"
"43","BP","GO:0071260","cellular response to mechanical stimulus",27,1,0.02,13,0.01807,0.01807,0.037037037037037,"Piezo2"
"44","BP","GO:0042462","eye photoreceptor cell development",27,1,0.02,14,0.01807,0.01807,0.037037037037037,"Thy1"
"45","BP","GO:0048147","negative regulation of fibroblast prolif...",28,1,0.02,15,0.01873,0.01873,0.0357142857142857,"Fth1"
"46","BP","GO:0006812","cation transport",897,3,0.61,16,0.01923,0.01923,0.00334448160535117,"Thy1, Piezo2, Fth1"
"47","BP","GO:0086065","cell communication involved in cardiac c...",29,1,0.02,17,0.0194,0.0194,0.0344827586206897,"Ctnna3"
"48","BP","GO:0050856","regulation of T cell receptor signaling ...",30,1,0.02,18,0.02006,0.02006,0.0333333333333333,"Thy1"
