"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0016709","oxidoreductase activity, acting on paire...",43,2,0.07,1,0.0024,0.0024,0.0465116279069767,"Msmo1, Cyp51"
"2","MF","GO:0008092","cytoskeletal protein binding",945,6,1.6,2,0.0045,0.0045,0.00634920634920635,"Shroom3, Cdh20, Sgip1, Fmn2, Palld, Cdh4"
"3","MF","GO:0045296","cadherin binding",66,2,0.11,4,0.0055,0.0055,0.0303030303030303,"Cdh20, Cdh4"
"4","MF","GO:0046914","transition metal ion binding",893,5,1.51,5,0.016,0.016,0.00559910414333707,"Zswim6, Msmo1, Ddah1, Cyp51, Pdzrn3"
"5","MF","GO:0005488","binding",11858,27,20.05,3,0.0186,0.005,0.00227694383538539,"Zswim6, Pttg1, Kcnn2, Ppp2r2b, Gpr158, Shroom3, Msmo1, Cdh20, Sgip1, Ldlr, Samd4, Usp53, Acss2, Fmn2, Ddah1, Rgs6, Setbp1, Cyp51, Acaca, Dio2, Palld, Acly, Bach2, Pdzrn3, Mef2d, Cdh4, Bmp6"
"6","MF","GO:0017124","SH3 domain binding",126,2,0.21,7,0.0191,0.0191,0.0158730158730159,"Pttg1, Sgip1"
"7","MF","GO:0043169","cation binding",3418,11,5.78,8,0.0201,0.0201,0.0032182562902282,"Zswim6, Msmo1, Cdh20, Ldlr, Acss2, Ddah1, Cyp51, Acaca, Acly, Pdzrn3, Cdh4"
"8","MF","GO:0005506","iron ion binding",142,2,0.24,9,0.0239,0.0239,0.0140845070422535,"Msmo1, Cyp51"
"9","MF","GO:0016874","ligase activity",143,2,0.24,10,0.0242,0.0242,0.013986013986014,"Acss2, Acaca"
"10","MF","GO:0003779","actin binding",416,3,0.7,11,0.0326,0.0326,0.00721153846153846,"Shroom3, Fmn2, Palld"
"11","MF","GO:0016405","CoA-ligase activity",22,1,0.04,12,0.0366,0.0366,0.0454545454545455,"Acss2"
"12","MF","GO:0030371","translation repressor activity",24,1,0.04,14,0.0398,0.0398,0.0416666666666667,"Samd4"
"13","MF","GO:0043539","protein serine/threonine kinase activato...",25,1,0.04,15,0.0414,0.0414,0.04,"Fam20a"
"14","MF","GO:0016878","acid-thiol ligase activity",25,1,0.04,16,0.0414,0.0414,0.04,"Acss2"
"15","MF","GO:0046872","metal ion binding",3326,10,5.62,17,0.042,0.042,0.00300661455201443,"Zswim6, Msmo1, Cdh20, Ldlr, Ddah1, Cyp51, Acaca, Acly, Pdzrn3, Cdh4"
"16","MF","GO:0033612","receptor serine/threonine kinase binding",26,1,0.04,18,0.0431,0.0431,0.0384615384615385,"Bmp6"
"17","MF","GO:0031406","carboxylic acid binding",198,2,0.33,19,0.044,0.044,0.0101010101010101,"Ddah1, Acaca"
"18","MF","GO:0098772","molecular function regulator",1565,6,2.65,20,0.0444,0.0444,0.00383386581469649,"Pttg1, Grm3, Ppp2r2b, Rgs6, Fam20a, Bmp6"
"19","MF","GO:0008066","glutamate receptor activity",27,1,0.05,21,0.0447,0.0447,0.037037037037037,"Grm3"
"20","MF","GO:0071813","lipoprotein particle binding",27,1,0.05,22,0.0447,0.0447,0.037037037037037,"Ldlr"
"21","MF","GO:0071814","protein-lipid complex binding",27,1,0.05,23,0.0447,0.0447,0.037037037037037,"Ldlr"
"22","MF","GO:0005227","calcium activated cation channel activit...",28,1,0.05,24,0.0463,0.0463,0.0357142857142857,"Kcnn2"
"23","MF","GO:0043177","organic acid binding",206,2,0.35,25,0.0472,0.0472,0.00970873786407767,"Ddah1, Acaca"
"24","MF","GO:0048037","cofactor binding",496,3,0.84,26,0.0505,0.0505,0.00604838709677419,"Cyp51, Acaca, Acly"
"25","MF","GO:0008017","microtubule binding",232,2,0.39,28,0.0583,0.0583,0.00862068965517241,"Sgip1, Fmn2"
"26","MF","GO:0016877","ligase activity, forming carbon-sulfur b...",36,1,0.06,29,0.0592,0.0592,0.0277777777777778,"Acss2"
"27","MF","GO:0030234","enzyme regulator activity",894,4,1.51,31,0.0622,0.0622,0.00447427293064877,"Pttg1, Ppp2r2b, Rgs6, Fam20a"
"28","MF","GO:0032451","demethylase activity",38,1,0.06,32,0.0623,0.0623,0.0263157894736842,"Cyp51"
"29","MF","GO:0005246","calcium channel regulator activity",41,1,0.07,33,0.0671,0.0671,0.024390243902439,"Grm3"
"30","MF","GO:0005509","calcium ion binding",574,3,0.97,34,0.0718,0.0718,0.00522648083623693,"Cdh20, Ldlr, Cdh4"
"31","MF","GO:0016879","ligase activity, forming carbon-nitrogen...",46,1,0.08,35,0.075,0.075,0.0217391304347826,"Acaca"
