"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0042803","protein homodimerization activity",894,9,1.85,2,6.8e-05,6.8e-05,0.0100671140939597,"Plcb1, Kcnip3, Foxp1, Abat, Slc27a1, Cbs, Xpnpep1, Tenm2, Hip1"
"2","MF","GO:0046982","protein heterodimerization activity",520,6,1.08,3,0.00064,0.00064,0.0115384615384615,"Ttr, Gabbr2, Foxp1, Arntl, Tenm2, Hip1"
"3","MF","GO:0030674","protein binding, bridging",129,3,0.27,8,0.0024,0.0024,0.0232558139534884,"Wwc1, Frmd4a, Hip1"
"4","MF","GO:0005261","cation channel activity",310,4,0.64,11,0.00376,0.00376,0.0129032258064516,"Asic2, Trpm3, Kcnip3, Kcnq3"
"5","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,5,1.06,12,0.00394,0.00394,0.00974658869395711,"Rora, Kcnip3, Foxp1, Arntl, Zfhx3"
"6","MF","GO:0051879","Hsp90 protein binding",46,2,0.1,14,0.00409,0.00409,0.0434782608695652,"Npas2, Arntl"
"7","MF","GO:0015459","potassium channel regulator activity",47,2,0.1,16,0.00426,0.00426,0.0425531914893617,"Kcnip3, Wnk2"
"8","MF","GO:0030170","pyridoxal phosphate binding",48,2,0.1,18,0.00444,0.00444,0.0416666666666667,"Abat, Cbs"
"9","MF","GO:0015077","monovalent inorganic cation transmembran...",347,4,0.72,22,0.0056,0.0056,0.0115273775216138,"Slc15a2, Asic2, Kcnip3, Kcnq3"
"10","MF","GO:0005516","calmodulin binding",183,3,0.38,23,0.00638,0.00638,0.0163934426229508,"Plcb1, Kcnq3, Atp2b2"
"11","MF","GO:0003700","DNA-binding transcription factor activit...",882,6,1.83,26,0.009,0.009,0.00680272108843537,"Rora, Npas2, Kcnip3, Foxp1, Arntl, Etv5"
"12","MF","GO:0046873","metal ion transmembrane transporter acti...",420,4,0.87,32,0.01083,0.01083,0.00952380952380952,"Asic2, Kcnip3, Kcnq3, Atp2b2"
"13","MF","GO:0000981","DNA-binding transcription factor activit...",669,5,1.39,35,0.01181,0.01181,0.00747384155455904,"Rora, Kcnip3, Foxp1, Arntl, Etv5"
"14","MF","GO:0004620","phospholipase activity",84,2,0.17,37,0.0131,0.0131,0.0238095238095238,"Plcb1, Pnpla7"
"15","MF","GO:0008081","phosphoric diester hydrolase activity",86,2,0.18,38,0.0137,0.0137,0.0232558139534884,"Pde10a, Plcb1"
"16","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,2,0.23,41,0.02142,0.02142,0.018348623853211,"Plcb1, Hip1"
"17","MF","GO:0030165","PDZ domain binding",114,2,0.24,42,0.02329,0.02329,0.0175438596491228,"Kirrel3, Atp2b2"
"18","MF","GO:0016298","lipase activity",114,2,0.24,43,0.02329,0.02329,0.0175438596491228,"Plcb1, Pnpla7"
"19","MF","GO:0005267","potassium channel activity",121,2,0.25,44,0.02601,0.02601,0.0165289256198347,"Kcnip3, Kcnq3"
"20","MF","GO:0022839","ion gated channel activity",317,3,0.66,45,0.02765,0.02765,0.00946372239747634,"Asic2, Kcnip3, Kcnq3"
"21","MF","GO:0022836","gated channel activity",329,3,0.68,47,0.0304,0.0304,0.00911854103343465,"Asic2, Kcnip3, Kcnq3"
"22","MF","GO:0046872","metal ion binding",3326,12,6.89,48,0.0321,0.0321,0.00360793746241732,"Pde10a, Rora, Plcb1, Npas2, Kcnip3, Foxp1, Abat, Cbs, Xpnpep1, Zfhx3, Atp2b2, Galnt18"
"23","MF","GO:0044325","ion channel binding",136,2,0.28,49,0.03226,0.03226,0.0147058823529412,"Kcnip3, Kcnq3"
"24","MF","GO:0043169","cation binding",3418,12,7.08,52,0.03882,0.03882,0.00351082504388531,"Pde10a, Rora, Plcb1, Npas2, Kcnip3, Foxp1, Abat, Cbs, Xpnpep1, Zfhx3, Atp2b2, Galnt18"
"25","MF","GO:0008483","transaminase activity",20,1,0.04,54,0.04066,0.04066,0.05,"Abat"
"26","MF","GO:0015079","potassium ion transmembrane transporter ...",157,2,0.33,55,0.04189,0.04189,0.0127388535031847,"Kcnip3, Kcnq3"
"27","MF","GO:0015295","solute:proton symporter activity",21,1,0.04,56,0.04265,0.04265,0.0476190476190476,"Slc15a2"
"28","MF","GO:0005248","voltage-gated sodium channel activity",21,1,0.04,57,0.04265,0.04265,0.0476190476190476,"Asic2"
"29","MF","GO:0030552","cAMP binding",21,1,0.04,58,0.04265,0.04265,0.0476190476190476,"Pde10a"
"30","MF","GO:0001223","transcription coactivator binding",22,1,0.05,59,0.04464,0.04464,0.0454545454545455,"Rora"
"31","MF","GO:0016405","CoA-ligase activity",22,1,0.05,60,0.04464,0.04464,0.0454545454545455,"Slc27a1"
"32","MF","GO:0016917","GABA receptor activity",22,1,0.05,61,0.04464,0.04464,0.0454545454545455,"Gabbr2"
"33","MF","GO:0016769","transferase activity, transferring nitro...",22,1,0.05,62,0.04464,0.04464,0.0454545454545455,"Abat"
"34","MF","GO:1901981","phosphatidylinositol phosphate binding",163,2,0.34,63,0.04481,0.04481,0.0122699386503067,"Plcb1, Hip1"
"35","MF","GO:0016878","acid-thiol ligase activity",25,1,0.05,64,0.05057,0.05057,0.04,"Slc27a1"
"36","MF","GO:0080025","phosphatidylinositol-3,5-bisphosphate bi...",27,1,0.06,65,0.05451,0.05451,0.037037037037037,"Hip1"
"37","MF","GO:1904680","peptide transmembrane transporter activi...",28,1,0.06,66,0.05647,0.05647,0.0357142857142857,"Slc15a2"
"38","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",28,1,0.06,67,0.05647,0.05647,0.0357142857142857,"Pde10a"
"39","MF","GO:0043325","phosphatidylinositol-3,4-bisphosphate bi...",28,1,0.06,68,0.05647,0.05647,0.0357142857142857,"Hip1"
"40","MF","GO:0004112","cyclic-nucleotide phosphodiesterase acti...",29,1,0.06,69,0.05843,0.05843,0.0344827586206897,"Pde10a"
"41","MF","GO:0005244","voltage-gated ion channel activity",191,2,0.4,70,0.05942,0.05942,0.0104712041884817,"Kcnip3, Kcnq3"
"42","MF","GO:0022832","voltage-gated channel activity",191,2,0.4,71,0.05942,0.05942,0.0104712041884817,"Kcnip3, Kcnq3"
"43","MF","GO:0005251","delayed rectifier potassium channel acti...",30,1,0.06,72,0.06039,0.06039,0.0333333333333333,"Kcnq3"
"44","MF","GO:0043425","bHLH transcription factor binding",30,1,0.06,73,0.06039,0.06039,0.0333333333333333,"Arntl"
"45","MF","GO:0008200","ion channel inhibitor activity",32,1,0.07,74,0.06428,0.06428,0.03125,"Wnk2"
"46","MF","GO:0016248","channel inhibitor activity",34,1,0.07,75,0.06816,0.06816,0.0294117647058824,"Wnk2"
"47","MF","GO:0030551","cyclic nucleotide binding",35,1,0.07,76,0.0701,0.0701,0.0285714285714286,"Pde10a"
"48","MF","GO:0016877","ligase activity, forming carbon-sulfur b...",36,1,0.07,77,0.07203,0.07203,0.0277777777777778,"Slc27a1"
"49","MF","GO:0099528","G protein-coupled neurotransmitter recep...",37,1,0.08,78,0.07396,0.07396,0.027027027027027,"Gabbr2"
"50","MF","GO:0015662","ATPase activity, coupled to transmembran...",38,1,0.08,79,0.07588,0.07588,0.0263157894736842,"Atp2b2"
"51","MF","GO:0005272","sodium channel activity",40,1,0.08,80,0.07971,0.07971,0.025,"Asic2"
"52","MF","GO:0004177","aminopeptidase activity",40,1,0.08,81,0.07971,0.07971,0.025,"Xpnpep1"
"53","MF","GO:0098531","transcription factor activity, direct li...",40,1,0.08,82,0.07971,0.07971,0.025,"Rora"
"54","MF","GO:0004879","nuclear receptor activity",40,1,0.08,83,0.07971,0.07971,0.025,"Rora"
"55","MF","GO:0032266","phosphatidylinositol-3-phosphate binding",41,1,0.08,85,0.08163,0.08163,0.024390243902439,"Hip1"
"56","MF","GO:0008376","acetylgalactosaminyltransferase activity",41,1,0.08,86,0.08163,0.08163,0.024390243902439,"Galnt18"
"57","MF","GO:0042887","amide transmembrane transporter activity",41,1,0.08,87,0.08163,0.08163,0.024390243902439,"Slc15a2"
"58","MF","GO:0008022","protein C-terminus binding",232,2,0.48,88,0.08328,0.08328,0.00862068965517241,"Kcnip3, Atp2b2"
"59","MF","GO:0070888","E-box binding",42,1,0.09,89,0.08353,0.08353,0.0238095238095238,"Arntl"
"60","MF","GO:0015318","inorganic molecular entity transmembrane...",762,7,1.58,4,0.08377,0.00085,0.00918635170603675,"Slc15a2, Asic2, Trpm3, Kcnip3, Kcnq3, Slc27a1, Atp2b2"
"61","MF","GO:0022890","inorganic cation transmembrane transport...",552,6,1.14,5,0.09025,0.00088,0.0108695652173913,"Slc15a2, Asic2, Trpm3, Kcnip3, Kcnq3, Atp2b2"
"62","MF","GO:0035091","phosphatidylinositol binding",247,2,0.51,90,0.09264,0.09264,0.00809716599190283,"Plcb1, Hip1"
"63","MF","GO:0008235","metalloexopeptidase activity",48,1,0.1,91,0.0949,0.0949,0.0208333333333333,"Xpnpep1"
"64","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,1,0.1,92,0.0949,0.0949,0.0208333333333333,"Kcnip3"
"65","MF","GO:0001221","transcription cofactor binding",49,1,0.1,93,0.09678,0.09678,0.0204081632653061,"Rora"
"66","MF","GO:0032934","sterol binding",49,1,0.1,94,0.09678,0.09678,0.0204081632653061,"Rora"
"67","MF","GO:0008028","monocarboxylic acid transmembrane transp...",49,1,0.1,95,0.09678,0.09678,0.0204081632653061,"Slc27a1"
"68","MF","GO:0030276","clathrin binding",52,1,0.11,96,0.1024,0.1024,0.0192307692307692,"Hip1"
"69","MF","GO:0016836","hydro-lyase activity",54,1,0.11,97,0.10613,0.10613,0.0185185185185185,"Cbs"
"70","MF","GO:0003707","steroid hormone receptor activity",55,1,0.11,98,0.10798,0.10798,0.0181818181818182,"Rora"
"71","MF","GO:0016765","transferase activity, transferring alkyl...",57,1,0.12,99,0.11169,0.11169,0.0175438596491228,"Cbs"
"72","MF","GO:0030145","manganese ion binding",57,1,0.12,100,0.11169,0.11169,0.0175438596491228,"Xpnpep1"
"73","MF","GO:0005509","calcium ion binding",574,3,1.19,102,0.11525,0.11525,0.00522648083623693,"Plcb1, Kcnip3, Atp2b2"
"74","MF","GO:0019829","cation-transporting ATPase activity",59,1,0.12,103,0.11538,0.11538,0.0169491525423729,"Atp2b2"
"75","MF","GO:0022853","active ion transmembrane transporter act...",59,1,0.12,104,0.11538,0.11538,0.0169491525423729,"Atp2b2"
"76","MF","GO:0042625","ATPase coupled ion transmembrane transpo...",59,1,0.12,105,0.11538,0.11538,0.0169491525423729,"Atp2b2"
"77","MF","GO:0005200","structural constituent of cytoskeleton",59,1,0.12,106,0.11538,0.11538,0.0169491525423729,"Odf2"
"78","MF","GO:0042165","neurotransmitter binding",60,1,0.12,107,0.11722,0.11722,0.0166666666666667,"Cbs"
"79","MF","GO:0001047","core promoter binding",60,1,0.12,108,0.11722,0.11722,0.0166666666666667,"Kcnip3"
"80","MF","GO:0015075","ion transmembrane transporter activity",821,7,1.7,6,0.11795,0.00132,0.00852618757612668,"Slc15a2, Asic2, Trpm3, Kcnip3, Kcnq3, Slc27a1, Atp2b2"
"81","MF","GO:0031625","ubiquitin protein ligase binding",288,2,0.6,109,0.11966,0.11966,0.00694444444444444,"Kcnq3, Cbs"
"82","MF","GO:0051540","metal cluster binding",63,1,0.13,110,0.12271,0.12271,0.0158730158730159,"Abat"
"83","MF","GO:0051536","iron-sulfur cluster binding",63,1,0.13,111,0.12271,0.12271,0.0158730158730159,"Abat"
"84","MF","GO:0035254","glutamate receptor binding",65,1,0.13,112,0.12636,0.12636,0.0153846153846154,"Atp2b2"
"85","MF","GO:0016835","carbon-oxygen lyase activity",66,1,0.14,113,0.12817,0.12817,0.0151515151515152,"Cbs"
"86","MF","GO:0070491","repressing transcription factor binding",68,1,0.14,114,0.1318,0.1318,0.0147058823529412,"Arntl"
"87","MF","GO:0044389","ubiquitin-like protein ligase binding",306,2,0.63,115,0.13209,0.13209,0.0065359477124183,"Kcnq3, Cbs"
"88","MF","GO:0048306","calcium-dependent protein binding",71,1,0.15,116,0.1372,0.1372,0.0140845070422535,"Kcnip3"
"89","MF","GO:0046983","protein dimerization activity",1311,13,2.72,1,0.14784,1.2e-06,0.0099160945842868,"Ttr, Plcb1, Npas2, Gabbr2, Kcnip3, Foxp1, Abat, Slc27a1, Arntl, Cbs, Xpnpep1, Tenm2, Hip1"
"90","MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate bi...",78,1,0.16,118,0.14969,0.14969,0.0128205128205128,"Plcb1"
"91","MF","GO:0038024","cargo receptor activity",82,1,0.17,119,0.15675,0.15675,0.0121951219512195,"Hip1"
"92","MF","GO:0042578","phosphoric ester hydrolase activity",343,2,0.71,120,0.1585,0.1585,0.00583090379008746,"Pde10a, Plcb1"
"93","MF","GO:0022804","active transmembrane transporter activit...",343,2,0.71,121,0.1585,0.1585,0.00583090379008746,"Slc15a2, Atp2b2"
"94","MF","GO:0008013","beta-catenin binding",84,1,0.17,122,0.16026,0.16026,0.0119047619047619,"Rora"
"95","MF","GO:0005249","voltage-gated potassium channel activity",85,1,0.18,124,0.16201,0.16201,0.0117647058823529,"Kcnq3"
"96","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,1,0.18,125,0.16375,0.16375,0.0116279069767442,"Arntl"
"97","MF","GO:0008324","cation transmembrane transporter activit...",599,6,1.24,7,0.16639,0.00134,0.010016694490818,"Slc15a2, Asic2, Trpm3, Kcnip3, Kcnq3, Atp2b2"
"98","MF","GO:0008134","transcription factor binding",689,3,1.43,127,0.17039,0.17039,0.00435413642960813,"Rora, Foxp1, Arntl"
"99","MF","GO:0016788","hydrolase activity, acting on ester bond...",689,3,1.43,128,0.17039,0.17039,0.00435413642960813,"Pde10a, Plcb1, Pnpla7"
"100","MF","GO:0008289","lipid binding",696,3,1.44,129,0.17397,0.17397,0.00431034482758621,"Rora, Plcb1, Hip1"
"101","BP","GO:0032922","circadian regulation of gene expression",64,4,0.15,2,1.6e-05,1.6e-05,0.0625,"Rora, Npas2, Arntl, Zfhx3"
"102","BP","GO:0045475","locomotor rhythm",20,2,0.05,12,0.001,0.00104,0.1,"Npas2, Zfhx3"
"103","BP","GO:0031649","heat generation",21,2,0.05,13,0.0011,0.00114,0.0952380952380952,"Abat, Slc27a1"
"104","BP","GO:1902307","positive regulation of sodium ion transm...",22,2,0.05,14,0.0013,0.00126,0.0909090909090909,"Plcb1, Wnk2"
"105","BP","GO:0021533","cell differentiation in hindbrain",24,2,0.06,17,0.0015,0.0015,0.0833333333333333,"Rora, Atp2b2"
"106","BP","GO:0045663","positive regulation of myoblast differen...",24,2,0.06,18,0.0015,0.0015,0.0833333333333333,"Plcb1, Zfhx3"
"107","BP","GO:0007626","locomotory behavior",241,6,0.58,3,0.0016,2.2e-05,0.024896265560166,"Lsamp, Npas2, Abat, Etv5, Zfhx3, Atp2b2"
"108","BP","GO:0042753","positive regulation of circadian rhythm",26,2,0.06,21,0.0018,0.00176,0.0769230769230769,"Rora, Arntl"
"109","BP","GO:0007610","behavior",674,11,1.61,1,0.0018,3.8e-07,0.0163204747774481,"Lsamp, Plcb1, Npas2, Kirrel3, Kcnip3, Foxp1, Abat, Pcdh17, Etv5, Zfhx3, Atp2b2"
"110","BP","GO:0021697","cerebellar cortex formation",27,2,0.06,22,0.0019,0.00189,0.0740740740740741,"Rora, Atp2b2"
"111","BP","GO:0035640","exploration behavior",29,2,0.07,23,0.0022,0.00218,0.0689655172413793,"Lsamp, Abat"
"112","BP","GO:0032414","positive regulation of ion transmembrane...",112,3,0.27,25,0.0024,0.00243,0.0267857142857143,"Plcb1, Asic2, Wnk2"
"113","BP","GO:0099560","synaptic membrane adhesion",31,2,0.07,26,0.0025,0.00249,0.0645161290322581,"Mdga2, Pcdh17"
