"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0016709","oxidoreductase activity, acting on paire...",43,3,0.17,3,0.00069,0.00069,0.0697674418604651,"Msmo1, Cyp51, Sqle"
"2","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,4,0.54,4,0.00217,0.00217,0.0296296296296296,"Atp2b2, Cacng2, Slc8a2, Ncs1"
"3","MF","GO:0035254","glutamate receptor binding",65,3,0.26,5,0.0023,0.0023,0.0461538461538462,"Atp2b2, Neto2, Cacng2"
"4","MF","GO:0030215","semaphorin receptor binding",21,2,0.08,7,0.00321,0.00321,0.0952380952380952,"Sema5b, Sema6d"
"5","MF","GO:0043167","ion binding",5224,36,21.08,1,0.00344,0.00019,0.00689127105666156,"Fth1, Msmo1, Prpf4b, Adgrb1, Smpd4, Cyp51, Epha5, Hspa4l, Cdk9, Trhde, Dync1h1, Atp2b2, Sqle, Trps1, Peg3, Mvd, Zcchc18, Ldlr, Kifc2, Arhgap33, B3gat1, Dtx3, Cpne9, Zhx3, Asap2, Sh3glb1, Cdc7, Slc8a2, Cyb5b, Ncs1, Rph3a, Atp8b2, Rab35, Fastk, Pfkfb4, Rspo3"
"6","MF","GO:0030695","GTPase regulator activity",253,5,1.02,8,0.00357,0.00357,0.0197628458498024,"Tbc1d2, Arhgap33, Srgap1, Asap2, Ralgds"
"7","MF","GO:0045499","chemorepellent activity",28,2,0.11,10,0.00568,0.00568,0.0714285714285714,"Sema5b, Sema6d"
"8","MF","GO:0005524","ATP binding",1357,12,5.48,12,0.0078,0.0078,0.00884303610906411,"Prpf4b, Epha5, Hspa4l, Cdk9, Dync1h1, Atp2b2, Mvd, Kifc2, Cdc7, Atp8b2, Fastk, Pfkfb4"
"9","MF","GO:0035255","ionotropic glutamate receptor binding",40,2,0.16,16,0.01135,0.01135,0.05,"Neto2, Cacng2"
"10","MF","GO:0005096","GTPase activator activity",235,4,0.95,20,0.01504,0.01504,0.0170212765957447,"Tbc1d2, Arhgap33, Srgap1, Asap2"
