"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",237,5,0.88,1,0.0019,0.0019,0.0210970464135021,"Lrrc4c, Tenm4, Fgf1, Fbn1, Cdh24"
"2","MF","GO:0008201","heparin binding",144,4,0.53,2,0.002,0.002,0.0277777777777778,"Lrtm1, Chrd, Fgf1, Fbn1"
"3","MF","GO:0005179","hormone activity",101,3,0.37,4,0.0063,0.0063,0.0297029702970297,"Ttr, Inhba, Fbn1"
"4","MF","GO:0042562","hormone binding",103,3,0.38,5,0.0066,0.0066,0.029126213592233,"Ttr, Glp2r, Inhba"
"5","MF","GO:0099106","ion channel regulator activity",107,3,0.4,6,0.0074,0.0074,0.0280373831775701,"Cacnb2, Dpp10, Grm3"
"6","MF","GO:0005246","calcium channel regulator activity",41,2,0.15,7,0.0101,0.0101,0.0487804878048781,"Cacnb2, Grm3"
"7","MF","GO:0017046","peptide hormone binding",50,2,0.19,10,0.0148,0.0148,0.04,"Glp2r, Inhba"
"8","MF","GO:0005509","calcium ion binding",574,6,2.13,11,0.0195,0.0195,0.0104529616724739,"Reps2, Scube1, Fbn1, Cdh24, Necab1, Plch2"
"9","MF","GO:0034212","peptide N-acetyltransferase activity",73,2,0.27,12,0.0301,0.0301,0.0273972602739726,"Naa11, Supt3"
"10","MF","GO:0005085","guanyl-nucleotide exchange factor activi...",197,3,0.73,13,0.0368,0.0368,0.0152284263959391,"Arhgef25, Elmo1, Rapgef5"
"11","MF","GO:0008013","beta-catenin binding",84,2,0.31,14,0.0389,0.0389,0.0238095238095238,"Ptpru, Cdh24"
"12","MF","GO:0046982","protein heterodimerization activity",520,5,1.93,15,0.0436,0.0436,0.00961538461538462,"Ttr, Tenm4, Scube1, Inhba, Sox5"
"13","MF","GO:0008080","N-acetyltransferase activity",90,2,0.33,16,0.044,0.044,0.0222222222222222,"Naa11, Supt3"
"14","MF","GO:0016407","acetyltransferase activity",110,2,0.41,19,0.0629,0.0629,0.0181818181818182,"Naa11, Supt3"
"15","MF","GO:0016410","N-acyltransferase activity",111,2,0.41,20,0.0639,0.0639,0.018018018018018,"Naa11, Supt3"
"16","MF","GO:0005262","calcium channel activity",118,2,0.44,22,0.0711,0.0711,0.0169491525423729,"Cacnb2, Trpc7"
"17","MF","GO:0031489","myosin V binding",20,1,0.07,23,0.0717,0.0717,0.05,"Rab27b"
"18","MF","GO:0005212","structural constituent of eye lens",20,1,0.07,24,0.0717,0.0717,0.05,"Cryab"
"19","MF","GO:0015295","solute:proton symporter activity",21,1,0.08,25,0.0751,0.0751,0.0476190476190476,"Slc15a2"
"20","MF","GO:0031420","alkali metal ion binding",22,1,0.08,26,0.0785,0.0785,0.0454545454545455,"Kcna4"
"21","MF","GO:0042277","peptide binding",270,3,1,27,0.0788,0.0788,0.0111111111111111,"Cryab, Glp2r, Inhba"
"22","MF","GO:0005088","Ras guanyl-nucleotide exchange factor ac...",127,2,0.47,28,0.0807,0.0807,0.015748031496063,"Arhgef25, Rapgef5"
"23","MF","GO:0005178","integrin binding",128,2,0.47,29,0.0818,0.0818,0.015625,"Fgf1, Fbn1"
"24","MF","GO:0030742","GTP-dependent protein binding",23,1,0.09,30,0.082,0.082,0.0434782608695652,"Rapgef5"
"25","MF","GO:0030674","protein binding, bridging",129,2,0.48,31,0.0829,0.0829,0.0155038759689922,"Blnk, Cradd"
"26","MF","GO:0008083","growth factor activity",133,2,0.49,32,0.0873,0.0873,0.0150375939849624,"Inhba, Fgf1"
"27","MF","GO:0005104","fibroblast growth factor receptor bindin...",25,1,0.09,33,0.0888,0.0888,0.04,"Fgf1"
"28","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,2,0.5,34,0.0896,0.0896,0.0148148148148148,"Cacnb2, Trpc7"
"29","MF","GO:0033612","receptor serine/threonine kinase binding",26,1,0.1,35,0.0921,0.0921,0.0384615384615385,"Inhba"
"30","MF","GO:0005070","SH3/SH2 adaptor activity",27,1,0.1,36,0.0955,0.0955,0.037037037037037,"Blnk"
"31","MF","GO:0008066","glutamate receptor activity",27,1,0.1,37,0.0955,0.0955,0.037037037037037,"Grm3"
"32","MF","GO:0022843","voltage-gated cation channel activity",143,2,0.53,38,0.0987,0.0987,0.013986013986014,"Cacnb2, Kcna4"
"33","MF","GO:1904680","peptide transmembrane transporter activi...",28,1,0.1,39,0.0989,0.0989,0.0357142857142857,"Slc15a2"
"34","MF","GO:0098632","cell-cell adhesion mediator activity",30,1,0.11,40,0.1056,0.1056,0.0333333333333333,"Lrrc4c"
"35","MF","GO:0005251","delayed rectifier potassium channel acti...",30,1,0.11,41,0.1056,0.1056,0.0333333333333333,"Kcna4"
"36","MF","GO:0005261","cation channel activity",310,3,1.15,42,0.1079,0.1079,0.00967741935483871,"Cacnb2, Kcna4, Trpc7"
"37","MF","GO:0004993","G protein-coupled serotonin receptor act...",31,1,0.11,43,0.1089,0.1089,0.032258064516129,"Htr4"
"38","MF","GO:0099589","serotonin receptor activity",31,1,0.11,44,0.1089,0.1089,0.032258064516129,"Htr4"
"39","MF","GO:0043394","proteoglycan binding",35,1,0.13,45,0.122,0.122,0.0285714285714286,"Chrd"
"40","MF","GO:0033218","amide binding",333,3,1.23,46,0.1263,0.1263,0.00900900900900901,"Cryab, Glp2r, Inhba"
"41","MF","GO:0099528","G protein-coupled neurotransmitter recep...",37,1,0.14,47,0.1286,0.1286,0.027027027027027,"Htr4"
"42","MF","GO:0098631","cell adhesion mediator activity",39,1,0.14,48,0.135,0.135,0.0256410256410256,"Lrrc4c"
"43","MF","GO:0016620","oxidoreductase activity, acting on the a...",41,1,0.15,49,0.1414,0.1414,0.024390243902439,"Far2"
"44","MF","GO:0042887","amide transmembrane transporter activity",41,1,0.15,50,0.1414,0.1414,0.024390243902439,"Slc15a2"
"45","MF","GO:0019213","deacetylase activity",42,1,0.16,51,0.1446,0.1446,0.0238095238095238,"Ndst4"
"46","MF","GO:0022890","inorganic cation transmembrane transport...",552,4,2.05,52,0.1484,0.1484,0.0072463768115942,"Cacnb2, Slc15a2, Kcna4, Trpc7"
"47","MF","GO:0019904","protein domain specific binding",762,5,2.83,53,0.152,0.152,0.00656167979002625,"Cacnb2, Elmo1, Rab27b, Lin7a, Cradd"
"48","MF","GO:0022832","voltage-gated channel activity",191,2,0.71,54,0.158,0.158,0.0104712041884817,"Cacnb2, Kcna4"
"49","MF","GO:0005244","voltage-gated ion channel activity",191,2,0.71,55,0.158,0.158,0.0104712041884817,"Cacnb2, Kcna4"
"50","MF","GO:0008227","G protein-coupled amine receptor activit...",47,1,0.17,56,0.1604,0.1604,0.0212765957446809,"Htr4"
"51","MF","GO:0015459","potassium channel regulator activity",47,1,0.17,57,0.1604,0.1604,0.0212765957446809,"Dpp10"
"52","MF","GO:0060090","molecular adaptor activity",195,2,0.72,58,0.1632,0.1632,0.0102564102564103,"Blnk, Cradd"
"53","MF","GO:0030544","Hsp70 protein binding",48,1,0.18,59,0.1635,0.1635,0.0208333333333333,"Fgf1"
"54","MF","GO:0005160","transforming growth factor beta receptor...",49,1,0.18,60,0.1666,0.1666,0.0204081632653061,"Inhba"
"55","MF","GO:0016903","oxidoreductase activity, acting on the a...",50,1,0.19,61,0.1697,0.1697,0.02,"Far2"
"56","MF","GO:0005245","voltage-gated calcium channel activity",50,1,0.19,62,0.1697,0.1697,0.02,"Cacnb2"
"57","MF","GO:0008324","cation transmembrane transporter activit...",599,4,2.22,63,0.182,0.182,0.00667779632721202,"Cacnb2, Slc15a2, Kcna4, Trpc7"
"58","MF","GO:0008146","sulfotransferase activity",54,1,0.2,64,0.182,0.182,0.0185185185185185,"Ndst4"
"59","MF","GO:0035591","signaling adaptor activity",54,1,0.2,65,0.182,0.182,0.0185185185185185,"Blnk"
"60","MF","GO:0008375","acetylglucosaminyltransferase activity",54,1,0.2,66,0.182,0.182,0.0185185185185185,"Ndst4"
"61","MF","GO:0005216","ion channel activity",398,3,1.48,67,0.1834,0.1834,0.00753768844221105,"Cacnb2, Kcna4, Trpc7"
"62","MF","GO:0022838","substrate-specific channel activity",406,3,1.51,68,0.1909,0.1909,0.00738916256157635,"Cacnb2, Kcna4, Trpc7"
"63","MF","GO:0001540","amyloid-beta binding",57,1,0.21,69,0.1911,0.1911,0.0175438596491228,"Cryab"
"64","MF","GO:0042165","neurotransmitter binding",60,1,0.22,70,0.2001,0.2001,0.0166666666666667,"Bche"
"65","MF","GO:0061630","ubiquitin protein ligase activity",225,2,0.83,71,0.2031,0.2031,0.00888888888888889,"Ube3a, Pdzrn4"
"66","MF","GO:0016747","transferase activity, transferring acyl ...",225,2,0.83,72,0.2031,0.2031,0.00888888888888889,"Naa11, Supt3"
"67","MF","GO:0046873","metal ion transmembrane transporter acti...",420,3,1.56,73,0.2042,0.2042,0.00714285714285714,"Cacnb2, Kcna4, Trpc7"
"68","MF","GO:0004402","histone acetyltransferase activity",63,1,0.23,74,0.209,0.209,0.0158730158730159,"Supt3"
"69","MF","GO:0046983","protein dimerization activity",1311,7,4.86,75,0.2114,0.2114,0.0053394355453852,"Ttr, Cryab, Tenm4, Scube1, Inhba, Sox5, Cdh24"
"70","MF","GO:0008017","microtubule binding",232,2,0.86,76,0.2126,0.2126,0.00862068965517241,"Cryab, Kif6"
"71","MF","GO:0015267","channel activity",429,3,1.59,77,0.2128,0.2128,0.00699300699300699,"Cacnb2, Kcna4, Trpc7"
"72","MF","GO:0022803","passive transmembrane transporter activi...",429,3,1.59,78,0.2128,0.2128,0.00699300699300699,"Cacnb2, Kcna4, Trpc7"
