"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0015459","potassium channel regulator activity",47,2,0.02,1,0.00013,0.00013,0.0425531914893617,"Kcnmb2, Dpp6"
"2","MF","GO:0005267","potassium channel activity",121,2,0.05,3,0.00089,0.00089,0.0165289256198347,"Kcnc2, Kcnmb2"
"3","MF","GO:0022839","ion gated channel activity",317,2,0.12,7,0.00591,0.00591,0.00630914826498423,"Kcnc2, Kcnmb2"
"4","MF","GO:0035259","glucocorticoid receptor binding",21,1,0.01,10,0.00799,0.00799,0.0476190476190476,"Grip1"
"5","MF","GO:0032947","protein-containing complex scaffold acti...",22,1,0.01,11,0.00837,0.00837,0.0454545454545455,"Grip1"
"6","MF","GO:0005227","calcium activated cation channel activit...",28,1,0.01,17,0.01064,0.01064,0.0357142857142857,"Kcnmb2"
"7","MF","GO:0005251","delayed rectifier potassium channel acti...",30,1,0.01,18,0.0114,0.0114,0.0333333333333333,"Kcnc2"
"8","MF","GO:0005509","calcium ion binding",574,2,0.22,21,0.01851,0.01851,0.00348432055749129,"Lrp1b, Adgrl3"
"9","MF","GO:0038024","cargo receptor activity",82,1,0.03,23,0.03089,0.03089,0.0121951219512195,"Lrp1b"
"10","MF","GO:0005249","voltage-gated potassium channel activity",85,1,0.03,25,0.03201,0.03201,0.0117647058823529,"Kcnc2"
"11","MF","GO:0005179","hormone activity",101,1,0.04,29,0.03793,0.03793,0.0099009900990099,"Ttr"
"12","MF","GO:0042562","hormone binding",103,1,0.04,30,0.03867,0.03867,0.00970873786407767,"Ttr"
"13","MF","GO:0044325","ion channel binding",136,1,0.05,32,0.05079,0.05079,0.00735294117647059,"Kcnc2"
"14","MF","GO:0022843","voltage-gated cation channel activity",143,1,0.05,33,0.05334,0.05334,0.00699300699300699,"Kcnc2"
"15","MF","GO:0008236","serine-type peptidase activity",158,1,0.06,36,0.05879,0.05879,0.00632911392405063,"Dpp6"
"16","MF","GO:0017171","serine hydrolase activity",163,1,0.06,37,0.0606,0.0606,0.00613496932515337,"Dpp6"
"17","MF","GO:0005515","protein binding",8273,6,3.16,27,0.06912,0.03619,0.000725250815907168,"Ttr, Kcnc2, Lrp1b, Adgrl3, Dpp6, Grip1"
"18","MF","GO:0005244","voltage-gated ion channel activity",191,1,0.07,39,0.07069,0.07069,0.00523560209424084,"Kcnc2"
"19","MF","GO:0022832","voltage-gated channel activity",191,1,0.07,40,0.07069,0.07069,0.00523560209424084,"Kcnc2"
"20","MF","GO:0008022","protein C-terminus binding",232,1,0.09,41,0.08529,0.08529,0.00431034482758621,"Grip1"
"21","MF","GO:0030246","carbohydrate binding",250,1,0.1,42,0.09164,0.09164,0.004,"Adgrl3"
"22","MF","GO:0048018","receptor ligand activity",391,1,0.15,44,0.14007,0.14007,0.00255754475703325,"Ttr"
"23","MF","GO:0030545","receptor regulator activity",421,1,0.16,45,0.15009,0.15009,0.00237529691211401,"Ttr"
"24","MF","GO:0046982","protein heterodimerization activity",520,1,0.2,46,0.18243,0.18243,0.00192307692307692,"Ttr"
