"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0035259","glucocorticoid receptor binding",21,2,0.05,2,0.001,0.001,0.0952380952380952,"Stat3, Nr4a1"
"2","MF","GO:0017124","SH3 domain binding",126,3,0.28,4,0.0028,0.00279,0.0238095238095238,"Pttg1, Cntnap1, Bcar1"
"3","MF","GO:0004879","nuclear receptor activity",40,2,0.09,6,0.0036,0.00361,0.05,"Stat3, Nr4a1"
"4","MF","GO:0005506","iron ion binding",142,3,0.32,8,0.0039,0.00391,0.0211267605633803,"Fth1, Ltf, Cyp51"
"5","MF","GO:0042802","identical protein binding",1795,10,4.01,12,0.0052,0.0052,0.00557103064066852,"Plp1, Fth1, Homer1, Stat3, Hmgcr, Zbtb16, Zfp423, Sult4a1, Vegfa, Nr4a1"
"6","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,2,0.12,13,0.0063,0.00625,0.0377358490566038,"Pttg1, Ltf"
"7","MF","GO:0005488","binding",11858,37,26.51,1,0.0071,0.00019,0.00312025636700961,"Pttg1, Peg3, Ndrg4, Mbp, Plp1, Rock2, Ppm1l, Fth1, Homer1, Zswim6, St18, Ltf, Stat3, Zfr2, Hmgcr, Zfpm2, Alkal2, Arid5b, Zbtb16, Chd3, Pde4b, Man2a1, Zfp423, Cct3, Syt2, Rgs8, Cntnap1, Hsph1, Bcar1, Prr5l, Stk32a, Rgl1, Eya4, Sult4a1, Cyp51, Vegfa, Nr4a1"
"8","MF","GO:0030295","protein kinase activator activity",75,2,0.17,14,0.0122,0.01221,0.0266666666666667,"Ltf, Alkal2"
"9","MF","GO:0042803","protein homodimerization activity",894,6,2,17,0.0138,0.0138,0.00671140939597315,"Stat3, Hmgcr, Zbtb16, Zfp423, Vegfa, Nr4a1"
"10","MF","GO:0019209","kinase activator activity",81,2,0.18,18,0.0141,0.01414,0.0246913580246914,"Ltf, Alkal2"
"11","MF","GO:0043167","ion binding",5224,20,11.68,10,0.0196,0.00466,0.00382848392036753,"Peg3, Rock2, Ppm1l, Fth1, Zswim6, St18, Ltf, Hmgcr, Zfpm2, Pde4b, Man2a1, Zfp423, Cct3, Syt2, Hsph1, Stk32a, Eya4, Cyp51, Vegfa, Nr4a1"
"12","MF","GO:0043565","sequence-specific DNA binding",1011,6,2.26,21,0.0239,0.02386,0.00593471810089021,"St18, Stat3, Arid5b, Zbtb16, Zfp423, Nr4a1"
"13","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,5,1.66,22,0.0243,0.02432,0.00672043010752688,"St18, Stat3, Arid5b, Zbtb16, Nr4a1"
"14","MF","GO:0046983","protein dimerization activity",1311,7,2.93,23,0.0248,0.02483,0.0053394355453852,"Homer1, Stat3, Hmgcr, Zbtb16, Zfp423, Vegfa, Nr4a1"
"15","MF","GO:0046872","metal ion binding",3326,15,7.44,9,0.0248,0.00398,0.00450992182802165,"Peg3, Rock2, Ppm1l, Fth1, Zswim6, St18, Ltf, Zfpm2, Man2a1, Zfp423, Syt2, Stk32a, Eya4, Cyp51, Nr4a1"
"16","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,5,1.68,24,0.0253,0.02533,0.00664893617021277,"St18, Stat3, Arid5b, Zbtb16, Nr4a1"
"17","MF","GO:0046982","protein heterodimerization activity",520,4,1.16,25,0.0283,0.02831,0.00769230769230769,"Homer1, Zfp423, Vegfa, Nr4a1"
"18","MF","GO:0000976","transcription regulatory region sequence...",786,5,1.76,26,0.0299,0.02991,0.00636132315521628,"St18, Stat3, Arid5b, Zbtb16, Nr4a1"
"19","MF","GO:0043169","cation binding",3418,15,7.64,11,0.0305,0.0052,0.00438853130485664,"Peg3, Rock2, Ppm1l, Fth1, Zswim6, St18, Ltf, Zfpm2, Man2a1, Zfp423, Syt2, Stk32a, Eya4, Cyp51, Nr4a1"
"20","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,5,1.85,27,0.0363,0.03627,0.00603864734299517,"St18, Stat3, Arid5b, Zbtb16, Nr4a1"
"21","MF","GO:0044325","ion channel binding",136,2,0.3,28,0.0371,0.03709,0.0147058823529412,"Homer1, Pde4b"
"22","MF","GO:1901363","heterocyclic compound binding",4665,16,10.43,29,0.0385,0.03854,0.00342979635584137,"Peg3, Rock2, St18, Stat3, Zfr2, Hmgcr, Zfpm2, Arid5b, Zbtb16, Pde4b, Zfp423, Cct3, Hsph1, Stk32a, Cyp51, Nr4a1"
"23","MF","GO:0042578","phosphoric ester hydrolase activity",343,3,0.77,30,0.041,0.04101,0.0087463556851312,"Ppm1l, Pde4b, Eya4"
"24","MF","GO:0008201","heparin binding",144,2,0.32,31,0.0411,0.04114,0.0138888888888889,"Ltf, Vegfa"
"25","MF","GO:0017049","GTP-Rho binding",20,1,0.04,33,0.0438,0.04381,0.05,"Rock2"
"26","MF","GO:0000981","DNA-binding transcription factor activit...",669,6,1.5,5,0.044,0.00349,0.00896860986547085,"Pttg1, St18, Stat3, Arid5b, Zbtb16, Nr4a1"
"27","MF","GO:0097159","organic cyclic compound binding",4747,16,10.61,34,0.0447,0.04466,0.00337054982093954,"Peg3, Rock2, St18, Stat3, Zfr2, Hmgcr, Zfpm2, Arid5b, Zbtb16, Pde4b, Zfp423, Cct3, Hsph1, Stk32a, Cyp51, Nr4a1"
"28","MF","GO:0030552","cAMP binding",21,1,0.05,35,0.0459,0.04595,0.0476190476190476,"Pde4b"
"29","MF","GO:0044212","transcription regulatory region DNA bind...",892,5,1.99,36,0.0475,0.04748,0.00560538116591928,"St18, Stat3, Arid5b, Zbtb16, Nr4a1"
"30","MF","GO:0019887","protein kinase regulator activity",156,2,0.35,37,0.0475,0.04751,0.0128205128205128,"Ltf, Alkal2"
"31","MF","GO:0070035","purine NTP-dependent helicase activity",22,1,0.05,40,0.0481,0.04808,0.0454545454545455,"Chd3"
"32","MF","GO:0140103","catalytic activity, acting on a glycopro...",22,1,0.05,41,0.0481,0.04808,0.0454545454545455,"Mgat3"
"33","MF","GO:0004003","ATP-dependent DNA helicase activity",22,1,0.05,42,0.0481,0.04808,0.0454545454545455,"Chd3"
"34","MF","GO:0008026","ATP-dependent helicase activity",22,1,0.05,43,0.0481,0.04808,0.0454545454545455,"Chd3"
"35","MF","GO:0016799","hydrolase activity, hydrolyzing N-glycos...",22,1,0.05,44,0.0481,0.04808,0.0454545454545455,"Man2a1"
"36","MF","GO:0001067","regulatory region nucleic acid binding",896,5,2,45,0.0482,0.04825,0.00558035714285714,"St18, Stat3, Arid5b, Zbtb16, Nr4a1"
"37","MF","GO:0003690","double-stranded DNA binding",903,5,2.02,46,0.0496,0.0496,0.00553709856035437,"St18, Stat3, Arid5b, Zbtb16, Nr4a1"
"38","MF","GO:0019903","protein phosphatase binding",164,2,0.37,47,0.0519,0.05195,0.0121951219512195,"Stat3, Hmgcr"
"39","MF","GO:0001530","lipopolysaccharide binding",24,1,0.05,48,0.0523,0.05234,0.0416666666666667,"Ltf"
"40","MF","GO:0001085","RNA polymerase II transcription factor b...",165,2,0.37,49,0.0525,0.05251,0.0121212121212121,"Stat3, Zfpm2"
"41","MF","GO:0004721","phosphoprotein phosphatase activity",168,2,0.38,52,0.0542,0.05422,0.0119047619047619,"Ppm1l, Eya4"
