"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0042169","SH2 domain binding",39,3,0.09,2,9.6e-05,9.6e-05,0.0769230769230769,"Afap1, Kit, Irs1"
"2","MF","GO:0030544","Hsp70 protein binding",48,3,0.11,3,0.00018,0.00018,0.0625,"Fgf1, Stip1, Dnaja1"
"3","MF","GO:0051082","unfolded protein binding",96,3,0.22,6,0.00138,0.00138,0.03125,"Cryab, Hsp90ab1, Dnaja1"
"4","MF","GO:0017124","SH3 domain binding",126,3,0.29,7,0.00299,0.00299,0.0238095238095238,"Pttg1, Afap1, Inpp5j"
"5","MF","GO:0030276","clathrin binding",52,2,0.12,8,0.00632,0.00632,0.0384615384615385,"Syt2, Hip1"
"6","MF","GO:0005539","glycosaminoglycan binding",192,3,0.44,10,0.00961,0.00961,0.015625,"Fgf1, Adamtsl5, Bcan"
"7","MF","GO:0030971","receptor tyrosine kinase binding",73,2,0.17,11,0.01215,0.01215,0.0273972602739726,"Alkal2, Irs1"
"8","MF","GO:0031072","heat shock protein binding",136,5,0.31,1,0.01511,1.4e-05,0.0367647058823529,"Pttg1, Fgf1, Hsp90ab1, Stip1, Dnaja1"
"9","MF","GO:0005102","signaling receptor binding",1472,8,3.37,12,0.01711,0.01711,0.00543478260869565,"Fgf1, Alkal2, Dvl1, Hsp90ab1, Ppargc1b, Plcl1, Irs1, Dnaja1"
"10","MF","GO:0008092","cytoskeletal protein binding",945,6,2.16,13,0.0198,0.0198,0.00634920634920635,"Cdh7, Cryab, Pls1, Afap1, Hsp90ab1, Hip1"
"11","MF","GO:0051087","chaperone binding",96,2,0.22,14,0.02039,0.02039,0.0208333333333333,"Stip1, Dnaja1"
"12","MF","GO:1990782","protein tyrosine kinase binding",100,2,0.23,15,0.02201,0.02201,0.02,"Alkal2, Irs1"
"13","MF","GO:0046983","protein dimerization activity",1311,7,3,16,0.02802,0.02802,0.0053394355453852,"Cdh7, Cryab, Hsp90ab1, Sox5, Kit, Hip1, Abtb2"
"14","MF","GO:0031625","ubiquitin protein ligase binding",288,3,0.66,17,0.02806,0.02806,0.0104166666666667,"Prr5l, Hsp90ab1, Dnaja1"
"15","MF","GO:0043168","anion binding",2593,11,5.94,18,0.02841,0.02841,0.0042421905129194,"Prpf4b, Fgf1, Arhgap26, Adamtsl5, Syt2, Hsp90ab1, Kit, Hip1, Bcan, Hunk, Dnaja1"
"16","MF","GO:0044389","ubiquitin-like protein ligase binding",306,3,0.7,19,0.03274,0.03274,0.00980392156862745,"Prr5l, Hsp90ab1, Dnaja1"
"17","MF","GO:0030674","protein binding, bridging",129,2,0.3,20,0.03521,0.03521,0.0155038759689922,"Hip1, Irs1"
"18","MF","GO:0002020","protease binding",135,2,0.31,21,0.03825,0.03825,0.0148148148148148,"Mbp, Kit"
"19","MF","GO:0005509","calcium ion binding",574,4,1.31,22,0.04166,0.04166,0.00696864111498258,"Cdh7, Pls1, Syt2, Bcan"
"20","MF","GO:0008201","heparin binding",144,2,0.33,23,0.04298,0.04298,0.0138888888888889,"Fgf1, Adamtsl5"
"21","MF","GO:0042578","phosphoric ester hydrolase activity",343,3,0.79,24,0.04357,0.04357,0.0087463556851312,"Eya4, Plcl1, Inpp5j"
"22","MF","GO:0034593","phosphatidylinositol bisphosphate phosph...",20,1,0.05,25,0.04485,0.04485,0.05,"Inpp5j"
"23","MF","GO:0052745","inositol phosphate phosphatase activity",20,1,0.05,26,0.04485,0.04485,0.05,"Inpp5j"
"24","MF","GO:0005540","hyaluronic acid binding",20,1,0.05,27,0.04485,0.04485,0.05,"Bcan"
"25","MF","GO:0005212","structural constituent of eye lens",20,1,0.05,28,0.04485,0.04485,0.05,"Cryab"
"26","MF","GO:0048156","tau protein binding",21,1,0.05,29,0.04704,0.04704,0.0476190476190476,"Hsp90ab1"
"27","MF","GO:0015295","solute:proton symporter activity",21,1,0.05,30,0.04704,0.04704,0.0476190476190476,"Slc15a2"
"28","MF","GO:0019887","protein kinase regulator activity",156,2,0.36,31,0.04961,0.04961,0.0128205128205128,"Alkal2, Hsp90ab1"
"29","MF","GO:0003688","DNA replication origin binding",23,1,0.05,32,0.05141,0.05141,0.0434782608695652,"Mcmdc2"
"30","MF","GO:0044877","protein-containing complex binding",1185,6,2.71,33,0.05149,0.05149,0.00506329113924051,"Pttg1, Fgf1, Cryab, Pls1, Hip1, Irs1"
"31","MF","GO:0042803","protein homodimerization activity",894,5,2.05,34,0.05224,0.05224,0.00559284116331096,"Cdh7, Cryab, Hsp90ab1, Kit, Hip1"
"32","MF","GO:0030234","enzyme regulator activity",894,5,2.05,35,0.05224,0.05224,0.00559284116331096,"Pttg1, Arhgap26, Alkal2, Hsp90ab1, Dnaja1"
"33","MF","GO:0001671","ATPase activator activity",24,1,0.05,36,0.05358,0.05358,0.0416666666666667,"Dnaja1"
"34","MF","GO:0048027","mRNA 5'-UTR binding",24,1,0.05,37,0.05358,0.05358,0.0416666666666667,"Igf2bp3"
"35","MF","GO:0052866","phosphatidylinositol phosphate phosphata...",24,1,0.05,38,0.05358,0.05358,0.0416666666666667,"Inpp5j"
"36","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.05,39,0.05358,0.05358,0.0416666666666667,"Dnaja1"
"37","MF","GO:0035250","UDP-galactosyltransferase activity",24,1,0.05,40,0.05358,0.05358,0.0416666666666667,"Ugt8a"
"38","MF","GO:0005104","fibroblast growth factor receptor bindin...",25,1,0.06,41,0.05575,0.05575,0.04,"Fgf1"
"39","MF","GO:0005158","insulin receptor binding",25,1,0.06,42,0.05575,0.05575,0.04,"Irs1"
"40","MF","GO:0005515","protein binding",8273,30,18.95,5,0.0583,5e-04,0.00362625407953584,"Pttg1, Fgf1, Mbp, Cdh7, Eya4, Cryab, Tshz2, Igf2bp3, Pls1, Arhgap26, Prr5l, Paxbp1, Afap1, Pcdh11x, Alkal2, Dvl1, Syt2, Hsp90ab1, Plp1, Ppargc1b, Sox5, Kit, Stip1, Hip1, Plcl1, Irs1, Inpp5j, Neat1, Abtb2, Dnaja1"
"41","MF","GO:0005070","SH3/SH2 adaptor activity",27,1,0.06,43,0.06008,0.06008,0.037037037037037,"Irs1"
"42","MF","GO:0080025","phosphatidylinositol-3,5-bisphosphate bi...",27,1,0.06,44,0.06008,0.06008,0.037037037037037,"Hip1"
