"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0016701","oxidoreductase activity, acting on singl...",28,1,0.01,1,0.011,0.011,0.0357142857142857,"P4ha1"
"2","MF","GO:0016702","oxidoreductase activity, acting on singl...",28,1,0.01,2,0.011,0.011,0.0357142857142857,"P4ha1"
"3","MF","GO:0015932","nucleobase-containing compound transmemb...",41,1,0.02,3,0.016,0.016,0.024390243902439,"Slc29a4"
"4","MF","GO:1901505","carbohydrate derivative transmembrane tr...",42,1,0.02,4,0.016,0.016,0.0238095238095238,"Slc29a4"
"5","MF","GO:0016706","oxidoreductase activity, acting on paire...",44,1,0.02,5,0.017,0.017,0.0227272727272727,"P4ha1"
"6","MF","GO:0030544","Hsp70 protein binding",48,1,0.02,6,0.018,0.018,0.0208333333333333,"St13"
"7","MF","GO:0017046","peptide hormone binding",50,1,0.02,7,0.019,0.019,0.02,"Crhr2"
"8","MF","GO:0048029","monosaccharide binding",83,1,0.03,8,0.031,0.031,0.0120481927710843,"P4ha1"
"9","MF","GO:0008013","beta-catenin binding",84,1,0.03,9,0.032,0.032,0.0119047619047619,"Tcf7l1"
"10","MF","GO:0051213","dioxygenase activity",89,1,0.03,10,0.033,0.033,0.0112359550561798,"P4ha1"
"11","MF","GO:0051082","unfolded protein binding",96,1,0.04,11,0.036,0.036,0.0104166666666667,"St13"
"12","MF","GO:0051087","chaperone binding",96,1,0.04,12,0.036,0.036,0.0104166666666667,"St13"
"13","MF","GO:0005515","protein binding",8273,6,3.16,13,0.036,0.036,0.000725250815907168,"Tcf7l1, Sgcd, Crhr2, P4ha1, St13, Tsix"
"14","MF","GO:0005179","hormone activity",101,1,0.04,14,0.038,0.038,0.0099009900990099,"Crhr2"
"15","MF","GO:0042562","hormone binding",103,1,0.04,15,0.039,0.039,0.00970873786407767,"Crhr2"
"16","MF","GO:0019842","vitamin binding",128,1,0.05,16,0.048,0.048,0.0078125,"P4ha1"
"17","MF","GO:0001653","peptide receptor activity",133,1,0.05,17,0.05,0.05,0.0075187969924812,"Crhr2"
"18","MF","GO:0031072","heat shock protein binding",136,1,0.05,18,0.051,0.051,0.00735294117647059,"St13"
"19","MF","GO:0005506","iron ion binding",142,1,0.05,19,0.053,0.053,0.00704225352112676,"P4ha1"
"20","MF","GO:0016705","oxidoreductase activity, acting on paire...",180,1,0.07,20,0.067,0.067,0.00555555555555556,"P4ha1"
"21","MF","GO:0044877","protein-containing complex binding",1185,2,0.45,21,0.071,0.071,0.00168776371308017,"St13, Tsix"
"22","MF","GO:0031406","carboxylic acid binding",198,1,0.08,22,0.073,0.073,0.00505050505050505,"P4ha1"
"23","MF","GO:0043177","organic acid binding",206,1,0.08,23,0.076,0.076,0.00485436893203883,"P4ha1"
"24","MF","GO:0030246","carbohydrate binding",250,1,0.1,24,0.092,0.092,0.004,"P4ha1"
"25","MF","GO:0042277","peptide binding",270,1,0.1,25,0.099,0.099,0.0037037037037037,"Crhr2"
"26","MF","GO:0050662","coenzyme binding",281,1,0.11,26,0.102,0.102,0.00355871886120996,"P4ha1"
"27","MF","GO:0033218","amide binding",333,1,0.13,27,0.12,0.12,0.003003003003003,"Crhr2"
"28","MF","GO:0022804","active transmembrane transporter activit...",343,1,0.13,28,0.124,0.124,0.00291545189504373,"Slc29a4"
"29","MF","GO:0048018","receptor ligand activity",391,1,0.15,29,0.14,0.14,0.00255754475703325,"Crhr2"
"30","MF","GO:0042802","identical protein binding",1795,2,0.69,30,0.144,0.144,0.0011142061281337,"P4ha1, St13"
"31","MF","GO:0030545","receptor regulator activity",421,1,0.16,31,0.15,0.15,0.00237529691211401,"Crhr2"
"32","MF","GO:0048037","cofactor binding",496,1,0.19,32,0.175,0.175,0.00201612903225806,"P4ha1"
"33","MF","GO:0004930","G protein-coupled receptor activity",530,1,0.2,33,0.186,0.186,0.00188679245283019,"Crhr2"
"34","MF","GO:0003682","chromatin binding",536,1,0.2,34,0.188,0.188,0.00186567164179104,"Tcf7l1"
"35","MF","GO:0036094","small molecule binding",2316,2,0.88,35,0.218,0.218,0.000863557858376511,"P4ha1, St13"
"36","MF","GO:0005488","binding",11858,6,4.53,36,0.228,0.228,0.000505987518974532,"Tcf7l1, Sgcd, Crhr2, P4ha1, St13, Tsix"
"37","MF","GO:0016491","oxidoreductase activity",714,1,0.27,37,0.243,0.243,0.00140056022408964,"P4ha1"
"38","MF","GO:0019904","protein domain specific binding",762,1,0.29,38,0.257,0.257,0.00131233595800525,"St13"
"39","MF","GO:0043168","anion binding",2593,2,0.99,39,0.26,0.26,0.000771307365985345,"P4ha1, St13"
"40","MF","GO:0003700","DNA-binding transcription factor activit...",882,1,0.34,40,0.292,0.292,0.00113378684807256,"Tcf7l1"
"41","MF","GO:0044212","transcription regulatory region DNA bind...",892,1,0.34,41,0.295,0.295,0.00112107623318386,"Tcf7l1"
"42","MF","GO:0046914","transition metal ion binding",893,1,0.34,42,0.295,0.295,0.00111982082866741,"P4ha1"
"43","MF","GO:0001067","regulatory region nucleic acid binding",896,1,0.34,43,0.296,0.296,0.00111607142857143,"Tcf7l1"
"44","MF","GO:0022857","transmembrane transporter activity",974,1,0.37,44,0.318,0.318,0.00102669404517454,"Slc29a4"
"45","MF","GO:0043565","sequence-specific DNA binding",1011,1,0.39,45,0.328,0.328,0.000989119683481701,"Tcf7l1"
"46","MF","GO:0005215","transporter activity",1055,1,0.4,46,0.34,0.34,0.000947867298578199,"Slc29a4"
"47","MF","GO:0004888","transmembrane signaling receptor activit...",1212,1,0.46,47,0.38,0.38,0.000825082508250825,"Crhr2"
"48","MF","GO:0140110","transcription regulator activity",1230,1,0.47,48,0.385,0.385,0.000813008130081301,"Tcf7l1"
"49","MF","GO:0046983","protein dimerization activity",1311,1,0.5,49,0.405,0.405,0.0007627765064836,"St13"
"50","MF","GO:0038023","signaling receptor activity",1383,1,0.53,50,0.422,0.422,0.000723065798987708,"Crhr2"
"51","MF","GO:0030554","adenyl nucleotide binding",1428,1,0.55,51,0.433,0.433,0.000700280112044818,"St13"
"52","MF","GO:0060089","molecular transducer activity",1432,1,0.55,52,0.434,0.434,0.000698324022346369,"Crhr2"
"53","MF","GO:0005102","signaling receptor binding",1472,1,0.56,53,0.443,0.443,0.000679347826086957,"Crhr2"
"54","MF","GO:0098772","molecular function regulator",1565,1,0.6,54,0.465,0.465,0.000638977635782748,"Crhr2"
