"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005109","frizzled binding",42,1,0.02,1,0.023,0.023,0.0238095238095238,"Rspo2"
"2","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,1,0.03,2,0.031,0.031,0.0175438596491228,"Flt1"
"3","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,1,0.04,3,0.04,0.04,0.0135135135135135,"Flt1"
"4","MF","GO:0005102","signaling receptor binding",1472,3,0.8,4,0.04,0.04,0.00203804347826087,"Ttr, Rspo2, Nxph1"
"5","MF","GO:0005179","hormone activity",101,1,0.06,5,0.054,0.054,0.0099009900990099,"Ttr"
"6","MF","GO:0042562","hormone binding",103,1,0.06,6,0.055,0.055,0.00970873786407767,"Ttr"
"7","MF","GO:0004713","protein tyrosine kinase activity",127,1,0.07,7,0.067,0.067,0.0078740157480315,"Flt1"
"8","MF","GO:0019838","growth factor binding",138,1,0.08,8,0.073,0.073,0.0072463768115942,"Flt1"
"9","MF","GO:0008201","heparin binding",144,1,0.08,9,0.076,0.076,0.00694444444444444,"Rspo2"
"10","MF","GO:0005539","glycosaminoglycan binding",192,1,0.1,10,0.1,0.1,0.00520833333333333,"Rspo2"
"11","MF","GO:0005515","protein binding",8273,7,4.51,11,0.103,0.103,0.000846125951891696,"Ttr, Pcdh7, Rspo2, Malat1, Nxph1, Arhgap26, Flt1"
"12","MF","GO:0005096","GTPase activator activity",235,1,0.13,12,0.121,0.121,0.00425531914893617,"Arhgap26"
"13","MF","GO:1901681","sulfur compound binding",236,1,0.13,13,0.122,0.122,0.00423728813559322,"Rspo2"
"14","MF","GO:0030695","GTPase regulator activity",253,1,0.14,14,0.13,0.13,0.00395256916996047,"Arhgap26"
"15","MF","GO:0001664","G protein-coupled receptor binding",266,1,0.15,15,0.136,0.136,0.0037593984962406,"Rspo2"
"16","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.16,16,0.148,0.148,0.00343642611683849,"Arhgap26"
"17","MF","GO:0043168","anion binding",2593,3,1.41,17,0.158,0.158,0.00115696104897802,"Rspo2, Arhgap26, Flt1"
"18","MF","GO:0048018","receptor ligand activity",391,1,0.21,18,0.194,0.194,0.00255754475703325,"Ttr"
"19","MF","GO:0005543","phospholipid binding",407,1,0.22,19,0.201,0.201,0.00245700245700246,"Arhgap26"
"20","MF","GO:0030545","receptor regulator activity",421,1,0.23,20,0.207,0.207,0.00237529691211401,"Ttr"
"21","MF","GO:0098772","molecular function regulator",1565,2,0.85,21,0.208,0.208,0.0012779552715655,"Ttr, Arhgap26"
"22","MF","GO:0008047","enzyme activator activity",436,1,0.24,22,0.214,0.214,0.00229357798165138,"Arhgap26"
"23","MF","GO:0046982","protein heterodimerization activity",520,1,0.28,23,0.25,0.25,0.00192307692307692,"Ttr"
"24","MF","GO:0005488","binding",11858,8,6.47,24,0.254,0.254,0.000674650025299376,"Ttr, Pcdh7, Tox, Rspo2, Malat1, Nxph1, Arhgap26, Flt1"
"25","MF","GO:0042802","identical protein binding",1795,2,0.98,25,0.256,0.256,0.0011142061281337,"Ttr, Flt1"
"26","MF","GO:0004672","protein kinase activity",584,1,0.32,26,0.277,0.277,0.00171232876712329,"Flt1"
"27","MF","GO:0097367","carbohydrate derivative binding",2036,2,1.11,27,0.307,0.307,0.000982318271119843,"Rspo2, Flt1"
"28","MF","GO:0016773","phosphotransferase activity, alcohol gro...",682,1,0.37,28,0.316,0.316,0.00146627565982405,"Flt1"
"29","MF","GO:0008289","lipid binding",696,1,0.38,29,0.321,0.321,0.0014367816091954,"Arhgap26"
"30","MF","GO:0016301","kinase activity",740,1,0.4,30,0.338,0.338,0.00135135135135135,"Flt1"
"31","MF","GO:0016772","transferase activity, transferring phosp...",880,1,0.48,31,0.389,0.389,0.00113636363636364,"Flt1"
"32","MF","GO:0030234","enzyme regulator activity",894,1,0.49,32,0.393,0.393,0.00111856823266219,"Arhgap26"
"33","MF","GO:0044877","protein-containing complex binding",1185,1,0.65,33,0.487,0.487,0.000843881856540084,"Malat1"
"34","MF","GO:0004888","transmembrane signaling receptor activit...",1212,1,0.66,34,0.495,0.495,0.000825082508250825,"Flt1"
"35","MF","GO:0046983","protein dimerization activity",1311,1,0.71,35,0.524,0.524,0.0007627765064836,"Ttr"
"36","MF","GO:0005524","ATP binding",1357,1,0.74,36,0.537,0.537,0.000736919675755343,"Flt1"
"37","MF","GO:0038023","signaling receptor activity",1383,1,0.75,37,0.544,0.544,0.000723065798987708,"Flt1"
"38","MF","GO:0032559","adenyl ribonucleotide binding",1418,1,0.77,38,0.553,0.553,0.000705218617771509,"Flt1"
"39","MF","GO:0030554","adenyl nucleotide binding",1428,1,0.78,39,0.556,0.556,0.000700280112044818,"Flt1"
"40","MF","GO:0060089","molecular transducer activity",1432,1,0.78,40,0.557,0.557,0.000698324022346369,"Flt1"
"41","MF","GO:0043167","ion binding",5224,3,2.85,41,0.576,0.576,0.00057427258805513,"Rspo2, Arhgap26, Flt1"
"42","MF","GO:0008144","drug binding",1595,1,0.87,42,0.598,0.598,0.000626959247648903,"Flt1"
"43","MF","GO:0035639","purine ribonucleoside triphosphate bindi...",1665,1,0.91,43,0.614,0.614,0.000600600600600601,"Flt1"
"44","MF","GO:0032555","purine ribonucleotide binding",1736,1,0.95,44,0.63,0.63,0.000576036866359447,"Flt1"
"45","MF","GO:0017076","purine nucleotide binding",1747,1,0.95,45,0.633,0.633,0.000572409845449342,"Flt1"
"46","MF","GO:0032553","ribonucleotide binding",1752,1,0.96,46,0.634,0.634,0.000570776255707763,"Flt1"
"47","MF","GO:0003677","DNA binding",1834,1,1,47,0.652,0.652,0.00054525627044711,"Tox"
"48","MF","GO:1901265","nucleoside phosphate binding",1969,1,1.07,48,0.679,0.679,0.000507872016251904,"Flt1"
"49","MF","GO:0000166","nucleotide binding",1969,1,1.07,49,0.679,0.679,0.000507872016251904,"Flt1"
"50","MF","GO:0140096","catalytic activity, acting on a protein",2044,1,1.11,50,0.693,0.693,0.000489236790606654,"Flt1"
"51","MF","GO:0016740","transferase activity",2164,1,1.18,51,0.715,0.715,0.000462107208872458,"Flt1"
"52","MF","GO:0036094","small molecule binding",2316,1,1.26,52,0.741,0.741,0.000431778929188256,"Flt1"
"53","MF","GO:1901363","heterocyclic compound binding",4665,2,2.54,53,0.766,0.766,0.000428724544480171,"Tox, Flt1"
"54","MF","GO:0097159","organic cyclic compound binding",4747,2,2.59,54,0.775,0.775,0.000421318727617443,"Tox, Flt1"
"55","MF","GO:0003676","nucleic acid binding",2829,1,1.54,55,0.813,0.813,0.000353481795687522,"Tox"
"56","MF","GO:0003824","catalytic activity",5396,1,2.94,56,0.969,0.969,0.000185322461082283,"Flt1"
"57","MF","GO:0003674","molecular_function",18336,10,10,57,1,1,0.000545375218150087,"Ttr, Lhfpl3, Pcdh7, Ankfn1, Tox, Rspo2, Malat1, Nxph1, Arhgap26, Flt1"
"58","MF","GO:0000030","mannosyltransferase activity",26,0,0.01,58,1,1,0,""
"59","MF","GO:0000049","tRNA binding",57,0,0.03,59,1,1,0,""
"60","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0.01,60,1,1,0,""
"61","MF","GO:0000149","SNARE binding",116,0,0.06,61,1,1,0,""
"62","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0.02,62,1,1,0,""
"63","MF","GO:0000217","DNA secondary structure binding",24,0,0.01,63,1,1,0,""
"64","MF","GO:0000287","magnesium ion binding",187,0,0.1,64,1,1,0,""
"65","MF","GO:0000976","transcription regulatory region sequence...",786,0,0.43,65,1,1,0,""
"66","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,0,0.41,66,1,1,0,""
"67","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,0,0.28,67,1,1,0,""
"68","MF","GO:0000979","RNA polymerase II core promoter sequence...",37,0,0.02,68,1,1,0,""
"69","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,0,0.05,69,1,1,0,""
"70","MF","GO:0000981","DNA-binding transcription factor activit...",669,0,0.36,70,1,1,0,""
"71","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,0,0.29,71,1,1,0,""
"72","MF","GO:0000993","RNA polymerase II complex binding",37,0,0.02,72,1,1,0,""
"73","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,0,0.41,73,1,1,0,""
"74","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,0,0.03,74,1,1,0,""
"75","MF","GO:0001047","core promoter binding",60,0,0.03,75,1,1,0,""
"76","MF","GO:0001067","regulatory region nucleic acid binding",896,0,0.49,76,1,1,0,""
"77","MF","GO:0001085","RNA polymerase II transcription factor b...",165,0,0.09,77,1,1,0,""
"78","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,0,0.01,78,1,1,0,""
"79","MF","GO:0001098","basal transcription machinery binding",57,0,0.03,79,1,1,0,""
"80","MF","GO:0001099","basal RNA polymerase II transcription ma...",57,0,0.03,80,1,1,0,""
"81","MF","GO:0001102","RNA polymerase II activating transcripti...",51,0,0.03,81,1,1,0,""
"82","MF","GO:0001103","RNA polymerase II repressing transcripti...",33,0,0.02,82,1,1,0,""
"83","MF","GO:0001158","enhancer sequence-specific DNA binding",110,0,0.06,83,1,1,0,""
