"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0000981","DNA-binding transcription factor activit...",669,3,0.33,1,0.0034,0.0034,0.00448430493273543,"Pttg1, Etv5, St18"
"2","MF","GO:0008198","ferrous iron binding",25,1,0.01,3,0.0122,0.0122,0.04,"Fth1"
"3","MF","GO:0098918","structural constituent of synapse",29,1,0.01,4,0.0141,0.0141,0.0344827586206897,"Homer1"
"4","MF","GO:0001228","DNA-binding transcription activator acti...",389,2,0.19,5,0.0146,0.0146,0.0051413881748072,"Etv5, St18"
"5","MF","GO:0019213","deacetylase activity",42,1,0.02,7,0.0204,0.0204,0.0238095238095238,"Ndst4"
"6","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,1,0.03,8,0.0257,0.0257,0.0188679245283019,"Pttg1"
"7","MF","GO:0008146","sulfotransferase activity",54,1,0.03,9,0.0262,0.0262,0.0185185185185185,"Ndst4"
"8","MF","GO:0008375","acetylglucosaminyltransferase activity",54,1,0.03,10,0.0262,0.0262,0.0185185185185185,"Ndst4"
"9","MF","GO:0043022","ribosome binding",61,1,0.03,11,0.0296,0.0296,0.0163934426229508,"Pttg1"
"10","MF","GO:0035254","glutamate receptor binding",65,1,0.03,12,0.0315,0.0315,0.0153846153846154,"Homer1"
"11","MF","GO:0016782","transferase activity, transferring sulfu...",69,1,0.03,13,0.0334,0.0334,0.0144927536231884,"Ndst4"
"12","MF","GO:0097110","scaffold protein binding",70,1,0.03,14,0.0338,0.0338,0.0142857142857143,"Homer1"
"13","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,2,0.37,15,0.049,0.049,0.00268817204301075,"Etv5, St18"
"14","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,2,0.37,16,0.0499,0.0499,0.00265957446808511,"Etv5, St18"
"15","MF","GO:0000976","transcription regulatory region sequence...",786,2,0.39,17,0.0541,0.0541,0.00254452926208651,"Etv5, St18"
"16","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,2,0.41,18,0.0594,0.0594,0.00241545893719807,"Etv5, St18"
"17","MF","GO:0017124","SH3 domain binding",126,1,0.06,19,0.0602,0.0602,0.00793650793650794,"Pttg1"
"18","MF","GO:0044325","ion channel binding",136,1,0.07,20,0.0648,0.0648,0.00735294117647059,"Homer1"
"19","MF","GO:0031072","heat shock protein binding",136,1,0.07,21,0.0648,0.0648,0.00735294117647059,"Pttg1"
"20","MF","GO:0008194","UDP-glycosyltransferase activity",138,1,0.07,22,0.0657,0.0657,0.0072463768115942,"Ndst4"
"21","MF","GO:0005506","iron ion binding",142,1,0.07,23,0.0676,0.0676,0.00704225352112676,"Fth1"
"22","MF","GO:0044212","transcription regulatory region DNA bind...",892,2,0.44,24,0.0678,0.0678,0.00224215246636771,"Etv5, St18"
"23","MF","GO:0046914","transition metal ion binding",893,2,0.44,25,0.0679,0.0679,0.00223964165733483,"Fth1, St18"
"24","MF","GO:0030234","enzyme regulator activity",894,2,0.44,26,0.0681,0.0681,0.00223713646532438,"Pttg1, Tbc1d1"
"25","MF","GO:0001067","regulatory region nucleic acid binding",896,2,0.44,27,0.0683,0.0683,0.00223214285714286,"Etv5, St18"
"26","MF","GO:0043021","ribonucleoprotein complex binding",145,1,0.07,28,0.069,0.069,0.00689655172413793,"Pttg1"
"27","MF","GO:0003690","double-stranded DNA binding",903,2,0.44,29,0.0693,0.0693,0.00221483942414175,"Etv5, St18"
"28","MF","GO:0004866","endopeptidase inhibitor activity",157,1,0.08,30,0.0745,0.0745,0.00636942675159236,"Pttg1"
"29","MF","GO:0017137","Rab GTPase binding",161,1,0.08,31,0.0763,0.0763,0.0062111801242236,"Tbc1d1"
"30","MF","GO:0061135","endopeptidase regulator activity",165,1,0.08,32,0.0781,0.0781,0.00606060606060606,"Pttg1"
"31","MF","GO:0030414","peptidase inhibitor activity",165,1,0.08,33,0.0781,0.0781,0.00606060606060606,"Pttg1"
"32","MF","GO:0016740","transferase activity",2164,3,1.06,34,0.0799,0.0799,0.00138632162661738,"Rnf220, Hunk, Ndst4"
"33","MF","GO:0043565","sequence-specific DNA binding",1011,2,0.5,35,0.0845,0.0845,0.0019782393669634,"Etv5, St18"
"34","MF","GO:0016758","transferase activity, transferring hexos...",194,1,0.1,36,0.0913,0.0913,0.00515463917525773,"Ndst4"
"35","MF","GO:0060090","molecular adaptor activity",195,1,0.1,37,0.0918,0.0918,0.00512820512820513,"Homer1"
"36","MF","GO:0061134","peptidase regulator activity",197,1,0.1,38,0.0927,0.0927,0.0050761421319797,"Pttg1"
"37","MF","GO:0061630","ubiquitin protein ligase activity",225,1,0.11,39,0.1052,0.1052,0.00444444444444444,"Rnf220"
"38","MF","GO:0061659","ubiquitin-like protein ligase activity",233,1,0.11,40,0.1087,0.1087,0.00429184549356223,"Rnf220"
"39","MF","GO:0005096","GTPase activator activity",235,1,0.12,41,0.1096,0.1096,0.00425531914893617,"Tbc1d1"
"40","MF","GO:0005488","binding",11858,8,5.82,42,0.117,0.117,0.000674650025299376,"Pttg1, Fth1, Rnf220, Hunk, Tbc1d1, Homer1, Etv5, St18"
"41","MF","GO:0030695","GTPase regulator activity",253,1,0.12,43,0.1176,0.1176,0.00395256916996047,"Tbc1d1"
"42","MF","GO:0016757","transferase activity, transferring glyco...",261,1,0.13,44,0.1211,0.1211,0.00383141762452107,"Ndst4"
"43","MF","GO:0001664","G protein-coupled receptor binding",266,1,0.13,45,0.1233,0.1233,0.0037593984962406,"Homer1"
"44","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.14,46,0.1341,0.1341,0.00343642611683849,"Tbc1d1"
"45","MF","GO:0004857","enzyme inhibitor activity",326,1,0.16,47,0.1491,0.1491,0.00306748466257669,"Pttg1"
"46","MF","GO:0004842","ubiquitin-protein transferase activity",367,1,0.18,48,0.1664,0.1664,0.00272479564032698,"Rnf220"
"47","MF","GO:0019787","ubiquitin-like protein transferase activ...",388,1,0.19,49,0.1751,0.1751,0.00257731958762887,"Rnf220"
"48","MF","GO:0098772","molecular function regulator",1565,2,0.77,50,0.1757,0.1757,0.0012779552715655,"Pttg1, Tbc1d1"
"49","MF","GO:0017016","Ras GTPase binding",403,1,0.2,51,0.1813,0.1813,0.00248138957816377,"Tbc1d1"
"50","MF","GO:0031267","small GTPase binding",418,1,0.21,52,0.1875,0.1875,0.00239234449760766,"Tbc1d1"
"51","MF","GO:0004674","protein serine/threonine kinase activity",435,1,0.21,53,0.1944,0.1944,0.00229885057471264,"Hunk"
"52","MF","GO:0008047","enzyme activator activity",436,1,0.21,54,0.1948,0.1948,0.00229357798165138,"Tbc1d1"
"53","MF","GO:0046872","metal ion binding",3326,3,1.63,55,0.2139,0.2139,0.00090198436560433,"Fth1, Rnf220, St18"
"54","MF","GO:0042802","identical protein binding",1795,2,0.88,56,0.2179,0.2179,0.0011142061281337,"Fth1, Homer1"
"55","MF","GO:0051020","GTPase binding",511,1,0.25,57,0.2246,0.2246,0.00195694716242661,"Tbc1d1"
"56","MF","GO:0003677","DNA binding",1834,2,0.9,58,0.2252,0.2252,0.00109051254089422,"Etv5, St18"
"57","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,1,0.25,59,0.2254,0.2254,0.00194931773879142,"St18"
"58","MF","GO:0043169","cation binding",3418,3,1.68,60,0.2265,0.2265,0.000877706260971328,"Fth1, Rnf220, St18"
"59","MF","GO:0046982","protein heterodimerization activity",520,1,0.26,61,0.2282,0.2282,0.00192307692307692,"Homer1"
"60","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,1,0.26,62,0.2301,0.2301,0.0019047619047619,"St18"
"61","MF","GO:0043167","ion binding",5224,4,2.56,63,0.2366,0.2366,0.000765696784073507,"Fth1, Rnf220, Hunk, St18"
"62","MF","GO:0005198","structural molecule activity",568,1,0.28,64,0.2467,0.2467,0.00176056338028169,"Homer1"
"63","MF","GO:0004672","protein kinase activity",584,1,0.29,65,0.2528,0.2528,0.00171232876712329,"Hunk"
"64","MF","GO:0003824","catalytic activity",5396,4,2.65,66,0.2573,0.2573,0.000741289844329133,"Fth1, Rnf220, Hunk, Ndst4"
"65","MF","GO:0140096","catalytic activity, acting on a protein",2044,2,1,67,0.2651,0.2651,0.000978473581213307,"Rnf220, Hunk"
"66","MF","GO:0008270","zinc ion binding",651,1,0.32,68,0.2778,0.2778,0.00153609831029186,"St18"
"67","MF","GO:0016773","phosphotransferase activity, alcohol gro...",682,1,0.33,69,0.2891,0.2891,0.00146627565982405,"Hunk"
"68","MF","GO:0016491","oxidoreductase activity",714,1,0.35,70,0.3006,0.3006,0.00140056022408964,"Fth1"
"69","MF","GO:0016301","kinase activity",740,1,0.36,71,0.3098,0.3098,0.00135135135135135,"Hunk"
"70","MF","GO:0019904","protein domain specific binding",762,1,0.37,72,0.3176,0.3176,0.00131233595800525,"Pttg1"
"71","MF","GO:0016772","transferase activity, transferring phosp...",880,1,0.43,73,0.3577,0.3577,0.00113636363636364,"Hunk"
"72","MF","GO:0005515","protein binding",8273,5,4.06,74,0.3814,0.3814,0.00060437567992264,"Pttg1, Fth1, Rnf220, Tbc1d1, Homer1"
"73","MF","GO:1901363","heterocyclic compound binding",4665,3,2.29,75,0.4117,0.4117,0.000643086816720257,"Hunk, Etv5, St18"
"74","MF","GO:0003676","nucleic acid binding",2829,2,1.39,76,0.4153,0.4153,0.000706963591375044,"Etv5, St18"
"75","MF","GO:0097159","organic cyclic compound binding",4747,3,2.33,77,0.4242,0.4242,0.000631978091426164,"Hunk, Etv5, St18"
"76","MF","GO:0044877","protein-containing complex binding",1185,1,0.58,78,0.452,0.452,0.000843881856540084,"Pttg1"
"77","MF","GO:0046983","protein dimerization activity",1311,1,0.64,79,0.4872,0.4872,0.0007627765064836,"Homer1"
"78","MF","GO:0005524","ATP binding",1357,1,0.67,80,0.4995,0.4995,0.000736919675755343,"Hunk"
"79","MF","GO:0032559","adenyl ribonucleotide binding",1418,1,0.7,81,0.5155,0.5155,0.000705218617771509,"Hunk"
"80","MF","GO:0030554","adenyl nucleotide binding",1428,1,0.7,82,0.518,0.518,0.000700280112044818,"Hunk"
"81","MF","GO:0005102","signaling receptor binding",1472,1,0.72,83,0.5292,0.5292,0.000679347826086957,"Homer1"
"82","MF","GO:0008144","drug binding",1595,1,0.78,84,0.5592,0.5592,0.000626959247648903,"Hunk"
"83","MF","GO:0035639","purine ribonucleoside triphosphate bindi...",1665,1,0.82,85,0.5755,0.5755,0.000600600600600601,"Hunk"
"84","MF","GO:0032555","purine ribonucleotide binding",1736,1,0.85,86,0.5915,0.5915,0.000576036866359447,"Hunk"
"85","MF","GO:0017076","purine nucleotide binding",1747,1,0.86,87,0.594,0.594,0.000572409845449342,"Hunk"
"86","MF","GO:0032553","ribonucleotide binding",1752,1,0.86,88,0.5951,0.5951,0.000570776255707763,"Hunk"
"87","MF","GO:1901265","nucleoside phosphate binding",1969,1,0.97,89,0.6404,0.6404,0.000507872016251904,"Hunk"
"88","MF","GO:0000166","nucleotide binding",1969,1,0.97,90,0.6404,0.6404,0.000507872016251904,"Hunk"
"89","MF","GO:0097367","carbohydrate derivative binding",2036,1,1,91,0.6534,0.6534,0.000491159135559921,"Hunk"
"90","MF","GO:0019899","enzyme binding",2238,1,1.1,92,0.6902,0.6902,0.000446827524575514,"Tbc1d1"
"91","MF","GO:0036094","small molecule binding",2316,1,1.14,93,0.7035,0.7035,0.000431778929188256,"Hunk"
"92","MF","GO:0016787","hydrolase activity",2345,1,1.15,94,0.7082,0.7082,0.000426439232409382,"Ndst4"
"93","MF","GO:0043168","anion binding",2593,1,1.27,95,0.7465,0.7465,0.000385653682992673,"Hunk"
"94","MF","GO:0003674","molecular_function",18336,9,9,96,1,1,0.000490837696335079,"Pttg1, Fth1, Rnf220, Hunk, Tbc1d1, Homer1, Etv5, St18, Ndst4"
"95","MF","GO:0140110","transcription regulator activity",1230,3,0.6,6,1,0.0186,0.0024390243902439,"Pttg1, Etv5, St18"
"96","MF","GO:0003700","DNA-binding transcription factor activit...",882,3,0.43,2,1,0.0075,0.00340136054421769,"Pttg1, Etv5, St18"
"97","MF","GO:0000030","mannosyltransferase activity",26,0,0.01,97,1,1,0,""
"98","MF","GO:0000049","tRNA binding",57,0,0.03,98,1,1,0,""
"99","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0.01,99,1,1,0,""
"100","MF","GO:0000149","SNARE binding",116,0,0.06,100,1,1,0,""
"101","BP","GO:0008285","negative regulation of cell proliferatio...",646,3,0.32,1,0.0031,0.0031,0.00464396284829721,"Pttg1, Fth1, St18"
"102","BP","GO:0099173","postsynapse organization",193,2,0.09,2,0.0038,0.0038,0.0103626943005181,"Homer1, Etv5"
"103","BP","GO:0050807","regulation of synapse organization",262,2,0.13,4,0.0068,0.0068,0.00763358778625954,"Homer1, Etv5"
"104","BP","GO:0060252","positive regulation of glial cell prolif...",20,1,0.01,7,0.0098,0.0098,0.05,"Etv5"
"105","BP","GO:0070498","interleukin-1-mediated signaling pathway",20,1,0.01,8,0.0098,0.0098,0.05,"St18"
"106","BP","GO:0097062","dendritic spine maintenance",22,1,0.01,9,0.0107,0.0107,0.0454545454545455,"Homer1"
"107","BP","GO:0048148","behavioral response to cocaine",22,1,0.01,10,0.0107,0.0107,0.0454545454545455,"Homer1"
"108","BP","GO:0002115","store-operated calcium entry",22,1,0.01,11,0.0107,0.0107,0.0454545454545455,"Homer1"
"109","BP","GO:0007064","mitotic sister chromatid cohesion",23,1,0.01,12,0.0112,0.0112,0.0434782608695652,"Pttg1"
"110","BP","GO:0071354","cellular response to interleukin-6",26,1,0.01,13,0.0127,0.0127,0.0384615384615385,"St18"
"111","BP","GO:0070741","response to interleukin-6",27,1,0.01,14,0.0131,0.0131,0.037037037037037,"St18"
"112","BP","GO:0060444","branching involved in mammary gland duct...",28,1,0.01,15,0.0136,0.0136,0.0357142857142857,"Etv5"
"113","BP","GO:0015012","heparan sulfate proteoglycan biosyntheti...",30,1,0.01,16,0.0146,0.0146,0.0333333333333333,"Ndst4"
"114","BP","GO:0007274","neuromuscular synaptic transmission",32,1,0.02,17,0.0156,0.0156,0.03125,"Etv5"
"115","BP","GO:0048147","negative regulation of fibroblast prolif...",33,1,0.02,18,0.0161,0.0161,0.0303030303030303,"Fth1"
"116","BP","GO:0030201","heparan sulfate proteoglycan metabolic p...",35,1,0.02,19,0.017,0.017,0.0285714285714286,"Ndst4"
