"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0045296","cadherin binding",66,5,0.27,2,6.9e-06,6.9e-06,0.0757575757575758,"Ptprt, Cdh18, Ptprm, Cdh10, Cdh20"
"2","MF","GO:0005096","GTPase activator activity",235,6,0.95,4,0.00037,0.00037,0.025531914893617,"Rgs6, Asap1, Dlc1, Arhgap26, Rgs20, Garnl3"
"3","MF","GO:0008092","cytoskeletal protein binding",945,12,3.81,5,0.00037,0.00037,0.0126984126984127,"Fhod3, Camk2d, Cryab, Adcy8, Ptprt, Cdh18, Dlc1, Cdh10, Eml1, Agbl4, Oprm1, Cdh20"
"4","MF","GO:0008201","heparin binding",144,4,0.58,11,0.00274,0.00274,0.0277777777777778,"Fgf1, Lrtm1, Rspo2, Col23a1"
"5","MF","GO:0042803","protein homodimerization activity",894,10,3.61,12,0.00306,0.00306,0.0111856823266219,"Camk2d, Tenm4, Cryab, Adcy8, Ptprt, Tenm3, Cdh18, Cdh10, Cdh20, Col23a1"
"6","MF","GO:0004181","metallocarboxypeptidase activity",23,2,0.09,13,0.00385,0.00385,0.0869565217391304,"Cpa6, Agbl4"
"7","MF","GO:0050839","cell adhesion molecule binding",237,9,0.96,1,0.00399,4.6e-07,0.0379746835443038,"Lrrc4c, Tenm4, Fgf1, Ptprt, Tenm3, Cdh18, Ptprm, Cdh10, Cdh20"
"8","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,3,0.35,14,0.00508,0.00508,0.0348837209302326,"Mef2c, Cux1, Pbx3"
"9","MF","GO:0008066","glutamate receptor activity",27,2,0.11,15,0.00528,0.00528,0.0740740740740741,"Gria4, Grm8"
"10","MF","GO:0098632","cell-cell adhesion mediator activity",30,2,0.12,16,0.0065,0.0065,0.0666666666666667,"Lrrc4c, Cntn5"
"11","MF","GO:0005509","calcium ion binding",574,7,2.32,18,0.00836,0.00836,0.0121951219512195,"Necab1, Pcdh15, Unc13c, Vsnl1, Cdh18, Cdh10, Cdh20"
"12","MF","GO:0099528","G protein-coupled neurotransmitter recep...",37,2,0.15,21,0.00977,0.00977,0.0540540540540541,"Chrm2, Oprm1"
"13","MF","GO:0042169","SH2 domain binding",39,2,0.16,23,0.01081,0.01081,0.0512820512820513,"Dlc1, Khdrbs2"
"14","MF","GO:0019904","protein domain specific binding",762,8,3.08,26,0.01153,0.01153,0.010498687664042,"Rgs6, Cit, Elmo1, Mef2c, Dlc1, Khdrbs2, Oprm1, Ldb2"
