"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005515","protein binding",8273,12,6.77,1,0.0065,0.0065,0.00145050163181434,"Ebf1, Kcnip3, Cryab, D7Ertd443e, Prr5l, Unc5d, Fnbp1, Dnajc6, Grk3, Tenm4, Cntn2, Itga9"
"2","MF","GO:0005212","structural constituent of eye lens",20,1,0.02,2,0.0162,0.0162,0.05,"Cryab"
"3","MF","GO:0046983","protein dimerization activity",1311,4,1.07,3,0.0188,0.0188,0.0030511060259344,"Ebf1, Kcnip3, Cryab, Tenm4"
"4","MF","GO:0050780","dopamine receptor binding",24,1,0.02,4,0.0195,0.0195,0.0416666666666667,"Grk3"
"5","MF","GO:0043236","laminin binding",28,1,0.02,5,0.0227,0.0227,0.0357142857142857,"Itga9"
"6","MF","GO:0051393","alpha-actinin binding",37,1,0.03,6,0.0299,0.0299,0.027027027027027,"D7Ertd443e"
"7","MF","GO:0042803","protein homodimerization activity",894,3,0.73,7,0.0339,0.0339,0.00335570469798658,"Kcnip3, Cryab, Tenm4"
"8","MF","GO:0015459","potassium channel regulator activity",47,1,0.04,8,0.0378,0.0378,0.0212765957446809,"Kcnip3"
"9","MF","GO:0042805","actinin binding",48,1,0.04,9,0.0386,0.0386,0.0208333333333333,"D7Ertd443e"
"10","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,1,0.04,10,0.0386,0.0386,0.0208333333333333,"Kcnip3"
"11","MF","GO:0030276","clathrin binding",52,1,0.04,11,0.0417,0.0417,0.0192307692307692,"Dnajc6"
"12","MF","GO:0050840","extracellular matrix binding",56,1,0.05,12,0.0449,0.0449,0.0178571428571429,"Itga9"
"13","MF","GO:0001540","amyloid-beta binding",57,1,0.05,13,0.0456,0.0456,0.0175438596491228,"Cryab"
"14","MF","GO:0001047","core promoter binding",60,1,0.05,14,0.048,0.048,0.0166666666666667,"Kcnip3"
"15","MF","GO:0043621","protein self-association",61,1,0.05,15,0.0488,0.0488,0.0163934426229508,"Cntn2"
"16","MF","GO:0042802","identical protein binding",1795,4,1.47,16,0.0519,0.0519,0.00222841225626741,"Kcnip3, Cryab, Fnbp1, Tenm4"
"17","MF","GO:0005518","collagen binding",68,1,0.06,17,0.0542,0.0542,0.0147058823529412,"Itga9"
"18","MF","GO:0048306","calcium-dependent protein binding",71,1,0.06,18,0.0566,0.0566,0.0140845070422535,"Kcnip3"
"19","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,2,0.42,19,0.0645,0.0645,0.00389863547758285,"Ebf1, Kcnip3"
"20","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,2,0.43,20,0.0672,0.0672,0.00380952380952381,"Ebf1, Kcnip3"
"21","MF","GO:0004725","protein tyrosine phosphatase activity",95,1,0.08,21,0.075,0.075,0.0105263157894737,"Dnajc6"
"22","MF","GO:0051082","unfolded protein binding",96,1,0.08,22,0.0757,0.0757,0.0104166666666667,"Cryab"
"23","MF","GO:0005198","structural molecule activity",568,2,0.46,23,0.0771,0.0771,0.00352112676056338,"Cryab, Mal"
"24","MF","GO:0099106","ion channel regulator activity",107,1,0.09,24,0.0841,0.0841,0.00934579439252336,"Kcnip3"
"25","MF","GO:0042826","histone deacetylase binding",119,1,0.1,25,0.0931,0.0931,0.00840336134453781,"D7Ertd443e"
"26","MF","GO:0005267","potassium channel activity",121,1,0.1,26,0.0946,0.0946,0.00826446280991736,"Kcnip3"
"27","MF","GO:0017124","SH3 domain binding",126,1,0.1,27,0.0983,0.0983,0.00793650793650794,"Dnajc6"
"28","MF","GO:0000981","DNA-binding transcription factor activit...",669,2,0.55,28,0.1021,0.1021,0.00298953662182362,"Ebf1, Kcnip3"
"29","MF","GO:0044325","ion channel binding",136,1,0.11,29,0.1057,0.1057,0.00735294117647059,"Kcnip3"
"30","MF","GO:0016247","channel regulator activity",136,1,0.11,30,0.1057,0.1057,0.00735294117647059,"Kcnip3"
"31","MF","GO:0015079","potassium ion transmembrane transporter ...",157,1,0.13,31,0.1211,0.1211,0.00636942675159236,"Kcnip3"
"32","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,2,0.61,32,0.1219,0.1219,0.00268817204301075,"Ebf1, Kcnip3"
"33","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,2,0.62,33,0.1241,0.1241,0.00265957446808511,"Ebf1, Kcnip3"
"34","MF","GO:0019904","protein domain specific binding",762,2,0.62,34,0.1268,0.1268,0.0026246719160105,"Ebf1, Dnajc6"
"35","MF","GO:0004721","phosphoprotein phosphatase activity",168,1,0.14,35,0.129,0.129,0.00595238095238095,"Dnajc6"
"36","MF","GO:0000976","transcription regulatory region sequence...",786,2,0.64,36,0.1334,0.1334,0.00254452926208651,"Ebf1, Kcnip3"
"37","MF","GO:0000287","magnesium ion binding",187,1,0.15,37,0.1426,0.1426,0.0053475935828877,"Kcnip3"
"38","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,2,0.68,38,0.1452,0.1452,0.00241545893719807,"Ebf1, Kcnip3"
"39","MF","GO:0022832","voltage-gated channel activity",191,1,0.16,39,0.1454,0.1454,0.00523560209424084,"Kcnip3"
"40","MF","GO:0005244","voltage-gated ion channel activity",191,1,0.16,40,0.1454,0.1454,0.00523560209424084,"Kcnip3"
"41","MF","GO:0003700","DNA-binding transcription factor activit...",882,2,0.72,41,0.1607,0.1607,0.00226757369614512,"Ebf1, Kcnip3"
"42","MF","GO:0001227","DNA-binding transcription repressor acti...",215,1,0.18,42,0.1622,0.1622,0.00465116279069767,"Kcnip3"
"43","MF","GO:0044212","transcription regulatory region DNA bind...",892,2,0.73,43,0.1636,0.1636,0.00224215246636771,"Ebf1, Kcnip3"
"44","MF","GO:0001067","regulatory region nucleic acid binding",896,2,0.73,44,0.1648,0.1648,0.00223214285714286,"Ebf1, Kcnip3"
"45","MF","GO:0003690","double-stranded DNA binding",903,2,0.74,46,0.1669,0.1669,0.00221483942414175,"Ebf1, Kcnip3"
"46","MF","GO:0061630","ubiquitin protein ligase activity",225,1,0.18,47,0.1691,0.1691,0.00444444444444444,"D7Ertd443e"
"47","MF","GO:0008022","protein C-terminus binding",232,1,0.19,48,0.1739,0.1739,0.00431034482758621,"Kcnip3"
"48","MF","GO:0008017","microtubule binding",232,1,0.19,49,0.1739,0.1739,0.00431034482758621,"Cryab"
"49","MF","GO:0061659","ubiquitin-like protein ligase activity",233,1,0.19,50,0.1746,0.1746,0.00429184549356223,"D7Ertd443e"
"50","MF","GO:0050839","cell adhesion molecule binding",237,1,0.19,51,0.1773,0.1773,0.00421940928270042,"Tenm4"
"51","MF","GO:0008092","cytoskeletal protein binding",945,2,0.77,52,0.1792,0.1792,0.00211640211640212,"Cryab, D7Ertd443e"
"52","MF","GO:0030246","carbohydrate binding",250,1,0.2,53,0.1862,0.1862,0.004,"Cntn2"
"53","MF","GO:0016791","phosphatase activity",254,1,0.21,54,0.1889,0.1889,0.00393700787401575,"Dnajc6"
"54","MF","GO:0001664","G protein-coupled receptor binding",266,1,0.22,55,0.1969,0.1969,0.0037593984962406,"Grk3"
"55","MF","GO:0043565","sequence-specific DNA binding",1011,2,0.83,56,0.199,0.199,0.0019782393669634,"Ebf1, Kcnip3"
"56","MF","GO:0042277","peptide binding",270,1,0.22,57,0.1996,0.1996,0.0037037037037037,"Cryab"
"57","MF","GO:0031625","ubiquitin protein ligase binding",288,1,0.24,58,0.2115,0.2115,0.00347222222222222,"Prr5l"
"58","MF","GO:0044389","ubiquitin-like protein ligase binding",306,1,0.25,59,0.2232,0.2232,0.00326797385620915,"Prr5l"
"59","MF","GO:0005261","cation channel activity",310,1,0.25,60,0.2258,0.2258,0.0032258064516129,"Kcnip3"
"60","MF","GO:0140096","catalytic activity, acting on a protein",2044,3,1.67,61,0.2298,0.2298,0.00146771037181996,"D7Ertd443e, Dnajc6, Grk3"
"61","MF","GO:0022839","ion gated channel activity",317,1,0.26,62,0.2303,0.2303,0.00315457413249211,"Kcnip3"
"62","MF","GO:0015631","tubulin binding",327,1,0.27,63,0.2366,0.2366,0.00305810397553517,"Cryab"
"63","MF","GO:0022836","gated channel activity",329,1,0.27,64,0.2379,0.2379,0.00303951367781155,"Kcnip3"
"64","MF","GO:0033218","amide binding",333,1,0.27,65,0.2404,0.2404,0.003003003003003,"Cryab"
"65","MF","GO:0042578","phosphoric ester hydrolase activity",343,1,0.28,66,0.2468,0.2468,0.00291545189504373,"Dnajc6"
"66","MF","GO:0015077","monovalent inorganic cation transmembran...",347,1,0.28,67,0.2493,0.2493,0.00288184438040346,"Kcnip3"
"67","MF","GO:0044877","protein-containing complex binding",1185,2,0.97,68,0.2524,0.2524,0.00168776371308017,"Cryab, Itga9"
"68","MF","GO:0004842","ubiquitin-protein transferase activity",367,1,0.3,69,0.2617,0.2617,0.00272479564032698,"D7Ertd443e"
"69","MF","GO:0140110","transcription regulator activity",1230,2,1.01,70,0.2665,0.2665,0.0016260162601626,"Ebf1, Kcnip3"
"70","MF","GO:0019787","ubiquitin-like protein transferase activ...",388,1,0.32,71,0.2745,0.2745,0.00257731958762887,"D7Ertd443e"
"71","MF","GO:0001228","DNA-binding transcription activator acti...",389,1,0.32,72,0.2751,0.2751,0.0025706940874036,"Ebf1"
"72","MF","GO:0005216","ion channel activity",398,1,0.33,73,0.2806,0.2806,0.00251256281407035,"Kcnip3"
"73","MF","GO:0046872","metal ion binding",3326,4,2.72,74,0.2832,0.2832,0.00120264582080577,"Ebf1, Kcnip3, Cryab, Itga9"
"74","MF","GO:0022838","substrate-specific channel activity",406,1,0.33,75,0.2854,0.2854,0.00246305418719212,"Kcnip3"
"75","MF","GO:0046873","metal ion transmembrane transporter acti...",420,1,0.34,76,0.2937,0.2937,0.00238095238095238,"Kcnip3"
"76","MF","GO:0015267","channel activity",429,1,0.35,77,0.299,0.299,0.00233100233100233,"Kcnip3"
"77","MF","GO:0022803","passive transmembrane transporter activi...",429,1,0.35,78,0.299,0.299,0.00233100233100233,"Kcnip3"
"78","MF","GO:0043169","cation binding",3418,4,2.8,79,0.3014,0.3014,0.00117027501462844,"Ebf1, Kcnip3, Cryab, Itga9"
