"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004866","endopeptidase inhibitor activity",157,2,0.15,1,0.01,0.01,0.0127388535031847,"Spock3, Pttg1"
"2","MF","GO:0030414","peptidase inhibitor activity",165,2,0.16,2,0.011,0.011,0.0121212121212121,"Spock3, Pttg1"
"3","MF","GO:0061135","endopeptidase regulator activity",165,2,0.16,3,0.011,0.011,0.0121212121212121,"Spock3, Pttg1"
"4","MF","GO:0051015","actin filament binding",197,2,0.19,4,0.016,0.016,0.0101522842639594,"Shtn1, Gas7"
"5","MF","GO:0061134","peptidase regulator activity",197,2,0.19,5,0.016,0.016,0.0101522842639594,"Spock3, Pttg1"
"6","MF","GO:0050839","cell adhesion molecule binding",237,2,0.23,6,0.022,0.022,0.00843881856540084,"Shtn1, Cdh20"
"7","MF","GO:0030371","translation repressor activity",24,1,0.02,7,0.023,0.023,0.0416666666666667,"Samd4"
"8","MF","GO:0008198","ferrous iron binding",25,1,0.02,8,0.024,0.024,0.04,"Fth1"
"9","MF","GO:0044877","protein-containing complex binding",1185,4,1.16,9,0.026,0.026,0.00337552742616034,"Shtn1, Spock3, Pttg1, Gas7"
"10","MF","GO:0019706","protein-cysteine S-palmitoyltransferase ...",27,1,0.03,10,0.026,0.026,0.037037037037037,"Zdhhc14"
"11","MF","GO:0019707","protein-cysteine S-acyltransferase activ...",27,1,0.03,11,0.026,0.026,0.037037037037037,"Zdhhc14"
"12","MF","GO:0016417","S-acyltransferase activity",31,1,0.03,12,0.03,0.03,0.032258064516129,"Zdhhc14"
"13","MF","GO:0016409","palmitoyltransferase activity",36,1,0.04,13,0.035,0.035,0.0277777777777778,"Zdhhc14"
"14","MF","GO:0004857","enzyme inhibitor activity",326,2,0.32,14,0.04,0.04,0.00613496932515337,"Spock3, Pttg1"
"15","MF","GO:0019894","kinesin binding",49,1,0.05,15,0.047,0.047,0.0204081632653061,"Shtn1"
"16","MF","GO:0005548","phospholipid transporter activity",50,1,0.05,16,0.048,0.048,0.02,"Ano4"
"17","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,1,0.05,17,0.051,0.051,0.0188679245283019,"Pttg1"
"18","MF","GO:0050840","extracellular matrix binding",56,1,0.05,18,0.054,0.054,0.0178571428571429,"Spock3"
"19","MF","GO:0045182","translation regulator activity",56,1,0.05,19,0.054,0.054,0.0178571428571429,"Samd4"
"20","MF","GO:0046914","transition metal ion binding",893,3,0.88,20,0.054,0.054,0.00335946248600224,"St18, Fth1, Adamts2"
"21","MF","GO:0030234","enzyme regulator activity",894,3,0.88,21,0.055,0.055,0.00335570469798658,"Rcan2, Spock3, Pttg1"
"22","MF","GO:0043022","ribosome binding",61,1,0.06,22,0.058,0.058,0.0163934426229508,"Pttg1"
"23","MF","GO:0003779","actin binding",416,2,0.41,23,0.062,0.062,0.00480769230769231,"Shtn1, Gas7"
"24","MF","GO:0008092","cytoskeletal protein binding",945,3,0.93,24,0.062,0.062,0.00317460317460317,"Shtn1, Gas7, Cdh20"
"25","MF","GO:0045296","cadherin binding",66,1,0.06,25,0.063,0.063,0.0151515151515152,"Cdh20"
"26","MF","GO:0019888","protein phosphatase regulator activity",67,1,0.07,26,0.064,0.064,0.0149253731343284,"Rcan2"
"27","MF","GO:0005518","collagen binding",68,1,0.07,27,0.065,0.065,0.0147058823529412,"Spock3"
"28","MF","GO:0005488","binding",11858,15,11.64,28,0.074,0.074,0.00126496879743633,"Rnf220, St18, Shtn1, Rcan2, Ano4, Spock3, Pttg1, Dcc, Fth1, Samd4, Piezo2, Gas7, Cadm2, Cdh20, Adamts2"
"29","MF","GO:0019208","phosphatase regulator activity",80,1,0.08,29,0.076,0.076,0.0125,"Rcan2"
"30","MF","GO:0004222","metalloendopeptidase activity",95,1,0.09,30,0.089,0.089,0.0105263157894737,"Adamts2"
"31","MF","GO:0046872","metal ion binding",3326,6,3.27,31,0.092,0.092,0.00180396873120866,"Rnf220, St18, Spock3, Fth1, Cdh20, Adamts2"
"32","MF","GO:0043169","cation binding",3418,6,3.36,32,0.102,0.102,0.00175541252194266,"Rnf220, St18, Spock3, Fth1, Cdh20, Adamts2"
"33","MF","GO:0005509","calcium ion binding",574,2,0.56,33,0.108,0.108,0.00348432055749129,"Spock3, Cdh20"
"34","MF","GO:0140110","transcription regulator activity",1230,3,1.21,34,0.116,0.116,0.0024390243902439,"St18, Pttg1, Dcc"
"35","MF","GO:0017124","SH3 domain binding",126,1,0.12,35,0.117,0.117,0.00793650793650794,"Pttg1"
"36","MF","GO:0005319","lipid transporter activity",130,1,0.13,36,0.12,0.12,0.00769230769230769,"Ano4"
"37","MF","GO:0031072","heat shock protein binding",136,1,0.13,37,0.125,0.125,0.00735294117647059,"Pttg1"
"38","MF","GO:0005506","iron ion binding",142,1,0.14,38,0.131,0.131,0.00704225352112676,"Fth1"
"39","MF","GO:0008270","zinc ion binding",651,2,0.64,39,0.133,0.133,0.00307219662058372,"St18, Adamts2"
"40","MF","GO:0043021","ribonucleoprotein complex binding",145,1,0.14,40,0.133,0.133,0.00689655172413793,"Pttg1"
"41","MF","GO:0000981","DNA-binding transcription factor activit...",669,2,0.66,41,0.139,0.139,0.00298953662182362,"St18, Pttg1"
"42","MF","GO:0008237","metallopeptidase activity",165,1,0.16,42,0.15,0.15,0.00606060606060606,"Adamts2"
"43","MF","GO:0005539","glycosaminoglycan binding",192,1,0.19,43,0.173,0.173,0.00520833333333333,"Spock3"
"44","MF","GO:0098772","molecular function regulator",1565,3,1.54,44,0.195,0.195,0.00191693290734824,"Rcan2, Spock3, Pttg1"
"45","MF","GO:0016747","transferase activity, transferring acyl ...",225,1,0.22,45,0.199,0.199,0.00444444444444444,"Zdhhc14"
"46","MF","GO:0061630","ubiquitin protein ligase activity",225,1,0.22,46,0.199,0.199,0.00444444444444444,"Rnf220"
"47","MF","GO:0061659","ubiquitin-like protein ligase activity",233,1,0.23,47,0.206,0.206,0.00429184549356223,"Rnf220"
"48","MF","GO:0003700","DNA-binding transcription factor activit...",882,2,0.87,48,0.214,0.214,0.00226757369614512,"St18, Pttg1"
"49","MF","GO:0003729","mRNA binding",251,1,0.25,49,0.22,0.22,0.00398406374501992,"Samd4"
"50","MF","GO:0003713","transcription coactivator activity",252,1,0.25,50,0.221,0.221,0.00396825396825397,"Dcc"
"51","MF","GO:0016746","transferase activity, transferring acyl ...",257,1,0.25,51,0.224,0.224,0.00389105058365759,"Zdhhc14"
"52","MF","GO:0042802","identical protein binding",1795,3,1.76,52,0.256,0.256,0.00167130919220056,"Dcc, Fth1, Cdh20"
"53","MF","GO:0005515","protein binding",8273,10,8.12,53,0.256,0.256,0.00120875135984528,"Rnf220, Shtn1, Ano4, Pttg1, Dcc, Fth1, Piezo2, Gas7, Cadm2, Cdh20"
"54","MF","GO:0005261","cation channel activity",310,1,0.3,54,0.264,0.264,0.0032258064516129,"Piezo2"
"55","MF","GO:0005215","transporter activity",1055,2,1.04,55,0.278,0.278,0.0018957345971564,"Ano4, Piezo2"
"56","MF","GO:0022836","gated channel activity",329,1,0.32,56,0.278,0.278,0.00303951367781155,"Piezo2"
"57","MF","GO:0004842","ubiquitin-protein transferase activity",367,1,0.36,57,0.305,0.305,0.00272479564032698,"Rnf220"
"58","MF","GO:0004175","endopeptidase activity",374,1,0.37,58,0.31,0.31,0.00267379679144385,"Adamts2"
"59","MF","GO:0019787","ubiquitin-like protein transferase activ...",388,1,0.38,59,0.32,0.32,0.00257731958762887,"Rnf220"
"60","MF","GO:0001228","DNA-binding transcription activator acti...",389,1,0.38,60,0.32,0.32,0.0025706940874036,"St18"
"61","MF","GO:0140096","catalytic activity, acting on a protein",2044,3,2.01,61,0.325,0.325,0.00146771037181996,"Rnf220, Zdhhc14, Adamts2"
