"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:1990841","promoter-specific chromatin binding",48,2,0.08,2,0.003,0.003,0.0416666666666667,"Gli2, Sox10"
"2","MF","GO:0001228","DNA-binding transcription activator acti...",389,4,0.66,3,0.004,0.004,0.0102827763496144,"Gli2, Etv5, Sox10, Onecut2"
"3","MF","GO:0008017","microtubule binding",232,3,0.39,5,0.0069,0.0069,0.0129310344827586,"Eml1, Cryab, Nav3"
"4","MF","GO:0005179","hormone activity",101,2,0.17,6,0.0126,0.0126,0.0198019801980198,"Ttr, Vip"
"5","MF","GO:0008324","cation transmembrane transporter activit...",599,4,1.01,7,0.0176,0.0176,0.00667779632721202,"Pex5l, Kcnab1, Slc38a2, Slc8a1"
"6","MF","GO:0044325","ion channel binding",136,2,0.23,8,0.0221,0.0221,0.0147058823529412,"Kcnab1, Slc8a1"
"7","MF","GO:0022857","transmembrane transporter activity",974,5,1.65,9,0.0225,0.0225,0.00513347022587269,"Pex5l, Kcnab1, Slc38a2, Gjc3, Slc8a1"
"8","MF","GO:0005215","transporter activity",1055,5,1.78,11,0.0305,0.0305,0.004739336492891,"Pex5l, Kcnab1, Slc38a2, Gjc3, Slc8a1"
"9","MF","GO:0005212","structural constituent of eye lens",20,1,0.03,12,0.0333,0.0333,0.05,"Cryab"
"10","MF","GO:0022829","wide pore channel activity",21,1,0.04,13,0.0349,0.0349,0.0476190476190476,"Gjc3"
"11","MF","GO:0005184","neuropeptide hormone activity",21,1,0.04,14,0.0349,0.0349,0.0476190476190476,"Vip"
"12","MF","GO:0015267","channel activity",429,3,0.73,15,0.0352,0.0352,0.00699300699300699,"Pex5l, Kcnab1, Gjc3"
"13","MF","GO:0022803","passive transmembrane transporter activi...",429,3,0.73,16,0.0352,0.0352,0.00699300699300699,"Pex5l, Kcnab1, Gjc3"
"14","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,4,1.26,17,0.0355,0.0355,0.00537634408602151,"Gli2, Etv5, Sox10, Onecut2"
"15","MF","GO:0030506","ankyrin binding",22,1,0.04,18,0.0366,0.0366,0.0454545454545455,"Slc8a1"
"16","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,4,1.27,19,0.0367,0.0367,0.00531914893617021,"Gli2, Etv5, Sox10, Onecut2"
"17","MF","GO:0015318","inorganic molecular entity transmembrane...",762,4,1.29,20,0.0382,0.0382,0.005249343832021,"Pex5l, Kcnab1, Slc38a2, Slc8a1"
"18","MF","GO:0015491","cation:cation antiporter activity",24,1,0.04,21,0.0398,0.0398,0.0416666666666667,"Slc8a1"
"19","MF","GO:0000976","transcription regulatory region sequence...",786,4,1.33,22,0.0421,0.0421,0.00508905852417303,"Gli2, Etv5, Sox10, Onecut2"
"20","MF","GO:0004033","aldo-keto reductase (NADP) activity",26,1,0.04,23,0.0431,0.0431,0.0384615384615385,"Kcnab1"
"21","MF","GO:0005501","retinoid binding",26,1,0.04,24,0.0431,0.0431,0.0384615384615385,"Ptgds"
"22","MF","GO:0015298","solute:cation antiporter activity",29,1,0.05,25,0.0479,0.0479,0.0344827586206897,"Slc8a1"
"23","MF","GO:0015075","ion transmembrane transporter activity",821,4,1.39,26,0.0481,0.0481,0.0048721071863581,"Pex5l, Kcnab1, Slc38a2, Slc8a1"
"24","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,4,1.4,27,0.0494,0.0494,0.00483091787439614,"Gli2, Etv5, Sox10, Onecut2"
"25","MF","GO:0015175","neutral amino acid transmembrane transpo...",31,1,0.05,28,0.0511,0.0511,0.032258064516129,"Slc38a2"
"26","MF","GO:0019840","isoprenoid binding",31,1,0.05,29,0.0511,0.0511,0.032258064516129,"Ptgds"
"27","MF","GO:0036002","pre-mRNA binding",31,1,0.05,30,0.0511,0.0511,0.032258064516129,"Celf2"
"28","MF","GO:0005217","intracellular ligand-gated ion channel a...",31,1,0.05,31,0.0511,0.0511,0.032258064516129,"Pex5l"
"29","MF","GO:0008175","tRNA methyltransferase activity",32,1,0.05,32,0.0528,0.0528,0.03125,"Nsun6"
"30","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,3,0.87,33,0.0549,0.0549,0.00584795321637427,"Gli2, Sox10, Onecut2"
"31","MF","GO:0015291","secondary active transmembrane transport...",226,2,0.38,34,0.0557,0.0557,0.00884955752212389,"Slc38a2, Slc8a1"
"32","MF","GO:0001965","G-protein alpha-subunit binding",35,1,0.06,35,0.0576,0.0576,0.0285714285714286,"Adgrv1"
"33","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,3,0.89,36,0.058,0.058,0.00571428571428571,"Gli2, Sox10, Onecut2"
"34","MF","GO:0044212","transcription regulatory region DNA bind...",892,4,1.51,38,0.0618,0.0618,0.00448430493273543,"Gli2, Etv5, Sox10, Onecut2"
"35","MF","GO:0043014","alpha-tubulin binding",38,1,0.06,39,0.0623,0.0623,0.0263157894736842,"Pacrg"
"36","MF","GO:0005048","signal sequence binding",38,1,0.06,40,0.0623,0.0623,0.0263157894736842,"Pex5l"
"37","MF","GO:0001067","regulatory region nucleic acid binding",896,4,1.51,41,0.0626,0.0626,0.00446428571428571,"Gli2, Etv5, Sox10, Onecut2"
"38","MF","GO:0003690","double-stranded DNA binding",903,4,1.53,42,0.064,0.064,0.0044296788482835,"Gli2, Etv5, Sox10, Onecut2"
"39","MF","GO:0022890","inorganic cation transmembrane transport...",552,3,0.93,43,0.0655,0.0655,0.00543478260869565,"Pex5l, Kcnab1, Slc8a1"
"40","MF","GO:0005504","fatty acid binding",41,1,0.07,44,0.0671,0.0671,0.024390243902439,"Ptgds"
"41","MF","GO:0048487","beta-tubulin binding",42,1,0.07,45,0.0687,0.0687,0.0238095238095238,"Pacrg"
"42","MF","GO:0050661","NADP binding",44,1,0.07,46,0.0718,0.0718,0.0227272727272727,"Kcnab1"
"43","MF","GO:0051879","Hsp90 protein binding",46,1,0.08,47,0.075,0.075,0.0217391304347826,"Pacrg"
"44","MF","GO:0042277","peptide binding",270,2,0.46,48,0.076,0.076,0.00740740740740741,"Pex5l, Cryab"
"45","MF","GO:0016860","intramolecular oxidoreductase activity",47,1,0.08,49,0.0765,0.0765,0.0212765957446809,"Ptgds"
"46","MF","GO:0015459","potassium channel regulator activity",47,1,0.08,50,0.0765,0.0765,0.0212765957446809,"Kcnab1"
