"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005515","protein binding",8273,70,48.28,2,0.00023,1.8e-05,0.00846125951891696,"Cit, Prickle1, Ahi1, Cntn6, Sorbs1, Ephb1, Lrtm1, Phactr1, Iqsec1, Igsf9b, Hcn1, Ptprg, Gprasp1, Irf3, Fgf1, Pcdh7, Kcnq5, Paxbp1, Sox5, Afdn, Mycbp2, Fhod3, Chrm2, Gria4, Rbfox1, Cdh10, Tagln, Cdh12, Rgs6, Tacc1, Rapgef4, Khdrbs3, Sycp2, Pttg1, Fgf14, Mettl23, Dvl1, Rora, Hpse2, Pten, Pde4d, Ptpn9, Agbl4, Dlgap2, Epb41, Arpp21, Preb, Stat2, Zfp384, Acta2, Cacna1a, Kcnb2, Chd5, Hcrtr2, Dgki, Psme4, Nedd9, Crtc3, Hspa4l, Clcn1, Rph3a, Ptprn2, Myt1l, Ccsap, Tshz2, Plcb1, Abca7, Fermt1, Trpc5, Mgll"
"2","MF","GO:0004725","protein tyrosine phosphatase activity",95,5,0.55,3,0.00024,0.00024,0.0526315789473684,"Ptprg, Acp1, Pten, Ptpn9, Ptprn2"
"3","MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate bi...",78,4,0.46,13,0.00112,0.00112,0.0512820512820513,"Gsdme, Hcn1, Rph3a, Plcb1"
"4","MF","GO:0043178","alcohol binding",79,4,0.46,14,0.00118,0.00118,0.0506329113924051,"Osbpl6, Stard5, Rph3a, Trpc5"
"5","MF","GO:0022843","voltage-gated cation channel activity",143,5,0.83,15,0.00151,0.00151,0.034965034965035,"Hcn1, Kcnq5, Cacna2d3, Cacna1a, Kcnb2"
"6","MF","GO:0032934","sterol binding",49,3,0.29,17,0.00293,0.00293,0.0612244897959184,"Osbpl6, Rora, Stard5"
"7","MF","GO:0005516","calmodulin binding",183,5,1.07,22,0.00439,0.00439,0.0273224043715847,"Kcnq5, Epb41, Arpp21, Cacna1a, Plcb1"
"8","MF","GO:0005262","calcium channel activity",118,4,0.69,23,0.00505,0.00505,0.0338983050847458,"Cacna2d3, Cacna1a, Fam155a, Trpc5"
"9","MF","GO:0000981","DNA-binding transcription factor activit...",669,10,3.9,24,0.00573,0.00573,0.0149476831091181,"Zfp692, Irf3, Sox5, Pttg1, Rora, Preb, Stat2, Zfp384, Hivep2, Myt1l"
"10","MF","GO:0017124","SH3 domain binding",126,4,0.74,25,0.00636,0.00636,0.0317460317460317,"Cit, Khdrbs3, Pttg1, Zfp384"
"11","MF","GO:0030552","cAMP binding",21,2,0.12,26,0.00659,0.00659,0.0952380952380952,"Hcn1, Rapgef4"
"12","MF","GO:0051020","GTPase binding",511,8,2.98,29,0.01012,0.01012,0.0156555772994129,"Iqsec1, Afdn, Mycbp2, Rapgef4, Dvl1, Preb, Dgki, Rph3a"
"13","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,8,2.99,30,0.01035,0.01035,0.0155945419103314,"Zfp692, Irf3, Paxbp1, Rora, Stat2, Zfp384, Hivep2, Myt1l"
"14","MF","GO:0003779","actin binding",416,7,2.43,32,0.01102,0.01102,0.0168269230769231,"Phactr1, Afdn, Fhod3, Tagln, Epb41, Fermt1, Trpc5"
"15","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,8,3.06,34,0.01178,0.01178,0.0152380952380952,"Zfp692, Irf3, Paxbp1, Rora, Stat2, Zfp384, Hivep2, Myt1l"
"16","MF","GO:0015248","sterol transporter activity",29,2,0.17,35,0.01236,0.01236,0.0689655172413793,"Osbpl6, Stard5"
"17","MF","GO:0005251","delayed rectifier potassium channel acti...",30,2,0.18,36,0.01319,0.01319,0.0666666666666667,"Kcnq5, Kcnb2"
"18","MF","GO:0005249","voltage-gated potassium channel activity",85,3,0.5,37,0.0135,0.0135,0.0352941176470588,"Hcn1, Kcnq5, Kcnb2"
"19","MF","GO:0030695","GTPase regulator activity",253,5,1.48,41,0.01638,0.01638,0.0197628458498024,"Rgs6, Preb, Dgki, Plcb1, Arap2"
