"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,5,0.43,1,7.1e-05,7.1e-05,0.087719298245614,"Epha3, Ephb1, Ephb2, Flt3, Kit"
"2","MF","GO:0001227","DNA-binding transcription repressor acti...",215,7,1.63,8,0.0013,0.00128,0.0325581395348837,"Zbtb16, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"3","MF","GO:0005509","calcium ion binding",574,12,4.35,9,0.0014,0.00143,0.0209059233449477,"Astn2, Cdh20, Man1a, Fat3, Vsnl1, Syt2, Sparcl1, Unc13a, Pls1, Hmcn1, Cdh8, Unc13c"
"4","MF","GO:0050839","cell adhesion molecule binding",237,7,1.8,10,0.0022,0.00222,0.029535864978903,"Fgf1, Trpc4, Cdh20, Prkca, Tenm3, Hmcn1, Cdh8"
"5","MF","GO:0005516","calmodulin binding",183,6,1.39,11,0.0027,0.00273,0.0327868852459016,"Myo5b, Epb41, Adcy8, Unc13a, Slc8a3, Unc13c"
"6","MF","GO:0046872","metal ion binding",3326,44,25.21,2,0.003,8e-05,0.0132291040288635,"Prdm16, Ube3a, Cpa6, Man2a1, Astn2, Cdh20, Asap1, Zmat4, Tshz2, Trhde, Cryab, Ebf2, Man1a, Prkca, Zic1, Zfp521, Pdzrn3, Zic4, Arhgef18, Fat3, Vsnl1, Zfp692, Dtx3, Rxfp1, Cacna2d2, Syt2, Sparcl1, Adamts2, Aifm3, Adcy8, Adcy10, Unc13a, Tshz3, Stac2, Slc8a3, Hivep1, Pls1, Hmcn1, Cdh8, Unc13c, Lmtk3, Rtl4, Ppard, Kit"
"7","MF","GO:0043178","alcohol binding",79,4,0.6,13,0.0031,0.00306,0.0506329113924051,"Trpc4, Astn2, Osbpl6, Syt2"
"8","MF","GO:0008092","cytoskeletal protein binding",945,15,7.16,15,0.0054,0.00539,0.0158730158730159,"Myo5b, Cdh20, Cttnbp2, Homer2, Cryab, Epb41, Adcy8, Kifc2, Unc13a, Fhod3, Epb41l3, Pls1, Cdh8, Hsph1, Coro6"
"9","MF","GO:0005515","protein binding",8273,84,62.72,6,0.0061,0.00019,0.0101535114227004,"Ano1, Pttg1, Prdm16, Ube3a, Fgf1, Trpc4, Myo5b, Astn2, Cdh20, Asap1, Cttnbp2, Tshz2, Zbtb16, Homer2, Sema6d, Cryab, Plpp4, Ebf2, Bicc1, Prkca, Zic1, Stip1, Paxbp1, Zfp521, Pdzrn3, Clic4, Pomc, Epha3, Arhgef18, Nova1, Mlip, Bach2, Epo, Dkk3, Ephb1, Tenm3, Mpp6, Pcdh11x, Igsf9b, Dtx3, Ptpn5, Sncaip, Chgb, Arhgef25, Syt2, Dennd5b, Epb41, Brd9, Ephb2, Rap1gap, Adcy8, Kifc2, Mapk11, Slc4a4, Adcy10, Sema5a, Wdr60, Unc13a, Tshz3, Fhod3, Epb41l3, Vgll4, Mkx, Arhgap26, Slc8a3, Hivep1, Pls1, Cdyl2, Hmcn1, Flt3, Bmper, Dkk2, Cdh8, Plekha7, Unc13c, Nsmaf, Ppard, Lrtm1, Tafa2, Hsph1, Ubxn2a, Coro6, Cdc25b, Kit"
"10","MF","GO:0030215","semaphorin receptor binding",21,2,0.16,16,0.0109,0.0109,0.0952380952380952,"Sema6d, Sema5a"
"11","MF","GO:0030547","receptor inhibitor activity",21,2,0.16,17,0.0109,0.0109,0.0952380952380952,"Dkk3, Dkk2"
"12","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,12,5.64,18,0.0111,0.01108,0.0161290322580645,"Zbtb16, Ebf2, Zic1, Paxbp1, Zfp521, Zic4, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"13","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,12,5.7,20,0.012,0.01198,0.0159574468085106,"Zbtb16, Ebf2, Zic1, Paxbp1, Zfp521, Zic4, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"14","MF","GO:0035254","glutamate receptor binding",65,3,0.49,21,0.0132,0.01322,0.0461538461538462,"Myo5b, Homer2, Ptpn5"
"15","MF","GO:0045296","cadherin binding",66,3,0.5,23,0.0138,0.01378,0.0454545454545455,"Trpc4, Cdh20, Cdh8"
"16","MF","GO:0003779","actin binding",416,8,3.15,24,0.0141,0.01407,0.0192307692307692,"Myo5b, Homer2, Epb41, Adcy8, Fhod3, Epb41l3, Pls1, Coro6"
"17","MF","GO:0098772","molecular function regulator",1565,20,11.86,25,0.0144,0.01441,0.012779552715655,"Pttg1, Fgf1, Asap1, Sema6d, Pomc, Arhgef18, Epo, Dkk3, Arhgef25, Dennd5b, Rap1gap, Arhgap20, Sema5a, Arhgap26, Dkk2, Pdia6, Nsmaf, Ppard, Tafa2, Hsph1"
"18","MF","GO:0030545","receptor regulator activity",421,8,3.19,26,0.015,0.01502,0.0190023752969121,"Fgf1, Sema6d, Pomc, Epo, Dkk3, Sema5a, Dkk2, Tafa2"
"19","MF","GO:0016849","phosphorus-oxygen lyase activity",25,2,0.19,27,0.0153,0.01527,0.08,"Adcy8, Adcy10"
"20","MF","GO:0009975","cyclase activity",25,2,0.19,28,0.0153,0.01527,0.08,"Adcy8, Adcy10"
"21","MF","GO:0000976","transcription regulatory region sequence...",786,12,5.96,29,0.0165,0.01646,0.0152671755725191,"Zbtb16, Ebf2, Zic1, Paxbp1, Zfp521, Zic4, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"22","MF","GO:0017075","syntaxin-1 binding",26,2,0.2,30,0.0165,0.01646,0.0769230769230769,"Unc13a, Unc13c"
"23","MF","GO:0042803","protein homodimerization activity",894,13,6.78,32,0.0184,0.01836,0.0145413870246085,"Ano1, Cdh20, Zbtb16, Homer2, Cryab, Tenm3, Ptpn5, Rap1gap, Adcy8, Unc13a, Hmcn1, Cdh8, Kit"
"24","MF","GO:0045499","chemorepellent activity",28,2,0.21,33,0.019,0.01896,0.0714285714285714,"Sema6d, Sema5a"
"25","MF","GO:0019905","syntaxin binding",76,3,0.58,34,0.02,0.02005,0.0394736842105263,"Syt2, Unc13a, Unc13c"
"26","MF","GO:0043565","sequence-specific DNA binding",1011,14,7.66,35,0.0213,0.02133,0.0138476755687438,"Prdm16, Camta1, Zbtb16, Ebf2, Zic1, Paxbp1, Zfp521, Zic4, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"27","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,12,6.28,36,0.0236,0.02362,0.0144927536231884,"Zbtb16, Ebf2, Zic1, Paxbp1, Zfp521, Zic4, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"28","MF","GO:0030507","spectrin binding",32,2,0.24,37,0.0244,0.02439,0.0625,"Epb41, Unc13a"
"29","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,3,0.65,39,0.0276,0.02764,0.0348837209302326,"Zbtb16, Bach2, Hivep1"
"30","MF","GO:0005102","signaling receptor binding",1472,18,11.16,40,0.0295,0.02953,0.0122282608695652,"Fgf1, Myo5b, Homer2, Sema6d, Prkca, Pomc, Epo, Dkk3, Ptpn5, Ephb2, Sema5a, Flt3, Dkk2, Nsmaf, Ppard, Lrtm1, Tafa2, Ubxn2a"
"31","MF","GO:0043168","anion binding",2593,28,19.66,41,0.032,0.03195,0.0107983031237948,"Prpf4b, Fgf1, Trpc4, Myo5b, Astn2, Asap1, Prkca, Epha3, Ephb1, Hunk, Syt2, Epb41, Ephb2, Aifm3, Adcy8, Kifc2, Mapk11, Adcy10, Sema5a, Unc13a, Arhgap26, Flt3, Unc13c, Lmtk3, Ppard, Lrtm1, Hsph1, Kit"
"32","MF","GO:0044212","transcription regulatory region DNA bind...",892,12,6.76,44,0.0386,0.03864,0.0134529147982063,"Zbtb16, Ebf2, Zic1, Paxbp1, Zfp521, Zic4, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"33","MF","GO:0001067","regulatory region nucleic acid binding",896,12,6.79,45,0.0398,0.03977,0.0133928571428571,"Zbtb16, Ebf2, Zic1, Paxbp1, Zfp521, Zic4, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"34","MF","GO:0003690","double-stranded DNA binding",903,12,6.85,46,0.0418,0.04178,0.0132890365448505,"Zbtb16, Ebf2, Zic1, Paxbp1, Zfp521, Zic4, Bach2, Zfp692, Mkx, Hivep1, Cux2, Ppard"
"35","MF","GO:0008047","enzyme activator activity",436,7,3.31,47,0.0485,0.04849,0.0160550458715596,"Asap1, Epo, Rap1gap, Arhgap20, Arhgap26, Nsmaf, Ppard"
"36","MF","GO:0001158","enhancer sequence-specific DNA binding",110,3,0.83,48,0.0512,0.05122,0.0272727272727273,"Zbtb16, Bach2, Hivep1"
"37","MF","GO:0008235","metalloexopeptidase activity",48,2,0.36,49,0.0513,0.05131,0.0416666666666667,"Cpa6, Trhde"
"38","MF","GO:0030544","Hsp70 protein binding",48,2,0.36,50,0.0513,0.05131,0.0416666666666667,"Fgf1, Stip1"
"39","MF","GO:0022832","voltage-gated channel activity",191,4,1.45,51,0.0576,0.05761,0.0209424083769634,"Ano1, Kcnj3, Clic4, Cacna2d2"
"40","MF","GO:0005244","voltage-gated ion channel activity",191,4,1.45,52,0.0576,0.05761,0.0209424083769634,"Ano1, Kcnj3, Clic4, Cacna2d2"
"41","MF","GO:0000149","SNARE binding",116,3,0.88,53,0.0582,0.05824,0.0258620689655172,"Syt2, Unc13a, Unc13c"
"42","MF","GO:0022890","inorganic cation transmembrane transport...",552,8,4.18,54,0.0593,0.05926,0.0144927536231884,"Ano1, Trpc4, Kcnj3, Cacna2d2, Slc15a2, Slc4a4, Kcnk10, Slc8a3"
"43","MF","GO:0008270","zinc ion binding",651,9,4.94,55,0.0598,0.05975,0.0138248847926267,"Cpa6, Zmat4, Trhde, Prkca, Pdzrn3, Adamts2, Hivep1, Rtl4, Ppard"
"44","MF","GO:0008146","sulfotransferase activity",54,2,0.41,56,0.0632,0.06322,0.037037037037037,"Hs6st3, Chst8"
"45","MF","GO:0035326","enhancer binding",121,3,0.92,57,0.0644,0.06443,0.0247933884297521,"Zbtb16, Bach2, Hivep1"
"46","MF","GO:0001540","amyloid-beta binding",57,2,0.43,58,0.0695,0.0695,0.0350877192982456,"Cryab, Ephb2"
"47","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,5,2.21,59,0.0708,0.07084,0.0171821305841924,"Asap1, Rap1gap, Arhgap20, Arhgap26, Hsph1"
"48","MF","GO:0046983","protein dimerization activity",1311,15,9.94,60,0.0719,0.07192,0.011441647597254,"Ano1, Cdh20, Zbtb16, Homer2, Cryab, Ebf2, Tenm3, Ptpn5, Rap1gap, Adcy8, Unc13a, Hmcn1, Cdh8, Ppard, Kit"
"49","MF","GO:0005088","Ras guanyl-nucleotide exchange factor ac...",127,3,0.96,61,0.0722,0.07224,0.0236220472440945,"Arhgef18, Arhgef25, Dennd5b"
"50","MF","GO:0047485","protein N-terminus binding",128,3,0.97,62,0.0736,0.07358,0.0234375,"Epb41, Adcy8, Unc13a"
"51","MF","GO:0015103","inorganic anion transmembrane transporte...",129,3,0.98,63,0.0749,0.07493,0.0232558139534884,"Ano1, Clic4, Slc4a4"
"52","MF","GO:0003774","motor activity",129,3,0.98,64,0.0749,0.07493,0.0232558139534884,"Myo5b, Kifc2, Wdr60"
