"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004725","protein tyrosine phosphatase activity",95,4,0.45,3,0.001,0.00104,0.0421052631578947,"Ptpn5, Ptprm, Cdc14a, Ptpn3"
"2","MF","GO:0005245","voltage-gated calcium channel activity",50,3,0.23,6,0.0017,0.00167,0.06,"Cacna2d3, Cacna2d2, Oprm1"
"3","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,10,3.49,8,0.0025,0.00249,0.0134408602150538,"Ssbp4, Meis2, Satb2, Zfhx3, Esr2, Sox6, Cux1, Trps1, Cux2, Pbx3"
"4","MF","GO:0008270","zinc ion binding",651,9,3.05,12,0.0034,0.00342,0.0138248847926267,"Adamts2, Car10, Zfhx3, Esr2, Trhde, Trps1, L3mbtl3, Rtl4, Cpa6"
"5","MF","GO:0019838","growth factor binding",138,4,0.65,16,0.004,0.00405,0.0289855072463768,"Fstl4, Ghr, Ntrk3, Erbb4"
"6","MF","GO:0005509","calcium ion binding",574,8,2.69,18,0.0055,0.00548,0.0139372822299652,"Fstl4, Unc13c, Cdh4, Pcdh15, Baiap3, Spock3, Necab1, Dgkb"
"7","MF","GO:0005104","fibroblast growth factor receptor bindin...",25,2,0.12,19,0.0061,0.00608,0.08,"Flrt3, Fgf1"
"8","MF","GO:0051117","ATPase binding",88,3,0.41,23,0.0082,0.00821,0.0340909090909091,"Trpc5, Adcy10, Ptpn3"
"9","MF","GO:0042277","peptide binding",270,5,1.27,24,0.0088,0.00882,0.0185185185185185,"Ghr, Trhde, Cryab, Col25a1, Oprm1"
"10","MF","GO:0017080","sodium channel regulator activity",32,2,0.15,27,0.0098,0.00984,0.0625,"Camk2d, Ptpn3"
"11","MF","GO:0042562","hormone binding",103,3,0.48,30,0.0126,0.01258,0.029126213592233,"Ghr, Esr2, Rxfp1"
"12","MF","GO:0005539","glycosaminoglycan binding",192,4,0.9,31,0.0127,0.0127,0.0208333333333333,"Lrtm1, Spock3, Fgf1, Col25a1"
"13","MF","GO:0008092","cytoskeletal protein binding",945,10,4.43,32,0.0129,0.01287,0.0105820105820106,"Myo5b, Cdh4, Trpc5, Camk2d, Abra, Cryab, Fhod3, Unc5c, Ptpn3, Oprm1"
"14","MF","GO:0001784","phosphotyrosine residue binding",43,2,0.2,36,0.0173,0.01734,0.0465116279069767,"Ptpn5, Ptpn3"
"15","MF","GO:0008235","metalloexopeptidase activity",48,2,0.23,39,0.0213,0.02133,0.0416666666666667,"Trhde, Cpa6"
"16","MF","GO:0045309","protein phosphorylated amino acid bindin...",55,2,0.26,42,0.0275,0.0275,0.0363636363636364,"Ptpn5, Ptpn3"
"17","MF","GO:0001540","amyloid-beta binding",57,2,0.27,43,0.0294,0.02938,0.0350877192982456,"Cryab, Col25a1"
"18","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,2,0.27,44,0.0294,0.02938,0.0350877192982456,"Ntrk3, Erbb4"
"19","MF","GO:0008201","heparin binding",144,3,0.68,46,0.0303,0.03025,0.0208333333333333,"Lrtm1, Fgf1, Col25a1"
"20","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,6,2.41,47,0.0335,0.03347,0.0116959064327485,"Ssbp4, Meis2, Zfhx3, Esr2, Sox6, Cux2"
"21","MF","GO:0060089","molecular transducer activity",1432,12,6.72,48,0.0348,0.03476,0.00837988826815642,"Unc13c, Glra3, Ghr, Esr2, Ntrk3, Ptprm, Il1rap, Prkg2, Unc5c, Rxfp1, Oprm1, Erbb4"
"22","MF","GO:0048018","receptor ligand activity",391,5,1.83,49,0.0368,0.03678,0.0127877237851662,"Pomc, Tafa1, Flrt3, Fgf1, Tafa2"
"23","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,6,2.46,50,0.0368,0.03683,0.0114285714285714,"Ssbp4, Meis2, Zfhx3, Esr2, Sox6, Cux2"
"24","MF","GO:0035254","glutamate receptor binding",65,2,0.3,51,0.0374,0.03738,0.0307692307692308,"Myo5b, Ptpn5"
"25","MF","GO:0045296","cadherin binding",66,2,0.31,52,0.0384,0.03843,0.0303030303030303,"Cdh4, Ptprm"
"26","MF","GO:0008237","metallopeptidase activity",165,3,0.77,54,0.0426,0.04258,0.0181818181818182,"Adamts2, Trhde, Cpa6"
"27","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,2,0.35,57,0.0472,0.04725,0.027027027027027,"Ntrk3, Erbb4"
"28","MF","GO:0030545","receptor regulator activity",421,5,1.97,58,0.0479,0.04791,0.0118764845605701,"Pomc, Tafa1, Flrt3, Fgf1, Tafa2"
"29","MF","GO:0019905","syntaxin binding",76,2,0.36,59,0.0496,0.04956,0.0263157894736842,"Unc13c, Baiap3"
"30","MF","GO:0005516","calmodulin binding",183,3,0.86,60,0.0549,0.05485,0.0163934426229508,"Unc13c, Myo5b, Camk2d"
"31","MF","GO:0038023","signaling receptor activity",1383,11,6.49,61,0.0581,0.0581,0.00795372378886479,"Unc13c, Glra3, Ghr, Esr2, Ntrk3, Ptprm, Il1rap, Unc5c, Rxfp1, Oprm1, Erbb4"
"32","MF","GO:0042803","protein homodimerization activity",894,8,4.19,62,0.0583,0.05826,0.00894854586129754,"Cdh4, Ghr, Camk2d, Flrt3, Cryab, Ptpn5, Prkg2, Erbb4"
"33","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,2,0.4,66,0.0617,0.06169,0.0232558139534884,"Cux1, Pbx3"
"34","MF","GO:0140110","transcription regulator activity",1230,10,5.77,67,0.0617,0.0617,0.00813008130081301,"Ube3a, Meis2, Esr2, Sox6, Prdm16, Trps1, L3mbtl3, Maml3, Cux2, Pbx3"
"35","MF","GO:0004896","cytokine receptor activity",87,2,0.41,70,0.063,0.06296,0.0229885057471264,"Ghr, Il1rap"
"36","MF","GO:0043167","ion binding",5224,39,24.5,1,0.0699,0.00063,0.00746554364471669,"Ube3a, Fstl4, Unc13c, Adamts2, Car10, Lrtm1, Myo5b, Cdh4, Glra3, Trpc5, Cacna2d3, Camk2d, Pcdh15, Zfhx3, Baiap3, Esr2, Trhde, Cryab, Timp3, Mapk11, Spock3, Ntrk3, Zbtb7c, Necab1, Dgkb, Fgf1, Adcy10, Prdm16, Prkg2, Trps1, L3mbtl3, Col25a1, Cacna2d2, Rxfp1, Rtl4, Cpne5, Erbb4, Cpa6, Adarb2"
"37","MF","GO:0015108","chloride transmembrane transporter activ...",94,2,0.44,73,0.0721,0.07205,0.0212765957446809,"Glra3, Slc26a4"
"38","MF","GO:0008238","exopeptidase activity",94,2,0.44,74,0.0721,0.07205,0.0212765957446809,"Trhde, Cpa6"
"39","MF","GO:0051219","phosphoprotein binding",101,2,0.47,75,0.0815,0.08154,0.0198019801980198,"Ptpn5, Ptpn3"
"40","MF","GO:0046983","protein dimerization activity",1311,10,6.15,78,0.0862,0.08622,0.007627765064836,"Cdh4, Ghr, Camk2d, Flrt3, Sox6, Cryab, Ptpn5, Prkg2, Sycp2, Erbb4"
"41","MF","GO:0030594","neurotransmitter receptor activity",106,2,0.5,79,0.0885,0.08854,0.0188679245283019,"Glra3, Oprm1"
"42","MF","GO:0005212","structural constituent of eye lens",20,1,0.09,80,0.0898,0.08978,0.05,"Cryab"
"43","MF","GO:0070851","growth factor receptor binding",136,4,0.64,15,0.0922,0.00384,0.0294117647058824,"Flrt3, Il1rap, Fgf1, Erbb4"
"44","MF","GO:0015295","solute:proton symporter activity",21,1,0.1,82,0.0941,0.09406,0.0476190476190476,"Slc15a2"
"45","MF","GO:0042975","peroxisome proliferator activated recept...",21,1,0.1,83,0.0941,0.09406,0.0476190476190476,"Esr2"
"46","MF","GO:0099095","ligand-gated anion channel activity",21,1,0.1,84,0.0941,0.09406,0.0476190476190476,"Glra3"
"47","MF","GO:0001158","enhancer sequence-specific DNA binding",110,2,0.52,85,0.0943,0.09426,0.0181818181818182,"Cux1, Pbx3"
"48","MF","GO:0050998","nitric-oxide synthase binding",22,1,0.1,87,0.0983,0.09831,0.0454545454545455,"Camk2d"
"49","MF","GO:1901681","sulfur compound binding",236,3,1.11,88,0.0994,0.09937,0.0127118644067797,"Lrtm1, Fgf1, Col25a1"
"50","MF","GO:0050839","cell adhesion molecule binding",237,3,1.11,89,0.1003,0.10032,0.0126582278481013,"Cdh4, Ptprm, Fgf1"
"51","MF","GO:0016773","phosphotransferase activity, alcohol gro...",682,6,3.2,90,0.1009,0.10086,0.00879765395894428,"Camk2d, Mapk11, Ntrk3, Dgkb, Prkg2, Erbb4"
"52","MF","GO:0031681","G-protein beta-subunit binding",23,1,0.11,91,0.1025,0.10255,0.0434782608695652,"Oprm1"
"53","MF","GO:0004181","metallocarboxypeptidase activity",23,1,0.11,92,0.1025,0.10255,0.0434782608695652,"Cpa6"
"54","MF","GO:0000149","SNARE binding",116,2,0.54,93,0.103,0.10305,0.0172413793103448,"Unc13c, Baiap3"
"55","MF","GO:0042923","neuropeptide binding",24,1,0.11,94,0.1068,0.10676,0.0416666666666667,"Oprm1"
"56","MF","GO:0005515","protein binding",8273,49,38.8,37,0.1102,0.0178,0.00592288166324187,"Ube3a, Fstl4, Unc13c, Sorcs3, Lrtm1, Elmo1, Myo5b, Cdh4, Ghr, Plpp4, Trpc5, Pomc, Camk2d, Meis2, Tafa1, Satb2, Pcdh15, Zfhx3, Baiap3, Abra, Flrt3, Esr2, Sox6, Cryab, Timp3, Mapk11, Ntrk3, Ntng2, Fhod3, Zbtb7c, Ptpn5, Ptprm, Il1rap, Fgf1, Adcy10, Prdm16, Prkg2, Sycp2, Trps1, Unc5c, Arhgap6, L3mbtl3, Dock10, Col25a1, Tafa2, Ptpn3, Oprm1, Pbx3, Erbb4"
"57","MF","GO:0035326","enhancer binding",121,2,0.57,95,0.1105,0.11053,0.0165289256198347,"Cux1, Pbx3"
"58","MF","GO:0019239","deaminase activity",25,1,0.12,96,0.111,0.11096,0.04,"Adarb2"
"59","MF","GO:0016849","phosphorus-oxygen lyase activity",25,1,0.12,97,0.111,0.11096,0.04,"Adcy10"
"60","MF","GO:0009975","cyclase activity",25,1,0.12,98,0.111,0.11096,0.04,"Adcy10"
"61","MF","GO:0004888","transmembrane signaling receptor activit...",1212,9,5.68,99,0.1141,0.1141,0.00742574257425743,"Glra3, Ghr, Ntrk3, Ptprm, Il1rap, Unc5c, Rxfp1, Oprm1, Erbb4"
"62","MF","GO:0003713","transcription coactivator activity",252,3,1.18,100,0.115,0.11498,0.0119047619047619,"Ube3a, Prdm16, Maml3"
"63","MF","GO:0008528","G protein-coupled peptide receptor activ...",124,2,0.58,101,0.1151,0.11509,0.0161290322580645,"Rxfp1, Oprm1"
"64","MF","GO:0071855","neuropeptide receptor binding",26,1,0.12,102,0.1151,0.11513,0.0384615384615385,"Pomc"
"65","MF","GO:0017075","syntaxin-1 binding",26,1,0.12,103,0.1151,0.11513,0.0384615384615385,"Unc13c"
"66","MF","GO:0017124","SH3 domain binding",126,2,0.59,104,0.1182,0.11815,0.0158730158730159,"Elmo1, Arhgap6"
"67","MF","GO:0016814","hydrolase activity, acting on carbon-nit...",27,1,0.13,105,0.1193,0.11929,0.037037037037037,"Adarb2"
"68","MF","GO:0004683","calmodulin-dependent protein kinase acti...",27,1,0.13,106,0.1193,0.11929,0.037037037037037,"Camk2d"
"69","MF","GO:0015301","anion:anion antiporter activity",27,1,0.13,107,0.1193,0.11929,0.037037037037037,"Slc26a4"
"70","MF","GO:0004713","protein tyrosine kinase activity",127,2,0.6,108,0.1197,0.11969,0.015748031496063,"Ntrk3, Erbb4"
"71","MF","GO:0015103","inorganic anion transmembrane transporte...",129,2,0.61,110,0.1228,0.12279,0.0155038759689922,"Glra3, Slc26a4"
"72","MF","GO:0045499","chemorepellent activity",28,1,0.13,111,0.1234,0.12342,0.0357142857142857,"Flrt3"
"73","MF","GO:1904680","peptide transmembrane transporter activi...",28,1,0.13,112,0.1234,0.12342,0.0357142857142857,"Slc15a2"
"74","MF","GO:0001653","peptide receptor activity",133,2,0.62,113,0.129,0.12904,0.0150375939849624,"Rxfp1, Oprm1"
"75","MF","GO:0003779","actin binding",416,4,1.95,114,0.1316,0.13159,0.00961538461538462,"Myo5b, Trpc5, Abra, Fhod3"
"76","MF","GO:1901682","sulfur compound transmembrane transporte...",30,1,0.14,115,0.1316,0.13164,0.0333333333333333,"Slc26a4"
"77","MF","GO:0042802","identical protein binding",1795,12,8.42,116,0.1327,0.13274,0.00668523676880223,"Cdh4, Ghr, Plpp4, Camk2d, Flrt3, Esr2, Cryab, Ptpn5, Ptprm, Prkg2, Col25a1, Erbb4"
"78","MF","GO:0016301","kinase activity",740,6,3.47,118,0.1339,0.13391,0.00810810810810811,"Camk2d, Mapk11, Ntrk3, Dgkb, Prkg2, Erbb4"
"79","MF","GO:0004672","protein kinase activity",584,5,2.74,120,0.1394,0.13938,0.00856164383561644,"Camk2d, Mapk11, Ntrk3, Prkg2, Erbb4"
"80","MF","GO:0008200","ion channel inhibitor activity",32,1,0.15,121,0.1398,0.13978,0.03125,"Camk2d"
"81","MF","GO:0005310","dicarboxylic acid transmembrane transpor...",34,1,0.16,122,0.1478,0.14785,0.0294117647058824,"Slc26a4"
"82","MF","GO:0016248","channel inhibitor activity",34,1,0.16,123,0.1478,0.14785,0.0294117647058824,"Camk2d"
"83","MF","GO:0051019","mitogen-activated protein kinase binding",34,1,0.16,124,0.1478,0.14785,0.0294117647058824,"Ptpn5"
"84","MF","GO:0043168","anion binding",2593,16,12.16,125,0.1503,0.1503,0.00617045892788276,"Unc13c, Lrtm1, Myo5b, Glra3, Trpc5, Camk2d, Baiap3, Mapk11, Ntrk3, Dgkb, Fgf1, Adcy10, Prkg2, Col25a1, Cpne5, Erbb4"
"85","MF","GO:0005154","epidermal growth factor receptor binding",35,1,0.16,126,0.1518,0.15185,0.0285714285714286,"Erbb4"
"86","MF","GO:0001965","G-protein alpha-subunit binding",35,1,0.16,127,0.1518,0.15185,0.0285714285714286,"Oprm1"
"87","MF","GO:0030551","cyclic nucleotide binding",35,1,0.16,128,0.1518,0.15185,0.0285714285714286,"Prkg2"
"88","MF","GO:0003712","transcription coregulator activity",442,4,2.07,129,0.1537,0.15374,0.00904977375565611,"Ube3a, Meis2, Prdm16, Maml3"
"89","MF","GO:0005231","excitatory extracellular ligand-gated io...",36,1,0.17,130,0.1558,0.15584,0.0277777777777778,"Glra3"
"90","MF","GO:0099528","G protein-coupled neurotransmitter recep...",37,1,0.17,131,0.1598,0.1598,0.027027027027027,"Oprm1"
"91","MF","GO:0008138","protein tyrosine/serine/threonine phosph...",37,1,0.17,132,0.1598,0.1598,0.027027027027027,"Cdc14a"
"92","MF","GO:0098772","molecular function regulator",1565,12,7.34,65,0.1636,0.06104,0.00766773162939297,"Elmo1, Pomc, Camk2d, Tafa1, Flrt3, Timp3, Spock3, Fgf1, Arhgap6, Dock10, Tafa2, Ptpn3"
"93","MF","GO:0030020","extracellular matrix structural constitu...",38,1,0.18,133,0.1638,0.16375,0.0263157894736842,"Col25a1"
"94","MF","GO:0042169","SH2 domain binding",39,1,0.18,134,0.1677,0.16768,0.0256410256410256,"Ghr"
"95","MF","GO:0008188","neuropeptide receptor activity",39,1,0.18,135,0.1677,0.16768,0.0256410256410256,"Oprm1"
"96","MF","GO:0004866","endopeptidase inhibitor activity",157,2,0.74,136,0.1679,0.16791,0.0127388535031847,"Timp3, Spock3"
"97","MF","GO:0035255","ionotropic glutamate receptor binding",40,1,0.19,137,0.1716,0.17159,0.025,"Myo5b"
