"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0030552","cAMP binding",21,1,0,1,0.0023,0.0023,0.0476190476190476,"Pde10a"
"2","MF","GO:0008066","glutamate receptor activity",27,1,0,2,0.0029,0.0029,0.037037037037037,"Grm3"
"3","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",28,1,0,3,0.0031,0.0031,0.0357142857142857,"Pde10a"
"4","MF","GO:0005246","calcium channel regulator activity",41,1,0,6,0.0045,0.0045,0.024390243902439,"Grm3"
"5","MF","GO:0032561","guanyl ribonucleotide binding",362,1,0.04,11,0.0391,0.0391,0.00276243093922652,"Pde10a"
"6","MF","GO:0019001","guanyl nucleotide binding",362,1,0.04,12,0.0391,0.0391,0.00276243093922652,"Pde10a"
"7","MF","GO:0004930","G protein-coupled receptor activity",530,1,0.06,13,0.057,0.057,0.00188679245283019,"Grm3"
"8","MF","GO:0046872","metal ion binding",3326,1,0.36,30,0.3299,0.3299,0.000300661455201443,"Pde10a"
"9","MF","GO:0043169","cation binding",3418,1,0.37,31,0.3381,0.3381,0.000292568753657109,"Pde10a"
"10","MF","GO:0032559","adenyl ribonucleotide binding",1418,1,0.15,17,1,0.1487,0.000705218617771509,"Pde10a"
"11","MF","GO:0036094","small molecule binding",2316,1,0.25,27,1,0.2367,0.000431778929188256,"Pde10a"
"12","MF","GO:0003824","catalytic activity",5396,1,0.59,35,1,0.502,0.000185322461082283,"Pde10a"
"13","MF","GO:0017076","purine nucleotide binding",1747,1,0.19,22,1,0.1815,0.000572409845449342,"Pde10a"
"14","MF","GO:0016787","hydrolase activity",2345,1,0.26,28,1,0.2394,0.000426439232409382,"Pde10a"
"15","MF","GO:0042578","phosphoric ester hydrolase activity",343,1,0.04,10,1,0.0371,0.00291545189504373,"Pde10a"
"16","MF","GO:0016788","hydrolase activity, acting on ester bond...",689,1,0.08,14,1,0.0737,0.00145137880986938,"Pde10a"
"17","MF","GO:0030551","cyclic nucleotide binding",35,1,0,5,1,0.0038,0.0285714285714286,"Pde10a"
"18","MF","GO:0030554","adenyl nucleotide binding",1428,1,0.16,18,1,0.1497,0.000700280112044818,"Pde10a"
"19","MF","GO:0000166","nucleotide binding",1969,1,0.21,24,1,0.2032,0.000507872016251904,"Pde10a"
"20","MF","GO:0016247","channel regulator activity",136,1,0.01,9,1,0.0148,0.00735294117647059,"Grm3"
"21","MF","GO:0097367","carbohydrate derivative binding",2036,1,0.22,26,1,0.2098,0.000491159135559921,"Pde10a"
"22","MF","GO:0005488","binding",11858,1,1.29,36,1,0.8752,8.4331253162422e-05,"Pde10a"
"23","MF","GO:0098772","molecular function regulator",1565,1,0.17,20,1,0.1634,0.000638977635782748,"Grm3"
"24","MF","GO:0003674","molecular_function",18336,2,2,37,1,1,0.000109075043630017,"Grm3, Pde10a"
