"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0031072","heat shock protein binding",136,2,0.04,1,8e-04,8e-04,0.0147058823529412,"Pttg1, Fgf1"
"2","MF","GO:0005104","fibroblast growth factor receptor bindin...",25,1,0.01,2,0.0082,0.0082,0.04,"Fgf1"
"3","MF","GO:0008066","glutamate receptor activity",27,1,0.01,3,0.0088,0.0088,0.037037037037037,"Grik1"
"4","MF","GO:0098772","molecular function regulator",1565,3,0.51,4,0.0102,0.0102,0.00191693290734824,"Pttg1, Fgf1, Arhgap26"
"5","MF","GO:0005231","excitatory extracellular ligand-gated io...",36,1,0.01,5,0.0117,0.0117,0.0277777777777778,"Grik1"
"6","MF","GO:0005272","sodium channel activity",40,1,0.01,6,0.013,0.013,0.025,"Grik1"
"7","MF","GO:0030544","Hsp70 protein binding",48,1,0.02,7,0.0156,0.0156,0.0208333333333333,"Fgf1"
"8","MF","GO:1904315","transmitter-gated ion channel activity i...",52,1,0.02,8,0.0169,0.0169,0.0192307692307692,"Grik1"
"9","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,1,0.02,9,0.0172,0.0172,0.0188679245283019,"Pttg1"
"10","MF","GO:0099529","neurotransmitter receptor activity invol...",55,1,0.02,10,0.0179,0.0179,0.0181818181818182,"Grik1"
"11","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",57,1,0.02,11,0.0185,0.0185,0.0175438596491228,"Grik1"
"12","MF","GO:0022835","transmitter-gated channel activity",58,1,0.02,12,0.0188,0.0188,0.0172413793103448,"Grik1"
"13","MF","GO:0022824","transmitter-gated ion channel activity",58,1,0.02,13,0.0188,0.0188,0.0172413793103448,"Grik1"
"14","MF","GO:0043022","ribosome binding",61,1,0.02,14,0.0198,0.0198,0.0163934426229508,"Pttg1"
"15","MF","GO:0016597","amino acid binding",69,1,0.02,15,0.0224,0.0224,0.0144927536231884,"Grik1"
"16","MF","GO:0005230","extracellular ligand-gated ion channel a...",71,1,0.02,16,0.023,0.023,0.0140845070422535,"Grik1"
"17","MF","GO:0030234","enzyme regulator activity",894,2,0.29,17,0.0312,0.0312,0.00223713646532438,"Pttg1, Arhgap26"
"18","MF","GO:0099094","ligand-gated cation channel activity",98,1,0.03,18,0.0316,0.0316,0.0102040816326531,"Grik1"
"19","MF","GO:0030594","neurotransmitter receptor activity",106,1,0.03,19,0.0342,0.0342,0.00943396226415094,"Grik1"
"20","MF","GO:0005267","potassium channel activity",121,1,0.04,20,0.039,0.039,0.00826446280991736,"Grik1"
"21","MF","GO:0043168","anion binding",2593,3,0.85,21,0.0405,0.0405,0.00115696104897802,"Fgf1, Arhgap26, Grik1"
"22","MF","GO:0017124","SH3 domain binding",126,1,0.04,22,0.0405,0.0405,0.00793650793650794,"Pttg1"
"23","MF","GO:0005178","integrin binding",128,1,0.04,23,0.0412,0.0412,0.0078125,"Fgf1"
"24","MF","GO:0015276","ligand-gated ion channel activity",132,1,0.04,24,0.0424,0.0424,0.00757575757575758,"Grik1"
"25","MF","GO:0008083","growth factor activity",133,1,0.04,25,0.0427,0.0427,0.0075187969924812,"Fgf1"
"26","MF","GO:0022834","ligand-gated channel activity",135,1,0.04,26,0.0434,0.0434,0.00740740740740741,"Grik1"
"27","MF","GO:0015081","sodium ion transmembrane transporter act...",139,1,0.05,28,0.0446,0.0446,0.00719424460431655,"Grik1"
"28","MF","GO:0022843","voltage-gated cation channel activity",143,1,0.05,29,0.0459,0.0459,0.00699300699300699,"Grik1"
"29","MF","GO:0008201","heparin binding",144,1,0.05,30,0.0462,0.0462,0.00694444444444444,"Fgf1"
"30","MF","GO:0043021","ribonucleoprotein complex binding",145,1,0.05,31,0.0465,0.0465,0.00689655172413793,"Pttg1"
"31","MF","GO:0015079","potassium ion transmembrane transporter ...",157,1,0.05,32,0.0503,0.0503,0.00636942675159236,"Grik1"
"32","MF","GO:0004866","endopeptidase inhibitor activity",157,1,0.05,33,0.0503,0.0503,0.00636942675159236,"Pttg1"
