"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005212","structural constituent of eye lens",20,1,0,1,0.0022,0.0022,0.05,"Cryab"
"2","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,1,0.01,3,0.0058,0.0058,0.0188679245283019,"Pttg1"
"3","MF","GO:0001540","amyloid-beta binding",57,1,0.01,4,0.0062,0.0062,0.0175438596491228,"Cryab"
"4","MF","GO:0043022","ribosome binding",61,1,0.01,5,0.0066,0.0066,0.0163934426229508,"Pttg1"
"5","MF","GO:0051082","unfolded protein binding",96,1,0.01,6,0.0104,0.0104,0.0104166666666667,"Cryab"
"6","MF","GO:0017124","SH3 domain binding",126,1,0.01,7,0.0137,0.0137,0.00793650793650794,"Pttg1"
"7","MF","GO:0031072","heat shock protein binding",136,1,0.01,8,0.0148,0.0148,0.00735294117647059,"Pttg1"
"8","MF","GO:0008017","microtubule binding",232,1,0.03,14,0.0251,0.0251,0.00431034482758621,"Cryab"
"9","MF","GO:0015631","tubulin binding",327,1,0.04,17,0.0354,0.0354,0.00305810397553517,"Cryab"
"10","MF","GO:0044877","protein-containing complex binding",1185,2,0.13,2,0.0615,0.0042,0.00168776371308017,"Pttg1, Cryab"
"11","MF","GO:0000981","DNA-binding transcription factor activit...",669,1,0.07,20,0.0716,0.0716,0.00149476831091181,"Pttg1"
"12","MF","GO:0019904","protein domain specific binding",762,1,0.08,21,0.0814,0.0814,0.00131233595800525,"Pttg1"
"13","MF","GO:0003700","DNA-binding transcription factor activit...",882,1,0.1,22,0.0939,0.0939,0.00113378684807256,"Pttg1"
"14","MF","GO:0042803","protein homodimerization activity",894,1,0.1,23,0.0951,0.0951,0.00111856823266219,"Cryab"
"15","MF","GO:0008092","cytoskeletal protein binding",945,1,0.1,25,0.1004,0.1004,0.00105820105820106,"Cryab"
"16","MF","GO:0140110","transcription regulator activity",1230,1,0.13,26,0.1297,0.1297,0.000813008130081301,"Pttg1"
"17","MF","GO:0046983","protein dimerization activity",1311,1,0.14,27,0.1379,0.1379,0.0007627765064836,"Cryab"
"18","MF","GO:0042802","identical protein binding",1795,1,0.2,29,0.1862,0.1862,0.000557103064066852,"Cryab"
"19","MF","GO:0005515","protein binding",8273,2,0.9,30,0.2036,0.2036,0.000241750271969056,"Pttg1, Cryab"
"20","MF","GO:0046872","metal ion binding",3326,1,0.36,31,0.3299,0.3299,0.000300661455201443,"Cryab"
"21","MF","GO:0043169","cation binding",3418,1,0.37,32,0.3381,0.3381,0.000292568753657109,"Cryab"
"22","MF","GO:0043167","ion binding",5224,1,0.57,34,0.4886,0.4886,0.000191424196018377,"Cryab"
"23","MF","GO:0042277","peptide binding",270,1,0.03,15,1,0.0292,0.0037037037037037,"Cryab"
"24","MF","GO:0098772","molecular function regulator",1565,1,0.17,28,1,0.1634,0.000638977635782748,"Pttg1"
"25","MF","GO:0030234","enzyme regulator activity",894,1,0.1,24,1,0.0951,0.00111856823266219,"Pttg1"
"26","MF","GO:0061134","peptidase regulator activity",197,1,0.02,13,1,0.0214,0.0050761421319797,"Pttg1"
"27","MF","GO:0030414","peptidase inhibitor activity",165,1,0.02,11,1,0.0179,0.00606060606060606,"Pttg1"
"28","MF","GO:0061135","endopeptidase regulator activity",165,1,0.02,12,1,0.0179,0.00606060606060606,"Pttg1"
"29","MF","GO:0004857","enzyme inhibitor activity",326,1,0.04,16,1,0.0352,0.00306748466257669,"Pttg1"
"30","MF","GO:0005488","binding",11858,2,1.29,33,1,0.4182,0.000168662506324844,"Pttg1, Cryab"
"31","MF","GO:0005198","structural molecule activity",568,1,0.06,19,1,0.061,0.00176056338028169,"Cryab"
"32","MF","GO:0043021","ribonucleoprotein complex binding",145,1,0.02,9,1,0.0158,0.00689655172413793,"Pttg1"
"33","MF","GO:0003674","molecular_function",18336,2,2,35,1,1,0.000109075043630017,"Pttg1, Cryab"
"34","MF","GO:0004866","endopeptidase inhibitor activity",157,1,0.02,10,1,0.0171,0.00636942675159236,"Pttg1"
"35","MF","GO:0033218","amide binding",333,1,0.04,18,1,0.036,0.003003003003003,"Cryab"
"36","MF","GO:0000030","mannosyltransferase activity",26,0,0,36,1,1,0,""
"37","MF","GO:0000049","tRNA binding",57,0,0.01,37,1,1,0,""
"38","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0,38,1,1,0,""
"39","MF","GO:0000149","SNARE binding",116,0,0.01,39,1,1,0,""
"40","MF","GO:0000166","nucleotide binding",1969,0,0.21,40,1,1,0,""
"41","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0,41,1,1,0,""
"42","MF","GO:0000217","DNA secondary structure binding",24,0,0,42,1,1,0,""
"43","MF","GO:0000287","magnesium ion binding",187,0,0.02,43,1,1,0,""
"44","MF","GO:0000976","transcription regulatory region sequence...",786,0,0.09,44,1,1,0,""
"45","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,0,0.08,45,1,1,0,""
"46","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,0,0.06,46,1,1,0,""
"47","MF","GO:0000979","RNA polymerase II core promoter sequence...",37,0,0,47,1,1,0,""
"48","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,0,0.01,48,1,1,0,""
"49","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,0,0.06,49,1,1,0,""
"50","MF","GO:0000993","RNA polymerase II complex binding",37,0,0,50,1,1,0,""
"51","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,0,0.08,51,1,1,0,""
"52","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,0,0.01,52,1,1,0,""
"53","MF","GO:0001047","core promoter binding",60,0,0.01,53,1,1,0,""
"54","MF","GO:0001067","regulatory region nucleic acid binding",896,0,0.1,54,1,1,0,""
"55","MF","GO:0001085","RNA polymerase II transcription factor b...",165,0,0.02,55,1,1,0,""
"56","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,0,0,56,1,1,0,""
"57","MF","GO:0001098","basal transcription machinery binding",57,0,0.01,57,1,1,0,""
"58","MF","GO:0001099","basal RNA polymerase II transcription ma...",57,0,0.01,58,1,1,0,""
"59","MF","GO:0001102","RNA polymerase II activating transcripti...",51,0,0.01,59,1,1,0,""
"60","MF","GO:0001103","RNA polymerase II repressing transcripti...",33,0,0,60,1,1,0,""
"61","MF","GO:0001158","enhancer sequence-specific DNA binding",110,0,0.01,61,1,1,0,""
"62","MF","GO:0001221","transcription cofactor binding",49,0,0.01,62,1,1,0,""
"63","MF","GO:0001223","transcription coactivator binding",22,0,0,63,1,1,0,""
"64","MF","GO:0001227","DNA-binding transcription repressor acti...",215,0,0.02,64,1,1,0,""
"65","MF","GO:0001228","DNA-binding transcription activator acti...",389,0,0.04,65,1,1,0,""
"66","MF","GO:0001530","lipopolysaccharide binding",24,0,0,66,1,1,0,""
"67","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,0,0,67,1,1,0,""
"68","MF","GO:0001653","peptide receptor activity",133,0,0.01,68,1,1,0,""
"69","MF","GO:0001664","G protein-coupled receptor binding",266,0,0.03,69,1,1,0,""
"70","MF","GO:0001671","ATPase activator activity",24,0,0,70,1,1,0,""
"71","MF","GO:0001784","phosphotyrosine residue binding",43,0,0,71,1,1,0,""
"72","MF","GO:0001786","phosphatidylserine binding",61,0,0.01,72,1,1,0,""
"73","MF","GO:0001848","complement binding",21,0,0,73,1,1,0,""
"74","MF","GO:0001871","pattern binding",21,0,0,74,1,1,0,""
"75","MF","GO:0001882","nucleoside binding",360,0,0.04,75,1,1,0,""
"76","MF","GO:0001883","purine nucleoside binding",350,0,0.04,76,1,1,0,""
"77","MF","GO:0001965","G-protein alpha-subunit binding",35,0,0,77,1,1,0,""
"78","MF","GO:0001968","fibronectin binding",30,0,0,78,1,1,0,""
"79","MF","GO:0002020","protease binding",135,0,0.01,79,1,1,0,""
"80","MF","GO:0002039","p53 binding",68,0,0.01,80,1,1,0,""
"81","MF","GO:0003676","nucleic acid binding",2829,0,0.31,81,1,1,0,""
"82","MF","GO:0003677","DNA binding",1834,0,0.2,82,1,1,0,""
"83","MF","GO:0003678","DNA helicase activity",61,0,0.01,83,1,1,0,""
"84","MF","GO:0003682","chromatin binding",536,0,0.06,84,1,1,0,""
"85","MF","GO:0003684","damaged DNA binding",55,0,0.01,85,1,1,0,""
"86","MF","GO:0003688","DNA replication origin binding",23,0,0,86,1,1,0,""
"87","MF","GO:0003690","double-stranded DNA binding",903,0,0.1,87,1,1,0,""
"88","MF","GO:0003697","single-stranded DNA binding",109,0,0.01,88,1,1,0,""
"89","MF","GO:0003707","steroid hormone receptor activity",55,0,0.01,89,1,1,0,""
"90","MF","GO:0003712","transcription coregulator activity",442,0,0.05,90,1,1,0,""
"91","MF","GO:0003713","transcription coactivator activity",252,0,0.03,91,1,1,0,""
"92","MF","GO:0003714","transcription corepressor activity",180,0,0.02,92,1,1,0,""
"93","MF","GO:0003723","RNA binding",1018,0,0.11,93,1,1,0,""
"94","MF","GO:0003724","RNA helicase activity",63,0,0.01,94,1,1,0,""
