"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005515","protein binding",8273,249,171.45,1,3.1e-08,4.8e-16,0.0300979088601475,"Il12b, Fth1, Hbb-bs, Kirrel3, Pttg1, Ncam2, Apoe, Asic2, Cdh12, Epha5, Syt1, Cpne4, Lrrtm4, Dlgap1, Pcdh9, Il1rapl1, Spred2, Shisa9, Cacna1c, Rnf112, Tnr, Gria1, Cdh9, Ahi1, Ubash3b, Plp1, Grik2, Prkd1, Fras1, Thrb, Epha4, Npas3, Rims1, Frmd5, Mycbp2, Syne1, Cacna2d1, Cadm2, Rasgrf1, Camk2a, Prickle1, Ppfia2, Nrp1, Cst3, Ntng1, Spred1, Wnt9a, Ctnna3, Kcnb2, Upp2, Itpr1, Wwox, Hba-a1, Grik4, Ext1, Dscam, Stra6, Robo3, Ddx5, Dpp6, Sntb2, Arhgef28, Nr3c2, Ppp1r13b, Tenm1, Ogt, Ctnnd2, Mllt3, Hba-a2, Lrtm1, Map1b, Tle4, Hbb-bt, Anks1b, Tcf4, Plxna4, Camk2d, Ndrg4, Clu, Hnrnph1, Pde4b, Ssbp2, Sema6d, Arpp21, Ccbe1, Sorcs2, Cdh10, Gap43, Erc2, Spp1, Tut4, Nedd4l, Prkg1, Ctnna2, Kcnq1, Stxbp6, Dlg2, Ldlrad4, Pde4d, Zfpm2, Trpc4, Plcb1, Epha3, Scn3b, Aldoc, Ntng2, Cdh2, Aplp2, Chl1, Vav3, Dock10, Atp2b1, Fgfr1, Eml4, Nwd2, Sema5a, Stim2, Tafa5, Mgp, Tenm4, Agtpbp1, Hsd17b12, Plcl1, Rims2, Nrg1, Trps1, Grina, Cdc73, Akt3, Lrp1b, Ptpro, Rabgap1l, Plpp3, Igfbp2, Bod1l, Gria2, Gnaq, Gabra5, Wdr12, Tsga10, Trf, Smad1, Thy1, Itm2b, Nav3, Pde1a, Pitpnm2, Unc5d, Gls, Sybu, Gpc3, Unc79, Pou2f2, Atp8a1, Vgll4, Mapk4, Ncdn, Kdm7a, Atp2b4, Wdfy2, Ptprj, Nr1d2, Camkk1, Ptn, Kcnq1ot1, Ighm, Tmem108, Castor2, Gabra2, Thpo, Fgf12, Prkcg, Kcnd2, Atrx, Itgav, Tbl1xr1, Atp1a2, Fbn2, Foxp1, Ptpn9, Rgs6, Olfm3, Slc4a4, Ptprn2, Ppm1l, Pibf1, Gpr37l1, Taok1, Asph, Scaf8, Slit1, Bcl6, Kcnn3, Magi2, Ankrd31, Taf2, Adgrb1, Igsf8, Syt7, Gja1, Itga4, Ttc14, Paxbp1, Tbl1x, Eps8l1, Calm1, Tcf20, Il16, Syn2, Mpzl1, Ptk2b, Per2, Rps24, Slc8a1, Ptprd, Hipk1, Ghr, Pak6, Efna5, Hap1, Rfx3, Tenm3, Ktn1, Gcc2, Cdadc1, Mrfap1, Rab31, Ptpn12, Lamc1, Trpm7, Arid1b, Eya1, Sh3pxd2a, Crppa, Iqsec2, Prdx2, Grp, Cdh11, Ripor2, Kcnq5, Lztr1, Atp2a2, Epha7, Frmd4a, Ankrd13a, Tpi1, Ntrk3, Gabrb3, Parp1"
"2","MF","GO:0005516","calmodulin binding",183,18,3.79,7,5.1e-08,5.1e-08,0.0983606557377049,"Syt1, Cacna1c, Camk2a, Ddx5, Sntb2, Camk2d, Arpp21, Gap43, Kcnq1, Plcb1, Atp2b1, Pde1a, Atp2b4, Camkk1, Kcnn3, Syt7, Slc8a1, Kcnq5"
"3","MF","GO:0098918","structural constituent of synapse",29,8,0.6,9,9.3e-08,9.3e-08,0.275862068965517,"Dlgap1, Rims1, Ppfia2, Erc2, Dlg2, Rims2, Magi2, Sptbn2"
"4","MF","GO:0045296","cadherin binding",66,11,1.37,12,1e-07,1e-07,0.166666666666667,"Cdh12, Cdh9, Ctnna3, Ctnnd2, Cdh10, Ctnna2, Trpc4, Cdh2, Ptpro, Ptprj, Cdh11"
"5","MF","GO:0044325","ion channel binding",136,15,2.82,14,1.5e-07,1.5e-07,0.110294117647059,"Cacna1c, Rims1, Kcnb2, Camk2d, Pde4b, Nedd4l, Kcnq1, Pde4d, Scn3b, Rims2, Grina, Fgf12, Calm1, Slc8a1, Hap1"
"6","MF","GO:0005509","calcium ion binding",574,29,11.9,23,1e-05,1e-05,0.0505226480836237,"Clstn2, Cdh12, Syt1, Cdh9, Itpr1, Ccbe1, Cdh10, Capn11, Plcb1, Cdh2, Pcdh19, Stim2, Mgp, Calb1, Man1a2, Lrp1b, Celsr3, Pitpnm2, Spock3, Fbn2, Caln1, Calml4, Asph, Slit1, Syt7, Calm1, Reps2, Cdh11, Atp2a2"
"7","MF","GO:0050839","cell adhesion molecule binding",237,25,4.91,3,1e-05,2.8e-11,0.105485232067511,"Cdh12, Tnr, Cdh9, Frmd5, Ntng1, Ctnna3, Tenm1, Ctnnd2, Cdh10, Spp1, Ctnna2, Trpc4, Cdh2, Fgfr1, Tenm4, Ptpro, Plpp3, Thy1, Ptprj, Ptn, Itgav, Itga4, Ptprd, Tenm3, Cdh11"
"8","MF","GO:0030165","PDZ domain binding",114,11,2.36,27,2.5e-05,2.5e-05,0.0964912280701754,"Kirrel3, Shisa9, Gria1, Grik2, Erc2, Dlg2, Atp2b1, Gria2, Atp2b4, Adgrb1, Gja1"
"9","MF","GO:1904315","transmitter-gated ion channel activity i...",52,7,1.08,32,9.3e-05,9.3e-05,0.134615384615385,"Gria1, Grik2, Grik4, Gria2, Gabra5, Gabra2, Gabrb3"
"10","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,7,1.18,39,0.00017,0.00017,0.12280701754386,"Epha5, Epha4, Nrp1, Epha3, Fgfr1, Epha7, Ntrk3"
"11","MF","GO:0001540","amyloid-beta binding",57,7,1.18,40,0.00017,0.00017,0.12280701754386,"Apoe, Gria1, Cst3, Clu, Gria2, Itm2b, Ldlrad3"
"12","MF","GO:0008066","glutamate receptor activity",27,5,0.56,42,0.00021,0.00021,0.185185185185185,"Gria1, Grik2, Grik4, Gria2, Ptk2b"
"13","MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate bi...",78,8,1.62,43,0.00021,0.00021,0.102564102564103,"Syt1, Frmpd4, Kcnq1, Stxbp6, Plcb1, Syt7, Gsdme, Sh3pxd2a"
"14","MF","GO:0045499","chemorepellent activity",28,5,0.58,45,0.00025,0.00025,0.178571428571429,"Sema6d, Sema5a, Nrg1, Efna5, Epha7"
"15","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,16,2.8,5,0.00032,2.1e-08,0.118518518518519,"Fam155a, Il1rapl1, Cacna1c, Slc24a3, Cacna2d1, Itpr1, Trpc4, Atp2b1, Stim2, Jph1, Atp2b4, Itgav, Cacna1i, Slc8a1, Trpm7, Atp2a2"
