"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",237,22,5.95,2,3e-06,1.5e-07,0.0928270042194093,"Tenm4, Lrrc4c, Cdh10, Nlgn1, Nrxn1, Fgfr1, Gfap, Tenm1, Ptprd, Grin2b, Frmd5, Tenm2, Cd9, Cdh12, Ptpro, Adam8, Tnr, Itga7, Edil3, Calr, Ptprm, Myh9"
"2","MF","GO:0097110","scaffold protein binding",70,9,1.76,7,6.1e-05,6.1e-05,0.128571428571429,"Nlgn1, Trem2, Shank1, Grin2b, Cacna1g, Cacna1h, Ryr2, Dlg4, Dlgap3"
"3","MF","GO:0005509","calcium ion binding",574,30,14.4,12,0.00013,0.00013,0.0522648083623693,"Kcnip4, Cdh10, Dgkb, Egfem1, Nrxn1, Cblb, Fbln2, Vsnl1, Rhbdl3, Cdh12, Unc13b, Adam8, Man1a2, Aspn, Necab1, Lrp1b, Ryr2, Doc2b, Pam, Man1a, Edil3, Canx, Ryr1, Nell1, Itpr1, Calr, Scube3, Cabp1, Ccbe1, Slc25a23"
"4","MF","GO:0099604","ligand-gated calcium channel activity",25,5,0.63,14,0.00034,0.00034,0.2,"Grin2b, Ryr2, Tpcn2, Ryr1, Itpr1"
"5","MF","GO:0005515","protein binding",8273,268,207.55,1,0.00043,7e-09,0.0323945364438535,"Malat1, Il12b, Nrxn3, Pttg1, Tenm4, Cst3, Robo2, Erc2, Cryab, Lrrc4c, Cdh10, Luc7l2, Nr3c2, Apoe, Myt1l, Srsf2, Nrg1, Hbb-bs, Ahi1, Prkg1, Rnf112, Prickle1, Frmd4a, Dtx3, Kcnd2, Ttr, Arhgef25, Lrrtm4, Nlgn1, Cntn5, Slc4a3, Nxph1, Prkag2, Upp2, Frmd4b, Thsd4, Dpyd, Tshz2, Nrxn1, Ldlrad4, Fgfr1, Unc80, Fhit, Il1rapl1, Pde1a, Adcy1, Tyrobp, Gfap, Bach2, Cpne6, Lrtm1, Sycp3, Igf2bp3, Trem2, Dgkz, Ttc28, Shc3, Auts2, Camk1d, Abcb10, Asic2, Pard3b, Camk2a, C1qb, Shank1, Arpp21, Rph3al, Cblb, Spred2, Tle4, Tenm1, Plp1, Arhgef9, Sybu, Pde4b, Srsf7, Dbn1, Ptprd, Sorcs3, Grin2b, Fbln2, Rgs6, Pmepa1, Cacna1g, Reln, Nebl, Ndrg4, Dgkh, Ackr4, Kdm7a, Dscaml1, Hcn1, Plcl1, Adcy10, Sycp2, Spred1, Syndig1, Ctss, Kctd12, Ccl6, Ubash3b, Frmd5, Scai, Bmpr1a, Hsp90ab1, Tenm2, Cbfa2t3, Cttnbp2, Hdac9, Magi1, Cd9, Kcnj6, Dgki, Slc1a3, Vti1a, Cdh12, Aplp2, Ptpro, C1qtnf4, Wdr60, Kcnq1ot1, Mettl23, Unc13b, Hba-a1, Cacna1h, Shkbp1, Khdrbs3, Fst, Ror1, Pkn2, Adam8, Grik1, Wwp1, Mycbp2, Ube3a, Meis2, Gnao1, Akap8l, Sntg1, Ppp1r1a, Dok3, Rps21, Srsf1, L3mbtl3, Ppp2r3a, Gria4, Zmiz1, Aspn, Lrp1b, Atad2, Tnr, Sema3e, Scaf8, Pbx1, Mkx, Nfasc, Rab34, Hspa8, Pcdh7, Ryr2, Smad7, Trim35, Syne1, Cntnap2, Tbc1d5, Dlg4, C4b, Spon1, Lyz2, Dlg2, Grb14, Samd9l, Mllt3, Igf1r, C1qa, Zmynd11, Irf3, Arhgef11, Prdx1, Ptpn12, Hdgfl3, Trim9, Paxbp1, Ccl4, Cotl1, Tbl1x, Hnrnpa0, Tnfrsf23, Fbxl7, Fras1, Doc2b, Itga7, Stxbp6, Unc5d, Ptpre, Atpif1, Ehhadh, Grasp, Nos1ap, Crocc, Tpcn2, Pam, Nfkb1, Sema6d, Rbfox3, Dpysl3, Prkce, Arhgef7, Eda, Hnrnpm, Tcf4, Edil3, Slc3a2, Ago2, Sh3gl3, Ceacam2, Lancl1, Canx, Sars, Chd2, Mid1, Ryr1, Nell1, Prr5l, Hspa5, Spred3, Dlgap3, Htr4, Akap14, Mafb, Bod1l, Plppr4, Rims2, Rapgef2, Hba-a2, Apba2, Sphkap, Avil, Hsph1, Itpr1, Calr, Chd6, Rit2, Cdc42bpa, Nyap2, Rbm11, Arnt2, Cebpd, Xpnpep1, Mical2, Tsga10, Acvr2a, Large1, Pip4k2a, Cabp1, Rps6ka2, Rasgrf1, Pard3, Ccbe1, Crtc3, Ptprm, Col4a1, Myh9, Slc24a2, St13, Pomc, Pacrg, Rbm39"
"6","MF","GO:0042803","protein homodimerization activity",894,39,22.43,16,0.00058,0.00058,0.0436241610738255,"Il12b, Tenm4, Cryab, Cdh10, Nr3c2, Apoe, Prkg1, Dpyd, Fgfr1, Abcb10, Camk2a, C1qb, Tenm1, Dgkh, Dscaml1, Syndig1, Bmpr1a, Hsp90ab1, Tenm2, Cdh12, Ptpro, Grik1, Mycbp2, Syne1, Grb14, Irf3, Prdx1, Trim9, Ptpre, Nfkb1, Tcf4, Ceacam2, Sars, Mid1, Mafb, Rbm11, Cebpd, Xpnpep1, Myh9"
"7","MF","GO:0098918","structural constituent of synapse",29,5,0.73,20,7e-04,7e-04,0.172413793103448,"Erc2, Sptbn2, Dlg4, Dlg2, Rims2"
"8","MF","GO:0005217","intracellular ligand-gated ion channel a...",31,5,0.78,21,0.00096,0.00096,0.161290322580645,"Hcn1, Ryr2, Tpcn2, Ryr1, Itpr1"
"9","MF","GO:0030165","PDZ domain binding",114,9,2.86,25,0.00231,0.00231,0.0789473684210526,"Erc2, Nlgn1, Dlg4, Dlg2, Grasp, Nos1ap, Dlgap3, Rapgef2, Acvr2a"
"10","MF","GO:0001540","amyloid-beta binding",57,6,1.43,30,0.00297,0.00297,0.105263157894737,"Cst3, Cryab, Apoe, Trem2, Dlgap3, Apba2"
"11","MF","GO:0035255","ionotropic glutamate receptor binding",40,5,1,32,0.0031,0.0031,0.125,"Shank1, Grin2b, Dlg4, Dlg2, Canx"
"12","MF","GO:0017124","SH3 domain binding",126,9,3.16,37,0.00451,0.00451,0.0714285714285714,"Pttg1, Shank1, Cblb, Cttnbp2, Khdrbs3, Ptpn12, Dpysl3, Prkce, Lancl1"
"13","MF","GO:0003729","mRNA binding",251,14,6.3,38,0.00457,0.00457,0.0557768924302789,"Luc7l2, Celf2, Igf2bp3, Cirbp, Snrnp70, Celf5, Srsf1, Scaf8, Hnrnpa0, Rbfox3, Hnrnpm, Ago2, Rnps1, Calr"
"14","MF","GO:0004601","peroxidase activity",44,5,1.1,39,0.00472,0.00472,0.113636363636364,"Hbb-bs, Iyd, Hba-a1, Prdx1, Hba-a2"
"15","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",28,4,0.7,42,0.00497,0.00497,0.142857142857143,"Pde1a, Pde4a, Pde4b, Pde7a"
"16","MF","GO:0005178","integrin binding",128,9,3.21,43,0.005,0.005,0.0703125,"Gfap, Frmd5, Cd9, Adam8, Tnr, Itga7, Edil3, Calr, Myh9"
"17","MF","GO:0046914","transition metal ion binding",893,35,22.4,49,0.00619,0.00619,0.0391937290033595,"Nr3c2, Myt1l, Prickle1, Cyp7b1, Dpyd, Fhit, March4, Srsf7, Grin2b, Kdm7a, Adcy10, Aplp2, Adam8, Mycbp2, L3mbtl3, Zmiz1, Trim35, Car10, Zmynd11, Trim9, Aopep, St18, Zswim6, Pam, Ltn1, Lancl1, Mid1, Tut7, Calr, Isca2, Xpnpep1, Trhde, Large1, Mt1, Mmp17"
"18","MF","GO:0098632","cell-cell adhesion mediator activity",30,4,0.75,50,0.00639,0.00639,0.133333333333333,"Lrrc4c, Cntn5, Dscaml1, Nfasc"
"19","MF","GO:0005516","calmodulin binding",183,11,4.59,51,0.00661,0.00661,0.0601092896174863,"Pde1a, Adcy1, Camk1d, Camk2a, Arpp21, Unc13b, Ryr2, Ceacam2, Ryr1, Rit2, Myh9"
"20","MF","GO:0005245","voltage-gated calcium channel activity",50,5,1.25,54,0.00815,0.00815,0.1,"Il1rapl1, Cacna1g, Cacna1h, Tpcn2, Ryr1"
"21","MF","GO:0005102","signaling receptor binding",1472,60,36.93,10,0.00844,0.00013,0.0407608695652174,"Il12b, Apoe, Nrg1, Ttr, Nlgn1, Nxph1, Nrxn1, Fgfr1, Il1rapl1, Tyrobp, Gfap, Lrtm1, Shc3, Camk2a, Shank1, Cblb, Spred2, Ptprd, Grin2b, Reln, Plcl1, Spred1, Syndig1, Ccl6, Frmd5, Hsp90ab1, Tenm2, Cd9, C1qtnf4, Fst, Adam8, Gnao1, Tnr, Sema3e, Hspa8, Smad7, Syne1, Dlg4, Dlg2, Grb14, Igf1r, Arhgef11, Hdgfl3, Ccl4, Itga7, Sema6d, Prkce, Eda, Edil3, Lancl1, Canx, Rapgef2, Calr, Rit2, Arnt2, Acvr2a, Rasgrf1, Myh9, Pomc, Pacrg"
"22","MF","GO:0099094","ligand-gated cation channel activity",98,11,2.46,5,0.00954,3.5e-05,0.112244897959184,"Asic2, Grin2b, Hcn1, Kcnj6, Grik1, Gria4, Ryr2, Kcnh7, Tpcn2, Ryr1, Itpr1"
"23","MF","GO:0051082","unfolded protein binding",96,7,2.41,55,0.0105,0.0105,0.0729166666666667,"Cryab, Hsp90ab1, Hspa8, Canx, Hspa5, Calr, St13"
"24","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,6,1.86,56,0.01063,0.01063,0.0810810810810811,"Fgfr1, Bmpr1a, Ror1, Igf1r, Epha10, Acvr2a"
"25","MF","GO:0030551","cyclic nucleotide binding",35,4,0.88,58,0.01107,0.01107,0.114285714285714,"Prkg1, Pde4a, Pde4b, Hcn1"
"26","MF","GO:0043394","proteoglycan binding",35,4,0.88,59,0.01107,0.01107,0.114285714285714,"Apoe, Lrrtm4, Ctss, Fst"
