"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0043167","ion binding",5224,10,4.56,4,0.0047,0.0047,0.00191424196018377,"Reln, Epha6, Fat3, Kcnd2, Egfem1, Stxbp6, Galnt17, Lrrtm4, Ryr2, Nr4a2"
"2","MF","GO:0038023","signaling receptor activity",1383,5,1.21,6,0.0052,0.0052,0.00361532899493854,"Gabrg3, Epha6, Il1rapl2, Adgrb3, Nr4a2"
"3","MF","GO:0015276","ligand-gated ion channel activity",132,2,0.12,9,0.0058,0.0058,0.0151515151515152,"Gabrg3, Ryr2"
"4","MF","GO:0005509","calcium ion binding",574,3,0.5,12,0.0126,0.0126,0.00522648083623693,"Fat3, Egfem1, Ryr2"
"5","MF","GO:0046872","metal ion binding",3326,7,2.9,13,0.0159,0.0159,0.0021046301864101,"Reln, Fat3, Kcnd2, Egfem1, Galnt17, Ryr2, Nr4a2"
"6","MF","GO:0017049","GTP-Rho binding",20,1,0.02,14,0.0173,0.0173,0.05,"Stxbp6"
"7","MF","GO:1901681","sulfur compound binding",236,2,0.21,15,0.0176,0.0176,0.00847457627118644,"Lrrtm4, Ryr2"
"8","MF","GO:0099095","ligand-gated anion channel activity",21,1,0.02,16,0.0182,0.0182,0.0476190476190476,"Gabrg3"
"9","MF","GO:0035259","glucocorticoid receptor binding",21,1,0.02,17,0.0182,0.0182,0.0476190476190476,"Nr4a2"
"10","MF","GO:0004888","transmembrane signaling receptor activit...",1212,4,1.06,18,0.0182,0.0182,0.0033003300330033,"Gabrg3, Epha6, Il1rapl2, Adgrb3"
"11","MF","GO:0043169","cation binding",3418,7,2.98,19,0.0184,0.0184,0.00204798127559977,"Reln, Fat3, Kcnd2, Egfem1, Galnt17, Ryr2, Nr4a2"
"12","MF","GO:0016917","GABA receptor activity",22,1,0.02,20,0.019,0.019,0.0454545454545455,"Gabrg3"
"13","MF","GO:0034237","protein kinase A regulatory subunit bind...",22,1,0.02,21,0.019,0.019,0.0454545454545455,"Ryr2"
"14","MF","GO:0099604","ligand-gated calcium channel activity",25,1,0.02,22,0.0216,0.0216,0.04,"Ryr2"
"15","MF","GO:0070325","lipoprotein particle receptor binding",28,1,0.02,23,0.0242,0.0242,0.0357142857142857,"Reln"
"16","MF","GO:0005217","intracellular ligand-gated ion channel a...",31,1,0.03,25,0.0267,0.0267,0.032258064516129,"Ryr2"
"17","MF","GO:0005261","cation channel activity",310,2,0.27,26,0.0292,0.0292,0.00645161290322581,"Kcnd2, Ryr2"
"18","MF","GO:0043394","proteoglycan binding",35,1,0.03,27,0.0301,0.0301,0.0285714285714286,"Lrrtm4"
"19","MF","GO:0098531","transcription factor activity, direct li...",40,1,0.03,29,0.0344,0.0344,0.025,"Nr4a2"
"20","MF","GO:0004879","nuclear receptor activity",40,1,0.03,30,0.0344,0.0344,0.025,"Nr4a2"
"21","MF","GO:0035255","ionotropic glutamate receptor binding",40,1,0.03,31,0.0344,0.0344,0.025,"Lrrc7"
"22","MF","GO:0005102","signaling receptor binding",1472,4,1.28,32,0.0345,0.0345,0.00271739130434783,"Reln, Tafa2, Lrrc7, Nr4a2"
"23","MF","GO:0008376","acetylgalactosaminyltransferase activity",41,1,0.04,33,0.0352,0.0352,0.024390243902439,"Galnt17"
"24","MF","GO:0051018","protein kinase A binding",51,1,0.04,35,0.0436,0.0436,0.0196078431372549,"Ryr2"
"25","MF","GO:1904315","transmitter-gated ion channel activity i...",52,1,0.05,36,0.0444,0.0444,0.0192307692307692,"Gabrg3"
"26","MF","GO:0099529","neurotransmitter receptor activity invol...",55,1,0.05,37,0.0469,0.0469,0.0181818181818182,"Gabrg3"
"27","MF","GO:0003707","steroid hormone receptor activity",55,1,0.05,38,0.0469,0.0469,0.0181818181818182,"Nr4a2"
"28","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,1,0.05,39,0.0486,0.0486,0.0175438596491228,"Epha6"
"29","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",57,1,0.05,40,0.0486,0.0486,0.0175438596491228,"Gabrg3"
"30","MF","GO:0022824","transmitter-gated ion channel activity",58,1,0.05,41,0.0494,0.0494,0.0172413793103448,"Gabrg3"
"31","MF","GO:0022835","transmitter-gated channel activity",58,1,0.05,42,0.0494,0.0494,0.0172413793103448,"Gabrg3"
"32","MF","GO:0046873","metal ion transmembrane transporter acti...",420,2,0.37,44,0.0508,0.0508,0.00476190476190476,"Kcnd2, Ryr2"
"33","MF","GO:0043621","protein self-association",61,1,0.05,45,0.0519,0.0519,0.0163934426229508,"Ryr2"
"34","MF","GO:0035254","glutamate receptor binding",65,1,0.06,46,0.0553,0.0553,0.0153846153846154,"Lrrc7"
"35","MF","GO:0005254","chloride channel activity",67,1,0.06,47,0.0569,0.0569,0.0149253731343284,"Gabrg3"
"36","MF","GO:0097110","scaffold protein binding",70,1,0.06,48,0.0594,0.0594,0.0142857142857143,"Ryr2"
"37","MF","GO:0005230","extracellular ligand-gated ion channel a...",71,1,0.06,49,0.0602,0.0602,0.0140845070422535,"Gabrg3"
