"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0003779","actin binding",416,4,0.36,1,0.00038,0.00038,0.00961538461538462,"Cacnb2, Mtss1, Ccr5, Fer"
"2","MF","GO:0044877","protein-containing complex binding",1185,5,1.03,3,0.00268,0.00268,0.00421940928270042,"Stab1, Prkca, Cacnb2, Mtss1, Itga9"
"3","MF","GO:0019901","protein kinase binding",715,4,0.62,4,0.00287,0.00287,0.00559440559440559,"Bank1, Cacnb2, Ccr5, Fer"
"4","MF","GO:0043167","ion binding",5224,10,4.56,6,0.00473,0.00473,0.00191424196018377,"Zfhx3, Nav2, Stab1, Chd9, Prkca, Fchsd2, Agmo, Itga9, Fer, F13a1"
"5","MF","GO:0005539","glycosaminoglycan binding",192,2,0.17,9,0.01189,0.01189,0.0104166666666667,"Nav2, Stab1"
"6","MF","GO:0051015","actin filament binding",197,2,0.17,10,0.01248,0.01248,0.0101522842639594,"Cacnb2, Mtss1"
"7","MF","GO:0005540","hyaluronic acid binding",20,1,0.02,11,0.01732,0.01732,0.05,"Stab1"
"8","MF","GO:0016493","C-C chemokine receptor activity",20,1,0.02,12,0.01732,0.01732,0.05,"Ccr5"
"9","MF","GO:0008157","protein phosphatase 1 binding",20,1,0.02,13,0.01732,0.01732,0.05,"Fer"
"10","MF","GO:0050839","cell adhesion molecule binding",237,2,0.21,14,0.01772,0.01772,0.00843881856540084,"Prkca, Fer"
"11","MF","GO:0043168","anion binding",2593,6,2.26,15,0.01788,0.01788,0.00231392209795604,"Nav2, Stab1, Chd9, Prkca, Fchsd2, Fer"
"12","MF","GO:0019957","C-C chemokine binding",21,1,0.02,16,0.01818,0.01818,0.0476190476190476,"Ccr5"
"13","MF","GO:0004950","chemokine receptor activity",21,1,0.02,17,0.01818,0.01818,0.0476190476190476,"Ccr5"
"14","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,1,0.02,18,0.01818,0.01818,0.0476190476190476,"Ccr5"
"15","MF","GO:0003785","actin monomer binding",25,1,0.02,19,0.0216,0.0216,0.04,"Mtss1"
"16","MF","GO:0071814","protein-lipid complex binding",27,1,0.02,20,0.02331,0.02331,0.037037037037037,"Stab1"
"17","MF","GO:0071813","lipoprotein particle binding",27,1,0.02,21,0.02331,0.02331,0.037037037037037,"Stab1"
"18","MF","GO:0019956","chemokine binding",28,1,0.02,22,0.02416,0.02416,0.0357142857142857,"Ccr5"
"19","MF","GO:0043325","phosphatidylinositol-3,4-bisphosphate bi...",28,1,0.02,23,0.02416,0.02416,0.0357142857142857,"Fchsd2"
"20","MF","GO:0043236","laminin binding",28,1,0.02,24,0.02416,0.02416,0.0357142857142857,"Itga9"
"21","MF","GO:0097367","carbohydrate derivative binding",2036,5,1.78,25,0.02572,0.02572,0.00245579567779961,"Nav2, Stab1, Chd9, Prkca, Fer"
"22","MF","GO:0005154","epidermal growth factor receptor binding",35,1,0.03,26,0.03012,0.03012,0.0285714285714286,"Fer"
"23","MF","GO:0005102","signaling receptor binding",1472,4,1.28,27,0.03448,0.03448,0.00271739130434783,"Bank1, Prkca, Mtss1, Fer"
"24","MF","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate...",41,1,0.04,28,0.0352,0.0352,0.024390243902439,"Fchsd2"
"25","MF","GO:0005246","calcium channel regulator activity",41,1,0.04,29,0.0352,0.0352,0.024390243902439,"Cacnb2"
"26","MF","GO:0005044","scavenger receptor activity",44,1,0.04,30,0.03773,0.03773,0.0227272727272727,"Stab1"
"27","MF","GO:0004715","non-membrane spanning protein tyrosine k...",45,1,0.04,31,0.03857,0.03857,0.0222222222222222,"Fer"
"28","MF","GO:0046914","transition metal ion binding",893,3,0.78,32,0.04012,0.04012,0.00335946248600224,"Zfhx3, Prkca, Agmo"
"29","MF","GO:0005245","voltage-gated calcium channel activity",50,1,0.04,33,0.04277,0.04277,0.02,"Cacnb2"
"30","MF","GO:0050840","extracellular matrix binding",56,1,0.05,34,0.04778,0.04778,0.0178571428571429,"Itga9"
"31","MF","GO:0046872","metal ion binding",3326,6,2.9,36,0.05442,0.05442,0.00180396873120866,"Zfhx3, Stab1, Prkca, Agmo, Itga9, F13a1"
"32","MF","GO:0045296","cadherin binding",66,1,0.06,37,0.05609,0.05609,0.0151515151515152,"Fer"
"33","MF","GO:0005518","collagen binding",68,1,0.06,38,0.05774,0.05774,0.0147058823529412,"Itga9"
"34","MF","GO:0043169","cation binding",3418,6,2.98,39,0.06106,0.06106,0.00175541252194266,"Zfhx3, Stab1, Prkca, Agmo, Itga9, F13a1"
"35","MF","GO:0038024","cargo receptor activity",82,1,0.07,40,0.06923,0.06923,0.0121951219512195,"Stab1"
"36","MF","GO:0004896","cytokine receptor activity",87,1,0.08,41,0.0733,0.0733,0.0114942528735632,"Ccr5"
"37","MF","GO:1990782","protein tyrosine kinase binding",100,1,0.09,42,0.08381,0.08381,0.01,"Bank1"
"38","MF","GO:0051219","phosphoprotein binding",101,1,0.09,43,0.08462,0.08462,0.0099009900990099,"Cacnb2"
"39","MF","GO:0099106","ion channel regulator activity",107,1,0.09,44,0.08943,0.08943,0.00934579439252336,"Cacnb2"
"40","MF","GO:0004672","protein kinase activity",584,2,0.51,45,0.09056,0.09056,0.00342465753424658,"Prkca, Fer"
"41","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,1,0.1,46,0.09102,0.09102,0.00917431192660551,"Fchsd2"
"42","MF","GO:0019955","cytokine binding",116,1,0.1,47,0.0966,0.0966,0.00862068965517241,"Ccr5"
"43","MF","GO:0004497","monooxygenase activity",118,1,0.1,48,0.09818,0.09818,0.00847457627118644,"Agmo"
"44","MF","GO:0005262","calcium channel activity",118,1,0.1,49,0.09818,0.09818,0.00847457627118644,"Cacnb2"
"45","MF","GO:0008528","G protein-coupled peptide receptor activ...",124,1,0.11,50,0.10292,0.10292,0.00806451612903226,"Ccr5"
"46","MF","GO:0004713","protein tyrosine kinase activity",127,1,0.11,51,0.10529,0.10529,0.0078740157480315,"Fer"
"47","MF","GO:0005178","integrin binding",128,1,0.11,52,0.10607,0.10607,0.0078125,"Prkca"
"48","MF","GO:0008270","zinc ion binding",651,2,0.57,53,0.10884,0.10884,0.00307219662058372,"Zfhx3, Prkca"
"49","MF","GO:0001653","peptide receptor activity",133,1,0.12,54,0.10999,0.10999,0.0075187969924812,"Ccr5"
"50","MF","GO:0005524","ATP binding",1357,3,1.18,55,0.11001,0.11001,0.00221075902726603,"Chd9, Prkca, Fer"
"51","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,1,0.12,56,0.11156,0.11156,0.00740740740740741,"Cacnb2"
"52","MF","GO:0016247","channel regulator activity",136,1,0.12,57,0.11234,0.11234,0.00735294117647059,"Cacnb2"
"53","MF","GO:0070851","growth factor receptor binding",136,1,0.12,58,0.11234,0.11234,0.00735294117647059,"Fer"
"54","MF","GO:0005506","iron ion binding",142,1,0.12,59,0.11701,0.11701,0.00704225352112676,"Agmo"
"55","MF","GO:0016773","phosphotransferase activity, alcohol gro...",682,2,0.6,60,0.11762,0.11762,0.00293255131964809,"Prkca, Fer"
"56","MF","GO:0022843","voltage-gated cation channel activity",143,1,0.12,61,0.11779,0.11779,0.00699300699300699,"Cacnb2"
"57","MF","GO:0008201","heparin binding",144,1,0.13,62,0.11856,0.11856,0.00694444444444444,"Nav2"
"58","MF","GO:0032559","adenyl ribonucleotide binding",1418,3,1.24,63,0.12152,0.12152,0.00211565585331453,"Chd9, Prkca, Fer"
