"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0038024","cargo receptor activity",82,3,0.09,1,0.00011,0.00011,0.0365853658536585,"Mrc1, Stab1, Dab2"
"2","MF","GO:0005096","GTPase activator activity",235,3,0.27,2,0.00233,0.00233,0.0127659574468085,"Srgap2, Arhgap15, Dlc1"
"3","MF","GO:0005178","integrin binding",128,2,0.15,5,0.00931,0.00931,0.015625,"Prkca, Dab2"
"4","MF","GO:0019899","enzyme binding",2238,7,2.56,7,0.00983,0.00983,0.0031277926720286,"Bank1, Zfhx3, Elmo1, Srgap2, Prkca, Pde4d, Dlc1"
"5","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,3,0.59,9,0.01991,0.01991,0.00584795321637427,"Zfhx3, Maf, Klf7"
"6","MF","GO:0051015","actin filament binding",197,2,0.23,10,0.02109,0.02109,0.0101522842639594,"Myo1d, Mtss1"
"7","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,3,0.6,11,0.02115,0.02115,0.00571428571428571,"Zfhx3, Maf, Klf7"
"8","MF","GO:0005540","hyaluronic acid binding",20,1,0.02,12,0.02267,0.02267,0.05,"Stab1"
"9","MF","GO:0003785","actin monomer binding",25,1,0.03,14,0.02826,0.02826,0.04,"Mtss1"
"10","MF","GO:0005537","mannose binding",25,1,0.03,15,0.02826,0.02826,0.04,"Mrc1"
"11","MF","GO:0071814","protein-lipid complex binding",27,1,0.03,18,0.03049,0.03049,0.037037037037037,"Stab1"
"12","MF","GO:0071813","lipoprotein particle binding",27,1,0.03,19,0.03049,0.03049,0.037037037037037,"Stab1"
"13","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",28,1,0.03,21,0.0316,0.0316,0.0357142857142857,"Pde4d"
"14","MF","GO:0004112","cyclic-nucleotide phosphodiesterase acti...",29,1,0.03,22,0.03271,0.03271,0.0344827586206897,"Pde4d"
"15","MF","GO:0042169","SH2 domain binding",39,1,0.04,23,0.04375,0.04375,0.0256410256410256,"Dlc1"
"16","MF","GO:0043167","ion binding",5224,10,5.98,24,0.04892,0.04892,0.00191424196018377,"F13a1, Zfhx3, Chd9, Stab1, Agmo, Prkca, Myo1d, Pde4d, Dab2, Klf7"
"17","MF","GO:0005044","scavenger receptor activity",44,1,0.05,25,0.04923,0.04923,0.0227272727272727,"Stab1"
"18","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,3,0.85,26,0.05137,0.05137,0.00403225806451613,"Zfhx3, Maf, Klf7"
"19","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,3,0.86,27,0.05274,0.05274,0.00398936170212766,"Zfhx3, Maf, Klf7"
"20","MF","GO:0019904","protein domain specific binding",762,3,0.87,28,0.05448,0.05448,0.00393700787401575,"Elmo1, Myo1d, Dlc1"
"21","MF","GO:0030276","clathrin binding",52,1,0.06,29,0.05793,0.05793,0.0192307692307692,"Dab2"
"22","MF","GO:0000976","transcription regulatory region sequence...",786,3,0.9,30,0.05876,0.05876,0.00381679389312977,"Zfhx3, Maf, Klf7"
"23","MF","GO:1990837","sequence-specific double-stranded DNA bi...",828,3,0.95,31,0.06663,0.06663,0.0036231884057971,"Zfhx3, Maf, Klf7"
"24","MF","GO:0046872","metal ion binding",3326,7,3.81,32,0.07073,0.07073,0.0021046301864101,"F13a1, Zfhx3, Stab1, Agmo, Prkca, Pde4d, Klf7"
"25","MF","GO:0001228","DNA-binding transcription activator acti...",389,2,0.45,33,0.07234,0.07234,0.0051413881748072,"Maf, Klf7"
"26","MF","GO:0048365","Rac GTPase binding",66,1,0.08,34,0.07297,0.07297,0.0151515151515152,"Srgap2"
"27","MF","GO:0048306","calcium-dependent protein binding",71,1,0.08,35,0.07828,0.07828,0.0140845070422535,"Myo1d"
"28","MF","GO:0044212","transcription regulatory region DNA bind...",892,3,1.02,36,0.07953,0.07953,0.00336322869955157,"Zfhx3, Maf, Klf7"
"29","MF","GO:0046914","transition metal ion binding",893,3,1.02,37,0.07974,0.07974,0.00335946248600224,"Zfhx3, Agmo, Prkca"
"30","MF","GO:0043169","cation binding",3418,7,3.91,38,0.07991,0.07991,0.00204798127559977,"F13a1, Zfhx3, Stab1, Agmo, Prkca, Pde4d, Klf7"
"31","MF","GO:0001067","regulatory region nucleic acid binding",896,3,1.03,40,0.08037,0.08037,0.00334821428571429,"Zfhx3, Maf, Klf7"
"32","MF","GO:0003779","actin binding",416,2,0.48,41,0.08124,0.08124,0.00480769230769231,"Myo1d, Mtss1"
"33","MF","GO:0003690","double-stranded DNA binding",903,3,1.03,42,0.08185,0.08185,0.00332225913621262,"Zfhx3, Maf, Klf7"
