"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0061630","ubiquitin protein ligase activity",225,1,0.02,1,0.024,0.024,0.00444444444444444,"Pdzrn3"
"2","MF","GO:0061659","ubiquitin-like protein ligase activity",233,1,0.03,2,0.025,0.025,0.00429184549356223,"Pdzrn3"
"3","MF","GO:0046872","metal ion binding",3326,2,0.36,3,0.033,0.033,0.000601322910402886,"Tshz2, Pdzrn3"
"4","MF","GO:0043169","cation binding",3418,2,0.37,4,0.035,0.035,0.000585137507314219,"Tshz2, Pdzrn3"
"5","MF","GO:0004842","ubiquitin-protein transferase activity",367,1,0.04,5,0.04,0.04,0.00272479564032698,"Pdzrn3"
"6","MF","GO:0019787","ubiquitin-like protein transferase activ...",388,1,0.04,6,0.042,0.042,0.00257731958762887,"Pdzrn3"
"7","MF","GO:0003682","chromatin binding",536,1,0.06,7,0.058,0.058,0.00186567164179104,"Tshz2"
"8","MF","GO:0008270","zinc ion binding",651,1,0.07,8,0.07,0.07,0.00153609831029186,"Pdzrn3"
"9","MF","GO:0043167","ion binding",5224,2,0.57,9,0.081,0.081,0.000382848392036753,"Tshz2, Pdzrn3"
"10","MF","GO:0046914","transition metal ion binding",893,1,0.1,10,0.095,0.095,0.00111982082866741,"Pdzrn3"
"11","MF","GO:0003677","DNA binding",1834,1,0.2,11,0.19,0.19,0.00054525627044711,"Tshz2"
"12","MF","GO:0005515","protein binding",8273,2,0.9,12,0.204,0.204,0.000241750271969056,"Tshz2, Pdzrn3"
"13","MF","GO:0140096","catalytic activity, acting on a protein",2044,1,0.22,13,0.211,0.211,0.000489236790606654,"Pdzrn3"
"14","MF","GO:0016740","transferase activity",2164,1,0.24,14,0.222,0.222,0.000462107208872458,"Pdzrn3"
"15","MF","GO:0003676","nucleic acid binding",2829,1,0.31,15,0.285,0.285,0.000353481795687522,"Tshz2"
"16","MF","GO:0005488","binding",11858,2,1.29,16,0.418,0.418,0.000168662506324844,"Tshz2, Pdzrn3"
"17","MF","GO:1901363","heterocyclic compound binding",4665,1,0.51,17,0.444,0.444,0.000214362272240086,"Tshz2"
"18","MF","GO:0097159","organic cyclic compound binding",4747,1,0.52,18,0.451,0.451,0.000210659363808721,"Tshz2"
"19","MF","GO:0003824","catalytic activity",5396,1,0.59,19,0.502,0.502,0.000185322461082283,"Pdzrn3"
"20","MF","GO:0003674","molecular_function",18336,2,2,20,1,1,0.000109075043630017,"Tshz2, Pdzrn3"
"21","MF","GO:0000030","mannosyltransferase activity",26,0,0,21,1,1,0,""
"22","MF","GO:0000049","tRNA binding",57,0,0.01,22,1,1,0,""
"23","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0,23,1,1,0,""
"24","MF","GO:0000149","SNARE binding",116,0,0.01,24,1,1,0,""
"25","MF","GO:0000166","nucleotide binding",1969,0,0.21,25,1,1,0,""
"26","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0,26,1,1,0,""
"27","MF","GO:0000217","DNA secondary structure binding",24,0,0,27,1,1,0,""
"28","MF","GO:0000287","magnesium ion binding",187,0,0.02,28,1,1,0,""
"29","MF","GO:0000976","transcription regulatory region sequence...",786,0,0.09,29,1,1,0,""
"30","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,0,0.08,30,1,1,0,""
"31","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,0,0.06,31,1,1,0,""
"32","MF","GO:0000979","RNA polymerase II core promoter sequence...",37,0,0,32,1,1,0,""
"33","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,0,0.01,33,1,1,0,""
"34","MF","GO:0000981","DNA-binding transcription factor activit...",669,0,0.07,34,1,1,0,""
"35","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,0,0.06,35,1,1,0,""
"36","MF","GO:0000993","RNA polymerase II complex binding",37,0,0,36,1,1,0,""
"37","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,0,0.08,37,1,1,0,""
"38","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,0,0.01,38,1,1,0,""
"39","MF","GO:0001047","core promoter binding",60,0,0.01,39,1,1,0,""
"40","MF","GO:0001067","regulatory region nucleic acid binding",896,0,0.1,40,1,1,0,""
"41","MF","GO:0001085","RNA polymerase II transcription factor b...",165,0,0.02,41,1,1,0,""
"42","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,0,0,42,1,1,0,""
"43","MF","GO:0001098","basal transcription machinery binding",57,0,0.01,43,1,1,0,""
"44","MF","GO:0001099","basal RNA polymerase II transcription ma...",57,0,0.01,44,1,1,0,""
"45","MF","GO:0001102","RNA polymerase II activating transcripti...",51,0,0.01,45,1,1,0,""
"46","MF","GO:0001103","RNA polymerase II repressing transcripti...",33,0,0,46,1,1,0,""
"47","MF","GO:0001158","enhancer sequence-specific DNA binding",110,0,0.01,47,1,1,0,""
"48","MF","GO:0001221","transcription cofactor binding",49,0,0.01,48,1,1,0,""
"49","MF","GO:0001223","transcription coactivator binding",22,0,0,49,1,1,0,""
"50","MF","GO:0001227","DNA-binding transcription repressor acti...",215,0,0.02,50,1,1,0,""
"51","MF","GO:0001228","DNA-binding transcription activator acti...",389,0,0.04,51,1,1,0,""
"52","MF","GO:0001530","lipopolysaccharide binding",24,0,0,52,1,1,0,""
"53","MF","GO:0001540","amyloid-beta binding",57,0,0.01,53,1,1,0,""
"54","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,0,0,54,1,1,0,""
"55","MF","GO:0001653","peptide receptor activity",133,0,0.01,55,1,1,0,""
"56","MF","GO:0001664","G protein-coupled receptor binding",266,0,0.03,56,1,1,0,""
"57","MF","GO:0001671","ATPase activator activity",24,0,0,57,1,1,0,""
"58","MF","GO:0001784","phosphotyrosine residue binding",43,0,0,58,1,1,0,""
"59","MF","GO:0001786","phosphatidylserine binding",61,0,0.01,59,1,1,0,""
"60","MF","GO:0001848","complement binding",21,0,0,60,1,1,0,""
"61","MF","GO:0001871","pattern binding",21,0,0,61,1,1,0,""
"62","MF","GO:0001882","nucleoside binding",360,0,0.04,62,1,1,0,""
"63","MF","GO:0001883","purine nucleoside binding",350,0,0.04,63,1,1,0,""
"64","MF","GO:0001965","G-protein alpha-subunit binding",35,0,0,64,1,1,0,""
"65","MF","GO:0001968","fibronectin binding",30,0,0,65,1,1,0,""
"66","MF","GO:0002020","protease binding",135,0,0.01,66,1,1,0,""
"67","MF","GO:0002039","p53 binding",68,0,0.01,67,1,1,0,""
"68","MF","GO:0003678","DNA helicase activity",61,0,0.01,68,1,1,0,""
"69","MF","GO:0003684","damaged DNA binding",55,0,0.01,69,1,1,0,""
"70","MF","GO:0003688","DNA replication origin binding",23,0,0,70,1,1,0,""
"71","MF","GO:0003690","double-stranded DNA binding",903,0,0.1,71,1,1,0,""
"72","MF","GO:0003697","single-stranded DNA binding",109,0,0.01,72,1,1,0,""
"73","MF","GO:0003700","DNA-binding transcription factor activit...",882,0,0.1,73,1,1,0,""
"74","MF","GO:0003707","steroid hormone receptor activity",55,0,0.01,74,1,1,0,""
"75","MF","GO:0003712","transcription coregulator activity",442,0,0.05,75,1,1,0,""
"76","MF","GO:0003713","transcription coactivator activity",252,0,0.03,76,1,1,0,""
"77","MF","GO:0003714","transcription corepressor activity",180,0,0.02,77,1,1,0,""
"78","MF","GO:0003723","RNA binding",1018,0,0.11,78,1,1,0,""
"79","MF","GO:0003724","RNA helicase activity",63,0,0.01,79,1,1,0,""
"80","MF","GO:0003725","double-stranded RNA binding",82,0,0.01,80,1,1,0,""
"81","MF","GO:0003727","single-stranded RNA binding",91,0,0.01,81,1,1,0,""
"82","MF","GO:0003729","mRNA binding",251,0,0.03,82,1,1,0,""
"83","MF","GO:0003730","mRNA 3'-UTR binding",83,0,0.01,83,1,1,0,""
"84","MF","GO:0003735","structural constituent of ribosome",171,0,0.02,84,1,1,0,""
"85","MF","GO:0003743","translation initiation factor activity",46,0,0.01,85,1,1,0,""
"86","MF","GO:0003755","peptidyl-prolyl cis-trans isomerase acti...",36,0,0,86,1,1,0,""
"87","MF","GO:0003774","motor activity",129,0,0.01,87,1,1,0,""
"88","MF","GO:0003777","microtubule motor activity",80,0,0.01,88,1,1,0,""
"89","MF","GO:0003779","actin binding",416,0,0.05,89,1,1,0,""
"90","MF","GO:0003785","actin monomer binding",25,0,0,90,1,1,0,""
"91","MF","GO:0003823","antigen binding",51,0,0.01,91,1,1,0,""
"92","MF","GO:0003887","DNA-directed DNA polymerase activity",26,0,0,92,1,1,0,""
"93","MF","GO:0003899","DNA-directed 5'-3' RNA polymerase activi...",37,0,0,93,1,1,0,""
"94","MF","GO:0003924","GTPase activity",275,0,0.03,94,1,1,0,""
"95","MF","GO:0003950","NAD+ ADP-ribosyltransferase activity",23,0,0,95,1,1,0,""
"96","MF","GO:0003954","NADH dehydrogenase activity",20,0,0,96,1,1,0,""
"97","MF","GO:0004003","ATP-dependent DNA helicase activity",22,0,0,97,1,1,0,""
"98","MF","GO:0004033","aldo-keto reductase (NADP) activity",26,0,0,98,1,1,0,""
"99","MF","GO:0004112","cyclic-nucleotide phosphodiesterase acti...",29,0,0,99,1,1,0,""
"100","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",28,0,0,100,1,1,0,""
"101","BP","GO:0007528","neuromuscular junction development",55,1,0.01,1,0.006,0.006,0.0181818181818182,"Pdzrn3"
"102","BP","GO:0016567","protein ubiquitination",554,1,0.06,3,0.059,0.059,0.00180505415162455,"Pdzrn3"
"103","BP","GO:0032446","protein modification by small protein co...",603,1,0.07,4,0.065,0.065,0.00165837479270315,"Pdzrn3"
"104","BP","GO:0070647","protein modification by small protein co...",714,1,0.08,5,0.076,0.076,0.00140056022408964,"Pdzrn3"
"105","BP","GO:0044260","cellular macromolecule metabolic process",6561,2,0.71,6,0.127,0.127,0.000304831580551745,"Tshz2, Pdzrn3"
"106","BP","GO:0043170","macromolecule metabolic process",7593,2,0.83,7,0.171,0.171,0.000263400500460951,"Tshz2, Pdzrn3"
"107","BP","GO:0006357","regulation of transcription by RNA polym...",1811,1,0.2,8,0.187,0.187,0.000552181115405853,"Tshz2"
