"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0044877","protein-containing complex binding",1185,34,15.9,7,0.00015,2.2e-05,0.0286919831223629,"Pttg1, Cryab, Ctnna3, Spock3, Apoe, Spock1, Pcdh15, Cd9, Prkca, Ctss, Kcnma1, Magi2, Ablim2, Shtn1, Ctnna2, Strn, Trem2, Pros1, Prkn, Ephb1, H2-D1, Dlgap1, Grin2a, Mta3, Xrcc6, Hcn2, Gnb4, Mapt, Syne1, Ptn, Hcn1, Clu, Adam9, St13"
"2","MF","GO:0048156","tau protein binding",21,4,0.28,8,0.00016,0.00016,0.19047619047619,"Hsp90ab1, Apoe, Hsp90aa1, Clu"
"3","MF","GO:0042803","protein homodimerization activity",894,26,11.99,9,0.00018,0.00018,0.029082774049217,"Cryab, Hsp90ab1, Csf1, Apoe, Cdh19, Il12b, Dscaml1, Stat3, Cst7, Kcnma1, Zfp365, Cdh10, Hsp90aa1, Masp1, Cpq, C1qb, Fgfr2, Sbf2, Mtmr2, Ikzf2, B2m, Tcf12, Mapt, Syne1, Tpd52l2, Cpox"
"4","MF","GO:0051087","chaperone binding",96,7,1.29,11,0.00031,0.00031,0.0729166666666667,"Pacrg, Stip1, Cdc37l1, Prkn, Ahsa1, Mapt, St13"
"5","MF","GO:0051879","Hsp90 protein binding",46,5,0.62,12,0.00037,0.00037,0.108695652173913,"Pacrg, Stip1, Ahsa1, Chordc1, Mapt"
"6","MF","GO:0050839","cell adhesion molecule binding",237,11,3.18,13,0.00037,0.00037,0.0464135021097046,"Ctnna3, Cdh19, Cd9, Prkca, Nlgn1, Shtn1, Ctnna2, Cdh10, Grin2a, Ptn, Adam9"
"7","MF","GO:0003779","actin binding",416,15,5.58,15,0.00052,0.00052,0.0360576923076923,"Ctnna3, Pacrg, Kcnma1, Ablim2, Shtn1, Ctnna2, Mobp, Tmod2, Prkn, Wasf3, Fmnl2, Myrip, Syne1, Fmn1, Cald1"
"8","MF","GO:0030165","PDZ domain binding",114,7,1.53,18,0.00087,0.00087,0.0614035087719298,"Plekha1, Kirrel3, Grid2, Nlgn1, Prkn, Nkd1, Hcn2"
"9","MF","GO:0001540","amyloid-beta binding",57,5,0.76,20,0.00099,0.00099,0.087719298245614,"Cryab, Cst3, Apoe, Trem2, Clu"
"10","MF","GO:0051082","unfolded protein binding",96,6,1.29,22,0.00186,0.00186,0.0625,"Cryab, Hsp90ab1, Cdc37l1, Hsp90aa1, Clu, St13"
"11","MF","GO:0005212","structural constituent of eye lens",20,3,0.27,23,0.0023,0.0023,0.15,"Cryab, Bfsp2, Cpox"
