"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0051015","actin filament binding",197,3,0.19,5,0.00088,0.00088,0.0152284263959391,"Cacnb2, Mtss1, Myo1d"
"2","MF","GO:0019901","protein kinase binding",715,4,0.7,7,0.00453,0.00453,0.00559440559440559,"Bank1, Cacnb2, Ccr5, Fer"
"3","MF","GO:0017016","Ras GTPase binding",403,3,0.4,10,0.00673,0.00673,0.00744416873449132,"Srgap2, Rapgef5, Fer"
"4","MF","GO:0043168","anion binding",2593,7,2.55,12,0.00854,0.00854,0.00269957578094871,"Nav2, Chd9, Prkca, Stab1, Fchsd2, Fer, Myo1d"
"5","MF","GO:0097367","carbohydrate derivative binding",2036,6,2,13,0.01061,0.01061,0.00294695481335953,"Nav2, Chd9, Prkca, Stab1, Fer, Myo1d"
"6","MF","GO:0003779","actin binding",416,5,0.41,1,0.01374,3.9e-05,0.0120192307692308,"Cacnb2, Ccr5, Fer, Mtss1, Myo1d"
"7","MF","GO:0005539","glycosaminoglycan binding",192,2,0.19,16,0.01495,0.01495,0.0104166666666667,"Nav2, Stab1"
"8","MF","GO:0016493","C-C chemokine receptor activity",20,1,0.02,17,0.01946,0.01946,0.05,"Ccr5"
"9","MF","GO:0005540","hyaluronic acid binding",20,1,0.02,18,0.01946,0.01946,0.05,"Stab1"
"10","MF","GO:0008157","protein phosphatase 1 binding",20,1,0.02,19,0.01946,0.01946,0.05,"Fer"
"11","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,1,0.02,20,0.02043,0.02043,0.0476190476190476,"Ccr5"
"12","MF","GO:0004950","chemokine receptor activity",21,1,0.02,21,0.02043,0.02043,0.0476190476190476,"Ccr5"
"13","MF","GO:0019957","C-C chemokine binding",21,1,0.02,22,0.02043,0.02043,0.0476190476190476,"Ccr5"
"14","MF","GO:0050839","cell adhesion molecule binding",237,2,0.23,23,0.02221,0.02221,0.00843881856540084,"Prkca, Fer"
"15","MF","GO:0030742","GTP-dependent protein binding",23,1,0.02,24,0.02235,0.02235,0.0434782608695652,"Rapgef5"
"16","MF","GO:0003785","actin monomer binding",25,1,0.02,25,0.02427,0.02427,0.04,"Mtss1"
"17","MF","GO:0071813","lipoprotein particle binding",27,1,0.03,26,0.02619,0.02619,0.037037037037037,"Stab1"
"18","MF","GO:0071814","protein-lipid complex binding",27,1,0.03,27,0.02619,0.02619,0.037037037037037,"Stab1"
"19","MF","GO:0043236","laminin binding",28,1,0.03,28,0.02715,0.02715,0.0357142857142857,"Itga9"
"20","MF","GO:0019956","chemokine binding",28,1,0.03,29,0.02715,0.02715,0.0357142857142857,"Ccr5"
"21","MF","GO:0043325","phosphatidylinositol-3,4-bisphosphate bi...",28,1,0.03,30,0.02715,0.02715,0.0357142857142857,"Fchsd2"
"22","MF","GO:0005154","epidermal growth factor receptor binding",35,1,0.03,31,0.03382,0.03382,0.0285714285714286,"Fer"
"23","MF","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate...",41,1,0.04,32,0.03951,0.03951,0.024390243902439,"Fchsd2"
"24","MF","GO:0005246","calcium channel regulator activity",41,1,0.04,33,0.03951,0.03951,0.024390243902439,"Cacnb2"
"25","MF","GO:0005524","ATP binding",1357,4,1.33,34,0.0396,0.0396,0.00294767870302137,"Chd9, Prkca, Fer, Myo1d"
"26","MF","GO:0005044","scavenger receptor activity",44,1,0.04,35,0.04234,0.04234,0.0227272727272727,"Stab1"
"27","MF","GO:0004715","non-membrane spanning protein tyrosine k...",45,1,0.04,36,0.04329,0.04329,0.0222222222222222,"Fer"
"28","MF","GO:0044877","protein-containing complex binding",1185,6,1.16,3,0.04487,0.00068,0.00506329113924051,"Prkca, Cacnb2, Stab1, Itga9, Mtss1, Myo1d"
"29","MF","GO:0032559","adenyl ribonucleotide binding",1418,4,1.39,37,0.04546,0.04546,0.00282087447108604,"Chd9, Prkca, Fer, Myo1d"
"30","MF","GO:0030554","adenyl nucleotide binding",1428,4,1.4,38,0.04647,0.04647,0.00280112044817927,"Chd9, Prkca, Fer, Myo1d"
"31","MF","GO:0005245","voltage-gated calcium channel activity",50,1,0.05,39,0.04798,0.04798,0.02,"Cacnb2"
"32","MF","GO:0005102","signaling receptor binding",1472,4,1.45,40,0.05105,0.05105,0.00271739130434783,"Prkca, Bank1, Fer, Mtss1"
"33","MF","GO:0050840","extracellular matrix binding",56,1,0.05,41,0.05359,0.05359,0.0178571428571429,"Itga9"
"34","MF","GO:0046914","transition metal ion binding",893,3,0.88,42,0.05442,0.05442,0.00335946248600224,"Zfhx3, Prkca, Agmo"
"35","MF","GO:0005488","binding",11858,18,11.64,2,0.05688,0.00039,0.0015179625569236,"Zfhx3, Nav2, Chd9, Prkca, Srgap2, Bank1, Cacnb2, Stab1, Fchsd2, Agmo, Rapgef5, Frmd4a, Plxna4, Ccr5, Itga9, Fer, Mtss1, Myo1d"
"36","MF","GO:0045296","cadherin binding",66,1,0.06,43,0.06287,0.06287,0.0151515151515152,"Fer"
"37","MF","GO:0048365","Rac GTPase binding",66,1,0.06,44,0.06287,0.06287,0.0151515151515152,"Srgap2"
"38","MF","GO:0005518","collagen binding",68,1,0.07,45,0.06472,0.06472,0.0147058823529412,"Itga9"
"39","MF","GO:0008144","drug binding",1595,4,1.57,46,0.06519,0.06519,0.00250783699059561,"Chd9, Prkca, Fer, Myo1d"
"40","MF","GO:0036094","small molecule binding",2316,5,2.27,47,0.06699,0.06699,0.00215889464594128,"Chd9, Prkca, Stab1, Fer, Myo1d"
"41","MF","GO:0048306","calcium-dependent protein binding",71,1,0.07,48,0.06748,0.06748,0.0140845070422535,"Myo1d"
"42","MF","GO:0035639","purine ribonucleoside triphosphate bindi...",1665,4,1.63,49,0.0741,0.0741,0.0024024024024024,"Chd9, Prkca, Fer, Myo1d"
"43","MF","GO:0038024","cargo receptor activity",82,1,0.08,50,0.07754,0.07754,0.0121951219512195,"Stab1"
"44","MF","GO:0004896","cytokine receptor activity",87,1,0.09,51,0.08208,0.08208,0.0114942528735632,"Ccr5"
"45","MF","GO:0032555","purine ribonucleotide binding",1736,4,1.7,52,0.08377,0.08377,0.00230414746543779,"Chd9, Prkca, Fer, Myo1d"
"46","MF","GO:0017076","purine nucleotide binding",1747,4,1.71,53,0.08533,0.08533,0.00228963938179737,"Chd9, Prkca, Fer, Myo1d"
"47","MF","GO:0032553","ribonucleotide binding",1752,4,1.72,54,0.08604,0.08604,0.00228310502283105,"Chd9, Prkca, Fer, Myo1d"
"48","MF","GO:1990782","protein tyrosine kinase binding",100,1,0.1,55,0.09379,0.09379,0.01,"Bank1"
"49","MF","GO:0051219","phosphoprotein binding",101,1,0.1,56,0.09468,0.09468,0.0099009900990099,"Cacnb2"
"50","MF","GO:0099106","ion channel regulator activity",107,1,0.11,57,0.10003,0.10003,0.00934579439252336,"Cacnb2"
"51","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,1,0.11,58,0.10181,0.10181,0.00917431192660551,"Fchsd2"
"52","MF","GO:0019955","cytokine binding",116,1,0.11,59,0.108,0.108,0.00862068965517241,"Ccr5"
