"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0019899","enzyme binding",2238,8,2.32,1,0.0011,0.0011,0.00357462019660411,"Zfhx3, Elmo1, Srgap2, Bank1, Prkca, Ccr5, Cacnb2, Dlc1"
"2","MF","GO:0044877","protein-containing complex binding",1185,5,1.23,4,0.0061,0.0061,0.00421940928270042,"Prkca, Myo1d, Stab1, Cacnb2, Itga9"
"3","MF","GO:0019904","protein domain specific binding",762,4,0.79,5,0.007,0.007,0.005249343832021,"Elmo1, Myo1d, Cacnb2, Dlc1"
"4","MF","GO:0003779","actin binding",416,3,0.43,6,0.0086,0.0086,0.00721153846153846,"Myo1d, Ccr5, Cacnb2"
"5","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,3,0.53,8,0.0151,0.0151,0.00584795321637427,"Zfhx3, Maf, Klf7"
"6","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,3,0.54,9,0.0161,0.0161,0.00571428571428571,"Zfhx3, Maf, Klf7"
"7","MF","GO:0051015","actin filament binding",197,2,0.2,10,0.0174,0.0174,0.0101522842639594,"Myo1d, Cacnb2"
"8","MF","GO:0098772","molecular function regulator",1565,5,1.62,11,0.019,0.019,0.00319488817891374,"Elmo1, Srgap2, Ttr, Cacnb2, Dlc1"
"9","MF","GO:0016493","C-C chemokine receptor activity",20,1,0.02,12,0.0205,0.0205,0.05,"Ccr5"
"10","MF","GO:0005540","hyaluronic acid binding",20,1,0.02,13,0.0205,0.0205,0.05,"Stab1"
"11","MF","GO:0005212","structural constituent of eye lens",20,1,0.02,14,0.0205,0.0205,0.05,"Crybb1"
"12","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,1,0.02,15,0.0215,0.0215,0.0476190476190476,"Ccr5"
"13","MF","GO:0004950","chemokine receptor activity",21,1,0.02,16,0.0215,0.0215,0.0476190476190476,"Ccr5"
"14","MF","GO:0019957","C-C chemokine binding",21,1,0.02,17,0.0215,0.0215,0.0476190476190476,"Ccr5"
"15","MF","GO:0005096","GTPase activator activity",235,2,0.24,18,0.0242,0.0242,0.00851063829787234,"Srgap2, Dlc1"
"16","MF","GO:0050839","cell adhesion molecule binding",237,2,0.25,19,0.0246,0.0246,0.00843881856540084,"Numb, Prkca"
"17","MF","GO:0071813","lipoprotein particle binding",27,1,0.03,20,0.0276,0.0276,0.037037037037037,"Stab1"
"18","MF","GO:0071814","protein-lipid complex binding",27,1,0.03,21,0.0276,0.0276,0.037037037037037,"Stab1"
"19","MF","GO:0030695","GTPase regulator activity",253,2,0.26,22,0.0278,0.0278,0.00790513833992095,"Srgap2, Dlc1"
"20","MF","GO:0043236","laminin binding",28,1,0.03,23,0.0286,0.0286,0.0357142857142857,"Itga9"
"21","MF","GO:0019956","chemokine binding",28,1,0.03,24,0.0286,0.0286,0.0357142857142857,"Ccr5"
"22","MF","GO:0019901","protein kinase binding",715,3,0.74,25,0.0359,0.0359,0.0041958041958042,"Bank1, Ccr5, Cacnb2"
"23","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,2,0.3,26,0.0359,0.0359,0.00687285223367698,"Srgap2, Dlc1"
"24","MF","GO:0042169","SH2 domain binding",39,1,0.04,27,0.0397,0.0397,0.0256410256410256,"Dlc1"
"25","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,3,0.77,28,0.0397,0.0397,0.00403225806451613,"Zfhx3, Maf, Klf7"
"26","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,3,0.78,29,0.0408,0.0408,0.00398936170212766,"Zfhx3, Maf, Klf7"
"27","MF","GO:0005246","calcium channel regulator activity",41,1,0.04,30,0.0417,0.0417,0.024390243902439,"Cacnb2"
"28","MF","GO:0005044","scavenger receptor activity",44,1,0.05,31,0.0446,0.0446,0.0227272727272727,"Stab1"
"29","MF","GO:0000976","transcription regulatory region sequence...",786,3,0.81,32,0.0456,0.0456,0.00381679389312977,"Zfhx3, Maf, Klf7"
"30","MF","GO:0019900","kinase binding",791,3,0.82,33,0.0463,0.0463,0.00379266750948167,"Bank1, Ccr5, Cacnb2"
"31","MF","GO:0005245","voltage-gated calcium channel activity",50,1,0.05,34,0.0506,0.0506,0.02,"Cacnb2"
