"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0099604","ligand-gated calcium channel activity",25,1,0,1,0.0014,0.0014,0.04,"Grin2a"
"2","MF","GO:0008066","glutamate receptor activity",27,1,0,2,0.0015,0.0015,0.037037037037037,"Grin2a"
"3","MF","GO:0005231","excitatory extracellular ligand-gated io...",36,1,0,3,0.002,0.002,0.0277777777777778,"Grin2a"
"4","MF","GO:1904315","transmitter-gated ion channel activity i...",52,1,0,4,0.0028,0.0028,0.0192307692307692,"Grin2a"
"5","MF","GO:0042165","neurotransmitter binding",60,1,0,9,0.0033,0.0033,0.0166666666666667,"Grin2a"
"6","MF","GO:0035254","glutamate receptor binding",65,1,0,10,0.0035,0.0035,0.0153846153846154,"Grin2a"
"7","MF","GO:0016597","amino acid binding",69,1,0,11,0.0038,0.0038,0.0144927536231884,"Grin2a"
"8","MF","GO:0097110","scaffold protein binding",70,1,0,12,0.0038,0.0038,0.0142857142857143,"Grin2a"
"9","MF","GO:0051117","ATPase binding",88,1,0,14,0.0048,0.0048,0.0113636363636364,"Grin2a"
"10","MF","GO:0022843","voltage-gated cation channel activity",143,1,0.01,21,0.0078,0.0078,0.00699300699300699,"Grin2a"
"11","MF","GO:0050839","cell adhesion molecule binding",237,1,0.01,26,0.0129,0.0129,0.00421940928270042,"Grin2a"
"12","MF","GO:0046982","protein heterodimerization activity",520,1,0.03,35,0.0284,0.0284,0.00192307692307692,"Grin2a"
"13","MF","GO:0008270","zinc ion binding",651,1,0.04,38,0.0355,0.0355,0.00153609831029186,"Grin2a"
"14","MF","GO:0019901","protein kinase binding",715,1,0.04,39,0.039,0.039,0.0013986013986014,"Grin2a"
"15","MF","GO:0019900","kinase binding",791,1,0.04,41,0.0431,0.0431,0.00126422250316056,"Grin2a"
"16","MF","GO:0046914","transition metal ion binding",893,1,0.05,43,0.0487,0.0487,0.00111982082866741,"Grin2a"
"17","MF","GO:0044877","protein-containing complex binding",1185,1,0.06,46,0.0646,0.0646,0.000843881856540084,"Grin2a"
"18","MF","GO:0046983","protein dimerization activity",1311,1,0.07,48,0.0715,0.0715,0.0007627765064836,"Grin2a"
"19","MF","GO:0046872","metal ion binding",3326,1,0.18,55,0.1814,0.1814,0.000300661455201443,"Grin2a"
"20","MF","GO:0043169","cation binding",3418,1,0.19,56,0.1864,0.1864,0.000292568753657109,"Grin2a"
