"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,2,0.05,1,0.0012,0.0012,0.0232558139534884,"Zbtb16, Bach2"
"2","MF","GO:0005267","potassium channel activity",121,2,0.07,3,0.0023,0.0023,0.0165289256198347,"Kcnh8, Kcnip1"
"3","MF","GO:0005244","voltage-gated ion channel activity",191,2,0.11,6,0.0056,0.0056,0.0104712041884817,"Kcnh8, Kcnip1"
"4","MF","GO:0001227","DNA-binding transcription repressor acti...",215,2,0.13,9,0.007,0.007,0.00930232558139535,"Zbtb16, Bach2"
"5","MF","GO:0019904","protein domain specific binding",762,3,0.46,10,0.0092,0.0092,0.00393700787401575,"Zbtb16, Skap1, Sntb1"
"6","MF","GO:0005112","Notch binding",25,1,0.01,14,0.0149,0.0149,0.04,"Cntn6"
"7","MF","GO:0098632","cell-cell adhesion mediator activity",30,1,0.02,17,0.0179,0.0179,0.0333333333333333,"Cntn6"
"8","MF","GO:0098631","cell adhesion mediator activity",39,1,0.02,19,0.0232,0.0232,0.0256410256410256,"Cntn6"
"9","MF","GO:0042169","SH2 domain binding",39,1,0.02,20,0.0232,0.0232,0.0256410256410256,"Skap1"
"10","MF","GO:0015459","potassium channel regulator activity",47,1,0.03,25,0.0278,0.0278,0.0212765957446809,"Kcnip1"
"11","MF","GO:0046983","protein dimerization activity",1311,3,0.79,27,0.039,0.039,0.0022883295194508,"Zbtb16, Kcnip1, Skap1"
"12","MF","GO:0005509","calcium ion binding",574,2,0.34,29,0.0446,0.0446,0.00348432055749129,"Kcnip1, Fstl5"
"13","MF","GO:0005249","voltage-gated potassium channel activity",85,1,0.05,31,0.0498,0.0498,0.0117647058823529,"Kcnh8"
"14","MF","GO:0099106","ion channel regulator activity",107,1,0.06,32,0.0624,0.0624,0.00934579439252336,"Kcnip1"
"15","MF","GO:0030165","PDZ domain binding",114,1,0.07,33,0.0663,0.0663,0.0087719298245614,"Sntb1"
"16","MF","GO:0047485","protein N-terminus binding",128,1,0.08,37,0.0742,0.0742,0.0078125,"Kcnip1"
"17","MF","GO:0044325","ion channel binding",136,1,0.08,39,0.0786,0.0786,0.00735294117647059,"Kcnip1"
"18","MF","GO:0016247","channel regulator activity",136,1,0.08,40,0.0786,0.0786,0.00735294117647059,"Kcnip1"
"19","MF","GO:0022843","voltage-gated cation channel activity",143,1,0.09,41,0.0825,0.0825,0.00699300699300699,"Kcnh8"
"20","MF","GO:0019903","protein phosphatase binding",164,1,0.1,44,0.0941,0.0941,0.00609756097560976,"Skap1"
"21","MF","GO:0042803","protein homodimerization activity",894,2,0.54,46,0.0976,0.0976,0.00223713646532438,"Zbtb16, Skap1"
"22","MF","GO:0005516","calmodulin binding",183,1,0.11,49,0.1045,0.1045,0.00546448087431694,"Sntb1"
"23","MF","GO:0008092","cytoskeletal protein binding",945,2,0.57,50,0.1072,0.1072,0.00211640211640212,"Skap1, Sntb1"
"24","MF","GO:0019902","phosphatase binding",210,1,0.13,52,0.119,0.119,0.00476190476190476,"Skap1"
"25","MF","GO:0008022","protein C-terminus binding",232,1,0.14,55,0.1307,0.1307,0.00431034482758621,"Zbtb16"
"26","MF","GO:0008017","microtubule binding",232,1,0.14,56,0.1307,0.1307,0.00431034482758621,"Skap1"
"27","MF","GO:0015631","tubulin binding",327,1,0.2,57,0.1796,0.1796,0.00305810397553517,"Skap1"
"28","MF","GO:0000981","DNA-binding transcription factor activit...",669,3,0.4,8,0.2042,0.0064,0.00448430493273543,"Kcnh8, Zbtb16, Bach2"
"29","MF","GO:0003779","actin binding",416,1,0.25,59,0.2231,0.2231,0.00240384615384615,"Sntb1"
"30","MF","GO:0004674","protein serine/threonine kinase activity",435,1,0.26,60,0.2322,0.2322,0.00229885057471264,"Hunk"
"31","MF","GO:0046982","protein heterodimerization activity",520,1,0.31,62,0.2713,0.2713,0.00192307692307692,"Kcnip1"
"32","MF","GO:0003700","DNA-binding transcription factor activit...",882,3,0.53,11,0.2865,0.0137,0.00340136054421769,"Kcnh8, Zbtb16, Bach2"
"33","MF","GO:0005198","structural molecule activity",568,1,0.34,63,0.2927,0.2927,0.00176056338028169,"Sntb1"
"34","MF","GO:0042802","identical protein binding",1795,2,1.08,64,0.2937,0.2937,0.0011142061281337,"Zbtb16, Skap1"
"35","MF","GO:0004672","protein kinase activity",584,1,0.35,66,0.2996,0.2996,0.00171232876712329,"Hunk"
"36","MF","GO:0046872","metal ion binding",3326,3,2,69,0.321,0.321,0.00090198436560433,"Peg3, Kcnip1, Fstl5"
"37","MF","GO:0043169","cation binding",3418,3,2.05,70,0.3375,0.3375,0.000877706260971328,"Peg3, Kcnip1, Fstl5"
"38","MF","GO:0016773","phosphotransferase activity, alcohol gro...",682,1,0.41,71,0.341,0.341,0.00146627565982405,"Hunk"
"39","MF","GO:0019901","protein kinase binding",715,1,0.43,72,0.3544,0.3544,0.0013986013986014,"Skap1"
"40","MF","GO:0016301","kinase activity",740,1,0.44,73,0.3645,0.3645,0.00135135135135135,"Hunk"
"41","MF","GO:0019900","kinase binding",791,1,0.47,75,0.3844,0.3844,0.00126422250316056,"Skap1"
"42","MF","GO:0043167","ion binding",5224,4,3.13,76,0.3862,0.3862,0.000765696784073507,"Peg3, Hunk, Kcnip1, Fstl5"
"43","MF","GO:0140110","transcription regulator activity",1230,3,0.74,26,0.4048,0.0331,0.0024390243902439,"Kcnh8, Zbtb16, Bach2"
