"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",237,7,0.97,1,5.2e-05,5.2e-05,0.029535864978903,"Lrrc4c, Cdh10, Cdh24, Tenm2, Tenm4, Tenm3, Nrxn1"
"2","MF","GO:0098918","structural constituent of synapse",29,3,0.12,2,0.00022,0.00022,0.103448275862069,"Dlg2, Magi2, Dlgap1"
"3","MF","GO:0036002","pre-mRNA binding",31,3,0.13,3,0.00027,0.00027,0.0967741935483871,"Celf2, Ddx5, Per2"
"4","MF","GO:0008375","acetylglucosaminyltransferase activity",54,3,0.22,5,0.0014,0.0014,0.0555555555555556,"Ndst4, Ndst3, Mgat4c"
"5","MF","GO:0005509","calcium ion binding",574,8,2.35,6,0.00235,0.00235,0.0139372822299652,"Cdh10, Necab1, Cdh24, Plch2, Ttn, Nrxn1, Calb2, Slit2"
"6","MF","GO:0042803","protein homodimerization activity",894,10,3.66,9,0.00338,0.00338,0.0111856823266219,"Cryab, Mycbp2, Prkg1, Cdh10, Cdh24, Tenm2, Tenm4, Tenm3, Nr3c2, Slit2"
"7","MF","GO:0032947","protein-containing complex scaffold acti...",22,2,0.09,10,0.00362,0.00362,0.0909090909090909,"Magi2, Shank1"
"8","MF","GO:0030506","ankyrin binding",22,2,0.09,11,0.00362,0.00362,0.0909090909090909,"Slc8a1, Ttn"
"9","MF","GO:0005102","signaling receptor binding",1472,13,6.02,15,0.00634,0.00634,0.00883152173913043,"Fgf14, March1, Rit2, Dlg2, Tenm2, Magi2, Shank1, Ly6h, Nrxn1, Ddx5, Per2, Lrtm1, Slit2"
"10","MF","GO:0005516","calmodulin binding",183,4,0.75,17,0.00673,0.00673,0.0218579234972678,"Rit2, Slc8a1, Ttn, Ddx5"
"11","MF","GO:0030551","cyclic nucleotide binding",35,2,0.14,20,0.009,0.009,0.0571428571428571,"Prkg1, Pde4b"
"12","MF","GO:0035255","ionotropic glutamate receptor binding",40,2,0.16,21,0.01165,0.01165,0.05,"Dlg2, Shank1"
"13","MF","GO:0005246","calcium channel regulator activity",41,2,0.17,22,0.01221,0.01221,0.0487804878048781,"Prkg1, Nrxn1"
"14","MF","GO:0019213","deacetylase activity",42,2,0.17,23,0.01279,0.01279,0.0476190476190476,"Ndst4, Ndst3"
"15","MF","GO:0061630","ubiquitin protein ligase activity",225,4,0.92,24,0.01361,0.01361,0.0177777777777778,"Rnf112, Ube3a, Mycbp2, March1"
"16","MF","GO:0017124","SH3 domain binding",126,3,0.52,25,0.01494,0.01494,0.0238095238095238,"Pttg1, Cttnbp2, Shank1"
"17","MF","GO:0061659","ubiquitin-like protein ligase activity",233,4,0.95,26,0.01529,0.01529,0.0171673819742489,"Rnf112, Ube3a, Mycbp2, March1"
"18","MF","GO:0043167","ion binding",5224,34,21.37,4,0.01582,0.00137,0.00650842266462481,"Rnf112, Prpf4b, Ube3a, Fgf14, Cryab, Dtx3, Mycbp2, Prkg1, March1, Cdh10, Rit2, Necab1, Zfp692, Lmtk3, Akap8l, Tshz2, Cpne6, Cdh24, Plch2, Slc8a1, Kifc2, L3mbtl3, Trpc7, Ttn, Nrxn1, Nr3c2, Ddx5, Calb2, Galnt13, Lrtm1, Kcna4, Slit2, Pde4b, Mgat4c"
"19","MF","GO:0003713","transcription coactivator activity",252,4,1.03,28,0.01979,0.01979,0.0158730158730159,"Ube3a, Per2, Wwox, Supt3"
