"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0045296","cadherin binding",66,9,0.85,3,1.6e-07,1.6e-07,0.136363636363636,"Cdh9, Ctnna3, Cdh10, Ctnna2, Trpc4, Cdh2, Ptpro, Ptprj, Cdh11"
"2","MF","GO:0044325","ion channel binding",136,9,1.75,7,6.8e-05,6.8e-05,0.0661764705882353,"Kcnb2, Camk2d, Pde4b, Nedd4l, Pde4d, Scn3b, Grina, Fgf12, Calm1"
"3","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,6,0.73,8,8.9e-05,8.9e-05,0.105263157894737,"Epha5, Epha4, Nrp1, Epha3, Fgfr1, Epha7"
"4","MF","GO:0005515","protein binding",8273,156,106.48,2,0.00013,5.2e-11,0.0188565212135864,"Fth1, Pttg1, Ncam2, Epha5, Cpne4, Lrrtm4, Pcdh9, Spred2, Shisa9, Rnf112, Cdh9, Ahi1, Ubash3b, Plp1, Grik2, Prkd1, Epha4, Frmd5, Mycbp2, Syne1, Cacna2d1, Cadm2, Rasgrf1, Camk2a, Prickle1, Ppfia2, Nrp1, Ntng1, Spred1, Ctnna3, Kcnb2, Upp2, Itpr1, Wwox, Stra6, Robo3, Ddx5, Sntb2, Nr3c2, Ppp1r13b, Ogt, Mllt3, Lrtm1, Map1b, Tle4, Tcf4, Camk2d, Ndrg4, Hnrnph1, Pde4b, Sema6d, Arpp21, Cdh10, Tut4, Nedd4l, Ctnna2, Stxbp6, Ldlrad4, Pde4d, Zfpm2, Trpc4, Epha3, Scn3b, Cdh2, Aplp2, Chl1, Vav3, Dock10, Atp2b1, Fgfr1, Eml4, Nwd2, Sema5a, Stim2, Agtpbp1, Hsd17b12, Plcl1, Trps1, Grina, Cdc73, Akt3, Ptpro, Rabgap1l, Bod1l, Gria2, Gnaq, Gabra5, Wdr12, Tsga10, Trf, Smad1, Thy1, Itm2b, Unc5d, Gls, Sybu, Gpc3, Unc79, Atp8a1, Ncdn, Kdm7a, Wdfy2, Ptprj, Nr1d2, Camkk1, Ighm, Tmem108, Castor2, Gabra2, Thpo, Fgf12, Atrx, Tbl1xr1, Foxp1, Ptpn9, Rgs6, Olfm3, Ppm1l, Pibf1, Taok1, Asph, Scaf8, Bcl6, Taf2, Adgrb1, Igsf8, Syt7, Ttc14, Paxbp1, Tbl1x, Eps8l1, Calm1, Il16, Ptk2b, Per2, Rps24, Hipk1, Ghr, Efna5, Tenm3, Ktn1, Gcc2, Cdadc1, Mrfap1, Ptpn12, Lamc1, Trpm7, Crppa, Cdh11, Kcnq5, Lztr1, Atp2a2, Epha7, Ankrd13a, Gabrb3, Parp1"
"5","MF","GO:0042802","identical protein binding",1795,41,23.1,11,2e-04,2e-04,0.0228412256267409,"Fth1, Ncam2, Cdh9, Ahi1, Ubash3b, Plp1, Grik2, Prkd1, Epha4, Mycbp2, Syne1, Camk2a, Upp2, Itpr1, Nr3c2, Tcf4, Camk2d, Cdh10, Ctnna2, Cdh2, Aplp2, Fgfr1, Ptpro, Gria2, Smad1, Gls, Ighm, Castor2, Foxp1, Pibf1, Bcl6, Tbl1x, Per2, Ghr, Tenm3, Gcc2, Cdadc1, Crppa, Cdh11, Gabrb3, Parp1"
"6","MF","GO:0004683","calmodulin-dependent protein kinase acti...",27,4,0.35,13,0.00037,0.00037,0.148148148148148,"Camk2a, Camk2d, Camkk1, Ptk2b"
"7","MF","GO:0045499","chemorepellent activity",28,4,0.36,15,0.00043,0.00043,0.142857142857143,"Sema6d, Sema5a, Efna5, Epha7"
"8","MF","GO:1904315","transmitter-gated ion channel activity i...",52,5,0.67,16,0.00054,0.00054,0.0961538461538462,"Grik2, Gria2, Gabra5, Gabra2, Gabrb3"
"9","MF","GO:0005516","calmodulin binding",183,9,2.36,17,0.00062,0.00062,0.0491803278688525,"Camk2a, Ddx5, Sntb2, Camk2d, Arpp21, Atp2b1, Camkk1, Syt7, Kcnq5"
"10","MF","GO:0008200","ion channel inhibitor activity",32,4,0.41,20,0.00072,0.00072,0.125,"Itpr1, Camk2d, Nedd4l, Scn3b"
