"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0045296","cadherin binding",66,3,0.17,2,0.00064,0.00064,0.0454545454545455,"Cdh7, Ctnnd2, Ctnna3"
"2","MF","GO:0050839","cell adhesion molecule binding",237,6,0.61,1,0.00805,3e-05,0.0253164556962025,"Cdh7, Fgf1, Ctnnd2, Lrrc4c, Ctnna3, Tenm3"
"3","MF","GO:0015077","monovalent inorganic cation transmembran...",347,4,0.89,3,0.01186,0.01186,0.0115273775216138,"Slc15a2, Kcnd2, Scn9a, Slc4a4"
"4","MF","GO:0022832","voltage-gated channel activity",191,3,0.49,4,0.01289,0.01289,0.0157068062827225,"Il1rapl1, Kcnd2, Scn9a"
"5","MF","GO:0005244","voltage-gated ion channel activity",191,3,0.49,5,0.01289,0.01289,0.0157068062827225,"Il1rapl1, Kcnd2, Scn9a"
"6","MF","GO:0022890","inorganic cation transmembrane transport...",552,5,1.41,6,0.01315,0.01315,0.00905797101449275,"Slc15a2, Il1rapl1, Kcnd2, Scn9a, Slc4a4"
"7","MF","GO:0046983","protein dimerization activity",1311,8,3.36,7,0.01728,0.01728,0.0061022120518688,"Ttr, Cdh7, Sox5, Cryab, Plcb1, Kcnd2, Mitf, Tenm3"
"8","MF","GO:0008324","cation transmembrane transporter activit...",599,5,1.54,8,0.01813,0.01813,0.00834724540901502,"Slc15a2, Il1rapl1, Kcnd2, Scn9a, Slc4a4"
"9","MF","GO:0008013","beta-catenin binding",84,2,0.22,9,0.01962,0.01962,0.0238095238095238,"Ctnnd2, Ctnna3"
"10","MF","GO:0008081","phosphoric diester hydrolase activity",86,2,0.22,10,0.0205,0.0205,0.0232558139534884,"Pde1a, Plcb1"
"11","MF","GO:0005096","GTPase activator activity",235,3,0.6,11,0.02228,0.02228,0.0127659574468085,"Rgs20, Arhgap26, Plcb1"
"12","MF","GO:0046873","metal ion transmembrane transporter acti...",420,4,1.08,12,0.02231,0.02231,0.00952380952380952,"Il1rapl1, Kcnd2, Scn9a, Slc4a4"
