"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005089","Rho guanyl-nucleotide exchange factor ac...",70,4,0.23,1,8.6e-05,8.6e-05,0.0571428571428571,"Prex1, Arhgef12, Abr, Arhgef19"
"2","MF","GO:0005096","GTPase activator activity",235,5,0.78,4,0.0011,0.0011,0.0212765957446809,"Rgs20, Arhgef12, Srgap3, Abr, Arhgef19"
"3","MF","GO:0043168","anion binding",2593,18,8.63,5,0.0015,0.0015,0.00694176629386811,"Pde10a, Atp2b2, Cbs, Hip1, Pitpnc1, Prex1, Gldc, Akt2, Unc13c, Katnal2, Irak2, Sesn3, Gnao1, Fermt2, Chd2, Vegfa, Sept4, Map4k4"
"4","MF","GO:0000981","DNA-binding transcription factor activit...",669,8,2.23,7,0.0016,0.0016,0.0119581464872945,"Pttg1, Rora, Arntl, Bach2, Kcnip3, Tle4, Meis2, Pbx1"
"5","MF","GO:1904680","peptide transmembrane transporter activi...",28,2,0.09,9,0.0039,0.0039,0.0714285714285714,"Slc15a2, Slco1b2"
"6","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,6,1.71,14,0.007,0.007,0.0116959064327485,"Rora, Arntl, Kcnip3, Meis2, Chd2, Pbx1"
"7","MF","GO:0005246","calcium channel regulator activity",41,2,0.14,16,0.0082,0.0082,0.0487804878048781,"Grm3, Cacng8"
"8","MF","GO:0042803","protein homodimerization activity",894,8,2.97,19,0.0092,0.0092,0.00894854586129754,"Cbs, Hip1, Kcnip3, Slc27a1, Gldc, Irak2, Vegfa, Sept4"
"9","MF","GO:0005319","lipid transporter activity",130,3,0.43,20,0.0093,0.0093,0.0230769230769231,"Pitpnc1, Slc27a1, Slco1b2"
"10","MF","GO:0030170","pyridoxal phosphate binding",48,2,0.16,25,0.0111,0.0111,0.0416666666666667,"Cbs, Gldc"
"11","MF","GO:0005543","phospholipid binding",407,5,1.35,26,0.0113,0.0113,0.0122850122850123,"Hip1, Pitpnc1, Prex1, Unc13c, Fermt2"
"12","MF","GO:0070279","vitamin B6 binding",49,2,0.16,28,0.0116,0.0116,0.0408163265306122,"Cbs, Gldc"
"13","MF","GO:0008028","monocarboxylic acid transmembrane transp...",49,2,0.16,29,0.0116,0.0116,0.0408163265306122,"Slc27a1, Slco1b2"
