"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005524","ATP binding",1357,207,122.11,6,6.2e-15,6.2e-15,0.152542372881356,"Prpf4b, Cit, Adcy8, Hsp90ab1, Ephb1, Kifc2, Epha3, Mapk11, Magi1, Hsph1, Hunk, Pak1, Hspa4l, Hsp90aa1, Lmtk3, Abcc5, Cdk19, Camk2d, Nlk, Adcy10, Lmtk2, Kif21a, Hspa5, Pik3ca, Camk4, Ddx46, Hspa4, Cdkl5, Myo18a, Hspa8, Pkn2, Chd5, Ppip5k1, Chd6, Myo6, Nuak1, Kif13a, Rps6kb2, Epha5, Peak1, Prkaa2, Ulk4, Pxk, Rps6ka3, Fkbp4, Aatk, Tyro3, Srpk2, Afg1l, Wnk3, Mast2, Dmc1, Atp2c1, Atp2b2, Erbb3, Atad2, Ckb, Abca7, Clk2, Pfkp, Atp1a3, Pip5k1c, Prkcz, Fign, Ntrk2, Mast3, Grk5, Hipk4, Myo1d, Map4k4, Chd9, Map3k13, Msh3, Chordc1, Jak2, Ube2h, Stk38l, Acta2, Stk40, Dnaja1, Abca6, Dalrd3, Speg, Hsp90b1, Pcx, Map4k2, Myo9b, Papss2, Trpm7, Syk, Glul, Hspe1, Wnk2, Morc2a, Acss2, Hspa1b, Myh14, Ttll3, Prkca, Kif24, Mink1, Mok, Abcb9, Mthfs, Atp8a2, Abl1, Ciita, Ak7, Akt2, Dhx36, Cdk16, Atp7a, Smc3, Uckl1, Myo1e, Mknk2, Sik2, Fgfr2, Dync1h1, Csnk1e, Stk11, Cnnm2, Stk25, Tlk1, Kif1b, Atp13a3, Tpk1, Akt3, Prkcq, Kif3a, Tesk2, Myo5a, Vars2, Spast, Ddx5, Tek, Ephb2, Atp10a, Brsk2, Fgfr1, Ern1, Pik3c2g, Enpp1, Pak7, Ube2q2, Ddx41, Abca3, Map3k1, Idh3g, Nvl, Stk36, Ppp5c, Ube2d1, Abca17, Chd7, P2rx7, Slk, Sphk2, Ube2f, Pink1, Smc6, Recql, Actr1b, Stk31, Camkk2, Prkdc, Atrx, Zranb3, Mark3, Rps6kc1, Psmc3, Lrrk2, Dgkz, Kif21b, Mast1, Bmpr1a, Dhx8, Stard9, Rock2, Setx, Dnah2, Ythdc2, Dmpk, Prkcb, Ube2o, Fastk, Cdk9, Rad51c, Ip6k1, Nek1, Smchd1, Acsl4, Abcb5, Taok2, Abcf1, Stk4, Mcm7, Nubpl, Myo1a, Abcb10, Alk, Myh10, Ttll7, Ppip5k2, D5Ertd579e, Cct3, Cct5"
"2","MF","GO:0008092","cytoskeletal protein binding",945,190,85.04,1,8.9e-10,2.3e-27,0.201058201058201,"Cryab, Cdh20, Cdh10, Fhod3, Pacrg, Adcy8, Hsp90ab1, Eml1, Cobl, Kifc2, Pde4b, Magi1, Ptprt, Hsph1, Epb41l3, Hsp90aa1, Stmn2, Phactr1, Camk2d, Coro6, Antxr1, Crocc, Ptprn, Homer2, Mtcl1, Farp1, Lmtk2, Kif5a, Pacsin1, Spire1, Unc13a, Frmd5, Dpysl2, Cdh6, Kif21a, Adgrv1, Cobll1, Ktn1, Spag9, Kif13b, Myo18a, Dlc1, Bcas3, Hdgfl3, Cdh7, Epb41, Kif6, Cdh24, Pls1, Myo6, Fermt1, Kif13a, Cep70, Afdn, Pxk, Rab27b, Hip1, Strbp, Fkbp4, D7Ertd443e, Shtn1, Agbl4, Dlg1, Hip1r, Mapre2, Phactr3, Mast2, Alms1, Bicdl1, Dnm3, Cttnbp2, Dixdc1, Arhgef10, Fsd1, Ccsap, Cdh18, Abra, Csrp1, Dst, Clstn1, Map6, Stmn1, Frmd3, Pip5k1c, Pknox2, Mical3, Ncald, Stim1, Avil, Kifap3, Wipf2, Mtus2, Myo1d, Map4k4, Fmn1, Sirt2, Stk38l, Jakmip3, Daam2, Farp2, Anln, Myo9b, Lmod1, Trpm7, Llgl1, Lasp1, Myh14, Ermn, Hook3, Kif24, Slc8a1, Abl1, Dbn1, Cacybp, Ftcd, Smc3, Myo1e, Stmn3, Rab6b, Tnnt2, Nf1, Tagln, Mapk8ip3, Mtus1, Rab3b, Kif1b, Gnb3, Gnb1, Nfkb1, Kif3a, Myo5a, Spast, Bin1, Espn, Rita1, Ank1, Map3k1, Atcay, Ppp5c, Klc2, Mdm1, Magi2, Cntrl, Pafah1b1, Kcnc1, Stau2, Macf1, Smad4, Actr1b, Plec, 1110017D15Rik, Pxn, Ift88, Rab10, Pkd2l1, Lrrk2, Camsap2, Kif21b, Mast1, Htt, Obsl1, Sntg2, Fcho2, Fmnl1, Sag, Stard9, Mical2, Ccdc66, Dpysl3, Misp, Fus, Map4, Capn1, Arl8b, Tpr, Bloc1s6, Stx1a, Tmsb10, Ctnna3, Mid1, Bicd1, Kcnma1, Mprip, Myo1a, Plekhm2, Myh10, Ttll7, Cct5, Shroom3, Nusap1"
"3","MF","GO:0004674","protein serine/threonine kinase activity",435,76,39.14,19,1.3e-08,1.3e-08,0.174712643678161,"Prpf4b, Cit, Mapk11, Hunk, Pak1, Lmtk3, Cdk19, Camk2d, Nlk, Lmtk2, Pik3ca, Camk4, Cdkl5, Pkn2, Nuak1, Rps6kb2, Prkaa2, Ulk4, Rps6ka3, Aatk, Srpk2, Wnk3, Mast2, Clk2, Prkcz, Mast3, Grk5, Hipk4, Map4k4, Map3k13, Stk38l, Stk40, Speg, Cab39l, Map4k2, Trpm7, Syk, Wnk2, Prkca, Mink1, Mok, Akt2, Cdk16, Mknk2, Sik2, Csnk1e, Stk11, Stk25, Tlk1, Akt3, Prkcq, Tesk2, Brsk2, Ern1, Pak7, Map3k1, Stk36, Gtf2h4, Slk, Pink1, Stk31, Camkk2, Prkdc, Mark3, Rps6kc1, Lrrk2, Mast1, Bmpr1a, Rock2, Dmpk, Prkcb, Fastk, Cdk9, Nek1, Taok2, Stk4"
"4","MF","GO:0019894","kinesin binding",49,18,4.41,22,1e-07,1e-07,0.36734693877551,"Crocc, Kif5a, Ktn1, Spag9, Shtn1, Dlg1, Arhgef10, Clstn1, Kifap3, Mapk8ip3, Kif3a, Atcay, Klc2, Magi2, Kcnc1, Stau2, Ift88, Plekhm2"
"5","MF","GO:0008017","microtubule binding",232,45,20.88,25,6.3e-07,6.3e-07,0.193965517241379,"Cryab, Eml1, Kifc2, Mtcl1, Kif5a, Dpysl2, Kif21a, Kif13b, Hdgfl3, Kif6, Kif13a, Strbp, Mapre2, Mast2, Dnm3, Fsd1, Ccsap, Dst, Map6, Stim1, Mtus2, Map4k4, Fmn1, Jakmip3, Hook3, Kif24, Ftcd, Nf1, Mtus1, Kif1b, Kif3a, Spast, Ppp5c, Mdm1, Pafah1b1, Macf1, Camsap2, Kif21b, Mast1, Fcho2, Stard9, Ccdc66, Map4, Mid1, Nusap1"
"6","MF","GO:0005515","protein binding",8273,945,744.46,2,1.6e-06,2.2e-25,0.114227003505379,"Pttg1, Tshz2, Pdzrn3, Cryab, Cdh20, Fgf1, Rnf220, Asap1, Lrrc4c, Cdh10, Fhod3, Pacrg, Astn2, Arhgap26, Cit, Bach2, Adcy8, Lrtm1, Meis2, Chrm2, Gjc3, Igsf9b, Pcdh9, Sgcz, Tenm3, Hsp90ab1, Dtx3, Unc13c, Satb2, Samd5, Tshz3, Ephb1, Mlip, L3mbtl3, Hivep1, Wdr60, Spred2, Akap8l, Stip1, Eml1, Bmper, Arhgef25, Ldb2, Paxbp1, Cobl, Fnbp1, Kifc2, Prickle1, Pde4b, Epha3, Shc3, Mapk11, Magi1, Synj2, Pam, Cntn6, Spred1, Shank1, Pcdh15, Ptprt, Cacnb4, Hdac9, Adgrb1, Ano1, Prdm16, Hsph1, Epb41l3, Grik1, Osbpl1a, Etl4, Pbx3, Sertad2, Ptpn5, Ube3a, Pak1, Hspa4l, Dkk3, Rspo2, Trps1, Khdrbs2, Hsp90aa1, Ebf2, Mpp6, Gria4, Cdyl2, Bcas1, Nell1, Nxph1, Tle4, Wwox, Syt2, Prr5l, Ring1, Flrt2, Olfm2, Srgap1, Efr3a, Nyap2, Epo, Plekha7, Sgsm1, Stmn2, Bfsp2, Rap1gap, Scai, Phactr1, Camk2d, Unc13b, Ano4, Bicc1, Rnf112, Arpp21, Coro6, Ptprd, Nlk, Sycp2, Pomc, Antxr1, Rasgef1b, Arhgef18, Nova1, Crocc, Whrn, Gab1, Ptprn, Dok5, Nwd2, Homer2, Pitpnm3, Hcn2, Sclt1, Mtcl1, Angpt1, Adcy10, Farp1, Dok3, Lmtk2, Kif5a, Sema6d, Sox5, Brd9, St13, Plcl2, Pacsin1, Spire1, Npas2, Unc13a, Cck, Kcnq5, Frmd5, Gnao1, Dpysl2, Wwp1, Irf3, Cdh6, Dvl1, Zmynd8, Tspan5, Kif21a, Edil3, Dennd5b, Adgrv1, Lin7a, Hspa5, Cobll1, Sept4, Igf2bp3, Pcsk1, Pik3ca, Camk4, Ktn1, Ahi1, Chgb, Pcdh11x, Pde8a, Spag9, Megf10, Ndrg4, Plod1, Plxnb3, Kif13b, Hspa4, Grm4, Rnf144b, Sema6a, Cacna1a, Arntl, Cdkl5, Nr4a1, Nrxn1, Apba1, Myo18a, Rit2, Ndfip2, Dlc1, Adipor2, Cntn2, Lpar1, Hspa8, Vgf, Nudcd3, Tbl1x, Bcas3, Pkn2, Rora, Chd5, Crim1, Gnai1, Pcgf5, Dock5, Fbxl20, Iqsec1, Calr, Hdgfl3, Cdh7, Ext1, Hnrnpa2b1, Nsmaf, Epb41, Unc5b, Kif6, Dock3, Pbx1, Cdh24, Npc1, Dkk2, Dnaic1, Lztr1, Chd6, Dock1, Lrp1, Apba2, Pls1, Myo6, Usp19, Runx1t1, Vti1a, Camkmt, Slc8a3, Fermt1, Stat5b, Scaf8, Kndc1, Nuak1, Dot1l, Kif13a, Qdpr, Cep70, Epha5, Afdn, Peak1, Ntn4, Aplp2, Reln, Arhgap32, Sycp3, Elmo1, Prkaa2, Hnrnpm, Ahsa1, Fam83b, Pxk, Rps6ka3, Tomm40, Rab27b, Hip1, Tbc1d5, Rab31, Bod1l, Znrf1, Fstl1, Strbp, Adgrl2, P3h3, Homer1, Plxdc1, Sppl2b, Ppfibp2, Csf2ra, Fkbp4, Aatk, Nr3c1, D7Ertd443e, Thrb, Shtn1, Tyro3, Agbl4, Klf12, Rtn4, Ier5, Dlg1, Hip1r, Klf5, Spred3, Srpk2, Ackr4, Mapre2, Tenm4, Cep290, Phactr3, Mast2, Alms1, Bicdl1, Vgll4, Fxr1, Eif4g3, Dnm3, Psd3, Plcb4, Ppm1l, Stam2, Cttnbp2, Atp2b2, Fam49b, Erbb3, Inpp5f, Dixdc1, Arhgef10, Fsd1, Smad7, Ccsap, Prkar1b, Vip, Atad2, Cdh18, Larp1, Sash1, Ptpn9, Dner, Zfyve9, Hdac4, Rapgef4, Abra, Csrp1, Itprid1, Dst, Srcin1, Ldlrad4, Clstn1, Patj, Acot7, Lamc2, Pacs2, Sgta, Gtf2e2, Ckb, Iqgap1, Abca7, Clk2, Pfkp, Akap9, Rims3, Cmtm5, Map6, Stmn1, Atp1a3, Safb2, Ubr2, Pknox1, Ccp110, Sytl2, Frmd3, Kcnip1, Pip5k1c, Insyn2a, Mef2c, Asic2, Kdm5d, Prkcz, Insc, Fign, Cbarp, Sgcd, Gng4, Tbc1d30, Tcte1, Rgs11, Pknox2, Mical3, Pzp, Ntrk2, Traip, Ncald, Stim1, Mcf2, Ranbp9, Notch3, Grk5, Tut4, Avil, Ebf3, Kifap3, Rnf207, Unc80, Wipf2, Optn, Rcor1, Gna12, Mtus2, Myo1d, Evpl, Crebbp, Dtnbp1, Cep63, Kmt2e, Pex5l, Adam8, Map4k4, Gmcl1, Ppp2r5a, Gprc5b, Dpp10, Yaf2, Ppard, Fmn1, Map3k13, Usp9x, Padi2, Tbc1d9b, Nrf1, Msh3, Cep250, Chordc1, Ubap1l, Kcnab1, Arhgap5, Ubb, Emb, Atp6v0c, Lama4, Ccdc91, Lama3, Pdzd7, Sirt2, Agap3, Faim2, Ptprm, Sox10, Iqsec3, Pid1, Fbxl2, Jak2, Pcdh7, Hsd17b12, Preb, Stk38l, Sort1, Ncor2, Rif1, Hjurp, Cyb5r4, Pard3, Zfp521, Dnajb2, Acta2, Stk40, Mxi1, P4ha1, Jakmip3, Bean1, Dnaja1, Daam2, Zic1, Mag, Farp2, Hdac5, Abtb2, Castor2, Pmepa1, Gcc2, Ttc28, Anln, Hsp90b1, Ppp2r3a, Pcx, Map4k2, Myo9b, Lmod1, Trpm7, Rabep1, Rufy3, Nfasc, Syk, Oprd1, Glul, Hspe1, Morc2a, Pik3c2b, Fn1, Llgl1, Lasp1, Hspa1b, Myh14, Prkca, March1, Per2, Akap8, Gtpbp2, Agrn, Cycs, Ermn, Hook3, Dsc3, Exoc7, Kif24, Nkd1, Jam3, Abcb9, Slc8a1, Scn1b, Golga4, H2afz, Abl1, Rprd2, Rab15, Dbn1, Glg1, Ciita, Akt2, Kcnrg, Cntnap4, Kitl, Dusp16, Dhx36, Cdk16, Cort, Trpv6, Ralyl, Cacybp, Atp7a, Ftcd, Tacc1, Nkain1, Bhlhb9, Tmcc1, Ywhag, Cpne6, Nrep, Klf7, Smc3, Supt16, Arhgef11, Trim66, Ezh2, Crem, Mbp, Rab37, Cpeb3, Myo1e, Fbln2, Mknk2, Stmn3, Rab6b, Tnnt2, Ubxn11, Itga5, Basp1, Anapc5, Manf, Nf1, Cntnap1, Sik2, Cnot3, Fgfr2, Dync1h1, Cpe, Acyp2, Xpnpep1, Csnk1e, Tagln, Stk11, Git1, Shd, Mapk8ip3, Kat2b, Gm4924, Sos1, Upp2, Dzip1, Rasgrp3, Zdhhc6, Ankrd24, Fzd3, Shkbp1, Stk25, Dlgap3, Cacng3, Mtus1, Pde1c, Mafg, Nsd2, Ubxn2a, Pcm1, Nasp, Rab3b, Cdc42ep1, Kif1b, Il4, Rp9, Tjap1, Sgsm3, Npy, Rtkn, Akt3, Gnb3, Gnb1, Kiz, Prkcq, Nfkb1, Kif3a, Stx8, Ncoa3, Cdk2ap1, Gng11, Cplx1, Fbf1, Agrp, Myo5a, Gmeb1, Camk2n2, Spast, Arrb2, Stxbp1, Col26a1, Ddx5, Tek, Prim1, Mgrn1, Grip2, Tax1bp1, Slc22a17, Ephb2, Arpp19, Brsk2, 2810459M11Rik, Fgfr1, Ern1, Bin1, Tbc1d8, Enpp1, Rusc2, Pcnt, Chrd, Samm50, Ift172, Pak7, Sept8, Trim33, Tpcn2, Ubtf, Ddx41, Sept7, Espn, Rita1, Rnf126, Fam189b, Ank1, Syvn1, Arhgap31, Slc12a5, Map3k1, Sytl1, Atcay, Fth1, Rph3a, Stk36, Atxn2, Ubash3b, Cul1, Ppp2r3d, Arnt2, Gabpa, Ppp1r12c, Cyth1, Ppp5c, Esr2, Klc2, Rubcn, Bbs5, Mdm1, Kcnh5, Dnajc15, Snx3, Frmd6, Ube2d1, Igfbpl1, Cacng2, Magi2, Wdpcp, Chd7, P2rx7, Rpgrip1, Slk, Nr3c2, Ptpn12, Sphk2, Cntrl, Kcnb2, Rnf180, Pafah1b1, Nrd1, Ankrd26, Pink1, Dnmt3a, Ngef, Mpp7, Casc3, Rnf217, Smc6, Kcnc1, Stau2, Rgs6, Ciz1, Cd44, Macf1, Wdr5, Cntrob, Clstn3, Smad4, Igsf11, Actr1b, Myt1l, Rec114, Cacnb1, Gjb1, Adam10, Stk31, Gdi1, Pkd1, Ptges3, Camkk2, Rbpj, Skint1, Smg6, Irs1, Kcna1, Prkdc, Kpna1, Atrx, Prex1, Cr2, Ccnl2, Tcf4, Zranb3, Fryl, Dnttip1, Ptgfrn, Mark3, Plec, 1110017D15Rik, Cbfa2t3, Wdr76, Cep135, Pxn, Phip, Gabra1, Hps4, Tspoap1, Ift88, Stac3, Rrbp1, Suds3, Cnot6l, Rab10, Asah2, Pkd2l1, Pag1, Col5a1, Psmc3, Uggt2, Rffl, Lrrk2, Spop, Dusp10, Taf6, Uhrf2, Pex7, Usp15, Camsap2, Rcan1, Dgkz, Kif21b, Acbd3, Mast1, Tet1, Miga2, Ttc3, Arhgef7, Tuft1, Htt, Umps, Obsl1, Tjp2, Bmpr1a, Sntg2, Fcho2, Mllt6, Dhx8, Hepacam, Foxo3, Fmnl1, Ubr4, Sag, Plp1, Stard9, Kyat1, Plpp4, Kremen2, Hmgb1, Chmp2a, Tcf3, Rock2, Bcl2, Sdf2l1, Mog, Setx, Mical2, Ccdc66, Hcrtr2, Knstrn, Itch, Ralgds, Snap91, Zmym2, Gbf1, Lcor, Dvl2, Dpysl3, Rb1, Spin1, Dnah2, Msi1, Pde4d, Rnf144a, Ythdc2, Gga1, Dmpk, Cry1, Cisd1, Esco1, Prkcb, Tet3, Misp, Fus, Ube2o, Ptprs, Hprt, Tifa, Map4, Wdr78, Stxbp4, Igfbp6, Shoc2, Ank2, Slc12a2, Cdk9, Capn1, Pex10, Qk, Usp3, Gpr158, Tgfb3, Ppp2r5c, Rad51c, Arl8b, Trpv3, Usp33, Rab3ip, Pdcd6ip, Tpr, Rab3gap1, Chchd10, Bloc1s6, Pde3b, Plekho1, Stx1a, Ttf1, Itpr3, Ankzf1, Tmsb10, Golga1, Tnfrsf11a, Hcrtr1, Wwp2, Snw1, Nek1, Ctnna3, Usf2, Gabra5, Mid1, Ube2v2, Efna5, Sh3bgrl2, Bicd1, Kcnma1, Smchd1, Cntln, Ppp1r10, Rbbp8, Plin3, Kcnj12, Raph1, Iqce, Polg, Taok2, Gh, Stk4, Mprip, Mcm7, Ppp6r1, Nefh, Hr, Ncor1, Chrm3, Ppp4r3a, Snorc, Rab38, Myo1a, Sncaip, Abcb10, Socs7, Tnks2, Alk, Plekhm2, Strn4, Dlgap4, Myh10, Flrt1, Crppa, Ttll7, Gprasp1, Grid2ip, Kat14, Cct3, Trf, Cct5, Shroom3, Adcyap1, Sin3a, Dennd2a, Rnf43, Taf2, Lzts3, Zdhhc17, Nusap1"
"7","MF","GO:0005516","calmodulin binding",183,37,16.47,30,2.2e-06,2.2e-06,0.202185792349727,"Adcy8, Unc13c, Camk2d, Unc13b, Arpp21, Unc13a, Kcnq5, Camk4, Grm4, Cacna1a, Rit2, Epb41, Myo6, Slc8a3, Atp2b2, Iqgap1, Map6, Myo1d, Fbxl2, Myo9b, Myh14, Slc8a1, Trpv6, Mbp, Myo1e, Mknk2, Pde1c, Myo5a, Ddx5, Pcnt, Kcnh5, Camkk2, Camsap2, Ubr4, Myo1a, Strn4, Myh10"
"8","MF","GO:0015631","tubulin binding",327,67,29.43,14,2.2e-05,1.1e-10,0.204892966360856,"Cryab, Pacrg, Eml1, Kifc2, Pde4b, Hsph1, Stmn2, Mtcl1, Kif5a, Dpysl2, Kif21a, Kif13b, Bcas3, Hdgfl3, Kif6, Kif13a, Cep70, Strbp, Agbl4, Mapre2, Mast2, Dnm3, Dixdc1, Fsd1, Ccsap, Dst, Map6, Stmn1, Ncald, Stim1, Mtus2, Map4k4, Fmn1, Sirt2, Jakmip3, Hook3, Kif24, Cacybp, Ftcd, Smc3, Stmn3, Nf1, Mtus1, Kif1b, Kif3a, Spast, Rita1, Ppp5c, Mdm1, Pafah1b1, Macf1, 1110017D15Rik, Lrrk2, Camsap2, Kif21b, Mast1, Htt, Fcho2, Stard9, Ccdc66, Map4, Arl8b, Tpr, Mid1, Ttll7, Cct5, Nusap1"
"9","MF","GO:0019888","protein phosphatase regulator activity",67,17,6.03,43,6.6e-05,6.6e-05,0.253731343283582,"Phactr1, Lmtk2, Bod1l, Phactr3, Ppp4r1, Ppp2r5a, Rcan2, Ppp2r3a, Arpp19, Ppp2r3d, Ppp2r2b, Rcan1, Ppp1r37, Elfn1, Dmpk, Ppp2r5c, Ppp1r10"
"10","MF","GO:0042169","SH2 domain binding",39,12,3.51,46,0.00011,0.00011,0.307692307692308,"Khdrbs2, Nlk, Dlc1, Arhgap5, Jak2, Syk, Abl1, Fgfr1, Adam10, Irs1, Pag1, Snap91"
