"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",237,6,1,3,0.00048,0.00048,0.0253164556962025,"Shtn1, Cdh20, Cdh8, Nlgn1, Prkca, Gfra1"
"2","MF","GO:0030165","PDZ domain binding",114,4,0.48,6,0.00135,0.00135,0.0350877192982456,"Dtna, Grik2, Nlgn1, Kirrel3"
"3","MF","GO:0046983","protein dimerization activity",1311,13,5.51,7,0.00301,0.00301,0.0099160945842868,"Ano4, Cdh20, Tcf12, Hsp90ab1, Syne1, Ppp3ca, Adipor2, Grik2, Slc24a2, Cdh8, Nlgn1, Npas3, Mitf"
"4","MF","GO:0005515","protein binding",8273,53,34.74,1,0.00355,2.2e-05,0.00640638220717998,"Rnf220, Pttg1, Shtn1, Anks1b, Ano4, Cdh20, Gas7, Ephb1, Dtna, Stxbp6, Dcc, Cadm2, Pde4b, Ncam2, Tcf12, Hsp90ab1, Rab31, Sytl2, Il1rapl1, Syne1, Kif13a, Ppp3ca, Myo1d, Pak7, Cobl, Fth1, Adipor2, Srgap1, Magi2, Grik2, Slc24a2, Lrp1b, Sh3kbp1, Frmd4b, Kcnq3, Cdh8, Olfm1, Nlgn1, Prkca, Gfra1, Mobp, Spsb1, Npas3, Srcin1, Fnbp1, Gria4, Stip1, Chd7, Kirrel3, Wwox, Plp1, Iqsec1, Mitf"
"5","MF","GO:0008066","glutamate receptor activity",27,2,0.11,8,0.00571,0.00571,0.0740740740740741,"Grik2, Gria4"
"6","MF","GO:0051015","actin filament binding",197,4,0.83,10,0.0095,0.0095,0.0203045685279188,"Shtn1, Gas7, Syne1, Myo1d"
"7","MF","GO:0005261","cation channel activity",310,5,1.3,11,0.00981,0.00981,0.0161290322580645,"Il1rapl1, Grik2, Slc24a2, Kcnq3, Gria4"
"8","MF","GO:0008092","cytoskeletal protein binding",945,12,3.97,4,0.0102,0.00054,0.0126984126984127,"Shtn1, Cdh20, Gas7, Pde4b, Hsp90ab1, Syne1, Kif13a, Myo1d, Cobl, Magi2, Cdh8, Mobp"
"9","MF","GO:0070888","E-box binding",42,2,0.18,12,0.01345,0.01345,0.0476190476190476,"Tcf12, Mitf"
"10","MF","GO:0019894","kinesin binding",49,2,0.21,13,0.01802,0.01802,0.0408163265306122,"Shtn1, Magi2"
"11","MF","GO:0044325","ion channel binding",136,3,0.57,14,0.0196,0.0196,0.0220588235294118,"Pde4b, Hsp90ab1, Kcnq3"
"12","MF","GO:0031072","heat shock protein binding",136,3,0.57,15,0.0196,0.0196,0.0220588235294118,"Pttg1, Hsp90ab1, Stip1"
"13","MF","GO:1904315","transmitter-gated ion channel activity i...",52,2,0.22,16,0.02016,0.02016,0.0384615384615385,"Grik2, Gria4"
"14","MF","GO:0051020","GTPase binding",511,6,2.15,17,0.0204,0.0204,0.0117416829745597,"Stxbp6, Sytl2, Pak7, Srgap1, Mobp, Iqsec1"
"15","MF","GO:0019899","enzyme binding",2238,16,9.4,18,0.02211,0.02211,0.00714924039320822,"Stxbp6, Hsp90ab1, Sytl2, Syne1, Ppp3ca, Pak7, Srgap1, Magi2, Grik2, Sh3kbp1, Kcnq3, Prkca, Mobp, Srcin1, Wwox, Iqsec1"
"16","MF","GO:0000981","DNA-binding transcription factor activit...",669,7,2.81,19,0.02214,0.02214,0.0104633781763827,"Pttg1, St18, Zbtb20, Tcf12, Npas3, Arid5b, Mitf"
"17","MF","GO:0099529","neurotransmitter receptor activity invol...",55,2,0.23,20,0.02239,0.02239,0.0363636363636364,"Grik2, Gria4"
"18","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",57,2,0.24,21,0.02394,0.02394,0.0350877192982456,"Grik2, Gria4"
"19","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,2,0.24,22,0.02394,0.02394,0.0350877192982456,"Ephb1, Epha6"
"20","MF","GO:0022824","transmitter-gated ion channel activity",58,2,0.24,23,0.02472,0.02472,0.0344827586206897,"Grik2, Gria4"
"21","MF","GO:0022835","transmitter-gated channel activity",58,2,0.24,24,0.02472,0.02472,0.0344827586206897,"Grik2, Gria4"
"22","MF","GO:0001786","phosphatidylserine binding",61,2,0.26,27,0.02715,0.02715,0.0327868852459016,"Sytl2, Gramd1b"
"23","MF","GO:0017016","Ras GTPase binding",403,5,1.69,28,0.02723,0.02723,0.0124069478908189,"Stxbp6, Sytl2, Pak7, Srgap1, Mobp"
"24","MF","GO:0015079","potassium ion transmembrane transporter ...",157,3,0.66,30,0.02842,0.02842,0.0191082802547771,"Grik2, Slc24a2, Kcnq3"
