"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0051879","Hsp90 protein binding",46,4,0.22,3,7.2e-05,7.2e-05,0.0869565217391304,"Pacrg, Stip1, Ahsa1, Chordc1"
"2","MF","GO:0019904","protein domain specific binding",762,12,3.7,4,0.00031,0.00031,0.015748031496063,"Pttg1, Hsp90ab1, Nlgn1, Hsp90aa1, Snap25, Dlgap1, Tcf12, Nkd1, Tcf7l2, Hcn2, St13, Khdrbs3"
"3","MF","GO:0005249","voltage-gated potassium channel activity",85,4,0.41,6,0.00078,0.00078,0.0470588235294118,"Snap25, Hcn2, Kcnd2, Hcn1"
"4","MF","GO:0051082","unfolded protein binding",96,4,0.47,7,0.00123,0.00123,0.0416666666666667,"Cryab, Hsp90ab1, Hsp90aa1, St13"
"5","MF","GO:0051087","chaperone binding",96,4,0.47,8,0.00123,0.00123,0.0416666666666667,"Pacrg, Stip1, Ahsa1, St13"
"6","MF","GO:0030544","Hsp70 protein binding",48,3,0.23,9,0.00163,0.00163,0.0625,"Pacrg, Stip1, St13"
"7","MF","GO:0008092","cytoskeletal protein binding",945,16,4.59,2,0.00175,1.1e-05,0.0169312169312169,"Cryab, Eml1, Hsp90ab1, Pacrg, Adgrv1, Shtn1, Cdh10, Hsp90aa1, Bcas3, Snap25, Wasf3, Myrip, Map4k4, Syne1, Magi1, Cald1"
"8","MF","GO:0005212","structural constituent of eye lens",20,2,0.1,15,0.00418,0.00418,0.1,"Cryab, Bfsp2"
"9","MF","GO:0044877","protein-containing complex binding",1185,13,5.75,16,0.0046,0.0046,0.0109704641350211,"Pttg1, Cryab, Spock3, Prkca, Shtn1, Ephb1, Dlgap1, Grin2a, Xrcc6, Hcn2, Syne1, Hcn1, St13"
"10","MF","GO:0048156","tau protein binding",21,2,0.1,17,0.00461,0.00461,0.0952380952380952,"Hsp90ab1, Hsp90aa1"
"11","MF","GO:0030552","cAMP binding",21,2,0.1,18,0.00461,0.00461,0.0952380952380952,"Hcn2, Hcn1"
"12","MF","GO:0005248","voltage-gated sodium channel activity",21,2,0.1,19,0.00461,0.00461,0.0952380952380952,"Hcn2, Hcn1"
"13","MF","GO:0097110","scaffold protein binding",70,3,0.34,20,0.00479,0.00479,0.0428571428571429,"Nlgn1, Hsp90aa1, Grin2a"
"14","MF","GO:0017022","myosin binding",74,3,0.36,21,0.00559,0.00559,0.0405405405405405,"Adgrv1, Snap25, Myrip"
"15","MF","GO:0050839","cell adhesion molecule binding",237,5,1.15,22,0.00595,0.00595,0.0210970464135021,"Prkca, Nlgn1, Shtn1, Cdh10, Grin2a"
"16","MF","GO:0015248","sterol transporter activity",29,2,0.14,25,0.00869,0.00869,0.0689655172413793,"Gramd1b, Osbpl6"
"17","MF","GO:0005217","intracellular ligand-gated ion channel a...",31,2,0.15,26,0.00989,0.00989,0.0645161290322581,"Hcn2, Hcn1"
"18","MF","GO:0097718","disordered domain specific binding",32,2,0.16,28,0.01051,0.01051,0.0625,"Hsp90ab1, Hsp90aa1"
"19","MF","GO:0099094","ligand-gated cation channel activity",98,3,0.48,30,0.01207,0.01207,0.0306122448979592,"Grin2a, Hcn2, Hcn1"
"20","MF","GO:0008138","protein tyrosine/serine/threonine phosph...",37,2,0.18,32,0.0139,0.0139,0.0540540540540541,"Dusp11, Dusp15"
"21","MF","GO:0003779","actin binding",416,6,2.02,34,0.01576,0.01576,0.0144230769230769,"Pacrg, Shtn1, Wasf3, Myrip, Syne1, Cald1"
"22","MF","GO:0005547","phosphatidylinositol-3,4,5-trisphosphate...",41,2,0.2,37,0.0169,0.0169,0.0487804878048781,"Gbf1, Hcn1"
"23","MF","GO:0048487","beta-tubulin binding",42,2,0.2,40,0.01769,0.01769,0.0476190476190476,"Pacrg, Bcas3"
"24","MF","GO:0030165","PDZ domain binding",114,3,0.55,41,0.01805,0.01805,0.0263157894736842,"Nlgn1, Nkd1, Hcn2"
"25","MF","GO:0015485","cholesterol binding",43,2,0.21,42,0.01849,0.01849,0.0465116279069767,"Gramd1b, Osbpl6"
"26","MF","GO:0043167","ion binding",5224,36,25.36,27,0.02034,0.01002,0.00689127105666156,"Rnf220, Cryab, Spock3, Hsp90ab1, Prkca, Ypel2, Adgrv1, Gramd1b, Ttc3, Cdh10, Vsnl1, Hsp90aa1, Prpf4b, Ephb1, Mob3b, Gbf1, Ttll5, Nkd1, Epha6, Grin2a, Myrip, Chordc1, Scd3, Plod1, Xrcc6, Hcn2, Prex1, Lgr4, Map4k4, Magi1, Kcnd2, Hcn1, Rere, Rasl10a, St13, Tax1bp1"
"27","MF","GO:0015631","tubulin binding",327,5,1.59,46,0.02151,0.02151,0.0152905198776758,"Cryab, Eml1, Pacrg, Bcas3, Map4k4"
"28","MF","GO:0032934","sterol binding",49,2,0.24,48,0.02364,0.02364,0.0408163265306122,"Gramd1b, Osbpl6"
"29","MF","GO:0031072","heat shock protein binding",136,7,0.66,1,0.02835,4.4e-06,0.0514705882352941,"Pttg1, Hsp90ab1, Pacrg, Stip1, Ahsa1, Chordc1, St13"
"30","MF","GO:0044325","ion channel binding",136,3,0.66,53,0.02854,0.02854,0.0220588235294118,"Hsp90ab1, Hsp90aa1, Snap25"
"31","MF","GO:0043168","anion binding",2593,21,12.59,29,0.03125,0.01132,0.00809872734284612,"Hsp90ab1, Prkca, Gramd1b, Hsp90aa1, Prpf4b, Ephb1, Gbf1, Ttll5, Epha6, Grin2a, Chordc1, Plod1, Xrcc6, Hcn2, Prex1, Lgr4, Map4k4, Magi1, Hcn1, Rasl10a, St13"
"32","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,2,0.28,55,0.03129,0.03129,0.0350877192982456,"Ephb1, Epha6"
"33","MF","GO:0030554","adenyl nucleotide binding",1428,14,6.93,24,0.03372,0.00867,0.00980392156862745,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Hcn2, Map4k4, Magi1, Hcn1, St13"
"34","MF","GO:0036094","small molecule binding",2316,19,11.24,33,0.04052,0.01429,0.00820379965457686,"Hsp90ab1, Prkca, Gramd1b, Hsp90aa1, Osbpl6, Prpf4b, Ephb1, Ttll5, Epha6, Grin2a, Chordc1, Plod1, Xrcc6, Hcn2, Map4k4, Magi1, Hcn1, Rasl10a, St13"
"35","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,2,0.36,61,0.05024,0.05024,0.027027027027027,"Ephb1, Epha6"
"36","MF","GO:0031625","ubiquitin protein ligase binding",288,4,1.4,64,0.05162,0.05162,0.0138888888888889,"Hsp90ab1, Pacrg, Hsp90aa1, Ubb"
"37","MF","GO:0097367","carbohydrate derivative binding",2036,17,9.88,39,0.0517,0.0176,0.00834970530451866,"Spock3, Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Hcn2, Lgr4, Map4k4, Magi1, Hcn1, Rasl10a, St13"
"38","MF","GO:0046983","protein dimerization activity",1311,11,6.36,66,0.05217,0.05217,0.0083905415713196,"Cryab, Hsp90ab1, Nlgn1, Cdh10, Hsp90aa1, Pbx1, Tcf12, Grin2a, Syne1, Kcnd2, St13"
"39","MF","GO:0051427","hormone receptor binding",174,3,0.84,67,0.05277,0.05277,0.0172413793103448,"Bcas3, Cck, Tcf7l2"
"40","MF","GO:0043178","alcohol binding",79,2,0.38,68,0.05643,0.05643,0.0253164556962025,"Gramd1b, Osbpl6"
"41","MF","GO:0015238","drug transmembrane transporter activity",83,2,0.4,71,0.06156,0.06156,0.0240963855421687,"Slc38a2, Slc13a1"
"42","MF","GO:0044389","ubiquitin-like protein ligase binding",306,4,1.49,72,0.06177,0.06177,0.0130718954248366,"Hsp90ab1, Pacrg, Hsp90aa1, Ubb"
"43","MF","GO:0017076","purine nucleotide binding",1747,15,8.48,45,0.06353,0.0205,0.00858614768174013,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Hcn2, Map4k4, Magi1, Hcn1, Rasl10a, St13"
"44","MF","GO:0005524","ATP binding",1357,11,6.59,73,0.06371,0.06371,0.00810611643330877,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Map4k4, Magi1"
"45","MF","GO:0032559","adenyl ribonucleotide binding",1418,13,6.88,43,0.0663,0.01904,0.00916784203102962,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Hcn2, Map4k4, Magi1, Hcn1"
"46","MF","GO:0030234","enzyme regulator activity",894,8,4.34,74,0.06849,0.06849,0.00894854586129754,"Pttg1, Spock3, Hsp90ab1, Adgrv1, Hsp90aa1, Gprc5b, Bcas3, Ahsa1"
"47","MF","GO:0060090","molecular adaptor activity",195,3,0.95,75,0.0693,0.0693,0.0153846153846154,"Frmd4a, Hcn2, Magi1"
"48","MF","GO:0005496","steroid binding",92,2,0.45,76,0.07366,0.07366,0.0217391304347826,"Gramd1b, Osbpl6"
"49","MF","GO:0004725","protein tyrosine phosphatase activity",95,2,0.46,78,0.07786,0.07786,0.0210526315789474,"Dusp11, Dusp15"
"50","MF","GO:0008373","sialyltransferase activity",20,1,0.1,79,0.09277,0.09277,0.05,"St3gal4"
"51","MF","GO:0071837","HMG box domain binding",20,1,0.1,80,0.09277,0.09277,0.05,"Tcf12"
"52","MF","GO:0005184","neuropeptide hormone activity",21,1,0.1,81,0.09718,0.09718,0.0476190476190476,"Cck"
"53","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,2,0.53,82,0.09834,0.09834,0.018348623853211,"Gbf1, Hcn1"
"54","MF","GO:0005102","signaling receptor binding",1472,11,7.14,83,0.09954,0.09954,0.00747282608695652,"Hsp90ab1, Pacrg, Prkca, Nlgn1, Hsp90aa1, Bcas3, Cck, Grin2a, Tcf7l2, Lgr4, Syne1"
"55","MF","GO:0008022","protein C-terminus binding",232,3,1.13,85,0.1033,0.1033,0.0129310344827586,"Stip1, Xrcc6, Hcn1"
"56","MF","GO:0008017","microtubule binding",232,3,1.13,86,0.1033,0.1033,0.0129310344827586,"Cryab, Eml1, Map4k4"
"57","MF","GO:0000981","DNA-binding transcription factor activit...",669,6,3.25,88,0.10652,0.10652,0.00896860986547085,"Pttg1, Bach2, Pbx1, Creb5, Tcf12, Tcf7l2"
"58","MF","GO:0035639","purine ribonucleoside triphosphate bindi...",1665,12,8.08,89,0.10696,0.10696,0.00720720720720721,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Map4k4, Magi1, Rasl10a"
"59","MF","GO:0005343","organic acid:sodium symporter activity",24,1,0.12,90,0.11028,0.11028,0.0416666666666667,"Slc13a1"
"60","MF","GO:0030371","translation repressor activity",24,1,0.12,91,0.11028,0.11028,0.0416666666666667,"Samd4"
"61","MF","GO:0001671","ATPase activator activity",24,1,0.12,92,0.11028,0.11028,0.0416666666666667,"Ahsa1"
"62","MF","GO:0032555","purine ribonucleotide binding",1736,14,8.43,57,0.11149,0.03978,0.00806451612903226,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Hcn2, Map4k4, Magi1, Hcn1, Rasl10a"
"63","MF","GO:0042826","histone deacetylase binding",119,2,0.58,93,0.1138,0.1138,0.0168067226890756,"Hsp90ab1, Hsp90aa1"
"64","MF","GO:0099604","ligand-gated calcium channel activity",25,1,0.12,94,0.1146,0.1146,0.04,"Grin2a"
"65","MF","GO:0008198","ferrous iron binding",25,1,0.12,95,0.1146,0.1146,0.04,"Plod1"
"66","MF","GO:0032553","ribonucleotide binding",1752,14,8.5,58,0.11724,0.04247,0.00799086757990868,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Hcn2, Map4k4, Magi1, Hcn1, Rasl10a"
"67","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.13,96,0.11891,0.11891,0.0384615384615385,"Gramd1b"
"68","MF","GO:0017075","syntaxin-1 binding",26,1,0.13,97,0.11891,0.11891,0.0384615384615385,"Snap25"
"69","MF","GO:0001228","DNA-binding transcription activator acti...",389,4,1.89,98,0.12077,0.12077,0.0102827763496144,"Pbx1, Creb5, Tcf12, Tcf7l2"
"70","MF","GO:0008289","lipid binding",696,6,3.38,99,0.12226,0.12226,0.00862068965517241,"Gramd1b, Fnbp1, Osbpl6, Gbf1, Prex1, Hcn1"
"71","MF","GO:0003729","mRNA binding",251,3,1.22,100,0.12289,0.12289,0.0119521912350598,"Hsp90aa1, Samd4, Celf2"
"72","MF","GO:0080025","phosphatidylinositol-3,5-bisphosphate bi...",27,1,0.13,101,0.12319,0.12319,0.037037037037037,"Gbf1"
"73","MF","GO:0008066","glutamate receptor activity",27,1,0.13,102,0.12319,0.12319,0.037037037037037,"Grin2a"
"74","MF","GO:0017124","SH3 domain binding",126,2,0.61,103,0.12496,0.12496,0.0158730158730159,"Pttg1, Khdrbs3"
"75","MF","GO:0004713","protein tyrosine kinase activity",127,2,0.62,104,0.12658,0.12658,0.015748031496063,"Ephb1, Epha6"
"76","MF","GO:1901265","nucleoside phosphate binding",1969,15,9.56,62,0.13054,0.05138,0.00761808024377857,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Hcn2, Map4k4, Magi1, Hcn1, Rasl10a, St13"
"77","MF","GO:0000166","nucleotide binding",1969,15,9.56,63,0.13054,0.05138,0.00761808024377857,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Hcn2, Map4k4, Magi1, Hcn1, Rasl10a, St13"
"78","MF","GO:0098918","structural constituent of synapse",29,1,0.14,106,0.13169,0.13169,0.0344827586206897,"Dlgap1"
"79","MF","GO:1901682","sulfur compound transmembrane transporte...",30,1,0.15,107,0.13592,0.13592,0.0333333333333333,"Slc13a1"
"80","MF","GO:0043425","bHLH transcription factor binding",30,1,0.15,108,0.13592,0.13592,0.0333333333333333,"Tcf12"
"81","MF","GO:0005543","phospholipid binding",407,4,1.98,109,0.13596,0.13596,0.00982800982800983,"Gramd1b, Gbf1, Prex1, Hcn1"
"82","MF","GO:0015175","neutral amino acid transmembrane transpo...",31,1,0.15,110,0.14012,0.14012,0.032258064516129,"Slc38a2"
"83","MF","GO:0036002","pre-mRNA binding",31,1,0.15,111,0.14012,0.14012,0.032258064516129,"Celf2"
"84","MF","GO:0030332","cyclin binding",31,1,0.15,112,0.14012,0.14012,0.032258064516129,"Xrcc6"
"85","MF","GO:0042277","peptide binding",270,3,1.31,114,0.14373,0.14373,0.0111111111111111,"Cryab, Hsp90ab1, Plod1"
"86","MF","GO:0015293","symporter activity",138,2,0.67,115,0.14467,0.14467,0.0144927536231884,"Slc38a2, Slc13a1"
"87","MF","GO:0005509","calcium ion binding",574,5,2.79,116,0.14667,0.14667,0.00871080139372822,"Spock3, Adgrv1, Cdh10, Vsnl1, Nkd1"
"88","MF","GO:0001103","RNA polymerase II repressing transcripti...",33,1,0.16,117,0.14846,0.14846,0.0303030303030303,"Tcf7l2"
"89","MF","GO:0035035","histone acetyltransferase binding",33,1,0.16,118,0.14846,0.14846,0.0303030303030303,"Bcas3"
"90","MF","GO:0005484","SNAP receptor activity",33,1,0.16,119,0.14846,0.14846,0.0303030303030303,"Snap25"
"91","MF","GO:0008144","drug binding",1595,11,7.74,120,0.14913,0.14913,0.00689655172413793,"Hsp90ab1, Prkca, Hsp90aa1, Prpf4b, Ephb1, Ttll5, Epha6, Chordc1, Xrcc6, Map4k4, Magi1"
"92","MF","GO:0005342","organic acid transmembrane transporter a...",142,2,0.69,121,0.15138,0.15138,0.0140845070422535,"Slc38a2, Slc13a1"
"93","MF","GO:0046943","carboxylic acid transmembrane transporte...",142,2,0.69,122,0.15138,0.15138,0.0140845070422535,"Slc38a2, Slc13a1"
"94","MF","GO:0005506","iron ion binding",142,2,0.69,123,0.15138,0.15138,0.0140845070422535,"Scd3, Plod1"
"95","MF","GO:0005310","dicarboxylic acid transmembrane transpor...",34,1,0.17,124,0.1526,0.1526,0.0294117647058824,"Slc13a1"
"96","MF","GO:0004672","protein kinase activity",584,5,2.83,125,0.15428,0.15428,0.00856164383561644,"Prkca, Prpf4b, Ephb1, Epha6, Map4k4"
"97","MF","GO:0001965","G-protein alpha-subunit binding",35,1,0.17,126,0.15672,0.15672,0.0285714285714286,"Adgrv1"
"98","MF","GO:0042162","telomeric DNA binding",35,1,0.17,127,0.15672,0.15672,0.0285714285714286,"Xrcc6"
"99","MF","GO:0042802","identical protein binding",1795,12,8.71,128,0.15861,0.15861,0.00668523676880223,"Cryab, Hsp90ab1, Fnbp1, Cdh10, Hsp90aa1, Tcf12, Ahi1, Hcn2, Syne1, Hcn1, St13, Khdrbs3"
"100","MF","GO:0005231","excitatory extracellular ligand-gated io...",36,1,0.17,129,0.16082,0.16082,0.0277777777777778,"Grin2a"
"101","BP","GO:0030010","establishment of cell polarity",135,8,0.67,4,1.3e-05,3.5e-07,0.0592592592592593,"Hsp90ab1, Frmd4b, Shtn1, Hsp90aa1, Ephb1, Bcas3, Gbf1, Frmd4a"
"102","BP","GO:0021955","central nervous system neuron axonogenes...",40,4,0.2,18,4.5e-05,4.5e-05,0.1,"Hsp90ab1, Prkca, Hsp90aa1, Ephb1"
"103","BP","GO:0031646","positive regulation of neurological syst...",80,4,0.4,33,0.00067,0.00067,0.05,"Nlgn1, Cck, Wasf3, Grin2a"
"104","BP","GO:0006903","vesicle targeting",36,3,0.18,34,0.00075,0.00075,0.0833333333333333,"Nlgn1, Gbf1, Ahi1"
"105","BP","GO:0035418","protein localization to synapse",85,4,0.42,35,0.00084,0.00084,0.0470588235294118,"Nlgn1, Snap25, Dlgap1, Grin2a"
"106","BP","GO:0051262","protein tetramerization",158,5,0.78,42,0.00113,0.00113,0.0316455696202532,"Nlgn1, Grin2a, Xrcc6, Hcn1, St13"
"107","BP","GO:0098815","modulation of excitatory postsynaptic po...",53,3,0.26,56,0.0023,0.0023,0.0566037735849057,"Nlgn1, Grin2a, Syne1"
"108","BP","GO:0048812","neuron projection morphogenesis",650,13,3.22,14,0.0024,1.8e-05,0.02,"Hsp90ab1, Prkca, Nlgn1, Shtn1, Hsp90aa1, Ephb1, Cck, Ubb, Epha6, Lgr4, Map4k4, Syne1, Rere"
"109","BP","GO:0030177","positive regulation of Wnt signaling pat...",130,4,0.64,71,0.00398,0.00398,0.0307692307692308,"Rnf220, Gprc5b, Nkd1, Lgr4"
"110","BP","GO:0050767","regulation of neurogenesis",912,14,4.52,22,0.00412,0.00015,0.0153508771929825,"Nlgn1, Ttc3, Shtn1, Gprc5b, Snap25, Pbx1, Dusp15, Tcf12, Ahi1, Tcf7l2, Xrcc6, Prex1, Map4k4, Syne1"
"111","BP","GO:0060828","regulation of canonical Wnt signaling pa...",219,5,1.08,79,0.00466,0.00466,0.0228310502283105,"Rnf220, Gprc5b, Nkd1, Tcf7l2, Lgr4"
"112","BP","GO:0046325","negative regulation of glucose import",21,2,0.1,80,0.00479,0.00479,0.0952380952380952,"Prkca, Ahi1"
"113","BP","GO:0019233","sensory perception of pain",139,4,0.69,81,0.00504,0.00504,0.0287769784172662,"Ephb1, Cck, Grin2a, Kcnd2"
"114","BP","GO:0060219","camera-type eye photoreceptor cell diffe...",22,2,0.11,84,0.00525,0.00525,0.0909090909090909,"Ahi1, Hcn1"
"115","BP","GO:0051965","positive regulation of synapse assembly",74,3,0.37,87,0.00591,0.00591,0.0405405405405405,"Prkca, Nlgn1, Ephb1"
"116","BP","GO:0061178","regulation of insulin secretion involved...",75,3,0.37,88,0.00613,0.00613,0.04,"Vsnl1, Tcf7l2, Map4k4"
"117","BP","GO:0032878","regulation of establishment or maintenan...",24,2,0.12,89,0.00624,0.00624,0.0833333333333333,"Shtn1, Bcas3"
"118","BP","GO:0072078","nephron tubule morphogenesis",76,3,0.38,91,0.00636,0.00636,0.0394736842105263,"Pbx1, Ahi1, Lgr4"
"119","BP","GO:0050709","negative regulation of protein secretion",149,4,0.74,92,0.00643,0.00643,0.0268456375838926,"Vsnl1, Frmd4a, Lgr4, Map4k4"
"120","BP","GO:0000904","cell morphogenesis involved in different...",766,13,3.79,21,0.00745,9.9e-05,0.0169712793733681,"Hsp90ab1, Prkca, Nlgn1, Ttc3, Shtn1, Hsp90aa1, Ephb1, Cck, Epha6, Prex1, Lgr4, Syne1, Rere"
"121","BP","GO:0051899","membrane depolarization",82,3,0.41,99,0.00785,0.00785,0.0365853658536585,"Shtn1, Cck, Hcn1"
"122","BP","GO:2000310","regulation of NMDA receptor activity",27,2,0.13,102,0.00786,0.00786,0.0740740740740741,"Nlgn1, Grin2a"
"123","BP","GO:0030593","neutrophil chemotaxis",83,3,0.41,105,0.00811,0.00811,0.036144578313253,"Prkca, Gbf1, Prex1"
"124","BP","GO:0071480","cellular response to gamma radiation",28,2,0.14,107,0.00843,0.00843,0.0714285714285714,"Cryab, Xrcc6"
"125","BP","GO:0010975","regulation of neuron projection developm...",587,8,2.91,110,0.00862,0.00862,0.0136286201022147,"Nlgn1, Shtn1, Gprc5b, Snap25, Ahi1, Prex1, Map4k4, Syne1"
"126","BP","GO:0032024","positive regulation of insulin secretion",85,3,0.42,111,0.00866,0.00866,0.0352941176470588,"Vsnl1, Myrip, Tcf7l2"
"127","BP","GO:0090162","establishment of epithelial cell polarit...",29,2,0.14,114,0.00903,0.00903,0.0689655172413793,"Frmd4b, Frmd4a"
"128","BP","GO:0050795","regulation of behavior",87,3,0.43,115,0.00923,0.00923,0.0344827586206897,"Nlgn1, Cck, Ahi1"
"129","BP","GO:0051491","positive regulation of filopodium assemb...",30,2,0.15,117,0.00964,0.00964,0.0666666666666667,"Nlgn1, Bcas3"
"130","BP","GO:0042026","protein refolding",30,2,0.15,118,0.00964,0.00964,0.0666666666666667,"Hsp90aa1, St13"
"131","BP","GO:0015012","heparan sulfate proteoglycan biosyntheti...",30,2,0.15,119,0.00964,0.00964,0.0666666666666667,"Tcf7l2, Hs6st3"
"132","BP","GO:0099560","synaptic membrane adhesion",31,2,0.15,121,0.01027,0.01027,0.0645161290322581,"Nlgn1, Mdga2"
