"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005242","inward rectifier potassium channel activ...",20,2,0.06,1,0.0017,0.0017,0.1,"Kcnh7, Kcnj6"
"2","MF","GO:0005516","calmodulin binding",183,4,0.56,3,0.0024,0.0024,0.0218579234972678,"Arpp21, Dapk1, Pde1a, Kcnq5"
"3","MF","GO:0015020","glucuronosyltransferase activity",25,2,0.08,4,0.0026,0.0026,0.08,"Ext1, Chsy3"
"4","MF","GO:0051721","protein phosphatase 2A binding",38,2,0.12,5,0.006,0.006,0.0526315789473684,"Vim, Akap6"
"5","MF","GO:0004180","carboxypeptidase activity",40,2,0.12,7,0.0066,0.0066,0.05,"Mindy2, Agbl4"
"6","MF","GO:0044325","ion channel binding",136,3,0.42,10,0.0083,0.0083,0.0220588235294118,"Dpp10, Rims1, Akap6"
"7","MF","GO:0043169","cation binding",3418,18,10.44,12,0.0108,0.0108,0.00526623756582797,"Egfem1, Car10, Astn2, Zfyve28, Gmpr, Ext1, Tshz2, Ptgis, Prkag2, Clstn2, Chsy3, Rims1, Cdh18, Pde1a, Foxp2, Agbl4, Sulf1, Myt1l"
"8","MF","GO:0008146","sulfotransferase activity",54,2,0.16,13,0.0118,0.0118,0.037037037037037,"Hs3st4, Hs6st3"
"9","MF","GO:0046872","metal ion binding",3326,17,10.16,17,0.0181,0.0181,0.00511124473842453,"Egfem1, Car10, Astn2, Zfyve28, Gmpr, Ext1, Tshz2, Ptgis, Clstn2, Chsy3, Rims1, Cdh18, Pde1a, Foxp2, Agbl4, Sulf1, Myt1l"
"10","MF","GO:0016782","transferase activity, transferring sulfu...",69,2,0.21,18,0.0189,0.0189,0.0289855072463768,"Hs3st4, Hs6st3"
"11","MF","GO:0060090","molecular adaptor activity",195,3,0.6,21,0.0217,0.0217,0.0153846153846154,"Synpo2, Khdrbs2, Akap6"
"12","MF","GO:0019904","protein domain specific binding",762,6,2.33,24,0.0281,0.0281,0.0078740157480315,"Shisa9, Sorbs2, Vim, Dlgap2, Rims1, Khdrbs2"
"13","MF","GO:0005509","calcium ion binding",574,5,1.75,25,0.0305,0.0305,0.00871080139372822,"Egfem1, Astn2, Clstn2, Cdh18, Sulf1"
"14","MF","GO:0003779","actin binding",416,4,1.27,30,0.0381,0.0381,0.00961538461538462,"Tagln, Synpo2, Palld, Sptbn4"
"15","MF","GO:0017124","SH3 domain binding",126,2,0.38,33,0.0567,0.0567,0.0158730158730159,"Rims1, Khdrbs2"
"16","MF","GO:0030674","protein binding, bridging",129,2,0.39,34,0.0591,0.0591,0.0155038759689922,"Synpo2, Khdrbs2"
"17","MF","GO:0005212","structural constituent of eye lens",20,1,0.06,35,0.0594,0.0594,0.05,"Vim"
"18","MF","GO:0051371","muscle alpha-actinin binding",21,1,0.06,36,0.0622,0.0622,0.0476190476190476,"Synpo2"
"19","MF","GO:0034237","protein kinase A regulatory subunit bind...",22,1,0.07,37,0.0651,0.0651,0.0454545454545455,"Akap6"
"20","MF","GO:0070530","K63-linked polyubiquitin modification-de...",22,1,0.07,38,0.0651,0.0651,0.0454545454545455,"Mindy2"
"21","MF","GO:0030506","ankyrin binding",22,1,0.07,39,0.0651,0.0651,0.0454545454545455,"Sptbn4"
"22","MF","GO:0008092","cytoskeletal protein binding",945,6,2.89,42,0.0674,0.0674,0.00634920634920635,"Tagln, Synpo2, Cdh18, Palld, Agbl4, Sptbn4"
"23","MF","GO:0004181","metallocarboxypeptidase activity",23,1,0.07,43,0.068,0.068,0.0434782608695652,"Agbl4"
"24","MF","GO:0008143","poly(A) binding",24,1,0.07,45,0.0708,0.0708,0.0416666666666667,"Khdrbs2"
"25","MF","GO:0008266","poly(U) RNA binding",26,1,0.08,46,0.0765,0.0765,0.0384615384615385,"Khdrbs2"
"26","MF","GO:0017075","syntaxin-1 binding",26,1,0.08,47,0.0765,0.0765,0.0384615384615385,"Dapk1"
