"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005515","protein binding",8273,71,48.73,2,0.00016,1.2e-05,0.00858213465490149,"Cit, Prickle1, Ahi1, Cntn6, Sorbs1, Ephb1, Malat1, Lrtm1, Phactr1, Iqsec1, Igsf9b, Hcn1, Ptprg, Gprasp1, Irf3, Fgf1, Pcdh7, Kcnq5, Paxbp1, Sox5, Afdn, Mycbp2, Fhod3, Chrm2, Gria4, Rbfox1, Cdh10, Tagln, Cdh12, Rgs6, Tacc1, Rapgef4, Khdrbs3, Sycp2, Pttg1, Fgf14, Mettl23, Dvl1, Rora, Hpse2, Pten, Pde4d, Ptpn9, Agbl4, Dlgap2, Epb41, Arpp21, Preb, Stat2, Zfp384, Acta2, Cacna1a, Kcnb2, Chd5, Hcrtr2, Dgki, Psme4, Nedd9, Crtc3, Hspa4l, Clcn1, Rph3a, Ptprn2, Myt1l, Ccsap, Tshz2, Plcb1, Abca7, Fermt1, Trpc5, Mgll"
"2","MF","GO:0004725","protein tyrosine phosphatase activity",95,5,0.56,3,0.00025,0.00025,0.0526315789473684,"Ptprg, Acp1, Pten, Ptpn9, Ptprn2"
"3","MF","GO:0005546","phosphatidylinositol-4,5-bisphosphate bi...",78,4,0.46,13,0.00116,0.00116,0.0512820512820513,"Gsdme, Hcn1, Rph3a, Plcb1"
"4","MF","GO:0043178","alcohol binding",79,4,0.47,14,0.00122,0.00122,0.0506329113924051,"Osbpl6, Stard5, Rph3a, Trpc5"
"5","MF","GO:0022843","voltage-gated cation channel activity",143,5,0.84,15,0.00158,0.00158,0.034965034965035,"Hcn1, Kcnq5, Cacna2d3, Cacna1a, Kcnb2"
"6","MF","GO:0032934","sterol binding",49,3,0.29,17,0.00301,0.00301,0.0612244897959184,"Osbpl6, Rora, Stard5"
"7","MF","GO:0005516","calmodulin binding",183,5,1.08,22,0.00457,0.00457,0.0273224043715847,"Kcnq5, Epb41, Arpp21, Cacna1a, Plcb1"
"8","MF","GO:0005262","calcium channel activity",118,4,0.7,23,0.00522,0.00522,0.0338983050847458,"Cacna2d3, Cacna1a, Fam155a, Trpc5"
"9","MF","GO:0000981","DNA-binding transcription factor activit...",669,10,3.94,24,0.00611,0.00611,0.0149476831091181,"Zfp692, Irf3, Sox5, Pttg1, Rora, Preb, Stat2, Zfp384, Hivep2, Myt1l"
"10","MF","GO:0017124","SH3 domain binding",126,4,0.74,25,0.00657,0.00657,0.0317460317460317,"Cit, Khdrbs3, Pttg1, Zfp384"
