"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0030215","semaphorin receptor binding",21,1,0,1,0.0023,0.0023,0.0476190476190476,"Rit2"
"2","MF","GO:0019003","GDP binding",75,1,0.01,2,0.0082,0.0082,0.0133333333333333,"Rit2"
"3","MF","GO:0005516","calmodulin binding",183,1,0.02,3,0.0199,0.0199,0.00546448087431694,"Rit2"
"4","MF","GO:0003924","GTPase activity",275,1,0.03,4,0.0298,0.0298,0.00363636363636364,"Rit2"
"5","MF","GO:0005525","GTP binding",339,1,0.04,5,0.0366,0.0366,0.00294985250737463,"Rit2"
"6","MF","GO:0003682","chromatin binding",536,1,0.06,12,0.0576,0.0576,0.00186567164179104,"Rit2"
"7","MF","GO:0017111","nucleoside-triphosphatase activity",785,1,0.09,13,0.0838,0.0838,0.00127388535031847,"Rit2"
"8","MF","GO:0016462","pyrophosphatase activity",832,1,0.09,14,0.0887,0.0887,0.00120192307692308,"Rit2"
"9","MF","GO:0016817","hydrolase activity, acting on acid anhyd...",835,1,0.09,15,0.089,0.089,0.00119760479041916,"Rit2"
"10","MF","GO:0016818","hydrolase activity, acting on acid anhyd...",835,1,0.09,16,0.089,0.089,0.00119760479041916,"Rit2"
"11","MF","GO:0035639","purine ribonucleoside triphosphate bindi...",1665,1,0.18,18,0.1734,0.1734,0.000600600600600601,"Rit2"
"12","MF","GO:0016787","hydrolase activity",2345,1,0.26,26,0.2394,0.2394,0.000426439232409382,"Rit2"
"13","MF","GO:0003824","catalytic activity",5396,1,0.59,31,0.502,0.502,0.000185322461082283,"Rit2"
"14","MF","GO:0000166","nucleotide binding",1969,1,0.21,22,1,0.2032,0.000507872016251904,"Rit2"
"15","MF","GO:0032553","ribonucleotide binding",1752,1,0.19,21,1,0.182,0.000570776255707763,"Rit2"
"16","MF","GO:0032555","purine ribonucleotide binding",1736,1,0.19,19,1,0.1804,0.000576036866359447,"Rit2"
"17","MF","GO:0001882","nucleoside binding",360,1,0.04,9,1,0.0389,0.00277777777777778,"Rit2"
"18","MF","GO:0001883","purine nucleoside binding",350,1,0.04,7,1,0.0378,0.00285714285714286,"Rit2"
"19","MF","GO:0019001","guanyl nucleotide binding",362,1,0.04,10,1,0.0391,0.00276243093922652,"Rit2"
"20","MF","GO:0097367","carbohydrate derivative binding",2036,1,0.22,24,1,0.2098,0.000491159135559921,"Rit2"
"21","MF","GO:0005515","protein binding",8273,1,0.9,32,1,0.6988,0.000120875135984528,"Rit2"
"22","MF","GO:0005488","binding",11858,1,1.29,33,1,0.8752,8.4331253162422e-05,"Rit2"
"23","MF","GO:1901363","heterocyclic compound binding",4665,1,0.51,28,1,0.4441,0.000214362272240086,"Rit2"
"24","MF","GO:0005102","signaling receptor binding",1472,1,0.16,17,1,0.1541,0.000679347826086957,"Rit2"
"25","MF","GO:0032561","guanyl ribonucleotide binding",362,1,0.04,11,1,0.0391,0.00276243093922652,"Rit2"
"26","MF","GO:0036094","small molecule binding",2316,1,0.25,25,1,0.2367,0.000431778929188256,"Rit2"
"27","MF","GO:0043167","ion binding",5224,1,0.57,30,1,0.4886,0.000191424196018377,"Rit2"
"28","MF","GO:0032549","ribonucleoside binding",351,1,0.04,8,1,0.0379,0.00284900284900285,"Rit2"
"29","MF","GO:0043168","anion binding",2593,1,0.28,27,1,0.2628,0.000385653682992673,"Rit2"
"30","MF","GO:0003674","molecular_function",18336,2,2,34,1,1,0.000109075043630017,"Wdr17, Rit2"
"31","MF","GO:0017076","purine nucleotide binding",1747,1,0.19,20,1,0.1815,0.000572409845449342,"Rit2"
"32","MF","GO:0097159","organic cyclic compound binding",4747,1,0.52,29,1,0.4508,0.000210659363808721,"Rit2"
"33","MF","GO:0032550","purine ribonucleoside binding",346,1,0.04,6,1,0.0374,0.00289017341040462,"Rit2"
"34","MF","GO:1901265","nucleoside phosphate binding",1969,1,0.21,23,1,0.2032,0.000507872016251904,"Rit2"
"35","MF","GO:0000030","mannosyltransferase activity",26,0,0,35,1,1,0,""
"36","MF","GO:0000049","tRNA binding",57,0,0.01,36,1,1,0,""
"37","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0,37,1,1,0,""
"38","MF","GO:0000149","SNARE binding",116,0,0.01,38,1,1,0,""
"39","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0,39,1,1,0,""
"40","MF","GO:0000217","DNA secondary structure binding",24,0,0,40,1,1,0,""
"41","MF","GO:0000287","magnesium ion binding",187,0,0.02,41,1,1,0,""
"42","MF","GO:0000976","transcription regulatory region sequence...",786,0,0.09,42,1,1,0,""
"43","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,0,0.08,43,1,1,0,""
"44","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,0,0.06,44,1,1,0,""
"45","MF","GO:0000979","RNA polymerase II core promoter sequence...",37,0,0,45,1,1,0,""
"46","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,0,0.01,46,1,1,0,""
"47","MF","GO:0000981","DNA-binding transcription factor activit...",669,0,0.07,47,1,1,0,""
"48","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,0,0.06,48,1,1,0,""
"49","MF","GO:0000993","RNA polymerase II complex binding",37,0,0,49,1,1,0,""
"50","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,0,0.08,50,1,1,0,""
"51","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,0,0.01,51,1,1,0,""
"52","MF","GO:0001047","core promoter binding",60,0,0.01,52,1,1,0,""
"53","MF","GO:0001067","regulatory region nucleic acid binding",896,0,0.1,53,1,1,0,""
"54","MF","GO:0001085","RNA polymerase II transcription factor b...",165,0,0.02,54,1,1,0,""
