"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005524","ATP binding",1357,103,55.88,7,8.3e-10,8.3e-10,0.0759027266028003,"Hunk, Alk, Atp2a2, Hspa4l, Sik3, Grk5, Epha3, Prpf4b, Kit, Ntrk2, Atp2b2, Prkca, Pak1, Dync1h1, Ephb2, Ube4b, Sik2, Hsp90ab1, Epha5, Map4k3, Prkaa2, Myo5a, Ksr1, Gsk3b, Chd5, Fgfr1, Ip6k1, Lmtk3, Taok3, Nuak1, Aacs, Rock2, Kalrn, Atp10a, Tgfbr1, Igf1r, Stk11, Map3k13, Chordc1, Trio, Fkbp4, Abcg1, Mark4, Ube2h, Hsph1, Ephb1, Dyrk1a, Nek1, Kif3a, Lrrk2, Ikbkb, Atp1b1, Pkn2, Dyrk2, Csnk1e, Dnaja1, Akt3, Map3k4, Ddx42, Pik3c2a, Dapk1, Abca5, Atp2b1, Pmvk, Prkce, Prkd1, Tor1b, Map2k4, Acsl4, Smc3, Myh10, Flt3, Acaca, Atp2c1, Smc5, Ythdc2, Pank1, Adcy1, Camk2b, Limk2, Pak2, Aatk, Hnrnpu, Scn8a, Abcb9, Top1, Nmnat2, Tpk1, Syk, Adcy8, Mat2a, Pik3ca, Ddx49, Trpm7, Actr3b, Brsk1, Pcx, Srpk2, Kif21a, Atp13a3, Chd6, Kifc2, Ube2o"
"2","MF","GO:0005515","protein binding",8273,490,340.65,1,1.9e-09,5e-29,0.0592288166324187,"Pttg1, Zbtb16, Nrxn1, Kcnip1, Skap1, Ebf2, Bach2, Cntn6, Slc8a3, Sntb1, Ano1, Thy1, Cadm2, Fmn1, Hivep1, Fth1, Alk, Tshz2, Map1b, Chgb, Pcdh11x, Nedd4l, Epb41, Samd5, Prickle1, Plp1, Sema6d, Sgcz, Ebf3, Crtac1, Atp2a2, Dab1, Scai, Mtcl1, Hspa4l, Ldlr, Nrg3, Sik3, Grk5, Arhgef18, Nrp2, Ppard, Sox5, Ano4, Nr3c2, Svil, Usp3, Etl4, Trpc4, Sh3rf1, Adgrl2, Epha3, Chrm2, Psap, Cdh11, Olfm2, Astn2, Pcsk1, Ptprd, Kif5a, Nrp1, Srgap1, Pcdh9, Kit, Dst, Hcrtr2, Tle4, Ntrk2, Cntnap4, Atp2b2, Prkca, Pak1, Pid1, Plcl2, Arhgef3, Prdm16, Coro6, Sgcd, Dync1h1, Sv2a, Ephb2, Plekha7, Kif5c, Tshz3, Ube4b, Grm4, Plcb4, Wipf3, Stip1, Hmga2, Postn, Ncam1, Bicc1, Dpysl2, Pdzrn3, Sik2, Rapgef3, Sort1, Spag9, Cacnb4, Lynx1, Dpysl5, Dkk3, Zfyve9, Kcna2, Tcf4, Bcl11a, Esrrg, Hsp90ab1, Mfsd6, Zfp521, Syt7, Epha5, Map4k3, Pag1, Ncor2, Rtn3, Hsd17b12, Lpp, Prkaa2, Myo5a, Hmgcr, Ksr1, Gsk3b, Mpp6, Cemip, Ndrg4, Mtus2, Syngr3, Ldb2, Ptpru, Hdac4, Cdh20, Chd5, Ppm1l, Spred2, Dzip1, Lnpep, Itpr1, Sema5a, Slit1, Ikzf2, Cyth1, Dennd1b, Fcho2, Syt11, Anks1, Rapgef2, Cpne4, Cplx2, Whrn, Srebf2, Afdn, Zic1, Fgfr1, Herc2, Syt4, Apba1, Kcnk2, Cdc42, Ntn4, Hnrnph1, Fam49b, Tbc1d8, Cttnbp2, Timp2, Syt2, Asic2, Nuak1, Vgll4, Wdfy2, Coro2a, Serinc1, Ywhag, Rock2, Kalrn, Adgrl1, Hnrnpa2b1, Unc13b, Znrf1, Tgfbr1, Shisa6, Tspan5, Htr4, Jakmip3, Igf1r, Stk11, Mxi1, Map3k13, Ranbp9, Rab6b, Pacrg, Gna11, Zfp385b, Klhl1, Nr1d2, Sema5b, Dlst, Bcl11b, Trp53bp1, Ryr3, Clstn3, Osbpl1a, Lrrc4c, Rspo3, Kcnab1, Rasgrf1, Spire1, Chordc1, Kmt2e, Usp15, Slc8a1, Cd47, Tbc1d1, Ring1, Ncdn, Trio, Babam2, Fkbp4, Abcg1, Mark4, Gnb1, Ebf4, Agbl4, Snap91, Fgf1, Hsph1, Igsf9b, Camsap2, Rap1gap, Ank1, Wipf2, Dennd5b, Znhit6, Cpeb2, Mlip, Lrp1, Chn1, Nfix, Ephb1, Sash1, Dyrk1a, Nek1, Sncaip, Hmgcs1, Dcc, Sec14l1, Cdh8, Cbarp, Usp22, Dlgap4, Kif3a, Agap3, Spon1, Ndst1, Arl8b, Map1a, Lrrk2, Grina, Ubr2, Pkd1, Cadm3, Unc13a, Ralbp1, Ikbkb, Arhgap26, Fstl1, Kmt2a, Sclt1, Chga, Mgll, Fnbp4, Mgrn1, Atp1b1, C1ql2, Asxl3, Egr1, Tcte1, Ccp110, Runx1t1, Mindy2, Dtnbp1, Tiam1, Neto2, Homer2, Mef2a, Rit2, Scn1b, Adam10, Pkn2, Madd, Bmper, Tdrd3, Ubr5, Ralgps1, Sept8, Pten, Tead1, Dscam, Bcas3, Csnk1e, Kctd3, Rgs7bp, Mtss1, Ncoa3, Usp9x, Atxn2, Sgip1, Dnaja1, Akt3, Cpeb3, Cast, Ppfia4, Stx6, Asap1, Mycbp2, Map3k4, Prkab2, Neurod2, Ralgds, Dkk2, Suz12, Sertad2, Dapk1, Acot7, Uxs1, Rala, Iqsec3, Casp8ap2, Ktn1, Rora, Spred1, Sos1, N4bp1, Rab14, Cpe, Slf2, Slc4a4, Clip1, Grik3, Kyat1, Arhgef10l, Atp2b1, Mib1, Ago2, Pcnt, Arhgap44, Prkce, Fnbp1, Ccdc6, Itga6, Atic, Lcp1, Akain1, Zfp106, P4ha1, Gcc2, Adarb1, Pik3c2b, Prkd1, Nxph1, Tor1b, Ctsb, Map2k4, Cobl, Mpzl1, Scrt1, Slc12a2, Med12l, Brdt, Fkbp5, Foxo3, Ric1, Pknox1, Smc3, Col5a2, Antxr1, Gigyf2, Shisa5, Ahi1, Myh10, Flt3, Acaca, Nfatc3, Uchl1, Faim2, Fermt2, Tfeb, Nr6a1, Epb41l3, Ptpn13, Taf4, Supt6, Hsd17b7, Nsmaf, Reep1, Ythdc2, Gosr2, Wwox, Dhcr24, Pank1, Ccdc88a, Adcy1, Scamp1, Pygb, Nfe2l1, Camk2b, Taf3, Asah1, Apbb1, Capn6, Castor2, Psd3, Limk2, Nrd1, Pak2, Aatk, Hnrnpu, Cd9, Add2, Rusc2, Tmem30a, Scn8a, Abcb9, Syp, Bcar1, Faah, Fbn2, Ppargc1b, Slc30a9, Top1, Mapre2, Crmp1, Desi1, Slc12a5, Ssh1, Syt14, Arg2, Frmd5, Raph1, Canx, Syk, Xxylt1, Basp1, Kansl1, Macf1, Adcy8, Pbx1, Gria2, Mat2a, Pik3ca, Mkx, Robo3, Usp33, Slc22a17, Snapin, Dpf3, Dtna, Acap2, Trpm7, Actr3b, Zbtb38, Ache, Brsk1, Kras, Gtf2e2, Pcx, Sytl2, Grin3a, Srpk2, Psmd11, Tpst2, Calm3, Kif21a, Tspoap1, Ankrd27, Setd7, Arih1, Gli2, Hip1, Chd6, Pam, Panx2, Bicdl1, Ppp3cb, Ralyl, Kifc2, Ube2o, Efna2, Matr3"
"3","MF","GO:0004674","protein serine/threonine kinase activity",435,44,17.91,19,3.9e-08,3.9e-08,0.101149425287356,"Hunk, Sik3, Grk5, Prpf4b, Prkca, Pak1, Sik2, Map4k3, Prkaa2, Gsk3b, Lmtk3, Taok3, Nuak1, Rock2, Kalrn, Tgfbr1, Stk11, Map3k13, Trio, Mark4, Dyrk1a, Nek1, Lrrk2, Ikbkb, Pkn2, Dyrk2, Csnk1e, Akt3, Map3k4, Prkab2, Dapk1, Prkce, Prkd1, Map2k4, Camk2b, Limk2, Pak2, Aatk, Top1, Syk, Pik3ca, Trpm7, Brsk1, Srpk2"
"4","MF","GO:0005516","calmodulin binding",183,23,7.54,37,1.9e-06,1.9e-06,0.12568306010929,"Slc8a3, Sntb1, Epb41, Atp2b2, Grm4, Esrrg, Syt7, Myo5a, Unc13b, Ryr3, Slc8a1, Camsap2, Unc13a, Rit2, Dapk1, Atp2b1, Pcnt, Myh10, Adcy1, Camk2b, Add2, Adcy8, Ppp3cb"
"5","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,12,2.35,38,2.8e-06,2.8e-06,0.210526315789474,"Alk, Nrp2, Epha3, Nrp1, Kit, Ntrk2, Ephb2, Epha5, Fgfr1, Igf1r, Ephb1, Flt3"
"6","MF","GO:0042169","SH2 domain binding",39,10,1.61,39,2.8e-06,2.8e-06,0.256410256410256,"Skap1, Dab1, Kit, Pag1, Syngr3, Fgfr1, Snap91, Adam10, Syp, Syk"
"7","MF","GO:0008017","microtubule binding",232,26,9.55,40,3.7e-06,3.7e-06,0.112068965517241,"Skap1, Fmn1, Map1b, Mtcl1, Kif5a, Dst, Kif5c, Dpysl2, Dpysl5, Mtus2, Fcho2, Jakmip3, Mark4, Camsap2, Kif3a, Map1a, Tiam1, Sgip1, Clip1, Reep1, Ccdc88a, Capn6, Mapre2, Macf1, Kif21a, Kifc2"
"8","MF","GO:0017075","syntaxin-1 binding",26,8,1.07,43,6.4e-06,6.4e-06,0.307692307692308,"Myo5a, Cplx2, Syt4, Unc13b, Lrrk2, Unc13a, Dapk1, Syp"
"9","MF","GO:0015248","sterol transporter activity",29,8,1.19,48,1.6e-05,1.6e-05,0.275862068965517,"Stard5, Osbpl6, Osbpl3, Osbpl1a, Abcg1, Osbpl11, Gramd1b, Osbpl9"
"10","MF","GO:0003779","actin binding",416,36,17.13,50,2.3e-05,2.3e-05,0.0865384615384615,"Sntb1, Fmn1, Map1b, Epb41, Svil, Dst, Coro6, Wipf3, Myo5a, Afdn, Coro2a, Pacrg, Klhl1, Spire1, Wipf2, Dyrk1a, Map1a, Lrrk2, Homer2, Mtss1, Prkce, Lcp1, Cobl, Antxr1, Myh10, Fermt2, Epb41l3, Ccdc88a, Hnrnpu, Add2, Ssh1, Macf1, Adcy8, Trpm7, Actr3b, Hip1"
