"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005524","ATP binding",1357,94,51.21,5,5.9e-09,5.9e-09,0.0692704495210022,"Prpf4b, Myo5b, Prkca, Epha3, Atp2b2, Ephb1, Hunk, Ephb2, Adcy8, Kifc2, Mapk11, Adcy10, Kalrn, Flt3, Lmtk3, Pip5k1b, Epha5, Trio, Hsp90ab1, Atp1a3, Hsph1, Trpm7, Kif21a, Epha4, Ube2h, Hipk4, Kit, Lmtk2, Hspa4l, Abcb5, Magi1, Ddx46, Fkbp4, Myo18a, Cerk, Fgfr2, Slk, Rps6kb2, Nvl, Epha10, Abl1, Myo6, Akt3, Dnaja1, Map2k4, Wnk3, Tlk1, Map3k3, Csnk1e, Dync1h1, Cnnm2, Hspa4, Kif24, Taok3, Stk11, Smarca4, Smc6, Smc3, Psmc3, Tyro3, Stk4, Papss2, Ppip5k1, Ddr2, Top1, Pik3c2g, Chd6, Brsk1, Mink1, Hspa5, Pik3c2a, Prkaa2, Jak2, Araf, Clk2, Abcc5, Prkd1, Etnk1, Afg1l, Acss2, Srpk2, Nuak1, Ntrk2, Chd9, Hsp90b1, P2rx6, Ercc3, Ttll3, Nlk, Pip5k1a, Cdc42bpa, Abca7, Spast, Naxd"
"2","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,14,2.15,8,1.8e-08,1.8e-08,0.245614035087719,"Epha3, Ephb1, Ephb2, Flt3, Epha5, Epha4, Kit, Lmtk2, Fgfr2, Epha10, Tyro3, Ddr2, Nrp1, Ntrk2"
"3","MF","GO:0042169","SH2 domain binding",39,9,1.47,24,1.1e-05,1.1e-05,0.230769230769231,"Khdrbs2, Dab1, Pag1, Kit, Abl1, Irs1, Arhgap5, Jak2, Nlk"
"4","MF","GO:0005515","protein binding",8273,408,312.22,2,1.6e-05,6.7e-14,0.0493170554816874,"Ano1, Pttg1, Prdm16, Ube3a, Fgf1, Trpc4, Myo5b, Astn2, Cdh20, Asap1, Cttnbp2, Tshz2, Zbtb16, Homer2, Sema6d, Cryab, Plpp4, Ebf2, Bicc1, Prkca, Zic1, Stip1, Paxbp1, Zfp521, Pdzrn3, Clic4, Pomc, Epha3, Arhgef18, Nova1, Mlip, Bach2, Atp2b2, Epo, Khdrbs2, Tenm2, Dkk3, Ephb1, Tcf4, Tenm3, Mpp6, Pcdh11x, Igsf9b, Lrrc4c, Dtx3, Apba1, Ptpn5, Sncaip, Cacna1a, Chgb, Arhgef25, Syt2, Dennd5b, Epb41, Brd9, Ephb2, Prickle1, Rap1gap, Malat1, Adcy8, Kifc2, Mapk11, Slc4a4, Adcy10, Sema5a, Wdr60, Akap8l, Unc13a, Tshz3, Fhod3, Epb41l3, Spred2, Ralyl, Vgll4, Mkx, Arhgap26, Slc8a3, Hivep1, Pcdh9, Pls1, Sclt1, Cacnb4, Kalrn, Kcnma1, Cdyl2, Hdac9, Hmcn1, Flt3, Bmper, Kcnb2, Dab1, Pam, Dkk2, Fnbp1, Cdh8, Plekha7, L3mbtl3, Unc13c, Nsmaf, Spag9, Ppard, Lrtm1, Syt14, Nedd4l, Cadm2, Chn1, Tafa2, Pip5k1b, Ldb2, Ntn4, March1, Dgki, Wwp1, Scn1b, Epha5, Trio, Hsp90ab1, Slc22a17, Ebf3, Lama3, Atp1a3, Hsph1, Kcna1, Fstl1, Adgrb1, Dock4, Cep70, Mycbp2, Strbp, Trpm7, Pag1, Rspo3, Igsf11, Kif21a, Rp9, Nr3c2, Ubxn2a, Epha4, Dnaic1, Coro6, Tcte1, Cdc25b, Kit, Ahi1, Ptprd, Lmtk2, Nsd1, Mical2, Hspa4l, Rapgef4, Ptprn, Ranbp9, Cemip, Cck, Magi1, Edil3, Psd3, Postn, Iqsec1, Fkbp4, Sntb2, Scai, Myo18a, Plp1, Asic2, Fut8, Nwd2, Pacrg, Shank1, Cep135, Dot1l, Fmn1, Pacsin1, Zfyve9, Dpysl2, Pcdh15, Sertad2, Fgfr2, Fth1, Ano4, Arhgap31, Glg1, Nudcd3, Dvl1, Chrm2, Ccsap, Plec, Faah, Atxn2, Irf3, Slk, Kcnn2, Tead1, Rora, St13, Ppp3ca, Nrep, Abl1, Dok5, Rec114, Myo6, Crocc, Akt3, Ralgps1, Uhrf2, Synj2, Dnaja1, Ndrg4, Pknox1, Tspan5, Jakmip3, Zmynd8, Hnrnpm, Map2k4, Reln, Arpp21, Kctd3, Slc12a5, Tmem30a, Akain1, Mtus2, Fcho2, Pcgf5, Ring1, Rcor1, Hnrnpa2b1, Nrxn1, Tial1, Tacc1, Map3k3, Cdh23, Tbc1d30, Rnf207, Klf12, Lamc2, Csnk1e, Tomm40, Dync1h1, Arl8b, Syt1, Cd34, Sytl2, Ift88, Bod1l, Ppp2r3a, Hspa4, Agrn, Stac, Pkd1, Mras, Tfdp2, Kif5a, Irs1, Sgsm3, Kif24, Lynx1, Stk11, Vgf, Itpr3, Smarca4, Sntg1, Ano2, Smc6, Rb1cc1, Ncor1, Lztr1, Samd5, Oprd1, Smc3, Terf1, Col5a1, Cyb5r4, Psmc3, Fbf1, Frmd5, Tyro3, Stim1, Stk4, Mtcl1, Gabarapl2, Camkmt, Sycp2, Arhgap5, Gpatch8, Dock5, Npc1, Ktn1, Lef1, Dennd4c, Mcm3ap, Arntl, Satb2, Bche, Spire1, Pxn, Nxn, Top1, Cntnap1, Klhl2, Kcnk2, Chd6, Ciz1, Brsk1, Snapin, Spin1, Dlst, Nfatc3, Hspa5, Sos1, Trpc5, Ppp1r12a, Rit2, Stat6, 2810459M11Rik, Prkaa2, Jak2, Pex19, Lrp1, Pitpnm2, Arnt, Araf, Clk2, Hook3, Sgsm1, Crim1, Hdgfl3, Dennd6b, Ext1, Prkd1, Lgr4, Mgrn1, Rnf144b, Nrf1, Hacd4, Lrrc4, Lpp, Rab11fip3, Tmc1, Qtrt2, Nrp1, Olfm2, Zic3, Rab3ip, Tdrd3, Xrn2, Larp1, Ttc28, Ahsa1, Stat5b, Runx1t1, Meis2, Gnb3, Ier5, Foxo1, Yaf2, Llgl1, Vcl, Tut4, Antxr1, Pstpip2, Cntn5, Ppp4r3a, Whrn, Cep63, Srpk2, Nuak1, Ptprj, Tra2a, Tpst1, Cc2d2a, Ppp6r2, Gcn1, Map6, Safb2, Dctn1, Ntrk2, Ecm1, Kmt2e, Hsp90b1, Srgap1, P2rx6, Mllt10, Gch1, Cntrob, Ercc3, Pdss2, Ensa, Pcnt, Cplx2, Sort1, Zmym2, Ppp6r1, Nlk, Eef1a2, Pip5k1a, Ptges3, Castor2, Cdc42bpa, Pitpnm3, Slit1, Abca7, Osbpl1a, Dtnbp1, Spast, Flrt3, Sgcz, Kpna1, Rasgrf1"
"5","MF","GO:0004674","protein serine/threonine kinase activity",435,33,16.42,29,0.00012,0.00012,0.0758620689655172,"Prpf4b, Prkca, Hunk, Mapk11, Kalrn, Lmtk3, Trio, Trpm7, Hipk4, Lmtk2, Slk, Rps6kb2, Akt3, Map2k4, Wnk3, Tlk1, Map3k3, Csnk1e, Taok3, Stk11, Stk4, Top1, Brsk1, Mink1, Prkaa2, Araf, Clk2, Prkd1, Srpk2, Nuak1, Ercc3, Nlk, Cdc42bpa"
"6","MF","GO:0008017","microtubule binding",232,20,8.76,37,0.00053,0.00053,0.0862068965517241,"Cryab, Kifc2, Strbp, Kif21a, Fmn1, Dpysl2, Ccsap, Jakmip3, Mtus2, Fcho2, Kif5a, Kif24, Terf1, Stim1, Mtcl1, Hook3, Hdgfl3, Map6, Dctn1, Spast"
"7","MF","GO:0005516","calmodulin binding",183,17,6.91,39,0.00058,0.00058,0.092896174863388,"Myo5b, Atp2b2, Cacna1a, Epb41, Adcy8, Unc13a, Slc8a3, Unc13c, Sntb2, Kcnn2, Ppp3ca, Myo6, Arpp21, Syt1, Rit2, Map6, Pcnt"
"8","MF","GO:0008200","ion channel inhibitor activity",32,6,1.21,44,0.00111,0.00111,0.1875,"Nedd4l, Scn1b, Wnk3, Lynx1, Kcnk2, Ensa"
"9","MF","GO:0005096","GTPase activator activity",235,19,8.87,48,0.00154,0.00154,0.0808510638297872,"Asap1, Rap1gap, Arhgap20, Arhgap39, Arhgap26, Chn1, Dock4, Arhgap31, Arhgap21, Tbc1d30, Sgsm3, Elmod1, Arhgap5, Dock5, Sgsm1, Nrp1, Rap1gap2, Llgl1, Srgap1"
"10","MF","GO:0005262","calcium channel activity",118,12,4.45,50,0.00168,0.00168,0.101694915254237,"Trpc4, Cacna2d2, Cacna1a, Cacnb4, Trpm7, Slc24a5, Pkd1, Itpr3, Stim1, Trpc5, Tmc1, Cacna1i"
