"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0022838","substrate-specific channel activity",406,10,1.84,1,0.00076,1.5e-05,0.0246305418719212,"Gabrb1, Asic2, Aqp4, Slc14a1, Slc24a4, Kcnip4, Il1rapl1, Kcnd3, Lrrc8c, Slc24a3"
"2","MF","GO:0035255","ionotropic glutamate receptor binding",40,3,0.18,8,0.00078,0.00078,0.075,"Dlg2, Shisa6, Igsf11"
"3","MF","GO:0001540","amyloid-beta binding",57,3,0.26,9,0.00219,0.00219,0.0526315789473684,"Cst3, Apoe, Clu"
"4","MF","GO:0005178","integrin binding",128,4,0.58,10,0.00272,0.00272,0.03125,"Gfap, Thy1, Prkca, Cd81"
"5","MF","GO:0005261","cation channel activity",310,6,1.4,12,0.00282,0.00282,0.0193548387096774,"Asic2, Slc24a4, Kcnip4, Il1rapl1, Kcnd3, Slc24a3"
"6","MF","GO:0048156","tau protein binding",21,2,0.1,15,0.00402,0.00402,0.0952380952380952,"Apoe, Clu"
"7","MF","GO:0015491","cation:cation antiporter activity",24,2,0.11,19,0.00524,0.00524,0.0833333333333333,"Slc24a4, Slc24a3"
"8","MF","GO:0050750","low-density lipoprotein particle recepto...",24,2,0.11,20,0.00524,0.00524,0.0833333333333333,"Apoe, Clu"
"9","MF","GO:0015079","potassium ion transmembrane transporter ...",157,4,0.71,21,0.00563,0.00563,0.0254777070063694,"Slc24a4, Kcnip4, Kcnd3, Slc24a3"
"10","MF","GO:0019900","kinase binding",791,9,3.58,24,0.0094,0.0094,0.011378002528445,"Gfap, Thy1, Angpt1, Grm5, Dlg2, Gab2, Cadps, Srsf2, Traf6"
"11","MF","GO:0098772","molecular function regulator",1565,14,7.08,25,0.01018,0.01018,0.00894568690095847,"Plce1, Cst3, Thy1, Apoe, Mgat5, Arhgap6, Rcan2, Fgf14, Gm2a, Kcnip4, Map3k14, Csf1, Azin1, Pdgfd"
"12","MF","GO:0005543","phospholipid binding",407,6,1.84,26,0.01036,0.01036,0.0147420147420147,"Thy1, Apoe, Cpne8, Gab2, Stxbp6, Cadps"
"13","MF","GO:1990782","protein tyrosine kinase binding",100,3,0.45,27,0.01055,0.01055,0.03,"Angpt1, Grm5, Gab2"
"14","MF","GO:1902936","phosphatidylinositol bisphosphate bindin...",109,3,0.49,30,0.01331,0.01331,0.0275229357798165,"Gab2, Stxbp6, Cadps"
"15","MF","GO:0008289","lipid binding",696,8,3.15,31,0.01339,0.01339,0.0114942528735632,"Thy1, Apoe, Cpne8, Id3, Gab2, Stxbp6, Cd81, Cadps"
"16","MF","GO:0004180","carboxypeptidase activity",40,2,0.18,32,0.01413,0.01413,0.05,"Folh1, Ctsl"
"17","MF","GO:0022839","ion gated channel activity",317,5,1.43,33,0.01451,0.01451,0.0157728706624606,"Gabrb1, Asic2, Kcnip4, Il1rapl1, Kcnd3"
"18","MF","GO:0005515","protein binding",8273,53,37.45,6,0.01498,0.00044,0.00640638220717998,"Plce1, Gfap, C4b, Usp53, Cst3, Gabrb1, Zbtb16, Thy1, Prkca, Angpt1, Asic2, Hbb-bs, Apoe, Id4, Hes5, Hif3a, Crlf3, Prkd1, Cdh19, Grm5, Fhit, Id3, Aqp4, Lrp1b, Adam23, Aldoc, Dlg2, Gab2, Osmr, Shisa6, Stxbp6, Cd81, Arhgap6, Hopx, C1qa, Fgf14, Ncam2, Eya4, Map3k14, Il1rapl1, Kcnd3, Cadps, Csf1, Ctsl, Clu, Srsf2, Traf6, Eya1, Tmem47, Igsf11, Lifr, Pdgfd, Rap2a"
"19","MF","GO:0015485","cholesterol binding",43,2,0.19,34,0.01621,0.01621,0.0465116279069767,"Apoe, Cd81"
"20","MF","GO:0005262","calcium channel activity",118,3,0.53,35,0.01644,0.01644,0.0254237288135593,"Slc24a4, Il1rapl1, Slc24a3"
"21","MF","GO:0022836","gated channel activity",329,5,1.49,36,0.01678,0.01678,0.0151975683890578,"Gabrb1, Asic2, Kcnip4, Il1rapl1, Kcnd3"
"22","MF","GO:0030234","enzyme regulator activity",894,9,4.05,38,0.01954,0.01954,0.0100671140939597,"Cst3, Thy1, Apoe, Mgat5, Arhgap6, Rcan2, Gm2a, Map3k14, Azin1"
"23","MF","GO:0032934","sterol binding",49,2,0.22,40,0.02075,0.02075,0.0408163265306122,"Apoe, Cd81"
"24","MF","GO:0016830","carbon-carbon lyase activity",49,2,0.22,41,0.02075,0.02075,0.0408163265306122,"Aldoc, Azin1"
"25","MF","GO:0008083","growth factor activity",133,3,0.6,42,0.0225,0.0225,0.0225563909774436,"Fgf14, Csf1, Pdgfd"
"26","MF","GO:0015085","calcium ion transmembrane transporter ac...",135,3,0.61,44,0.02339,0.02339,0.0222222222222222,"Slc24a4, Il1rapl1, Slc24a3"
"27","MF","GO:0008194","UDP-glycosyltransferase activity",138,3,0.62,45,0.02476,0.02476,0.0217391304347826,"Ggta1, Galnt18, Mgat5"
"28","MF","GO:0015081","sodium ion transmembrane transporter act...",139,3,0.63,46,0.02522,0.02522,0.0215827338129496,"Asic2, Slc24a4, Slc24a3"
"29","MF","GO:0035091","phosphatidylinositol binding",247,4,1.12,47,0.02581,0.02581,0.0161943319838057,"Thy1, Gab2, Stxbp6, Cadps"
"30","MF","GO:0098960","postsynaptic neurotransmitter receptor a...",57,2,0.26,48,0.02751,0.02751,0.0350877192982456,"Gabrb1, Grm5"
"31","MF","GO:0005126","cytokine receptor binding",253,4,1.15,49,0.02786,0.02786,0.0158102766798419,"Angpt1, Csf1, Traf6, Lifr"
