"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0045296","cadherin binding",66,3,0.18,2,0.00082,0.00082,0.0454545454545455,"Cdh4, Ctnna3, Cdh13"
"2","MF","GO:0005509","calcium ion binding",574,7,1.6,3,0.001,0.001,0.0121951219512195,"Spock1, Pcdh15, Cdh4, Mctp1, Syt9, Dchs2, Cdh13"
"3","MF","GO:0071813","lipoprotein particle binding",27,2,0.08,4,0.00255,0.00255,0.0740740740740741,"Apoe, Cdh13"
"4","MF","GO:0030165","PDZ domain binding",114,3,0.32,9,0.00392,0.00392,0.0263157894736842,"Kirrel3, Cadm1, Atp2b4"
"5","MF","GO:0046873","metal ion transmembrane transporter acti...",420,5,1.17,12,0.00609,0.00609,0.0119047619047619,"Cacna1c, Kcnh1, Atp2b4, Grik4, Slc1a3"
"6","MF","GO:0044325","ion channel binding",136,3,0.38,14,0.00641,0.00641,0.0220588235294118,"Cacna1c, Kcnh1, Dpp10"
"7","MF","GO:0098772","molecular function regulator",1565,10,4.35,15,0.01001,0.01001,0.00638977635782748,"Ttr, Il12b, Rgs6, Spock1, Apoe, Arhgap6, Nrg1, Atp2b4, Socs2, Dpp10"
"8","MF","GO:0050839","cell adhesion molecule binding",237,6,0.66,1,0.01024,4.8e-05,0.0253164556962025,"Tnr, Cadm1, Ptprz1, Cdh4, Ctnna3, Cdh13"
"9","MF","GO:0050840","extracellular matrix binding",56,2,0.16,16,0.01061,0.01061,0.0357142857142857,"Spock1, Dcn"
"10","MF","GO:0005261","cation channel activity",310,4,0.86,17,0.01073,0.01073,0.0129032258064516,"Cacna1c, Trpm3, Kcnh1, Grik4"
"11","MF","GO:0001540","amyloid-beta binding",57,2,0.16,18,0.01098,0.01098,0.0350877192982456,"Apoe, Col25a1"
"12","MF","GO:0030234","enzyme regulator activity",894,7,2.49,20,0.01139,0.01139,0.00782997762863535,"Rgs6, Spock1, Apoe, Arhgap6, Nrg1, Atp2b4, Socs2"
"13","MF","GO:0005516","calmodulin binding",183,3,0.51,21,0.01434,0.01434,0.0163934426229508,"Cacna1c, Kcnh1, Atp2b4"
"14","MF","GO:0005518","collagen binding",68,2,0.19,22,0.01537,0.01537,0.0294117647058824,"Spock1, Dcn"
"15","MF","GO:0005539","glycosaminoglycan binding",192,3,0.53,24,0.01629,0.01629,0.015625,"Apoe, Dcn, Col25a1"
"16","MF","GO:0016209","antioxidant activity",74,2,0.21,25,0.01803,0.01803,0.027027027027027,"Hbb-bs, Apoe"
