"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0004601","peroxidase activity",44,3,0.09,2,0.00011,0.00011,0.0681818181818182,"Hbb-bs, Hba-a2, Hba-a1"
"2","MF","GO:0001540","amyloid-beta binding",57,2,0.12,4,0.00654,0.00654,0.0350877192982456,"Apoe, Cst3"
"3","MF","GO:0061134","peptidase regulator activity",197,3,0.42,5,0.0084,0.0084,0.0152284263959391,"Cst3, Spink10, Pcolce2"
"4","MF","GO:0005518","collagen binding",68,2,0.14,6,0.00919,0.00919,0.0294117647058824,"Tll1, Pcolce2"
"5","MF","GO:0020037","heme binding",128,2,0.27,7,0.03028,0.03028,0.015625,"Hba-a2, Hba-a1"
"6","MF","GO:0005319","lipid transporter activity",130,2,0.28,8,0.03116,0.03116,0.0153846153846154,"Apoe, Ceacam2"
"7","MF","GO:0052689","carboxylic ester hydrolase activity",133,2,0.28,9,0.03249,0.03249,0.0150375939849624,"Pla2g7, Bche"
"8","MF","GO:0005509","calcium ion binding",574,4,1.22,10,0.03292,0.03292,0.00696864111498258,"Mgp, Scube1, Caln1, Tll1"
"9","MF","GO:0046906","tetrapyrrole binding",137,2,0.29,11,0.0343,0.0343,0.0145985401459854,"Hba-a2, Hba-a1"
"10","MF","GO:0008201","heparin binding",144,2,0.31,12,0.03756,0.03756,0.0138888888888889,"Apoe, Pcolce2"
"11","MF","GO:0015295","solute:proton symporter activity",21,1,0.04,13,0.04375,0.04375,0.0476190476190476,"Slc15a2"
"12","MF","GO:0048156","tau protein binding",21,1,0.04,14,0.04375,0.04375,0.0476190476190476,"Apoe"
"13","MF","GO:0004866","endopeptidase inhibitor activity",157,2,0.33,15,0.04391,0.04391,0.0127388535031847,"Cst3, Spink10"
"14","MF","GO:0015149","hexose transmembrane transporter activit...",22,1,0.05,17,0.04579,0.04579,0.0454545454545455,"Mfsd4a"
"15","MF","GO:0005355","glucose transmembrane transporter activi...",22,1,0.05,18,0.04579,0.04579,0.0454545454545455,"Mfsd4a"
"16","MF","GO:0030414","peptidase inhibitor activity",165,2,0.35,19,0.048,0.048,0.0121212121212121,"Cst3, Spink10"
"17","MF","GO:0061135","endopeptidase regulator activity",165,2,0.35,20,0.048,0.048,0.0121212121212121,"Cst3, Spink10"
"18","MF","GO:0015145","monosaccharide transmembrane transporter...",24,1,0.05,21,0.04985,0.04985,0.0416666666666667,"Mfsd4a"
"19","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.05,22,0.04985,0.04985,0.0416666666666667,"Apoe"
"20","MF","GO:0051119","sugar transmembrane transporter activity",25,1,0.05,23,0.05187,0.05187,0.04,"Mfsd4a"
"21","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.06,24,0.05389,0.05389,0.0384615384615385,"Apoe"
"22","MF","GO:0071813","lipoprotein particle binding",27,1,0.06,25,0.05591,0.05591,0.037037037037037,"Apoe"
"23","MF","GO:0071814","protein-lipid complex binding",27,1,0.06,26,0.05591,0.05591,0.037037037037037,"Apoe"
"24","MF","GO:0046983","protein dimerization activity",1311,6,2.79,27,0.05682,0.05682,0.0045766590389016,"Ttr, Il12b, Scube1, Apoe, Igsf21, Ceacam2"
"25","MF","GO:0016209","antioxidant activity",74,4,0.16,1,0.05743,1.8e-05,0.0540540540540541,"Hbb-bs, Hba-a2, Hba-a1, Apoe"
"26","MF","GO:0004623","phospholipase A2 activity",28,1,0.06,28,0.05792,0.05792,0.0357142857142857,"Pla2g7"
"27","MF","GO:0070325","lipoprotein particle receptor binding",28,1,0.06,29,0.05792,0.05792,0.0357142857142857,"Apoe"
"28","MF","GO:1904680","peptide transmembrane transporter activi...",28,1,0.06,30,0.05792,0.05792,0.0357142857142857,"Slc15a2"
"29","MF","GO:0015248","sterol transporter activity",29,1,0.06,31,0.05992,0.05992,0.0344827586206897,"Apoe"
"30","MF","GO:0005539","glycosaminoglycan binding",192,2,0.41,32,0.06279,0.06279,0.0104166666666667,"Apoe, Pcolce2"
