"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0030215","semaphorin receptor binding",21,3,0.11,2,0.00017,0.00017,0.142857142857143,"Sema5a, Sema6d, Sema5b"
"2","MF","GO:0042802","identical protein binding",1795,21,9.4,4,0.00033,0.00033,0.0116991643454039,"Ldlr, Fth1, Hmgcs1, Mndal, Hmgcr, Ifi203, Ubash3b, Hexb, Ftl1, Mat2a, Mvd, Tef, Ssna1, C1qb, Nr4a3, Tkt, Matr3, Sult4a1, Arl6ip1, Prkab2, Bax"
"3","MF","GO:0045499","chemorepellent activity",28,3,0.15,5,0.00041,0.00041,0.107142857142857,"Sema5a, Sema6d, Sema5b"
"4","MF","GO:0017080","sodium channel regulator activity",32,3,0.17,6,0.00062,0.00062,0.09375,"Scn3b, Snta1, Scn1b"
"5","MF","GO:0016709","oxidoreductase activity, acting on paire...",43,3,0.23,7,0.00147,0.00147,0.0697674418604651,"Sqle, Msmo1, Cyp51"
"6","MF","GO:0005506","iron ion binding",142,6,0.74,1,0.0031,1e-04,0.0422535211267606,"Fth1, Scd2, Msmo1, Ftl1, Cyp51, Sc5d"
"7","MF","GO:0005244","voltage-gated ion channel activity",191,5,1,11,0.00331,0.00331,0.0261780104712042,"Kcnt2, Scn3b, Cachd1, Kcns3, Scn1b"
"8","MF","GO:0001540","amyloid-beta binding",57,3,0.3,13,0.00332,0.00332,0.0526315789473684,"Ldlr, Olfm1, Itm2c"
"9","MF","GO:0005248","voltage-gated sodium channel activity",21,2,0.11,14,0.00534,0.00534,0.0952380952380952,"Scn3b, Scn1b"
"10","MF","GO:0001227","DNA-binding transcription repressor acti...",215,5,1.13,15,0.00546,0.00546,0.0232558139534884,"Mndal, Ifi203, Srebf2, Btg2, Gcfc2"
"11","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,8,2.69,16,0.00548,0.00548,0.0155945419103314,"Mndal, Ifi203, Junb, Srebf2, Ndn, Tef, Nr4a3, Gcfc2"
"12","MF","GO:0052866","phosphatidylinositol phosphate phosphata...",24,2,0.13,21,0.00695,0.00695,0.0833333333333333,"Inpp5d, Inpp4b"
"13","MF","GO:0008198","ferrous iron binding",25,2,0.13,24,0.00752,0.00752,0.08,"Fth1, Ftl1"
"14","MF","GO:0016866","intramolecular transferase activity",26,2,0.14,25,0.00812,0.00812,0.0769230769230769,"Rpusd3, Lss"
"15","MF","GO:0008200","ion channel inhibitor activity",32,2,0.17,29,0.01215,0.01215,0.0625,"Scn3b, Scn1b"
"16","MF","GO:0035035","histone acetyltransferase binding",33,2,0.17,31,0.01289,0.01289,0.0606060606060606,"Nr4a3, Egr1"
"17","MF","GO:0016248","channel inhibitor activity",34,2,0.18,33,0.01365,0.01365,0.0588235294117647,"Scn3b, Scn1b"
"18","MF","GO:0046873","metal ion transmembrane transporter acti...",420,8,2.2,8,0.01683,0.00162,0.019047619047619,"Kcnt2, Slc20a1, Scn3b, Orai2, Cachd1, Kcns3, Scn1b, Slc30a3"
"19","MF","GO:0030544","Hsp70 protein binding",48,2,0.25,45,0.02618,0.02618,0.0416666666666667,"Mvd, Bax"
"20","MF","GO:0044325","ion channel binding",136,3,0.71,48,0.03461,0.03461,0.0220588235294118,"Scn3b, Snta1, Scn1b"
"21","MF","GO:0005096","GTPase activator activity",235,4,1.23,49,0.03501,0.03501,0.0170212765957447,"Thy1, Tbc1d2, Asap2, Srgap1"
"22","MF","GO:0016765","transferase activity, transferring alkyl...",57,2,0.3,51,0.03594,0.03594,0.0350877192982456,"Fdft1, Mat2a"
"23","MF","GO:0022843","voltage-gated cation channel activity",143,3,0.75,53,0.03925,0.03925,0.020979020979021,"Kcnt2, Cachd1, Kcns3"
"24","MF","GO:0005488","binding",11858,78,62.08,3,0.03994,0.00028,0.00657783774666892,"Thy1, Ldlr, Luc7l2, Ly86, Fth1, Hmgcs1, Mndal, Fbxl7, Hmgcr, Inpp5d, Scd2, Cadm2, Peg3, Rnps1, Ifi203, Junb, Eif1b, Cpeb1, Sema5a, Sqle, Sema6d, Msmo1, Scn3b, Ubash3b, Inpp4b, Srebf2, Hexb, Nptxr, Olfm1, Ftl1, Ndn, Sema5b, Hmgn3, Cyp51, Srsf2, Mat2a, Mvd, Snta1, Sc5d, Tef, Camk2n1, Rerg, Tbc1d2, Ccdc85b, Ssna1, Rasl11a, Fmn1, Rph3a, C1qb, B3gat1, Pcdh11x, Nr4a3, Ramp2, Btg2, Asap2, Tkt, Matr3, Sult4a1, Scn1b, Tiparp, Dlg5, Caml, Flywch1, Rpusd3, Srgap1, Gcfc2, Arl6ip1, Erg28, Prkab2, Rpl14, Bax, Zfp706, Itm2c, Smoc2, Idi1, Cd109, Ptma, Egr1"
"25","MF","GO:0030695","GTPase regulator activity",253,4,1.32,54,0.04394,0.04394,0.0158102766798419,"Thy1, Tbc1d2, Asap2, Srgap1"
"26","MF","GO:0042803","protein homodimerization activity",894,9,4.68,55,0.04443,0.04443,0.0100671140939597,"Hmgcs1, Hmgcr, Hexb, Mvd, Tef, C1qb, Nr4a3, Tkt, Bax"
"27","MF","GO:0016757","transferase activity, transferring glyco...",261,4,1.37,58,0.04829,0.04829,0.0153256704980843,"Hexb, B3gat1, St8sia6, Tiparp"
"28","MF","GO:0001228","DNA-binding transcription activator acti...",389,5,2.04,60,0.05357,0.05357,0.012853470437018,"Junb, Ndn, Tef, Nr4a3, Egr1"
"29","MF","GO:0022890","inorganic cation transmembrane transport...",552,8,2.89,27,0.05557,0.00839,0.0144927536231884,"Kcnt2, Slc20a1, Scn3b, Orai2, Cachd1, Kcns3, Scn1b, Slc30a3"
"30","MF","GO:0008135","translation factor activity, RNA binding",76,2,0.4,62,0.06023,0.06023,0.0263157894736842,"Eif1b, Cpeb1"
"31","MF","GO:0005261","cation channel activity",310,6,1.62,18,0.06159,0.00578,0.0193548387096774,"Kcnt2, Scn3b, Orai2, Cachd1, Kcns3, Scn1b"
"32","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,4,1.52,65,0.06661,0.06661,0.013745704467354,"Thy1, Tbc1d2, Asap2, Srgap1"
"33","MF","GO:0003730","mRNA 3'-UTR binding",83,2,0.43,67,0.07027,0.07027,0.0240963855421687,"Rnps1, Cpeb1"
"34","MF","GO:0005249","voltage-gated potassium channel activity",85,2,0.45,68,0.07323,0.07323,0.0235294117647059,"Kcnt2, Kcns3"
"35","MF","GO:0008324","cation transmembrane transporter activit...",599,8,3.14,32,0.07684,0.01327,0.013355592654424,"Kcnt2, Slc20a1, Scn3b, Orai2, Cachd1, Kcns3, Scn1b, Slc30a3"
"36","MF","GO:0000981","DNA-binding transcription factor activit...",669,10,3.5,10,0.0784,0.00262,0.0149476831091181,"Mndal, Ifi203, Junb, Srebf2, Ndn, Tef, Nr4a3, Btg2, Gcfc2, Egr1"
"37","MF","GO:0005385","zinc ion transmembrane transporter activ...",20,1,0.1,72,0.09971,0.09971,0.05,"Slc30a3"
"38","MF","GO:0050431","transforming growth factor beta binding",20,1,0.1,73,0.09971,0.09971,0.05,"Cd109"
"39","MF","GO:0016408","C-acyltransferase activity",20,1,0.1,74,0.09971,0.09971,0.05,"Acat2"
"40","MF","GO:0008373","sialyltransferase activity",20,1,0.1,75,0.09971,0.09971,0.05,"St8sia6"
"41","MF","GO:0052745","inositol phosphate phosphatase activity",20,1,0.1,76,0.09971,0.09971,0.05,"Inpp5d"
"42","MF","GO:0034593","phosphatidylinositol bisphosphate phosph...",20,1,0.1,77,0.09971,0.09971,0.05,"Inpp4b"
"43","MF","GO:0035259","glucocorticoid receptor binding",21,1,0.11,79,0.10443,0.10443,0.0476190476190476,"Nr4a3"
"44","MF","GO:0099106","ion channel regulator activity",107,2,0.56,80,0.10819,0.10819,0.0186915887850467,"Scn3b, Scn1b"
"45","MF","GO:0001223","transcription coactivator binding",22,1,0.12,81,0.10913,0.10913,0.0454545454545455,"Nr4a3"
"46","MF","GO:0090079","translation regulator activity, nucleic ...",22,1,0.12,82,0.10913,0.10913,0.0454545454545455,"Cpeb1"
"47","MF","GO:0050998","nitric-oxide synthase binding",22,1,0.12,83,0.10913,0.10913,0.0454545454545455,"Snta1"
"48","MF","GO:0003950","NAD+ ADP-ribosyltransferase activity",23,1,0.12,85,0.1138,0.1138,0.0434782608695652,"Tiparp"
"49","MF","GO:0015026","coreceptor activity",23,1,0.12,86,0.1138,0.1138,0.0434782608695652,"Ramp2"
"50","MF","GO:0030371","translation repressor activity",24,1,0.13,89,0.11844,0.11844,0.0416666666666667,"Cpeb1"
"51","MF","GO:0035250","UDP-galactosyltransferase activity",24,1,0.13,90,0.11844,0.11844,0.0416666666666667,"B3gat1"
"52","MF","GO:0019899","enzyme binding",2238,16,11.72,91,0.12073,0.12073,0.00714924039320822,"Thy1, Ldlr, Luc7l2, Hmgcr, Ubash3b, Nptxr, Srsf2, Snta1, Camk2n1, Tbc1d2, Rph3a, Nr4a3, Caml, Srgap1, Prkab2, Egr1"
"53","MF","GO:0072509","divalent inorganic cation transmembrane ...",25,1,0.13,92,0.12306,0.12306,0.04,"Slc30a3"
