"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0016209","antioxidant activity",74,2,0.06,2,0.0014,0.0014,0.027027027027027,"Hbb-bs, Apoe"
"2","MF","GO:0004896","cytokine receptor activity",87,2,0.07,3,0.002,0.002,0.0229885057471264,"Il12b, Il1rapl2"
"3","MF","GO:0042562","hormone binding",103,2,0.08,4,0.0027,0.0027,0.0194174757281553,"Ttr, Thrb"
"4","MF","GO:0042803","protein homodimerization activity",894,4,0.68,5,0.0038,0.0038,0.00447427293064877,"Il12b, Apoe, Cdh12, Thrb"
"5","MF","GO:0046982","protein heterodimerization activity",520,3,0.4,6,0.0065,0.0065,0.00576923076923077,"Ttr, Il12b, Npas3"
"6","MF","GO:0003713","transcription coactivator activity",252,2,0.19,8,0.0154,0.0154,0.00793650793650794,"Maml2, Thrb"
"7","MF","GO:0005248","voltage-gated sodium channel activity",21,1,0.02,9,0.0159,0.0159,0.0476190476190476,"Asic2"
"8","MF","GO:0048156","tau protein binding",21,1,0.02,10,0.0159,0.0159,0.0476190476190476,"Apoe"
"9","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.02,11,0.0182,0.0182,0.0416666666666667,"Apoe"
"10","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.02,12,0.0197,0.0197,0.0384615384615385,"Apoe"
"11","MF","GO:0071814","protein-lipid complex binding",27,1,0.02,13,0.0204,0.0204,0.037037037037037,"Apoe"
"12","MF","GO:0071813","lipoprotein particle binding",27,1,0.02,14,0.0204,0.0204,0.037037037037037,"Apoe"
"13","MF","GO:0070325","lipoprotein particle receptor binding",28,1,0.02,15,0.0212,0.0212,0.0357142857142857,"Apoe"
"14","MF","GO:0015248","sterol transporter activity",29,1,0.02,16,0.0219,0.0219,0.0344827586206897,"Apoe"
"15","MF","GO:0043394","proteoglycan binding",35,1,0.03,17,0.0264,0.0264,0.0285714285714286,"Apoe"
"16","MF","GO:0005272","sodium channel activity",40,1,0.03,18,0.0301,0.0301,0.025,"Asic2"
"17","MF","GO:0098531","transcription factor activity, direct li...",40,1,0.03,19,0.0301,0.0301,0.025,"Thrb"
"18","MF","GO:0004879","nuclear receptor activity",40,1,0.03,20,0.0301,0.0301,0.025,"Thrb"
"19","MF","GO:0015485","cholesterol binding",43,1,0.03,21,0.0323,0.0323,0.0232558139534884,"Apoe"
"20","MF","GO:0004601","peroxidase activity",44,1,0.03,22,0.0331,0.0331,0.0227272727272727,"Hbb-bs"
"21","MF","GO:0048018","receptor ligand activity",391,2,0.3,23,0.0348,0.0348,0.0051150895140665,"Ttr, Il12b"
"22","MF","GO:0016684","oxidoreductase activity, acting on perox...",48,1,0.04,24,0.036,0.036,0.0208333333333333,"Hbb-bs"
"23","MF","GO:0032934","sterol binding",49,1,0.04,25,0.0368,0.0368,0.0204081632653061,"Apoe"
"24","MF","GO:0030545","receptor regulator activity",421,2,0.32,26,0.0399,0.0399,0.00475059382422803,"Ttr, Il12b"
"25","MF","GO:0008146","sulfotransferase activity",54,1,0.04,27,0.0405,0.0405,0.0185185185185185,"Hs3st4"
"26","MF","GO:0003707","steroid hormone receptor activity",55,1,0.04,28,0.0412,0.0412,0.0181818181818182,"Thrb"
"27","MF","GO:0001540","amyloid-beta binding",57,1,0.04,29,0.0427,0.0427,0.0175438596491228,"Apoe"
"28","MF","GO:0003712","transcription coregulator activity",442,2,0.34,30,0.0436,0.0436,0.00452488687782805,"Maml2, Thrb"
"29","MF","GO:0030374","nuclear receptor transcription coactivat...",64,1,0.05,31,0.0478,0.0478,0.015625,"Thrb"
"30","MF","GO:0045296","cadherin binding",66,1,0.05,32,0.0492,0.0492,0.0151515151515152,"Cdh12"
"31","MF","GO:0016782","transferase activity, transferring sulfu...",69,1,0.05,33,0.0514,0.0514,0.0144927536231884,"Hs3st4"
"32","MF","GO:0031490","chromatin DNA binding",71,1,0.05,34,0.0529,0.0529,0.0140845070422535,"Thrb"
"33","MF","GO:0043178","alcohol binding",79,1,0.06,35,0.0587,0.0587,0.0126582278481013,"Apoe"
"34","MF","GO:0140110","transcription regulator activity",1230,3,0.94,36,0.0629,0.0629,0.0024390243902439,"Maml2, Thrb, Npas3"
"35","MF","GO:0005496","steroid binding",92,1,0.07,37,0.068,0.068,0.0108695652173913,"Apoe"
"36","MF","GO:0099094","ligand-gated cation channel activity",98,1,0.07,38,0.0723,0.0723,0.0102040816326531,"Asic2"
"37","MF","GO:0005179","hormone activity",101,1,0.08,39,0.0744,0.0744,0.0099009900990099,"Ttr"
"38","MF","GO:0019955","cytokine binding",116,1,0.09,41,0.085,0.085,0.00862068965517241,"Il12b"
"39","MF","GO:0000981","DNA-binding transcription factor activit...",669,2,0.51,43,0.0906,0.0906,0.00298953662182362,"Thrb, Npas3"
"40","MF","GO:0046872","metal ion binding",3326,5,2.54,44,0.0931,0.0931,0.00150330727600722,"Apoe, Cdh12, Fras1, Thrb, Nek10"
"41","MF","GO:0005319","lipid transporter activity",130,1,0.1,45,0.0948,0.0948,0.00769230769230769,"Apoe"
"42","MF","GO:0015276","ligand-gated ion channel activity",132,1,0.1,46,0.0962,0.0962,0.00757575757575758,"Asic2"
"43","MF","GO:0005102","signaling receptor binding",1472,3,1.12,47,0.0965,0.0965,0.00203804347826087,"Ttr, Il12b, Apoe"
"44","MF","GO:0008083","growth factor activity",133,1,0.1,48,0.0969,0.0969,0.0075187969924812,"Il12b"
"45","MF","GO:0022834","ligand-gated channel activity",135,1,0.1,49,0.0983,0.0983,0.00740740740740741,"Asic2"
"46","MF","GO:0005201","extracellular matrix structural constitu...",137,1,0.1,50,0.0997,0.0997,0.0072992700729927,"Fras1"
"47","MF","GO:0015081","sodium ion transmembrane transporter act...",139,1,0.11,51,0.1011,0.1011,0.00719424460431655,"Asic2"
"48","MF","GO:0043169","cation binding",3418,5,2.61,52,0.1023,0.1023,0.00146284376828555,"Apoe, Cdh12, Fras1, Thrb, Nek10"
"49","MF","GO:0008201","heparin binding",144,1,0.11,53,0.1045,0.1045,0.00694444444444444,"Apoe"
"50","MF","GO:0098772","molecular function regulator",1565,3,1.19,54,0.1112,0.1112,0.00191693290734824,"Ttr, Il12b, Apoe"
"51","MF","GO:0005125","cytokine activity",155,1,0.12,55,0.1121,0.1121,0.00645161290322581,"Il12b"
"52","MF","GO:0005539","glycosaminoglycan binding",192,1,0.15,57,0.1371,0.1371,0.00520833333333333,"Apoe"
"53","MF","GO:0003700","DNA-binding transcription factor activit...",882,2,0.67,58,0.1437,0.1437,0.00226757369614512,"Thrb, Npas3"
"54","MF","GO:0008092","cytoskeletal protein binding",945,2,0.72,59,0.1605,0.1605,0.00211640211640212,"Apoe, Cdh12"
"55","MF","GO:1901681","sulfur compound binding",236,1,0.18,60,0.1659,0.1659,0.00423728813559322,"Apoe"
"56","MF","GO:0050839","cell adhesion molecule binding",237,1,0.18,61,0.1666,0.1666,0.00421940928270042,"Cdh12"
"57","MF","GO:0005126","cytokine receptor binding",253,1,0.19,62,0.1768,0.1768,0.00395256916996047,"Il12b"
"58","MF","GO:0042277","peptide binding",270,1,0.21,63,0.1876,0.1876,0.0037037037037037,"Apoe"
"59","MF","GO:0005215","transporter activity",1055,2,0.81,64,0.1909,0.1909,0.0018957345971564,"Apoe, Asic2"
"60","MF","GO:0005261","cation channel activity",310,1,0.24,65,0.2124,0.2124,0.0032258064516129,"Asic2"
"61","MF","GO:0022839","ion gated channel activity",317,1,0.24,66,0.2167,0.2167,0.00315457413249211,"Asic2"
"62","MF","GO:0022836","gated channel activity",329,1,0.25,67,0.224,0.224,0.00303951367781155,"Asic2"
"63","MF","GO:0033218","amide binding",333,1,0.25,68,0.2264,0.2264,0.003003003003003,"Apoe"
"64","MF","GO:0015077","monovalent inorganic cation transmembran...",347,1,0.26,69,0.2348,0.2348,0.00288184438040346,"Asic2"
"65","MF","GO:0036094","small molecule binding",2316,3,1.77,71,0.2561,0.2561,0.00129533678756477,"Hbb-bs, Apoe, Nek10"
"66","MF","GO:0005216","ion channel activity",398,1,0.3,72,0.2646,0.2646,0.00251256281407035,"Asic2"
"67","MF","GO:0022838","substrate-specific channel activity",406,1,0.31,73,0.2692,0.2692,0.00246305418719212,"Asic2"
"68","MF","GO:0005543","phospholipid binding",407,1,0.31,74,0.2697,0.2697,0.00245700245700246,"Apoe"
"69","MF","GO:0046873","metal ion transmembrane transporter acti...",420,1,0.32,75,0.2771,0.2771,0.00238095238095238,"Asic2"
"70","MF","GO:0015267","channel activity",429,1,0.33,76,0.2822,0.2822,0.00233100233100233,"Asic2"
"71","MF","GO:0022803","passive transmembrane transporter activi...",429,1,0.33,77,0.2822,0.2822,0.00233100233100233,"Asic2"
"72","MF","GO:0004674","protein serine/threonine kinase activity",435,1,0.33,78,0.2856,0.2856,0.00229885057471264,"Nek10"
"73","MF","GO:0008047","enzyme activator activity",436,1,0.33,79,0.2861,0.2861,0.00229357798165138,"Apoe"
"74","MF","GO:0003682","chromatin binding",536,1,0.41,80,0.34,0.34,0.00186567164179104,"Thrb"
"75","MF","GO:0008144","drug binding",1595,2,1.22,81,0.3473,0.3473,0.00125391849529781,"Hbb-bs, Nek10"
"76","MF","GO:0022890","inorganic cation transmembrane transport...",552,1,0.42,82,0.3483,0.3483,0.00181159420289855,"Asic2"
"77","MF","GO:0005198","structural molecule activity",568,1,0.43,83,0.3564,0.3564,0.00176056338028169,"Fras1"
"78","MF","GO:0005509","calcium ion binding",574,1,0.44,84,0.3595,0.3595,0.00174216027874564,"Cdh12"
"79","MF","GO:0004672","protein kinase activity",584,1,0.45,85,0.3645,0.3645,0.00171232876712329,"Nek10"
"80","MF","GO:0043167","ion binding",5224,5,3.99,86,0.3667,0.3667,0.000957120980091884,"Apoe, Cdh12, Fras1, Thrb, Nek10"
"81","MF","GO:0008324","cation transmembrane transporter activit...",599,1,0.46,87,0.372,0.372,0.00166944908180301,"Asic2"
"82","MF","GO:0008270","zinc ion binding",651,1,0.5,88,0.3973,0.3973,0.00153609831029186,"Thrb"
"83","MF","GO:0042802","identical protein binding",1795,5,1.37,7,0.4117,0.0084,0.00278551532033426,"Ttr, Il12b, Apoe, Cdh12, Thrb"
"84","MF","GO:0016773","phosphotransferase activity, alcohol gro...",682,1,0.52,89,0.4119,0.4119,0.00146627565982405,"Nek10"
"85","MF","GO:0008134","transcription factor binding",689,1,0.53,91,0.4152,0.4152,0.00145137880986938,"Thrb"
"86","MF","GO:0003677","DNA binding",1834,2,1.4,92,0.4155,0.4155,0.00109051254089422,"Thrb, Npas3"
"87","MF","GO:0008289","lipid binding",696,1,0.53,93,0.4184,0.4184,0.0014367816091954,"Apoe"
"88","MF","GO:0016491","oxidoreductase activity",714,1,0.55,94,0.4266,0.4266,0.00140056022408964,"Hbb-bs"
"89","MF","GO:0016301","kinase activity",740,1,0.57,95,0.4384,0.4384,0.00135135135135135,"Nek10"
"90","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,1,0.57,96,0.4402,0.4402,0.00134408602150538,"Thrb"
