"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005102","signaling receptor binding",1472,9,2.89,1,0.0017,0.0017,0.00611413043478261,"Il12b, Thy1, Apoe, Sst, Serpine2, Neto1, Nxph2, Angpt1, Gna11"
"2","MF","GO:0001540","amyloid-beta binding",57,2,0.11,2,0.0056,0.0056,0.0350877192982456,"Apoe, Cst3"
"3","MF","GO:0016209","antioxidant activity",74,2,0.15,3,0.0093,0.0093,0.027027027027027,"Hbb-bs, Apoe"
"4","MF","GO:0005496","steroid binding",92,2,0.18,4,0.014,0.014,0.0217391304347826,"Apoe, Calb1"
"5","MF","GO:0019900","kinase binding",791,5,1.55,6,0.0184,0.0184,0.00632111251580278,"Thy1, Srsf2, Angpt1, Rac3, Rad23a"
"6","MF","GO:0005525","GTP binding",339,3,0.67,7,0.0285,0.0285,0.00884955752212389,"Rac3, Gnl2, Gna11"
"7","MF","GO:0002020","protease binding",135,2,0.27,8,0.0288,0.0288,0.0148148148148148,"Cst3, Rad23a"
"8","MF","GO:0030234","enzyme regulator activity",894,5,1.76,9,0.0293,0.0293,0.00559284116331096,"Thy1, Apoe, Cst3, Serpine2, Eid1"
"9","MF","GO:0032550","purine ribonucleoside binding",346,3,0.68,10,0.03,0.03,0.00867052023121387,"Rac3, Gnl2, Gna11"
"10","MF","GO:0098772","molecular function regulator",1565,7,3.07,11,0.0303,0.0303,0.00447284345047923,"Il12b, Thy1, Apoe, Sst, Cst3, Serpine2, Eid1"
"11","MF","GO:0001883","purine nucleoside binding",350,3,0.69,12,0.0309,0.0309,0.00857142857142857,"Rac3, Gnl2, Gna11"
"12","MF","GO:0032549","ribonucleoside binding",351,3,0.69,13,0.0312,0.0312,0.00854700854700855,"Rac3, Gnl2, Gna11"
"13","MF","GO:0008201","heparin binding",144,2,0.28,14,0.0324,0.0324,0.0138888888888889,"Apoe, Serpine2"
"14","MF","GO:0001882","nucleoside binding",360,3,0.71,15,0.0332,0.0332,0.00833333333333333,"Rac3, Gnl2, Gna11"
"15","MF","GO:0032561","guanyl ribonucleotide binding",362,3,0.71,16,0.0337,0.0337,0.00828729281767956,"Rac3, Gnl2, Gna11"
"16","MF","GO:0019001","guanyl nucleotide binding",362,3,0.71,17,0.0337,0.0337,0.00828729281767956,"Rac3, Gnl2, Gna11"
"17","MF","GO:0004866","endopeptidase inhibitor activity",157,2,0.31,18,0.038,0.038,0.0127388535031847,"Cst3, Serpine2"
"18","MF","GO:0048156","tau protein binding",21,1,0.04,19,0.0405,0.0405,0.0476190476190476,"Apoe"
"19","MF","GO:0030414","peptidase inhibitor activity",165,2,0.32,20,0.0415,0.0415,0.0121212121212121,"Cst3, Serpine2"
"20","MF","GO:0061135","endopeptidase regulator activity",165,2,0.32,21,0.0415,0.0415,0.0121212121212121,"Cst3, Serpine2"
"21","MF","GO:0090079","translation regulator activity, nucleic ...",22,1,0.04,22,0.0423,0.0423,0.0454545454545455,"Cpeb2"
"22","MF","GO:0031683","G-protein beta/gamma-subunit complex bin...",23,1,0.05,23,0.0442,0.0442,0.0434782608695652,"Gna11"
"23","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.05,24,0.0461,0.0461,0.0416666666666667,"Apoe"
"24","MF","GO:0030371","translation repressor activity",24,1,0.05,25,0.0461,0.0461,0.0416666666666667,"Cpeb2"
"25","MF","GO:0008289","lipid binding",696,4,1.37,26,0.0464,0.0464,0.00574712643678161,"Thy1, Apoe, Cadps2, Calb1"
"26","MF","GO:0003714","transcription corepressor activity",180,2,0.35,27,0.0486,0.0486,0.0111111111111111,"Hsbp1, Eid1"
"27","MF","GO:0000030","mannosyltransferase activity",26,1,0.05,28,0.0498,0.0498,0.0384615384615385,"Tmtc2"
"28","MF","GO:0035925","mRNA 3'-UTR AU-rich region binding",26,1,0.05,29,0.0498,0.0498,0.0384615384615385,"Cpeb2"
"29","MF","GO:0120013","intermembrane lipid transfer activity",26,1,0.05,30,0.0498,0.0498,0.0384615384615385,"Apoe"
"30","MF","GO:0019901","protein kinase binding",715,4,1.4,31,0.0504,0.0504,0.00559440559440559,"Thy1, Srsf2, Angpt1, Rac3"
"31","MF","GO:0071813","lipoprotein particle binding",27,1,0.05,32,0.0517,0.0517,0.037037037037037,"Apoe"
"32","MF","GO:0071814","protein-lipid complex binding",27,1,0.05,33,0.0517,0.0517,0.037037037037037,"Apoe"
"33","MF","GO:0070325","lipoprotein particle receptor binding",28,1,0.05,34,0.0536,0.0536,0.0357142857142857,"Apoe"
"34","MF","GO:0017091","AU-rich element binding",28,1,0.05,35,0.0536,0.0536,0.0357142857142857,"Cpeb2"
"35","MF","GO:0005539","glycosaminoglycan binding",192,2,0.38,36,0.0545,0.0545,0.0104166666666667,"Apoe, Serpine2"
"36","MF","GO:0003712","transcription coregulator activity",442,3,0.87,37,0.0553,0.0553,0.00678733031674208,"Ldb2, Hsbp1, Eid1"
"37","MF","GO:0015248","sterol transporter activity",29,1,0.06,38,0.0554,0.0554,0.0344827586206897,"Apoe"
"38","MF","GO:0061134","peptidase regulator activity",197,2,0.39,39,0.057,0.057,0.0101522842639594,"Cst3, Serpine2"
"39","MF","GO:0008187","poly-pyrimidine tract binding",30,1,0.06,40,0.0573,0.0573,0.0333333333333333,"Cpeb2"
"40","MF","GO:0099589","serotonin receptor activity",31,1,0.06,41,0.0592,0.0592,0.032258064516129,"Htr2c"
"41","MF","GO:0004993","G protein-coupled serotonin receptor act...",31,1,0.06,42,0.0592,0.0592,0.032258064516129,"Htr2c"
"42","MF","GO:0036002","pre-mRNA binding",31,1,0.06,43,0.0592,0.0592,0.032258064516129,"Srsf2"
"43","MF","GO:0035035","histone acetyltransferase binding",33,1,0.06,44,0.0628,0.0628,0.0303030303030303,"Eid1"
"44","MF","GO:0019899","enzyme binding",2238,8,4.39,45,0.0648,0.0648,0.00357462019660411,"Thy1, Ldb2, Cst3, Srsf2, Angpt1, Rac3, Eid1, Rad23a"
"45","MF","GO:0043394","proteoglycan binding",35,1,0.07,46,0.0665,0.0665,0.0285714285714286,"Apoe"
"46","MF","GO:0099528","G protein-coupled neurotransmitter recep...",37,1,0.07,48,0.0702,0.0702,0.027027027027027,"Htr2c"
"47","MF","GO:0035255","ionotropic glutamate receptor binding",40,1,0.08,49,0.0757,0.0757,0.025,"Neto1"
"48","MF","GO:1901681","sulfur compound binding",236,2,0.46,50,0.0781,0.0781,0.00847457627118644,"Apoe, Serpine2"
"49","MF","GO:0044877","protein-containing complex binding",1185,5,2.33,51,0.08,0.08,0.00421940928270042,"Thy1, Apoe, Cpeb2, Rad23a, Gna11"
"50","MF","GO:0015485","cholesterol binding",43,1,0.08,52,0.0811,0.0811,0.0232558139534884,"Apoe"
"51","MF","GO:0004601","peroxidase activity",44,1,0.09,53,0.0829,0.0829,0.0227272727272727,"Hbb-bs"
"52","MF","GO:0005126","cytokine receptor binding",253,2,0.5,54,0.088,0.088,0.00790513833992095,"Il12b, Angpt1"
"53","MF","GO:0008227","G protein-coupled amine receptor activit...",47,1,0.09,55,0.0883,0.0883,0.0212765957446809,"Htr2c"
"54","MF","GO:0016684","oxidoreductase activity, acting on perox...",48,1,0.09,56,0.0901,0.0901,0.0208333333333333,"Hbb-bs"
"55","MF","GO:0032934","sterol binding",49,1,0.1,57,0.0919,0.0919,0.0204081632653061,"Apoe"
"56","MF","GO:0005245","voltage-gated calcium channel activity",50,1,0.1,58,0.0937,0.0937,0.02,"Cnr1"
"57","MF","GO:0031593","polyubiquitin modification-dependent pro...",51,1,0.1,59,0.0955,0.0955,0.0196078431372549,"Rad23a"
"58","MF","GO:0001102","RNA polymerase II activating transcripti...",51,1,0.1,60,0.0955,0.0955,0.0196078431372549,"Ldb2"
"59","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,1,0.1,62,0.0991,0.0991,0.0188679245283019,"Cst3"
"60","MF","GO:0003924","GTPase activity",275,2,0.54,63,0.1013,0.1013,0.00727272727272727,"Rac3, Gna11"
"61","MF","GO:0003684","damaged DNA binding",55,1,0.11,64,0.1026,0.1026,0.0181818181818182,"Rad23a"
"62","MF","GO:0045182","translation regulator activity",56,1,0.11,65,0.1044,0.1044,0.0178571428571429,"Cpeb2"
