"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0030547","receptor inhibitor activity",21,1,0.01,1,0.015,0.015,0.0476190476190476,"Dkk2"
"2","MF","GO:0035586","purinergic receptor activity",23,1,0.02,2,0.016,0.016,0.0434782608695652,"P2ry12"
"3","MF","GO:0005537","mannose binding",25,1,0.02,3,0.018,0.018,0.04,"Mrc1"
"4","MF","GO:0005501","retinoid binding",26,1,0.02,4,0.018,0.018,0.0384615384615385,"Ptgds"
"5","MF","GO:0019840","isoprenoid binding",31,1,0.02,5,0.022,0.022,0.032258064516129,"Ptgds"
"6","MF","GO:0005504","fatty acid binding",41,1,0.03,6,0.029,0.029,0.024390243902439,"Ptgds"
"7","MF","GO:0004601","peroxidase activity",44,1,0.03,7,0.031,0.031,0.0227272727272727,"Hbb-bs"
"8","MF","GO:0016860","intramolecular oxidoreductase activity",47,1,0.03,8,0.033,0.033,0.0212765957446809,"Ptgds"
"9","MF","GO:0016684","oxidoreductase activity, acting on perox...",48,1,0.03,9,0.034,0.034,0.0208333333333333,"Hbb-bs"
"10","MF","GO:0030545","receptor regulator activity",421,2,0.3,10,0.035,0.035,0.00475059382422803,"Ttr, Dkk2"
"11","MF","GO:0005544","calcium-dependent phospholipid binding",51,1,0.04,11,0.036,0.036,0.0196078431372549,"Anxa3"
"12","MF","GO:0033293","monocarboxylic acid binding",61,1,0.04,12,0.042,0.042,0.0163934426229508,"Ptgds"
"13","MF","GO:0045296","cadherin binding",66,1,0.05,13,0.046,0.046,0.0151515151515152,"Ctnna3"
"14","MF","GO:0048306","calcium-dependent protein binding",71,1,0.05,14,0.049,0.049,0.0140845070422535,"Anxa3"
"15","MF","GO:0004888","transmembrane signaling receptor activit...",1212,3,0.86,15,0.05,0.05,0.00247524752475248,"Mrc1, P2ry12, Il6st"
"16","MF","GO:0016209","antioxidant activity",74,1,0.05,16,0.051,0.051,0.0135135135135135,"Hbb-bs"
"17","MF","GO:0038024","cargo receptor activity",82,1,0.06,17,0.057,0.057,0.0121951219512195,"Mrc1"
"18","MF","GO:0048029","monosaccharide binding",83,1,0.06,18,0.057,0.057,0.0120481927710843,"Mrc1"
"19","MF","GO:0008013","beta-catenin binding",84,1,0.06,19,0.058,0.058,0.0119047619047619,"Ctnna3"
"20","MF","GO:0004896","cytokine receptor activity",87,1,0.06,20,0.06,0.06,0.0114942528735632,"Il6st"
"21","MF","GO:0038023","signaling receptor activity",1383,3,0.98,21,0.069,0.069,0.00216919739696312,"Mrc1, P2ry12, Il6st"
"22","MF","GO:0005179","hormone activity",101,1,0.07,22,0.069,0.069,0.0099009900990099,"Ttr"
"23","MF","GO:0042562","hormone binding",103,1,0.07,23,0.071,0.071,0.00970873786407767,"Ttr"
"24","MF","GO:0060089","molecular transducer activity",1432,3,1.02,24,0.075,0.075,0.00209497206703911,"Mrc1, P2ry12, Il6st"
"25","MF","GO:0019955","cytokine binding",116,1,0.08,25,0.079,0.079,0.00862068965517241,"Il6st"
"26","MF","GO:0005102","signaling receptor binding",1472,3,1.04,26,0.08,0.08,0.00203804347826087,"Ttr, Dkk2, Il6st"
"27","MF","GO:0008289","lipid binding",696,2,0.49,27,0.085,0.085,0.0028735632183908,"Anxa3, Ptgds"
"28","MF","GO:0015103","inorganic anion transmembrane transporte...",129,1,0.09,28,0.088,0.088,0.00775193798449612,"Ank"
"29","MF","GO:0070851","growth factor receptor binding",136,1,0.1,29,0.092,0.092,0.00735294117647059,"Il6st"
"30","MF","GO:0098772","molecular function regulator",1565,3,1.11,30,0.093,0.093,0.00191693290734824,"Ttr, Anxa3, Dkk2"
"31","MF","GO:0019838","growth factor binding",138,1,0.1,31,0.094,0.094,0.0072463768115942,"Il6st"
"32","MF","GO:0016853","isomerase activity",152,1,0.11,32,0.103,0.103,0.00657894736842105,"Ptgds"
"33","MF","GO:0005539","glycosaminoglycan binding",192,1,0.14,33,0.128,0.128,0.00520833333333333,"Mamdc2"
"34","MF","GO:0051015","actin filament binding",197,1,0.14,34,0.131,0.131,0.0050761421319797,"Ctnna3"
"35","MF","GO:0031406","carboxylic acid binding",198,1,0.14,35,0.132,0.132,0.00505050505050505,"Ptgds"
"36","MF","GO:0043177","organic acid binding",206,1,0.15,36,0.137,0.137,0.00485436893203883,"Ptgds"
"37","MF","GO:0015291","secondary active transmembrane transport...",226,1,0.16,37,0.149,0.149,0.00442477876106195,"Ank"
"38","MF","GO:0050839","cell adhesion molecule binding",237,1,0.17,38,0.156,0.156,0.00421940928270042,"Ctnna3"
"39","MF","GO:0030246","carbohydrate binding",250,1,0.18,39,0.163,0.163,0.004,"Mrc1"
"40","MF","GO:0005126","cytokine receptor binding",253,1,0.18,40,0.165,0.165,0.00395256916996047,"Il6st"
"41","MF","GO:0016746","transferase activity, transferring acyl ...",257,1,0.18,41,0.168,0.168,0.00389105058365759,"F13a1"
"42","MF","GO:0008509","anion transmembrane transporter activity",302,1,0.21,42,0.194,0.194,0.0033112582781457,"Ank"
"43","MF","GO:0004857","enzyme inhibitor activity",326,1,0.23,43,0.208,0.208,0.00306748466257669,"Anxa3"
"44","MF","GO:0022804","active transmembrane transporter activit...",343,1,0.24,44,0.218,0.218,0.00291545189504373,"Ank"
"45","MF","GO:0036094","small molecule binding",2316,3,1.64,45,0.22,0.22,0.00129533678756477,"Hbb-bs, Mrc1, Ptgds"
"46","MF","GO:0048018","receptor ligand activity",391,1,0.28,46,0.244,0.244,0.00255754475703325,"Ttr"
"47","MF","GO:0005543","phospholipid binding",407,1,0.29,47,0.253,0.253,0.00245700245700246,"Anxa3"
"48","MF","GO:0003779","actin binding",416,1,0.29,48,0.258,0.258,0.00240384615384615,"Ctnna3"
"49","MF","GO:0005488","binding",11858,10,8.41,49,0.27,0.27,0.00084331253162422,"Ttr, Ctnna3, Anxa3, Hbb-bs, F13a1, Mrc1, Ptgds, Mamdc2, Dkk2, Il6st"
"50","MF","GO:0046982","protein heterodimerization activity",520,1,0.37,50,0.312,0.312,0.00192307692307692,"Ttr"
"51","MF","GO:0004930","G protein-coupled receptor activity",530,1,0.38,51,0.317,0.317,0.00188679245283019,"P2ry12"
"52","MF","GO:0005509","calcium ion binding",574,1,0.41,52,0.339,0.339,0.00174216027874564,"Anxa3"
"53","MF","GO:0042802","identical protein binding",1795,2,1.27,53,0.368,0.368,0.0011142061281337,"Ttr, Il6st"
"54","MF","GO:0016491","oxidoreductase activity",714,1,0.51,54,0.403,0.403,0.00140056022408964,"Hbb-bs"
"55","MF","GO:0015318","inorganic molecular entity transmembrane...",762,1,0.54,55,0.424,0.424,0.00131233595800525,"Ank"
"56","MF","GO:0015075","ion transmembrane transporter activity",821,1,0.58,56,0.449,0.449,0.00121802679658952,"Ank"
"57","MF","GO:0030234","enzyme regulator activity",894,1,0.63,57,0.478,0.478,0.00111856823266219,"Anxa3"
"58","MF","GO:0008092","cytoskeletal protein binding",945,1,0.67,58,0.497,0.497,0.00105820105820106,"Ctnna3"
"59","MF","GO:0022857","transmembrane transporter activity",974,1,0.69,59,0.508,0.508,0.00102669404517454,"Ank"
"60","MF","GO:0005215","transporter activity",1055,1,0.75,60,0.537,0.537,0.000947867298578199,"Ank"
"61","MF","GO:0043168","anion binding",2593,2,1.84,61,0.567,0.567,0.000771307365985345,"Anxa3, Ptgds"
"62","MF","GO:0005515","protein binding",8273,6,5.87,62,0.577,0.577,0.000725250815907168,"Ttr, Ctnna3, Anxa3, Hbb-bs, Dkk2, Il6st"
"63","MF","GO:0044877","protein-containing complex binding",1185,1,0.84,63,0.581,0.581,0.000843881856540084,"Ctnna3"
"64","MF","GO:0046983","protein dimerization activity",1311,1,0.93,64,0.619,0.619,0.0007627765064836,"Ttr"
"65","MF","GO:0008144","drug binding",1595,1,1.13,65,0.694,0.694,0.000626959247648903,"Hbb-bs"
"66","MF","GO:0046872","metal ion binding",3326,2,2.36,66,0.712,0.712,0.000601322910402886,"Anxa3, F13a1"
"67","MF","GO:0043169","cation binding",3418,2,2.42,67,0.728,0.728,0.000585137507314219,"Anxa3, F13a1"
"68","MF","GO:0043167","ion binding",5224,3,3.7,68,0.763,0.763,0.00057427258805513,"Anxa3, F13a1, Ptgds"
"69","MF","GO:0097367","carbohydrate derivative binding",2036,1,1.44,69,0.784,0.784,0.000491159135559921,"Mamdc2"
"70","MF","GO:0003824","catalytic activity",5396,3,3.83,70,0.785,0.785,0.000555967383246849,"Hbb-bs, F13a1, Ptgds"
"71","MF","GO:0140096","catalytic activity, acting on a protein",2044,1,1.45,71,0.785,0.785,0.000489236790606654,"F13a1"
"72","MF","GO:0016740","transferase activity",2164,1,1.53,72,0.805,0.805,0.000462107208872458,"F13a1"
"73","MF","GO:0003674","molecular_function",18336,13,13,73,1,1,0.000708987783595113,"Ttr, Ctnna3, Anxa3, Hbb-bs, F13a1, Ank, Mrc1, 9130019P16Rik, P2ry12, Ptgds, Mamdc2, Dkk2, Il6st"
"74","MF","GO:0000030","mannosyltransferase activity",26,0,0.02,74,1,1,0,""
