"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0001540","amyloid-beta binding",57,8,0.74,6,6.8e-07,6.8e-07,0.140350877192982,"Apbb2, Ldlrad3, Apoe, Ldlr, Gsap, Trem2, Scarb1, Fcgr2b"
"2","MF","GO:0005096","GTPase activator activity",235,13,3.05,14,1.3e-05,1.3e-05,0.0553191489361702,"Arhgap24, Nrp1, Thy1, Arap2, Asap1, Rasgrp3, Chn2, Sipa1l2, Rin2, Adap1, Tbc1d1, Myo9b, Tbc1d4"
"3","MF","GO:0071813","lipoprotein particle binding",27,5,0.35,19,2.3e-05,2.3e-05,0.185185185185185,"Lpl, Apoe, Ldlr, Trem2, Scarb1"
"4","MF","GO:0042802","identical protein binding",1795,49,23.3,5,4.9e-05,3.9e-07,0.0272980501392758,"Prkg1, Acaca, Cadm1, Ccl4, Flt1, Rassf3, Csf1, Ctse, Bcl2, Plek, Lpl, Myo5a, Abcd2, Baiap2l2, Plekhh2, Adarb1, Cst7, Pacsin1, Kynu, Cpq, Apoe, Dgkd, Ldlr, Clip1, Alcam, Tpd52, Kcnj2, Kcnma1, Zc3hav1, Cd84, Bcl2l1, Il6st, Eea1, Ttr, Daam1, Oxct1, Epm2a, Scarb1, Igf1r, Slc2a1, B2m, Nrp2, Ctnna1, Fyn, P2rx4, Sat1, Pdk1, Eif2ak2, Aplp2"
"5","MF","GO:0005524","ATP binding",1357,33,17.61,24,0.00036,0.00036,0.0243183492999263,"Myo1e, Prkg1, Acaca, Flt1, Tgfbr2, Akt3, Axl, Myo5a, Abcd2, Dgkz, Myo1f, Actr3b, Fam20c, Dna2, Ddx31, Atp8a1, Lrguk, Oasl2, Mthfs, Tlk1, Cdk14, Abcb1b, Suclg2, Nlrc5, Igf1r, Cdk19, Myo9b, Map3k20, Map3k1, Fyn, P2rx4, Pdk1, Eif2ak2"
"6","MF","GO:0019904","protein domain specific binding",762,22,9.89,27,4e-04,4e-04,0.0288713910761155,"Cadm1, Hif1a, Bcl2, Myo5a, Gng12, Gnas, Plaur, Apobec1, Fmn1, Bcl2l1, Lat2, Lamp2, Sh3bp2, Plekha1, Nfe2l2, Trps1, Sirpa, Cacna1d, Wipf1, Fyn, Litaf, Rab27a"
"7","MF","GO:0046982","protein heterodimerization activity",520,17,6.75,28,0.00047,0.00047,0.0326923076923077,"Hif1a, Axl, Bcl2, Myo5a, Dgkd, Tpd52, Sox5, Arnt2, Bcl2l1, Suclg2, H2-D1, Ttr, Nfe2l2, H2-K1, Rragc, Ctnna1, Pdk1"
"8","MF","GO:0008092","cytoskeletal protein binding",945,29,12.27,16,0.00057,1.5e-05,0.0306878306878307,"Myo1e, Ctnna3, Fgf13, Axl, Myo5a, Plekhh2, Gnas, Ptprc, Pacsin1, Myo1f, Gas2l3, Gas7, Apoe, Actr3b, Clip1, Plekhm2, Kcnma1, Fmn1, Eml4, D7Ertd443e, Daam1, Cacna1d, Myo9b, Ctnna1, Rab11fip5, Wipf1, Map3k1, Fyn, Rab27a"
"9","MF","GO:0008201","heparin binding",144,8,1.87,30,0.00059,0.00059,0.0555555555555556,"Serpine2, Nrp1, Lpl, Ptprc, Apoe, Fgf1, Nrp2, Aplp2"
"10","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,5,0.74,36,0.00085,0.00085,0.087719298245614,"Flt1, Nrp1, Axl, Igf1r, Nrp2"
"11","MF","GO:0043394","proteoglycan binding",35,4,0.45,38,0.00106,0.00106,0.114285714285714,"Lpl, Ptprc, Ctsb, Apoe"
"12","MF","GO:0001786","phosphatidylserine binding",61,5,0.79,40,0.00116,0.00116,0.0819672131147541,"Axl, Cd300lf, Asap1, Osbpl8, Scarb1"
"13","MF","GO:1901981","phosphatidylinositol phosphate binding",163,8,2.12,41,0.00133,0.00133,0.049079754601227,"Plek, Arap2, Asap1, Kcnj2, Osbpl8, Plekha1, Adap1, Tecpr1"
"14","MF","GO:0042803","protein homodimerization activity",894,23,11.6,43,0.00142,0.00142,0.0257270693512304,"Prkg1, Cadm1, Csf1, Ctse, Bcl2, Plek, Lpl, Abcd2, Adarb1, Cst7, Kynu, Cpq, Apoe, Dgkd, Tpd52, Kcnma1, Bcl2l1, Eea1, Oxct1, Epm2a, Scarb1, B2m, Pdk1"
"15","MF","GO:0046872","metal ion binding",3326,62,43.17,44,0.00145,0.00145,0.0186410102224895,"Cacna1a, Acaca, Xylt1, Tmem163, Tgfbr2, Nrp1, Lpl, Myo5a, Adarb1, Egln3, Acer3, Usp12, Gnas, Anxa3, Prickle1, Asph, Dgkz, Arap2, March3, Rnf144b, Apobec1, Asap1, Cpq, Slc25a25, Apoe, Fam20c, Ldlr, Dna2, Clip1, Esrrg, Eya4, Atp8a1, Oasl2, Tpd52, Lmo2, Kcnma1, Zc3hav1, Mthfs, Znrf2, Chn2, Aopep, Suclg2, Npnt, Eea1, Trim30a, Gnptab, Zfp704, Frrs1, Klf12, Trps1, Smyd3, Lonrf3, Nrp2, Cacna1d, Myo9b, Map3k20, Pde8b, Map3k1, Fyn, Litaf, P2rx4, Aplp2"
"16","MF","GO:0050839","cell adhesion molecule binding",237,9,3.08,55,0.0039,0.0039,0.0379746835443038,"Ctnna3, Cadm1, Cd9, Igf1, Thy1, Fgf1, Npnt, Ctnna1, P2rx4"
"17","MF","GO:0005158","insulin receptor binding",25,3,0.32,56,0.00402,0.00402,0.12,"Igf1, Phip, Igf1r"
"18","MF","GO:0003725","double-stranded RNA binding",82,5,1.06,57,0.00428,0.00428,0.0609756097560976,"Adarb1, Rftn1, Oasl2, Eif2ak2, Slc3a2"
"19","MF","GO:0051015","actin filament binding",197,8,2.56,58,0.00428,0.00428,0.0406091370558376,"Myo1e, Ctnna3, Myo5a, Gas7, Actr3b, Myo9b, Ctnna1, Wipf1"
"20","MF","GO:0003823","antigen binding",51,4,0.66,59,0.00429,0.00429,0.0784313725490196,"Cd48, H2-D1, H2-K1, Sirpa"
"21","MF","GO:0005543","phospholipid binding",407,19,5.28,9,0.00477,1.6e-06,0.0466830466830467,"Myo1e, Axl, Plek, Baiap2l2, Cd300lf, Thy1, Anxa3, Pacsin1, Arap2, Asap1, Apoe, Kcnj2, Eea1, Osbpl8, Plekha1, Adap1, Trem2, Tecpr1, Scarb1"
"22","MF","GO:0005126","cytokine receptor binding",253,9,3.28,63,0.00594,0.00594,0.0355731225296443,"Ccl4, Tgfbr2, Csf1, Tnfsf8, Ccl3, Cd300lf, Efna5, Il6st, Ccl6"
"23","MF","GO:0015248","sterol transporter activity",29,3,0.38,64,0.00615,0.00615,0.103448275862069,"Apoe, Osbpl3, Osbpl8"
"24","MF","GO:0005496","steroid binding",92,5,1.19,65,0.00696,0.00696,0.0543478260869565,"Igf1, Apoe, Esrrg, Osbpl3, Osbpl8"
"25","MF","GO:0005515","protein binding",8273,158,107.38,2,0.0079,2.4e-11,0.0190982714855554,"Myo1e, Ctnna3, Etl4, Fgf13, Cacna1a, Apbb2, Prkg1, Acaca, Cadm1, Hif1a, Ccl4, Serpine2, Tmem163, Cd9, Flt1, Igf1, Tgfbr2, Dkk2, Nrp1, Fnip2, Akt3, Rassf3, Csf1, Tnfsf8, Hdac9, Axl, Ctse, Cpeb2, Bcl2, Plek, Ccl3, Lpl, Myo5a, Abcd2, Baiap2l2, Cd300lf, Gng12, Cacnb4, Plekhh2, Adarb1, Thy1, Gnas, Ptprc, Cst7, Samsn1, Anxa3, Plaur, Prickle1, Socs6, Asph, Dgkz, Pacsin1, Myo1f, Ctsb, Cd274, Peli2, Cd244a, Rnf144b, Apobec1, Mitf, Asap1, Kynu, Gas2l3, Cpq, Gas7, Bcar3, Apoe, Actr3b, Dgkd, Efna5, Ldlr, Dna2, Cd180, Hbb-bs, Gab3, Hacd2, Satb2, Clip1, Esrrg, Eya4, Atp8a1, Plekhm2, Alcam, Lrguk, Tpd52, Phip, Lmo2, Ly86, Kcnj2, Fgf1, Clint1, Kcnma1, Zc3hav1, Sox5, Fmn1, Wwox, Cd84, Arnt2, Rasgrp3, Cdk14, Dnajb14, Fnip1, Bcl2l1, Il6st, Suclg2, Lat2, Ccl6, Npnt, Eea1, Cd48, Lamp2, Eml4, Osbpl8, Sh3bp2, H2-D1, D7Ertd443e, Plekha1, Plgrkt, Sp100, Ttr, Daam1, Trem2, Nfe2l2, Oxct1, Parp14, Mllt3, Klf12, Tbc1d1, Trps1, H2-K1, Epm2a, Scarb1, Igf1r, Rragc, Smyd3, Slc2a1, Neat1, B2m, Sirpa, Nrp2, Cacna1d, Myo9b, Ctnna1, Rab11fip5, Wipf1, Map3k1, Fyn, Litaf, Rab27a, Ctsl, P2rx4, Sat1, Pdk1, Tbc1d4, Eif2ak2, Aplp2, Slc3a2, Fcgr2b"
"26","MF","GO:0098772","molecular function regulator",1565,40,20.31,21,0.00805,2.6e-05,0.0255591054313099,"Fgf13, Prkg1, Arhgap24, Ccl4, Serpine2, Igf1, Dkk2, Nrp1, Fnip2, Csf1, Tnfsf8, Bcl2, Ccl3, Thy1, Gnas, Pkib, Cst7, Anxa3, Socs6, Dgkz, Arap2, Apobec1, Asap1, Bcar3, Apoe, Efna5, Fgf1, Rasgrp3, Chn2, Sipa1l2, Rin2, Fnip1, Bcl2l1, Ccl6, Adap1, Ttr, Tbc1d1, Sirpa, Myo9b, Tbc1d4"
