"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0042803","protein homodimerization activity",894,8,2,4,7e-04,7e-04,0.00894854586129754,"Tenm2, Zbtb16, Csf1, Apoe, Cdh19, Stat3, Kcnma1, Zfp365"
"2","MF","GO:0030165","PDZ domain binding",114,3,0.25,7,0.0021,0.0021,0.0263157894736842,"Plekha1, Kirrel3, Grid2"
"3","MF","GO:0044877","protein-containing complex binding",1185,8,2.65,8,0.0042,0.00419,0.00675105485232068,"Thy1, Ctnna3, Apoe, Spock1, Pcdh15, Cd9, Kcnma1, Strn"
"4","MF","GO:0019901","protein kinase binding",715,6,1.6,9,0.0048,0.00483,0.00839160839160839,"Thy1, Unc5c, Ptprk, Stat3, Rhoj, Stk39"
"5","MF","GO:0050839","cell adhesion molecule binding",237,5,0.53,2,0.0058,0.00018,0.0210970464135021,"Tenm2, Thy1, Ctnna3, Cdh19, Cd9"
"6","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,2,0.12,10,0.0063,0.00625,0.0377358490566038,"Cst3, Spock1"
"7","MF","GO:0001540","amyloid-beta binding",57,2,0.13,11,0.0072,0.0072,0.0350877192982456,"Cst3, Apoe"
"8","MF","GO:0005509","calcium ion binding",574,5,1.28,13,0.0087,0.00873,0.00871080139372822,"Cdh19, Slc25a13, Spock1, Pcdh15, Man1a"
"9","MF","GO:0045296","cadherin binding",66,2,0.15,14,0.0096,0.00956,0.0303030303030303,"Ctnna3, Cdh19"
"10","MF","GO:0016209","antioxidant activity",74,2,0.17,15,0.0119,0.0119,0.027027027027027,"Apoe, Hbb-bs"
"11","MF","GO:0005543","phospholipid binding",407,4,0.91,16,0.0127,0.01268,0.00982800982800983,"Thy1, Plekha1, Apoe, Arap2"
"12","MF","GO:0005102","signaling receptor binding",1472,8,3.29,18,0.0149,0.01486,0.00543478260869565,"Tenm2, Thy1, Ttr, Csf1, Apoe, Cd9, Stat3, Strn"
"13","MF","GO:0008013","beta-catenin binding",84,2,0.19,19,0.0151,0.01515,0.0238095238095238,"Ctnna3, Ptprk"
"14","MF","GO:0035258","steroid hormone receptor binding",85,2,0.19,20,0.0155,0.01549,0.0235294117647059,"Stat3, Strn"
"15","MF","GO:0035091","phosphatidylinositol binding",247,3,0.55,21,0.0177,0.01767,0.0121457489878543,"Thy1, Plekha1, Arap2"
"16","MF","GO:0008092","cytoskeletal protein binding",945,6,2.11,22,0.0177,0.01772,0.00634920634920635,"Unc5c, Ctnna3, Apoe, Cdh19, Kcnma1, Nav3"
"17","MF","GO:0030695","GTPase regulator activity",253,3,0.57,23,0.0188,0.01882,0.0118577075098814,"Thy1, Dgki, Arap2"
"18","MF","GO:0004725","protein tyrosine phosphatase activity",95,2,0.21,24,0.0191,0.0191,0.0210526315789474,"Eya4, Ptprk"
"19","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,3,0.65,27,0.0271,0.02706,0.0103092783505155,"Thy1, Dgki, Arap2"
"20","MF","GO:0005515","protein binding",8273,32,18.5,1,0.0298,1.7e-05,0.0038680043515049,"C4b, Tenm2, Zbtb16, Thy1, Unc5c, Ttr, Plekha1, Cldn11, Kirrel3, Eya4, Ctnna3, Csf1, Cst3, Dgki, Apoe, Cdh19, Slc25a13, Ptprk, Otud7a, Pcdh15, Grid2, Cd9, Hbb-bs, Cldn14, Fkbp5, Stat3, Rhoj, Kcnma1, Nav3, Stk39, Zfp365, Strn"
"21","MF","GO:0005178","integrin binding",128,2,0.29,28,0.0332,0.03321,0.015625,"Thy1, Cd9"
"22","MF","GO:0015276","ligand-gated ion channel activity",132,2,0.3,29,0.0351,0.03513,0.0151515151515152,"Grid2, Kcnma1"
"23","MF","GO:0022834","ligand-gated channel activity",135,2,0.3,31,0.0366,0.0366,0.0148148148148148,"Grid2, Kcnma1"
"24","MF","GO:0005342","organic acid transmembrane transporter a...",142,2,0.32,32,0.0401,0.04011,0.0140845070422535,"Slc25a13, Slc16a7"
"25","MF","GO:0046943","carboxylic acid transmembrane transporte...",142,2,0.32,33,0.0401,0.04011,0.0140845070422535,"Slc25a13, Slc16a7"
"26","MF","GO:0035257","nuclear hormone receptor binding",148,2,0.33,34,0.0432,0.04323,0.0135135135135135,"Stat3, Strn"
"27","MF","GO:0048156","tau protein binding",21,1,0.05,35,0.0459,0.04595,0.0476190476190476,"Apoe"
"28","MF","GO:0001848","complement binding",21,1,0.05,36,0.0459,0.04595,0.0476190476190476,"C4b"
"29","MF","GO:0035259","glucocorticoid receptor binding",21,1,0.05,37,0.0459,0.04595,0.0476190476190476,"Stat3"
"30","MF","GO:0070530","K63-linked polyubiquitin modification-de...",22,1,0.05,39,0.0481,0.04808,0.0454545454545455,"Otud7a"
"31","MF","GO:1901981","phosphatidylinositol phosphate binding",163,2,0.36,41,0.0514,0.05138,0.0122699386503067,"Plekha1, Arap2"
"32","MF","GO:0019903","protein phosphatase binding",164,2,0.37,42,0.0519,0.05195,0.0121951219512195,"Stat3, Strn"
"33","MF","GO:0050750","low-density lipoprotein particle recepto...",24,1,0.05,43,0.0523,0.05234,0.0416666666666667,"Apoe"
