"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0050839","cell adhesion molecule binding",237,3,0.09,1,7.2e-05,7.2e-05,0.0126582278481013,"Tenm2, Thy1, Ctnna3"
"2","MF","GO:0044877","protein-containing complex binding",1185,3,0.45,2,0.0077,0.0077,0.00253164556962025,"Thy1, Ctnna3, H2-D1"
"3","MF","GO:0001848","complement binding",21,1,0.01,3,0.008,0.008,0.0476190476190476,"C4b"
"4","MF","GO:0042605","peptide antigen binding",22,1,0.01,4,0.0084,0.0084,0.0454545454545455,"H2-D1"
"5","MF","GO:0005102","signaling receptor binding",1472,3,0.56,5,0.0141,0.0141,0.00203804347826087,"Tenm2, Thy1, H2-D1"
"6","MF","GO:0046982","protein heterodimerization activity",520,2,0.2,6,0.0153,0.0153,0.00384615384615385,"Tenm2, H2-D1"
"7","MF","GO:0004601","peroxidase activity",44,1,0.02,7,0.0167,0.0167,0.0227272727272727,"Hbb-bs"
"8","MF","GO:0016684","oxidoreductase activity, acting on perox...",48,1,0.02,8,0.0182,0.0182,0.0208333333333333,"Hbb-bs"
"9","MF","GO:0045296","cadherin binding",66,1,0.03,10,0.0249,0.0249,0.0151515151515152,"Ctnna3"
"10","MF","GO:0016209","antioxidant activity",74,1,0.03,11,0.0279,0.0279,0.0135135135135135,"Hbb-bs"
"11","MF","GO:0008013","beta-catenin binding",84,1,0.03,12,0.0316,0.0316,0.0119047619047619,"Ctnna3"
"12","MF","GO:0005178","integrin binding",128,1,0.05,15,0.0479,0.0479,0.0078125,"Thy1"
"13","MF","GO:0051015","actin filament binding",197,1,0.08,16,0.0728,0.0728,0.0050761421319797,"Ctnna3"
"14","MF","GO:0046983","protein dimerization activity",1311,2,0.5,17,0.0843,0.0843,0.0015255530129672,"Tenm2, H2-D1"
"15","MF","GO:0005096","GTPase activator activity",235,1,0.09,18,0.0864,0.0864,0.00425531914893617,"Thy1"
"16","MF","GO:0035091","phosphatidylinositol binding",247,1,0.09,19,0.0906,0.0906,0.00404858299595142,"Thy1"
"17","MF","GO:0030246","carbohydrate binding",250,1,0.1,20,0.0916,0.0916,0.004,"C4b"
"18","MF","GO:0030695","GTPase regulator activity",253,1,0.1,21,0.0927,0.0927,0.00395256916996047,"Thy1"
"19","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.11,23,0.106,0.106,0.00343642611683849,"Thy1"
"20","MF","GO:0005543","phospholipid binding",407,1,0.16,25,0.1454,0.1454,0.00245700245700246,"Thy1"
"21","MF","GO:0003779","actin binding",416,1,0.16,26,0.1484,0.1484,0.00240384615384615,"Ctnna3"
"22","MF","GO:0008047","enzyme activator activity",436,1,0.17,27,0.1551,0.1551,0.00229357798165138,"Thy1"
"23","MF","GO:0008270","zinc ion binding",651,1,0.25,28,0.2236,0.2236,0.00153609831029186,"Zfand4"
"24","MF","GO:0008289","lipid binding",696,1,0.27,29,0.2373,0.2373,0.0014367816091954,"Thy1"
"25","MF","GO:0016491","oxidoreductase activity",714,1,0.27,30,0.2428,0.2428,0.00140056022408964,"Hbb-bs"
"26","MF","GO:0019901","protein kinase binding",715,1,0.27,31,0.2431,0.2431,0.0013986013986014,"Thy1"
"27","MF","GO:0019900","kinase binding",791,1,0.3,32,0.2656,0.2656,0.00126422250316056,"Thy1"
"28","MF","GO:0046914","transition metal ion binding",893,1,0.34,33,0.295,0.295,0.00111982082866741,"Zfand4"
"29","MF","GO:0042803","protein homodimerization activity",894,1,0.34,34,0.2953,0.2953,0.00111856823266219,"Tenm2"
"30","MF","GO:0030234","enzyme regulator activity",894,1,0.34,35,0.2953,0.2953,0.00111856823266219,"Thy1"
"31","MF","GO:0008092","cytoskeletal protein binding",945,1,0.36,36,0.3096,0.3096,0.00105820105820106,"Ctnna3"
"32","MF","GO:0005488","binding",11858,7,4.53,14,0.3842,0.0473,0.000590318772136954,"C4b, Tenm2, Zfand4, Thy1, Hbb-bs, Ctnna3, H2-D1"
"33","MF","GO:0005515","protein binding",8273,6,3.16,13,0.4155,0.0362,0.000725250815907168,"C4b, Tenm2, Thy1, Hbb-bs, Ctnna3, H2-D1"
"34","MF","GO:0098772","molecular function regulator",1565,1,0.6,37,0.4645,0.4645,0.000638977635782748,"Thy1"
