"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0001540","amyloid-beta binding",57,8,0.81,10,1.4e-06,1.4e-06,0.140350877192982,"Apbb2, Apoe, Ldlrad3, Ldlr, Gsap, Fcgr2b, Col25a1, Trem2"
"2","MF","GO:0005096","GTPase activator activity",235,13,3.35,14,3.4e-05,3.4e-05,0.0553191489361702,"Arhgap24, Nrp1, Thy1, Asap1, Sipa1l2, Arap2, Gnaq, Myo9b, Tbc1d8, Adap1, Ralgapa2, Abr, Tbc1d1"
"3","MF","GO:0071813","lipoprotein particle binding",27,5,0.38,15,3.5e-05,3.5e-05,0.185185185185185,"Apoe, Lpl, Colec12, Ldlr, Trem2"
"4","MF","GO:0042802","identical protein binding",1795,52,25.55,7,3.9e-05,5e-07,0.0289693593314763,"Cadm1, Prkg1, Acaca, Myo5a, Rassf3, Flt1, Apoe, Ccl4, Ctse, Baiap2l2, Bcl2, Adarb1, Plekhh2, Abcd2, Cst7, Ifi207, Lpl, Csf1, Cpq, P2rx4, Tpd52, Plek, Aplp2, Oxct1, Ifi204, Daam1, Pacsin1, Runx1, Kcnj2, Kynu, Ldlr, Snx8, Kcnma1, B2m, Cd84, Lyz2, Clip1, Eea1, Eif2ak2, Picalm, Zc3hav1, Col25a1, Nrp2, Zbtb16, Slc11a1, Fcer1g, Ddi2, Apaf1, Padi2, Sdcbp, Sat1, Alcam"
"5","MF","GO:0043394","proteoglycan binding",35,5,0.5,23,0.00013,0.00013,0.142857142857143,"Apoe, Ctsb, Ptprc, Lpl, Sdcbp"
"6","MF","GO:0004180","carboxypeptidase activity",40,5,0.57,25,0.00025,0.00025,0.125,"Cpq, Ctsz, Ctsa, Scpep1, Agtpbp1"
"7","MF","GO:0015485","cholesterol binding",43,5,0.61,27,0.00035,0.00035,0.116279069767442,"Apoe, Osbpl8, Npc2, Osbpl3, Soat1"
"8","MF","GO:0015248","sterol transporter activity",29,4,0.41,31,0.00072,0.00072,0.137931034482759,"Apoe, Osbpl8, Npc2, Osbpl3"
"9","MF","GO:0005543","phospholipid binding",407,22,5.79,5,0.00091,9.6e-08,0.0540540540540541,"Myo1e, Cd300lf, Apoe, Axl, Baiap2l2, Thy1, Asap1, Gab2, Plek, Arap2, Osbpl8, Pacsin1, Kcnj2, Snx8, Dab2, Eea1, Picalm, Tecpr1, Adap1, Plekha1, Trem2, Sdcbp"
"10","MF","GO:0005515","protein binding",8273,167,117.76,2,0.00097,5.2e-10,0.0201861477094162,"Fgf13, Myo1e, Etl4, Apbb2, Cacna1a, Cadm1, Prkg1, Acaca, Igf1, Nrp1, Myo5a, Fnip2, Hif1a, Ctnna3, Hdac9, Rassf3, Akt3, Tmem163, Serpine2, Cpeb2, Cd9, Cd300lf, Flt1, Apoe, Ccl4, Ctsb, Ctse, Axl, Apobec1, Gng12, Tnfsf8, Fkbp5, Cacnb4, Baiap2l2, Dkk2, Thy1, Bcl2, Myo1f, Adarb1, Trps1, Samsn1, Bcar3, Mitf, Plekhh2, Gab3, Plekhm2, Abcd2, Cst7, Atp8a1, Peli2, Ptprc, Plaur, Sp100, Cd244a, Asap1, Tgfbr2, Ifi207, Lpl, Gab2, Csf1, Socs6, Ccl3, Gas7, Usp18, Cpq, Dgkz, Fnip1, Cd274, P2rx4, Dnajb14, Fbn2, Tpd52, Gas2l3, Plek, Lrguk, Cdk14, Aplp2, Oxct1, Neat1, Prickle1, Ifi204, Fmn1, Ly86, Gnas, Cd48, Phip, Gnaq, Daam1, Osbpl8, Hacd2, Pacsin1, Parp14, H2-D1, Mdfic, Runx1, Kcnj2, H2-K1, Kynu, Ldlr, Sh3bp2, Ppard, Snx8, Gusb, Kcnma1, Actr3b, B2m, Asph, Efna5, Dab2, Pkp4, Cd84, Tec, Lyz2, Ctsh, Clip1, Nfe2l2, Fmnl2, Arnt2, Ctsa, Esrrg, Rab11fip5, Myo9b, Fcgr2b, Lamp2, Npc2, Eea1, Eif2ak2, Serinc1, Picalm, Large1, Plgrkt, Zc3hav1, Tbc1d8, Clint1, Rnf144b, Col25a1, Plin2, Nrp2, Wipf1, Plekha1, Zbtb16, Mfhas1, Slc3a2, Trem2, Slc11a1, Cdk8, Rragc, Rap2a, Rtcb, Pik3cb, Ralgapa2, Fcer1g, Havcr2, Vps54, Lmo2, Mllt3, Ddi2, Abr, Apaf1, Padi2, Sdcbp, Ranbp9, Sat1, Tbc1d1, Suclg2, Alcam, Agtpbp1"
