"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0008376","acetylgalactosaminyltransferase activity",41,1,0,1,0.0022,0.0022,0.024390243902439,"Galntl6"
"2","MF","GO:0140096","catalytic activity, acting on a protein",2044,1,0.11,5,0.1115,0.1115,0.000489236790606654,"Galntl6"
"3","MF","GO:0003674","molecular_function",18336,1,1,8,1,1,5.45375218150087e-05,"Galntl6"
"4","MF","GO:0016757","transferase activity, transferring glyco...",261,1,0.01,4,1,0.0142,0.00383141762452107,"Galntl6"
"5","MF","GO:0016758","transferase activity, transferring hexos...",194,1,0.01,3,1,0.0106,0.00515463917525773,"Galntl6"
"6","MF","GO:0016740","transferase activity",2164,1,0.12,6,1,0.118,0.000462107208872458,"Galntl6"
"7","MF","GO:0008194","UDP-glycosyltransferase activity",138,1,0.01,2,1,0.0075,0.0072463768115942,"Galntl6"
"8","MF","GO:0003824","catalytic activity",5396,1,0.29,7,1,0.2943,0.000185322461082283,"Galntl6"
"9","MF","GO:0000030","mannosyltransferase activity",26,0,0,9,1,1,0,""
"10","MF","GO:0000049","tRNA binding",57,0,0,10,1,1,0,""
"11","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0,11,1,1,0,""
"12","MF","GO:0000149","SNARE binding",116,0,0.01,12,1,1,0,""
"13","MF","GO:0000166","nucleotide binding",1969,0,0.11,13,1,1,0,""
"14","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0,14,1,1,0,""
"15","MF","GO:0000217","DNA secondary structure binding",24,0,0,15,1,1,0,""
"16","MF","GO:0000287","magnesium ion binding",187,0,0.01,16,1,1,0,""
"17","MF","GO:0000976","transcription regulatory region sequence...",786,0,0.04,17,1,1,0,""
"18","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,0,0.04,18,1,1,0,""
"19","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,0,0.03,19,1,1,0,""
"20","MF","GO:0000979","RNA polymerase II core promoter sequence...",37,0,0,20,1,1,0,""
"21","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,0,0,21,1,1,0,""
"22","MF","GO:0000981","DNA-binding transcription factor activit...",669,0,0.04,22,1,1,0,""
"23","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,0,0.03,23,1,1,0,""
"24","MF","GO:0000993","RNA polymerase II complex binding",37,0,0,24,1,1,0,""
"25","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,0,0.04,25,1,1,0,""
"26","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,0,0,26,1,1,0,""
"27","MF","GO:0001047","core promoter binding",60,0,0,27,1,1,0,""
"28","MF","GO:0001067","regulatory region nucleic acid binding",896,0,0.05,28,1,1,0,""
"29","MF","GO:0001085","RNA polymerase II transcription factor b...",165,0,0.01,29,1,1,0,""
"30","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,0,0,30,1,1,0,""
"31","MF","GO:0001098","basal transcription machinery binding",57,0,0,31,1,1,0,""
"32","MF","GO:0001099","basal RNA polymerase II transcription ma...",57,0,0,32,1,1,0,""
"33","MF","GO:0001102","RNA polymerase II activating transcripti...",51,0,0,33,1,1,0,""
"34","MF","GO:0001103","RNA polymerase II repressing transcripti...",33,0,0,34,1,1,0,""
"35","MF","GO:0001158","enhancer sequence-specific DNA binding",110,0,0.01,35,1,1,0,""
"36","MF","GO:0001221","transcription cofactor binding",49,0,0,36,1,1,0,""
"37","MF","GO:0001223","transcription coactivator binding",22,0,0,37,1,1,0,""
"38","MF","GO:0001227","DNA-binding transcription repressor acti...",215,0,0.01,38,1,1,0,""
"39","MF","GO:0001228","DNA-binding transcription activator acti...",389,0,0.02,39,1,1,0,""
"40","MF","GO:0001530","lipopolysaccharide binding",24,0,0,40,1,1,0,""
"41","MF","GO:0001540","amyloid-beta binding",57,0,0,41,1,1,0,""
"42","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,0,0,42,1,1,0,""
"43","MF","GO:0001653","peptide receptor activity",133,0,0.01,43,1,1,0,""
"44","MF","GO:0001664","G protein-coupled receptor binding",266,0,0.01,44,1,1,0,""
