"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0042165","neurotransmitter binding",60,5,0.31,2,1.5e-05,1.5e-05,0.0833333333333333,"Htr1f, Htr2a, Glra2, Glra3, Htr2c"
"2","MF","GO:0005509","calcium ion binding",574,11,2.97,5,0.00019,0.00019,0.0191637630662021,"Cdh4, Slit2, Sulf1, Otof, Mctp1, Kcnip4, Cdh13, Scube1, Dgkb, Dchs2, Cdh9"
"3","MF","GO:0045296","cadherin binding",66,4,0.34,9,0.00038,0.00038,0.0606060606060606,"Cdh4, Ptpro, Cdh13, Cdh9"
"4","MF","GO:0004993","G protein-coupled serotonin receptor act...",31,3,0.16,12,0.00055,0.00055,0.0967741935483871,"Htr1f, Htr2a, Htr2c"
"5","MF","GO:0004879","nuclear receptor activity",40,3,0.21,17,0.00116,0.00116,0.075,"Rarb, Rorb, Esr1"
"6","MF","GO:1904315","transmitter-gated ion channel activity i...",52,3,0.27,25,0.00248,0.00248,0.0576923076923077,"Grid2, Gria1, Glra2"
"7","MF","GO:0003707","steroid hormone receptor activity",55,3,0.28,26,0.00291,0.00291,0.0545454545454545,"Rarb, Rorb, Esr1"
"8","MF","GO:0030165","PDZ domain binding",114,4,0.59,28,0.00292,0.00292,0.0350877192982456,"Grid2, Gria1, Kirrel3, Shisa9"
"9","MF","GO:0008081","phosphoric diester hydrolase activity",86,5,0.45,4,0.0032,8.4e-05,0.0581395348837209,"Pde1a, Pde7b, Plcxd3, Plcl1, Plce1"
"10","MF","GO:0099095","ligand-gated anion channel activity",21,2,0.11,34,0.00523,0.00523,0.0952380952380952,"Glra2, Glra3"
"11","MF","GO:0019838","growth factor binding",138,4,0.71,36,0.00576,0.00576,0.0289855072463768,"Erbb4, Ptprz1, Bmpr1b, Hap1"
"12","MF","GO:0070405","ammonium ion binding",73,3,0.38,37,0.00645,0.00645,0.0410958904109589,"Htr1f, Htr2a, Htr2c"
"13","MF","GO:0042803","protein homodimerization activity",894,11,4.63,38,0.00647,0.00647,0.0123042505592841,"Il12b, Erbb4, Cdh4, Slit2, Dpyd, Tenm1, Ptpro, Foxp2, Cdh13, Trhr, Cdh9"
"14","MF","GO:0019199","transmembrane receptor protein kinase ac...",74,3,0.38,39,0.0067,0.0067,0.0405405405405405,"Erbb4, Ror1, Bmpr1b"
"15","MF","GO:0008066","glutamate receptor activity",27,2,0.14,42,0.00857,0.00857,0.0740740740740741,"Grid2, Gria1"
"16","MF","GO:0015079","potassium ion transmembrane transporter ...",157,4,0.81,43,0.00901,0.00901,0.0254777070063694,"Kcnc2, Slc9a9, Kcnip4, Kcnt2"
"17","MF","GO:0045499","chemorepellent activity",28,2,0.15,44,0.0092,0.0092,0.0714285714285714,"Slit2, Sema5b"
"18","MF","GO:0004114","3',5'-cyclic-nucleotide phosphodiesteras...",28,2,0.15,45,0.0092,0.0092,0.0714285714285714,"Pde1a, Pde7b"
"19","MF","GO:0001965","G-protein alpha-subunit binding",35,2,0.18,47,0.01414,0.01414,0.0571428571428571,"Gria1, Htr2a"
"20","MF","GO:0043394","proteoglycan binding",35,2,0.18,48,0.01414,0.01414,0.0571428571428571,"Slit2, Hpse2"
"21","MF","GO:0017147","Wnt-protein binding",36,2,0.19,49,0.01492,0.01492,0.0555555555555556,"Ror1, Ptpro"
"22","MF","GO:0005231","excitatory extracellular ligand-gated io...",36,2,0.19,50,0.01492,0.01492,0.0555555555555556,"Glra2, Glra3"
"23","MF","GO:0008144","drug binding",1595,15,8.26,51,0.0169,0.0169,0.00940438871473354,"Erbb4, Dpyd, Rarb, Hbb-bs, Ror1, Rps6ka5, Myo16, Fign, Htr2a, Nek10, Glra2, Bmpr1b, Glra3, Dgkb, Htr2c"
"24","MF","GO:0008376","acetylgalactosaminyltransferase activity",41,2,0.21,52,0.0191,0.0191,0.0487804878048781,"Csgalnact1, Galntl6"
"25","MF","GO:0043169","cation binding",3418,34,17.71,3,0.02342,5.8e-05,0.00994733762434172,"Cdh4, Slit2, Dpyd, Rarb, Cadps2, Rorb, Fras1, Sulf1, Htr1f, Foxp2, Rps6ka5, Otof, Tshz1, Mctp1, Htr2a, Adamts18, Nek10, Kcnip4, Glra2, Pde1a, Pde7b, Cdh13, Scube1, Adarb2, Csgalnact1, Zfp697, Bmpr1b, Esr1, Glra3, Plce1, Dgkb, Dchs2, Cdh9, Htr2c"
"26","MF","GO:0005267","potassium channel activity",121,3,0.63,55,0.02501,0.02501,0.0247933884297521,"Kcnc2, Kcnip4, Kcnt2"
"27","MF","GO:0022824","transmitter-gated ion channel activity",58,4,0.3,6,0.02982,0.00023,0.0689655172413793,"Grid2, Gria1, Glra2, Glra3"
"28","MF","GO:0022835","transmitter-gated channel activity",58,4,0.3,7,0.02982,0.00023,0.0689655172413793,"Grid2, Gria1, Glra2, Glra3"
"29","MF","GO:0046872","metal ion binding",3326,31,17.23,10,0.02988,0.00048,0.00932050511124474,"Cdh4, Slit2, Dpyd, Rarb, Cadps2, Rorb, Fras1, Sulf1, Foxp2, Rps6ka5, Otof, Tshz1, Mctp1, Adamts18, Nek10, Kcnip4, Glra2, Pde1a, Pde7b, Cdh13, Scube1, Adarb2, Csgalnact1, Zfp697, Bmpr1b, Esr1, Glra3, Plce1, Dgkb, Dchs2, Cdh9"
"30","MF","GO:0004714","transmembrane receptor protein tyrosine ...",57,2,0.3,57,0.03526,0.03526,0.0350877192982456,"Erbb4, Ror1"
"31","MF","GO:0035257","nuclear hormone receptor binding",148,3,0.77,61,0.04165,0.04165,0.0202702702702703,"Rarb, Tcf7l2, Esr1"
"32","MF","GO:0030695","GTPase regulator activity",253,4,1.31,62,0.04255,0.04255,0.0158102766798419,"Thy1, Slit2, Rgs6, Prex2"
"33","MF","GO:0005254","chloride channel activity",67,2,0.35,65,0.04725,0.04725,0.0298507462686567,"Glra2, Glra3"
"34","MF","GO:0016597","amino acid binding",69,2,0.36,66,0.04981,0.04981,0.0289855072463768,"Glra2, Glra3"
"35","MF","GO:0097110","scaffold protein binding",70,2,0.36,67,0.0511,0.0511,0.0285714285714286,"Grid2, Gria1"
"36","MF","GO:0050839","cell adhesion molecule binding",237,7,1.23,8,0.05386,0.00023,0.029535864978903,"Thy1, Cdh4, Tenm1, Ptpro, Ptprz1, Cdh13, Cdh9"
"37","MF","GO:0017022","myosin binding",74,2,0.38,68,0.05641,0.05641,0.027027027027027,"Gria1, Hap1"
"38","MF","GO:0005102","signaling receptor binding",1472,14,7.63,53,0.06142,0.01915,0.00951086956521739,"Thy1, Il12b, Erbb4, Slit2, Rarb, Lypd1, Gria1, Tcf7l2, Ptprz1, Sema5b, Esr1, Plcl1, Tafa1, Hap1"
"39","MF","GO:0051427","hormone receptor binding",174,3,0.9,70,0.06177,0.06177,0.0172413793103448,"Rarb, Tcf7l2, Esr1"
"40","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,4,1.51,73,0.06461,0.06461,0.013745704467354,"Thy1, Slit2, Rgs6, Prex2"
"41","MF","GO:0004620","phospholipase activity",84,2,0.44,75,0.07045,0.07045,0.0238095238095238,"Plcl1, Plce1"
"42","MF","GO:0008013","beta-catenin binding",84,2,0.44,76,0.07045,0.07045,0.0238095238095238,"Tcf7l2, Esr1"
"43","MF","GO:0005249","voltage-gated potassium channel activity",85,2,0.44,77,0.07191,0.07191,0.0235294117647059,"Kcnc2, Kcnt2"
"44","MF","GO:0005244","voltage-gated ion channel activity",191,3,0.99,78,0.07695,0.07695,0.0157068062827225,"Kcnc2, Kcnip4, Kcnt2"
"45","MF","GO:0022832","voltage-gated channel activity",191,3,0.99,79,0.07695,0.07695,0.0157068062827225,"Kcnc2, Kcnip4, Kcnt2"
"46","MF","GO:0005261","cation channel activity",310,4,1.61,80,0.0775,0.0775,0.0129032258064516,"Kcnc2, Gria1, Kcnip4, Kcnt2"
"47","MF","GO:0043167","ion binding",5224,41,27.07,21,0.0827,0.00154,0.00784839203675344,"Thy1, Erbb4, Cdh4, Slit2, Dpyd, Rarb, Cadps2, Ror1, Rorb, Fras1, Sulf1, Htr1f, Foxp2, Rps6ka5, Otof, Myo16, Fign, Tshz1, Mctp1, Hpse2, Htr2a, Adamts18, Nek10, Kcnip4, Glra2, Pde1a, Pde7b, Cdh13, Scube1, Adarb2, Csgalnact1, Zfp697, Bmpr1b, Esr1, Glra3, Plce1, Dgkb, Rab26, Dchs2, Cdh9, Htr2c"
"48","MF","GO:0015108","chloride transmembrane transporter activ...",94,2,0.49,81,0.08549,0.08549,0.0212765957446809,"Glra2, Glra3"
"49","MF","GO:0004725","protein tyrosine phosphatase activity",95,2,0.49,82,0.08705,0.08705,0.0210526315789474,"Ptpro, Ptprz1"
"50","MF","GO:0044212","transcription regulatory region DNA bind...",892,8,4.62,83,0.09115,0.09115,0.00896860986547085,"Erbb4, Rarb, Rorb, Foxp2, Tcf7l2, Zfp697, Esr1, Etv1"
"51","MF","GO:0005230","extracellular ligand-gated ion channel a...",71,4,0.37,11,0.09144,5e-04,0.0563380281690141,"Grid2, Gria1, Glra2, Glra3"
"52","MF","GO:0001067","regulatory region nucleic acid binding",896,8,4.64,84,0.09295,0.09295,0.00892857142857143,"Erbb4, Rarb, Rorb, Foxp2, Tcf7l2, Zfp697, Esr1, Etv1"
"53","MF","GO:0031489","myosin V binding",20,1,0.1,85,0.09872,0.09872,0.05,"Gria1"
"54","MF","GO:0042562","hormone binding",103,2,0.53,86,0.09978,0.09978,0.0194174757281553,"Cdh13, Esr1"
"55","MF","GO:0031690","adrenergic receptor binding",21,1,0.11,87,0.1034,0.1034,0.0476190476190476,"Gria1"
"56","MF","GO:0030547","receptor inhibitor activity",21,1,0.11,88,0.1034,0.1034,0.0476190476190476,"Lypd1"
"57","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,1,0.11,89,0.1034,0.1034,0.0476190476190476,"Esr1"
"58","MF","GO:0051371","muscle alpha-actinin binding",21,1,0.11,90,0.1034,0.1034,0.0476190476190476,"Synpo2"
"59","MF","GO:0030215","semaphorin receptor binding",21,1,0.11,91,0.1034,0.1034,0.0476190476190476,"Sema5b"
"60","MF","GO:0030594","neurotransmitter receptor activity",106,7,0.55,1,0.10639,1.3e-06,0.0660377358490566,"Grid2, Htr1f, Gria1, Htr2a, Glra2, Glra3, Htr2c"
"61","MF","GO:0001223","transcription coactivator binding",22,1,0.11,93,0.10805,0.10805,0.0454545454545455,"Esr1"
"62","MF","GO:0046965","retinoid X receptor binding",23,1,0.12,94,0.11268,0.11268,0.0434782608695652,"Rarb"
"63","MF","GO:0031681","G-protein beta-subunit binding",23,1,0.12,95,0.11268,0.11268,0.0434782608695652,"Gria1"
"64","MF","GO:0017025","TBP-class protein binding",23,1,0.12,96,0.11268,0.11268,0.0434782608695652,"Esr1"
"65","MF","GO:0008092","cytoskeletal protein binding",945,8,4.9,97,0.11658,0.11658,0.00846560846560847,"Cdh4, Synpo2, Gria1, Myo16, Cdh13, Spag5, Hap1, Cdh9"
"66","MF","GO:0015491","cation:cation antiporter activity",24,1,0.12,98,0.11728,0.11728,0.0416666666666667,"Slc9a9"
"67","MF","GO:0016628","oxidoreductase activity, acting on the C...",24,1,0.12,99,0.11728,0.11728,0.0416666666666667,"Dpyd"
"68","MF","GO:0016298","lipase activity",114,2,0.59,100,0.11805,0.11805,0.0175438596491228,"Plcl1, Plce1"
"69","MF","GO:0019239","deaminase activity",25,1,0.13,101,0.12186,0.12186,0.04,"Adarb2"
"70","MF","GO:0015020","glucuronosyltransferase activity",25,1,0.13,102,0.12186,0.12186,0.04,"Csgalnact1"
"71","MF","GO:0005096","GTPase activator activity",235,3,1.22,103,0.12277,0.12277,0.0127659574468085,"Thy1, Rgs6, Prex2"
"72","MF","GO:0004190","aspartic-type endopeptidase activity",26,1,0.13,104,0.12642,0.12642,0.0384615384615385,"Cntnap5a"
"73","MF","GO:0017134","fibroblast growth factor binding",26,1,0.13,105,0.12642,0.12642,0.0384615384615385,"Ptprz1"
"74","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,5,2.66,106,0.12757,0.12757,0.00974658869395711,"Rorb, Foxp2, Tcf7l2, Esr1, Etv1"
"75","MF","GO:0070001","aspartic-type peptidase activity",27,1,0.14,107,0.13095,0.13095,0.037037037037037,"Cntnap5a"
