"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005488","binding",11858,17,10.99,1,0.0031,6e-04,0.00143363130376117,"Gfap, Usp53, Angpt1, Kcnn2, Thy1, Zswim6, Aqp4, C4b, Enox1, Plce1, Osmr, Mgat5, Pdzrn3, Zbtb16, Inpp4b, Cacna2d3, Igfbp5"
"2","MF","GO:0022838","substrate-specific channel activity",406,3,0.38,2,0.0058,0.0058,0.00738916256157635,"Kcnn2, Aqp4, Cacna2d3"
"3","MF","GO:0005178","integrin binding",128,2,0.12,3,0.0061,0.0061,0.015625,"Gfap, Thy1"
"4","MF","GO:0019838","growth factor binding",138,2,0.13,6,0.0071,0.0071,0.0144927536231884,"Osmr, Igfbp5"
"5","MF","GO:0034593","phosphatidylinositol bisphosphate phosph...",20,1,0.02,7,0.0184,0.0184,0.05,"Inpp4b"
"6","MF","GO:0001848","complement binding",21,1,0.02,8,0.0193,0.0193,0.0476190476190476,"C4b"
"7","MF","GO:0022829","wide pore channel activity",21,1,0.02,9,0.0193,0.0193,0.0476190476190476,"Aqp4"
"8","MF","GO:0140103","catalytic activity, acting on a glycopro...",22,1,0.02,11,0.0202,0.0202,0.0454545454545455,"Mgat5"
"9","MF","GO:0052866","phosphatidylinositol phosphate phosphata...",24,1,0.02,12,0.022,0.022,0.0416666666666667,"Inpp4b"
"10","MF","GO:0005520","insulin-like growth factor binding",27,1,0.03,13,0.0248,0.0248,0.037037037037037,"Igfbp5"
"11","MF","GO:0005227","calcium activated cation channel activit...",28,1,0.03,14,0.0257,0.0257,0.0357142857142857,"Kcnn2"
"12","MF","GO:0001968","fibronectin binding",30,1,0.03,15,0.0275,0.0275,0.0333333333333333,"Igfbp5"
"13","MF","GO:0015318","inorganic molecular entity transmembrane...",762,3,0.71,17,0.0315,0.0315,0.00393700787401575,"Kcnn2, Aqp4, Cacna2d3"
