"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005506","iron ion binding",142,2,0.05,1,0.0012,0.0012,0.0140845070422535,"Msmo1, Sc5d"
"2","MF","GO:0016705","oxidoreductase activity, acting on paire...",180,2,0.07,3,0.0019,0.0019,0.0111111111111111,"Msmo1, Sc5d"
"3","MF","GO:0003950","NAD+ ADP-ribosyltransferase activity",23,1,0.01,5,0.0087,0.0087,0.0434782608695652,"Tiparp"
"4","MF","GO:0071813","lipoprotein particle binding",27,1,0.01,6,0.0103,0.0103,0.037037037037037,"Ldlr"
"5","MF","GO:0071814","protein-lipid complex binding",27,1,0.01,7,0.0103,0.0103,0.037037037037037,"Ldlr"
"6","MF","GO:0051721","protein phosphatase 2A binding",38,1,0.01,8,0.0144,0.0144,0.0263157894736842,"Hmgcr"
"7","MF","GO:0016709","oxidoreductase activity, acting on paire...",43,1,0.02,9,0.0163,0.0163,0.0232558139534884,"Msmo1"
"8","MF","GO:0050661","NADP binding",44,1,0.02,10,0.0167,0.0167,0.0227272727272727,"Hmgcr"
"9","MF","GO:0001540","amyloid-beta binding",57,1,0.02,12,0.0216,0.0216,0.0175438596491228,"Ldlr"
"10","MF","GO:0043167","ion binding",5224,6,1.99,4,0.0236,0.0028,0.00114854517611026,"Thy1, Ldlr, Hmgcr, Msmo1, Tiparp, Sc5d"
"11","MF","GO:0038024","cargo receptor activity",82,1,0.03,15,0.0309,0.0309,0.0121951219512195,"Ldlr"
"12","MF","GO:0019899","enzyme binding",2238,3,0.85,17,0.0435,0.0435,0.00134048257372654,"Thy1, Ldlr, Hmgcr"
"13","MF","GO:0004497","monooxygenase activity",118,1,0.05,18,0.0442,0.0442,0.00847457627118644,"Msmo1"
"14","MF","GO:0035326","enhancer binding",121,1,0.05,19,0.0453,0.0453,0.00826446280991736,"Tiparp"
"15","MF","GO:0016616","oxidoreductase activity, acting on the C...",123,1,0.05,20,0.046,0.046,0.00813008130081301,"Hmgcr"
"16","MF","GO:0005178","integrin binding",128,1,0.05,21,0.0479,0.0479,0.0078125,"Thy1"
"17","MF","GO:0016614","oxidoreductase activity, acting on CH-OH...",132,1,0.05,22,0.0493,0.0493,0.00757575757575758,"Hmgcr"
"18","MF","GO:0002020","protease binding",135,1,0.05,23,0.0504,0.0504,0.00740740740740741,"Ldlr"
"19","MF","GO:0019903","protein phosphatase binding",164,1,0.06,24,0.061,0.061,0.00609756097560976,"Hmgcr"
"20","MF","GO:0044877","protein-containing complex binding",1185,2,0.45,25,0.0705,0.0705,0.00168776371308017,"Thy1, Ldlr"
"21","MF","GO:0019902","phosphatase binding",210,1,0.08,26,0.0775,0.0775,0.00476190476190476,"Hmgcr"
"22","MF","GO:0005096","GTPase activator activity",235,1,0.09,27,0.0864,0.0864,0.00425531914893617,"Thy1"
"23","MF","GO:0050839","cell adhesion molecule binding",237,1,0.09,28,0.0871,0.0871,0.00421940928270042,"Thy1"
"24","MF","GO:0035091","phosphatidylinositol binding",247,1,0.09,29,0.0906,0.0906,0.00404858299595142,"Thy1"
"25","MF","GO:0030695","GTPase regulator activity",253,1,0.1,30,0.0927,0.0927,0.00395256916996047,"Thy1"
"26","MF","GO:0042277","peptide binding",270,1,0.1,32,0.0986,0.0986,0.0037037037037037,"Ldlr"
"27","MF","GO:0050662","coenzyme binding",281,1,0.11,33,0.1025,0.1025,0.00355871886120996,"Hmgcr"
"28","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.11,34,0.106,0.106,0.00343642611683849,"Thy1"
"29","MF","GO:0033218","amide binding",333,1,0.13,36,0.1204,0.1204,0.003003003003003,"Ldlr"
"30","MF","GO:0016491","oxidoreductase activity",714,3,0.27,2,0.1387,0.0018,0.00420168067226891,"Hmgcr, Msmo1, Sc5d"
"31","MF","GO:0042802","identical protein binding",1795,2,0.69,37,0.1445,0.1445,0.0011142061281337,"Ldlr, Hmgcr"
"32","MF","GO:0005543","phospholipid binding",407,1,0.16,38,0.1454,0.1454,0.00245700245700246,"Thy1"
"33","MF","GO:0008047","enzyme activator activity",436,1,0.17,39,0.1551,0.1551,0.00229357798165138,"Thy1"
"34","MF","GO:0048037","cofactor binding",496,1,0.19,40,0.1747,0.1747,0.00201612903225806,"Hmgcr"
"35","MF","GO:0005509","calcium ion binding",574,1,0.22,41,0.1996,0.1996,0.00174216027874564,"Ldlr"
"36","MF","GO:0046872","metal ion binding",3326,4,1.27,13,0.2125,0.0237,0.00120264582080577,"Ldlr, Msmo1, Tiparp, Sc5d"
"37","MF","GO:0043169","cation binding",3418,4,1.3,14,0.2225,0.0261,0.00117027501462844,"Ldlr, Msmo1, Tiparp, Sc5d"
"38","MF","GO:0008289","lipid binding",696,1,0.27,43,0.2373,0.2373,0.0014367816091954,"Thy1"
"39","MF","GO:0019901","protein kinase binding",715,1,0.27,44,0.2431,0.2431,0.0013986013986014,"Thy1"
"40","MF","GO:0043168","anion binding",2593,2,0.99,45,0.2595,0.2595,0.000771307365985345,"Thy1, Hmgcr"
"41","MF","GO:0019900","kinase binding",791,1,0.3,46,0.2656,0.2656,0.00126422250316056,"Thy1"
"42","MF","GO:0044212","transcription regulatory region DNA bind...",892,1,0.34,47,0.2947,0.2947,0.00112107623318386,"Tiparp"
"43","MF","GO:0030234","enzyme regulator activity",894,1,0.34,48,0.2953,0.2953,0.00111856823266219,"Thy1"
"44","MF","GO:0042803","protein homodimerization activity",894,1,0.34,49,0.2953,0.2953,0.00111856823266219,"Hmgcr"
"45","MF","GO:0001067","regulatory region nucleic acid binding",896,1,0.34,50,0.2958,0.2958,0.00111607142857143,"Tiparp"
"46","MF","GO:0046983","protein dimerization activity",1311,1,0.5,51,0.4051,0.4051,0.0007627765064836,"Hmgcr"
"47","MF","GO:0005488","binding",11858,6,4.53,42,0.4168,0.2282,0.000505987518974532,"Thy1, Ldlr, Hmgcr, Msmo1, Tiparp, Sc5d"
"48","MF","GO:0005102","signaling receptor binding",1472,1,0.56,52,0.4434,0.4434,0.000679347826086957,"Thy1"
"49","MF","GO:0098772","molecular function regulator",1565,1,0.6,53,0.4645,0.4645,0.000638977635782748,"Thy1"
"50","MF","GO:0003677","DNA binding",1834,1,0.7,54,0.5218,0.5218,0.00054525627044711,"Tiparp"
