"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0046982","protein heterodimerization activity",520,2,0.11,1,0.0046,0.0046,0.00384615384615385,"Ttr, Tenm2"
"2","MF","GO:0070530","K63-linked polyubiquitin modification-de...",22,1,0,2,0.0048,0.0048,0.0454545454545455,"Otud7a"
"3","MF","GO:0004869","cysteine-type endopeptidase inhibitor ac...",53,1,0.01,4,0.0115,0.0115,0.0188679245283019,"Spock1"
"4","MF","GO:0050840","extracellular matrix binding",56,1,0.01,5,0.0122,0.0122,0.0178571428571429,"Spock1"
"5","MF","GO:0005518","collagen binding",68,1,0.01,6,0.0148,0.0148,0.0147058823529412,"Spock1"
"6","MF","GO:0004843","thiol-dependent ubiquitin-specific prote...",84,1,0.02,7,0.0182,0.0182,0.0119047619047619,"Otud7a"
"7","MF","GO:0036459","thiol-dependent ubiquitinyl hydrolase ac...",92,1,0.02,8,0.0199,0.0199,0.0108695652173913,"Otud7a"
"8","MF","GO:0101005","ubiquitinyl hydrolase activity",93,1,0.02,9,0.0201,0.0201,0.010752688172043,"Otud7a"
"9","MF","GO:0005179","hormone activity",101,1,0.02,10,0.0219,0.0219,0.0099009900990099,"Ttr"
"10","MF","GO:0019783","ubiquitin-like protein-specific protease...",102,1,0.02,11,0.0221,0.0221,0.00980392156862745,"Otud7a"
"11","MF","GO:0042562","hormone binding",103,1,0.02,12,0.0223,0.0223,0.00970873786407767,"Ttr"
"12","MF","GO:0008234","cysteine-type peptidase activity",155,1,0.03,15,0.0334,0.0334,0.00645161290322581,"Otud7a"
"13","MF","GO:0004866","endopeptidase inhibitor activity",157,1,0.03,16,0.0338,0.0338,0.00636942675159236,"Spock1"
"14","MF","GO:0005102","signaling receptor binding",1472,2,0.32,17,0.0346,0.0346,0.00135869565217391,"Ttr, Tenm2"
"15","MF","GO:0030414","peptidase inhibitor activity",165,1,0.04,18,0.0355,0.0355,0.00606060606060606,"Spock1"
"16","MF","GO:0061135","endopeptidase regulator activity",165,1,0.04,19,0.0355,0.0355,0.00606060606060606,"Spock1"
"17","MF","GO:0098772","molecular function regulator",1565,2,0.34,20,0.0389,0.0389,0.0012779552715655,"Ttr, Spock1"
"18","MF","GO:0061134","peptidase regulator activity",197,1,0.04,21,0.0423,0.0423,0.0050761421319797,"Spock1"
"19","MF","GO:0042802","identical protein binding",1795,2,0.39,22,0.0503,0.0503,0.0011142061281337,"Ttr, Tenm2"
"20","MF","GO:0050839","cell adhesion molecule binding",237,1,0.05,23,0.0507,0.0507,0.00421940928270042,"Tenm2"
"21","MF","GO:0004857","enzyme inhibitor activity",326,1,0.07,24,0.0692,0.0692,0.00306748466257669,"Spock1"
"22","MF","GO:0048018","receptor ligand activity",391,1,0.09,25,0.0826,0.0826,0.00255754475703325,"Ttr"
"23","MF","GO:0030545","receptor regulator activity",421,1,0.09,26,0.0887,0.0887,0.00237529691211401,"Ttr"
"24","MF","GO:0070011","peptidase activity, acting on L-amino ac...",537,1,0.12,27,0.1121,0.1121,0.00186219739292365,"Otud7a"
"25","MF","GO:0008233","peptidase activity",562,1,0.12,28,0.1171,0.1171,0.00177935943060498,"Otud7a"
"26","MF","GO:0005509","calcium ion binding",574,1,0.13,29,0.1195,0.1195,0.00174216027874564,"Spock1"
"27","MF","GO:0008270","zinc ion binding",651,1,0.14,30,0.1346,0.1346,0.00153609831029186,"Otud7a"
"28","MF","GO:0046872","metal ion binding",3326,2,0.73,31,0.1529,0.1529,0.000601322910402886,"Otud7a, Spock1"
"29","MF","GO:0043169","cation binding",3418,2,0.75,32,0.1603,0.1603,0.000585137507314219,"Otud7a, Spock1"
"30","MF","GO:0046914","transition metal ion binding",893,1,0.19,34,0.181,0.181,0.00111982082866741,"Otud7a"
"31","MF","GO:0042803","protein homodimerization activity",894,1,0.2,35,0.1812,0.1812,0.00111856823266219,"Tenm2"
"32","MF","GO:0030234","enzyme regulator activity",894,1,0.2,36,0.1812,0.1812,0.00111856823266219,"Spock1"
"33","MF","GO:0044877","protein-containing complex binding",1185,1,0.26,37,0.2345,0.2345,0.000843881856540084,"Spock1"
"34","MF","GO:0043167","ion binding",5224,2,1.14,39,0.3218,0.3218,0.000382848392036753,"Otud7a, Spock1"
"35","MF","GO:0003677","DNA binding",1834,1,0.4,40,0.344,0.344,0.00054525627044711,"Otud7a"
"36","MF","GO:0140096","catalytic activity, acting on a protein",2044,1,0.45,41,0.3768,0.3768,0.000489236790606654,"Otud7a"
"37","MF","GO:0016787","hydrolase activity",2345,1,0.51,42,0.4216,0.4216,0.000426439232409382,"Otud7a"
"38","MF","GO:0003676","nucleic acid binding",2829,1,0.62,43,0.4885,0.4885,0.000353481795687522,"Otud7a"
"39","MF","GO:0005488","binding",11858,4,2.59,33,0.636,0.1749,0.000337325012649688,"Ttr, Tenm2, Otud7a, Spock1"
"40","MF","GO:1901363","heterocyclic compound binding",4665,1,1.02,44,0.691,0.691,0.000214362272240086,"Otud7a"
"41","MF","GO:0097159","organic cyclic compound binding",4747,1,1.04,45,0.6984,0.6984,0.000210659363808721,"Otud7a"
"42","MF","GO:0003824","catalytic activity",5396,1,1.18,46,0.752,0.752,0.000185322461082283,"Otud7a"
"43","MF","GO:0031593","polyubiquitin modification-dependent pro...",51,1,0.01,3,1,0.0111,0.0196078431372549,"Otud7a"
"44","MF","GO:0005515","protein binding",8273,3,1.8,38,1,0.243,0.000362625407953584,"Ttr, Tenm2, Otud7a"
"45","MF","GO:0140030","modification-dependent protein binding",135,1,0.03,14,1,0.0291,0.00740740740740741,"Otud7a"
"46","MF","GO:0046983","protein dimerization activity",1311,2,0.29,13,1,0.0278,0.0015255530129672,"Ttr, Tenm2"
"47","MF","GO:0003674","molecular_function",18336,4,4,47,1,1,0.000218150087260035,"Ttr, Tenm2, Otud7a, Spock1"
"48","MF","GO:0000030","mannosyltransferase activity",26,0,0.01,48,1,1,0,""
"49","MF","GO:0000049","tRNA binding",57,0,0.01,49,1,1,0,""
"50","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0.01,50,1,1,0,""
"51","MF","GO:0000149","SNARE binding",116,0,0.03,51,1,1,0,""
"52","MF","GO:0000166","nucleotide binding",1969,0,0.43,52,1,1,0,""
"53","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0.01,53,1,1,0,""
"54","MF","GO:0000217","DNA secondary structure binding",24,0,0.01,54,1,1,0,""
"55","MF","GO:0000287","magnesium ion binding",187,0,0.04,55,1,1,0,""
"56","MF","GO:0000976","transcription regulatory region sequence...",786,0,0.17,56,1,1,0,""
"57","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,0,0.16,57,1,1,0,""
"58","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,0,0.11,58,1,1,0,""
"59","MF","GO:0000979","RNA polymerase II core promoter sequence...",37,0,0.01,59,1,1,0,""
"60","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,0,0.02,60,1,1,0,""
"61","MF","GO:0000981","DNA-binding transcription factor activit...",669,0,0.15,61,1,1,0,""
"62","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,0,0.11,62,1,1,0,""
"63","MF","GO:0000993","RNA polymerase II complex binding",37,0,0.01,63,1,1,0,""
"64","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,0,0.16,64,1,1,0,""
"65","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,0,0.01,65,1,1,0,""
"66","MF","GO:0001047","core promoter binding",60,0,0.01,66,1,1,0,""
"67","MF","GO:0001067","regulatory region nucleic acid binding",896,0,0.2,67,1,1,0,""
"68","MF","GO:0001085","RNA polymerase II transcription factor b...",165,0,0.04,68,1,1,0,""
"69","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,0,0,69,1,1,0,""
"70","MF","GO:0001098","basal transcription machinery binding",57,0,0.01,70,1,1,0,""
"71","MF","GO:0001099","basal RNA polymerase II transcription ma...",57,0,0.01,71,1,1,0,""
"72","MF","GO:0001102","RNA polymerase II activating transcripti...",51,0,0.01,72,1,1,0,""
"73","MF","GO:0001103","RNA polymerase II repressing transcripti...",33,0,0.01,73,1,1,0,""
"74","MF","GO:0001158","enhancer sequence-specific DNA binding",110,0,0.02,74,1,1,0,""
"75","MF","GO:0001221","transcription cofactor binding",49,0,0.01,75,1,1,0,""
"76","MF","GO:0001223","transcription coactivator binding",22,0,0,76,1,1,0,""
"77","MF","GO:0001227","DNA-binding transcription repressor acti...",215,0,0.05,77,1,1,0,""
"78","MF","GO:0001228","DNA-binding transcription activator acti...",389,0,0.08,78,1,1,0,""
"79","MF","GO:0001530","lipopolysaccharide binding",24,0,0.01,79,1,1,0,""
"80","MF","GO:0001540","amyloid-beta binding",57,0,0.01,80,1,1,0,""
"81","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,0,0,81,1,1,0,""
"82","MF","GO:0001653","peptide receptor activity",133,0,0.03,82,1,1,0,""
"83","MF","GO:0001664","G protein-coupled receptor binding",266,0,0.06,83,1,1,0,""
"84","MF","GO:0001671","ATPase activator activity",24,0,0.01,84,1,1,0,""
"85","MF","GO:0001784","phosphotyrosine residue binding",43,0,0.01,85,1,1,0,""
"86","MF","GO:0001786","phosphatidylserine binding",61,0,0.01,86,1,1,0,""
"87","MF","GO:0001848","complement binding",21,0,0,87,1,1,0,""
"88","MF","GO:0001871","pattern binding",21,0,0,88,1,1,0,""
"89","MF","GO:0001882","nucleoside binding",360,0,0.08,89,1,1,0,""
"90","MF","GO:0001883","purine nucleoside binding",350,0,0.08,90,1,1,0,""
