"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0001848","complement binding",21,1,0,1,0.0034,0.0034,0.0476190476190476,"C4b"
"2","MF","GO:0030165","PDZ domain binding",114,1,0.02,2,0.0185,0.0185,0.0087719298245614,"Kirrel3"
"3","MF","GO:0005178","integrin binding",128,1,0.02,3,0.0208,0.0208,0.0078125,"Thy1"
"4","MF","GO:0005096","GTPase activator activity",235,1,0.04,4,0.038,0.038,0.00425531914893617,"Thy1"
"5","MF","GO:0050839","cell adhesion molecule binding",237,1,0.04,5,0.0383,0.0383,0.00421940928270042,"Thy1"
"6","MF","GO:0035091","phosphatidylinositol binding",247,1,0.04,6,0.0399,0.0399,0.00404858299595142,"Thy1"
"7","MF","GO:0030246","carbohydrate binding",250,1,0.04,7,0.0404,0.0404,0.004,"C4b"
"8","MF","GO:0030695","GTPase regulator activity",253,1,0.04,8,0.0408,0.0408,0.00395256916996047,"Thy1"
"9","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.05,9,0.0469,0.0469,0.00343642611683849,"Thy1"
"10","MF","GO:0005543","phospholipid binding",407,1,0.07,10,0.0651,0.0651,0.00245700245700246,"Thy1"
"11","MF","GO:0008047","enzyme activator activity",436,1,0.07,11,0.0697,0.0697,0.00229357798165138,"Thy1"
"12","MF","GO:0008289","lipid binding",696,1,0.11,13,0.1096,0.1096,0.0014367816091954,"Thy1"
"13","MF","GO:0019901","protein kinase binding",715,1,0.12,14,0.1125,0.1125,0.0013986013986014,"Thy1"
"14","MF","GO:0019904","protein domain specific binding",762,1,0.12,15,0.1196,0.1196,0.00131233595800525,"Kirrel3"
"15","MF","GO:0019900","kinase binding",791,1,0.13,16,0.1239,0.1239,0.00126422250316056,"Thy1"
"16","MF","GO:0030234","enzyme regulator activity",894,1,0.15,17,0.1393,0.1393,0.00111856823266219,"Thy1"
"17","MF","GO:0044877","protein-containing complex binding",1185,1,0.19,18,0.1816,0.1816,0.000843881856540084,"Thy1"
"18","MF","GO:0005515","protein binding",8273,3,1.35,12,0.203,0.0918,0.000362625407953584,"C4b, Thy1, Kirrel3"
"19","MF","GO:0005102","signaling receptor binding",1472,1,0.24,19,0.222,0.222,0.000679347826086957,"Thy1"
"20","MF","GO:0098772","molecular function regulator",1565,1,0.26,20,0.2348,0.2348,0.000638977635782748,"Thy1"
"21","MF","GO:0097367","carbohydrate derivative binding",2036,1,0.33,22,0.2975,0.2975,0.000491159135559921,"Thy1"
"22","MF","GO:0019899","enzyme binding",2238,1,0.37,23,0.3233,0.3233,0.000446827524575514,"Thy1"
"23","MF","GO:0043168","anion binding",2593,1,0.42,24,0.3671,0.3671,0.000385653682992673,"Thy1"
"24","MF","GO:0005488","binding",11858,3,1.94,21,0.4177,0.2704,0.000252993759487266,"C4b, Thy1, Kirrel3"
"25","MF","GO:0043167","ion binding",5224,1,0.85,25,0.6344,0.6344,0.000191424196018377,"Thy1"
"26","MF","GO:0003674","molecular_function",18336,3,3,26,1,1,0.000163612565445026,"C4b, Thy1, Kirrel3"
"27","MF","GO:0000030","mannosyltransferase activity",26,0,0,27,1,1,0,""
"28","MF","GO:0000049","tRNA binding",57,0,0.01,28,1,1,0,""
"29","MF","GO:0000062","fatty-acyl-CoA binding",26,0,0,29,1,1,0,""
"30","MF","GO:0000149","SNARE binding",116,0,0.02,30,1,1,0,""
"31","MF","GO:0000166","nucleotide binding",1969,0,0.32,31,1,1,0,""
"32","MF","GO:0000175","3'-5'-exoribonuclease activity",28,0,0,32,1,1,0,""
"33","MF","GO:0000217","DNA secondary structure binding",24,0,0,33,1,1,0,""
"34","MF","GO:0000287","magnesium ion binding",187,0,0.03,34,1,1,0,""
"35","MF","GO:0000976","transcription regulatory region sequence...",786,0,0.13,35,1,1,0,""
"36","MF","GO:0000977","RNA polymerase II regulatory region sequ...",744,0,0.12,36,1,1,0,""
"37","MF","GO:0000978","RNA polymerase II proximal promoter sequ...",513,0,0.08,37,1,1,0,""
"38","MF","GO:0000979","RNA polymerase II core promoter sequence...",37,0,0.01,38,1,1,0,""
"39","MF","GO:0000980","RNA polymerase II distal enhancer sequen...",86,0,0.01,39,1,1,0,""
"40","MF","GO:0000981","DNA-binding transcription factor activit...",669,0,0.11,40,1,1,0,""
"41","MF","GO:0000987","proximal promoter sequence-specific DNA ...",525,0,0.09,41,1,1,0,""
"42","MF","GO:0000993","RNA polymerase II complex binding",37,0,0.01,42,1,1,0,""
"43","MF","GO:0001012","RNA polymerase II regulatory region DNA ...",752,0,0.12,43,1,1,0,""
"44","MF","GO:0001046","core promoter sequence-specific DNA bind...",48,0,0.01,44,1,1,0,""
"45","MF","GO:0001047","core promoter binding",60,0,0.01,45,1,1,0,""
"46","MF","GO:0001067","regulatory region nucleic acid binding",896,0,0.15,46,1,1,0,""
"47","MF","GO:0001085","RNA polymerase II transcription factor b...",165,0,0.03,47,1,1,0,""
"48","MF","GO:0001091","RNA polymerase II basal transcription fa...",21,0,0,48,1,1,0,""
"49","MF","GO:0001098","basal transcription machinery binding",57,0,0.01,49,1,1,0,""
"50","MF","GO:0001099","basal RNA polymerase II transcription ma...",57,0,0.01,50,1,1,0,""
"51","MF","GO:0001102","RNA polymerase II activating transcripti...",51,0,0.01,51,1,1,0,""
"52","MF","GO:0001103","RNA polymerase II repressing transcripti...",33,0,0.01,52,1,1,0,""
"53","MF","GO:0001158","enhancer sequence-specific DNA binding",110,0,0.02,53,1,1,0,""
"54","MF","GO:0001221","transcription cofactor binding",49,0,0.01,54,1,1,0,""
"55","MF","GO:0001223","transcription coactivator binding",22,0,0,55,1,1,0,""
"56","MF","GO:0001227","DNA-binding transcription repressor acti...",215,0,0.04,56,1,1,0,""
"57","MF","GO:0001228","DNA-binding transcription activator acti...",389,0,0.06,57,1,1,0,""
"58","MF","GO:0001530","lipopolysaccharide binding",24,0,0,58,1,1,0,""
"59","MF","GO:0001540","amyloid-beta binding",57,0,0.01,59,1,1,0,""
"60","MF","GO:0001637","G protein-coupled chemoattractant recept...",21,0,0,60,1,1,0,""
"61","MF","GO:0001653","peptide receptor activity",133,0,0.02,61,1,1,0,""
"62","MF","GO:0001664","G protein-coupled receptor binding",266,0,0.04,62,1,1,0,""
"63","MF","GO:0001671","ATPase activator activity",24,0,0,63,1,1,0,""
"64","MF","GO:0001784","phosphotyrosine residue binding",43,0,0.01,64,1,1,0,""
"65","MF","GO:0001786","phosphatidylserine binding",61,0,0.01,65,1,1,0,""
"66","MF","GO:0001871","pattern binding",21,0,0,66,1,1,0,""
"67","MF","GO:0001882","nucleoside binding",360,0,0.06,67,1,1,0,""
"68","MF","GO:0001883","purine nucleoside binding",350,0,0.06,68,1,1,0,""
"69","MF","GO:0001965","G-protein alpha-subunit binding",35,0,0.01,69,1,1,0,""
"70","MF","GO:0001968","fibronectin binding",30,0,0,70,1,1,0,""
"71","MF","GO:0002020","protease binding",135,0,0.02,71,1,1,0,""
"72","MF","GO:0002039","p53 binding",68,0,0.01,72,1,1,0,""
"73","MF","GO:0003676","nucleic acid binding",2829,0,0.46,73,1,1,0,""
"74","MF","GO:0003677","DNA binding",1834,0,0.3,74,1,1,0,""
"75","MF","GO:0003678","DNA helicase activity",61,0,0.01,75,1,1,0,""
"76","MF","GO:0003682","chromatin binding",536,0,0.09,76,1,1,0,""
"77","MF","GO:0003684","damaged DNA binding",55,0,0.01,77,1,1,0,""
"78","MF","GO:0003688","DNA replication origin binding",23,0,0,78,1,1,0,""
"79","MF","GO:0003690","double-stranded DNA binding",903,0,0.15,79,1,1,0,""
"80","MF","GO:0003697","single-stranded DNA binding",109,0,0.02,80,1,1,0,""
"81","MF","GO:0003700","DNA-binding transcription factor activit...",882,0,0.14,81,1,1,0,""
