"","category","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic","gene_ratio","genes"
"1","MF","GO:0005178","integrin binding",128,2,0.04,1,0.00071,0.00071,0.015625,"Thy1, Cd9"
"2","MF","GO:0001848","complement binding",21,1,0.01,3,0.00685,0.00685,0.0476190476190476,"C4b"
"3","MF","GO:0003899","DNA-directed 5'-3' RNA polymerase activi...",37,1,0.01,4,0.01205,0.01205,0.027027027027027,"Polr3e"
"4","MF","GO:0034062","5'-3' RNA polymerase activity",39,1,0.01,5,0.0127,0.0127,0.0256410256410256,"Polr3e"
"5","MF","GO:0097747","RNA polymerase activity",39,1,0.01,6,0.0127,0.0127,0.0256410256410256,"Polr3e"
"6","MF","GO:0016779","nucleotidyltransferase activity",120,1,0.04,7,0.03864,0.03864,0.00833333333333333,"Polr3e"
"7","MF","GO:0005096","GTPase activator activity",235,1,0.08,10,0.07449,0.07449,0.00425531914893617,"Thy1"
"8","MF","GO:0035091","phosphatidylinositol binding",247,1,0.08,12,0.07816,0.07816,0.00404858299595142,"Thy1"
"9","MF","GO:0030246","carbohydrate binding",250,1,0.08,13,0.07908,0.07908,0.004,"C4b"
"10","MF","GO:0003713","transcription coactivator activity",252,1,0.08,14,0.07969,0.07969,0.00396825396825397,"Dcc"
"11","MF","GO:0030695","GTPase regulator activity",253,1,0.08,15,0.07999,0.07999,0.00395256916996047,"Thy1"
"12","MF","GO:0060589","nucleoside-triphosphatase regulator acti...",291,1,0.1,16,0.09154,0.09154,0.00343642611683849,"Thy1"
"13","MF","GO:0005261","cation channel activity",310,1,0.1,17,0.09726,0.09726,0.0032258064516129,"Piezo2"
"14","MF","GO:0022836","gated channel activity",329,1,0.11,18,0.10296,0.10296,0.00303951367781155,"Piezo2"
"15","MF","GO:0140098","catalytic activity, acting on RNA",339,1,0.11,19,0.10594,0.10594,0.00294985250737463,"Polr3e"
"16","MF","GO:0005216","ion channel activity",398,1,0.13,20,0.12339,0.12339,0.00251256281407035,"Piezo2"
"17","MF","GO:0022838","substrate-specific channel activity",406,1,0.13,21,0.12573,0.12573,0.00246305418719212,"Piezo2"
"18","MF","GO:0005543","phospholipid binding",407,1,0.13,22,0.12602,0.12602,0.00245700245700246,"Thy1"
"19","MF","GO:0022803","passive transmembrane transporter activi...",429,1,0.14,23,0.13244,0.13244,0.00233100233100233,"Piezo2"
"20","MF","GO:0015267","channel activity",429,1,0.14,24,0.13244,0.13244,0.00233100233100233,"Piezo2"
"21","MF","GO:0008047","enzyme activator activity",436,1,0.14,25,0.13447,0.13447,0.00229357798165138,"Thy1"
"22","MF","GO:0003712","transcription coregulator activity",442,1,0.14,26,0.13621,0.13621,0.00226244343891403,"Dcc"
"23","MF","GO:0022890","inorganic cation transmembrane transport...",552,1,0.18,27,0.16759,0.16759,0.00181159420289855,"Piezo2"
"24","MF","GO:0008324","cation transmembrane transporter activit...",599,1,0.2,28,0.1807,0.1807,0.00166944908180301,"Piezo2"
"25","MF","GO:0008289","lipid binding",696,1,0.23,29,0.20723,0.20723,0.0014367816091954,"Thy1"
"26","MF","GO:0019901","protein kinase binding",715,1,0.23,30,0.21234,0.21234,0.0013986013986014,"Thy1"
"27","MF","GO:0015318","inorganic molecular entity transmembrane...",762,1,0.25,31,0.22486,0.22486,0.00131233595800525,"Piezo2"
"28","MF","GO:0019900","kinase binding",791,1,0.26,32,0.2325,0.2325,0.00126422250316056,"Thy1"
"29","MF","GO:0015075","ion transmembrane transporter activity",821,1,0.27,33,0.24034,0.24034,0.00121802679658952,"Piezo2"
"30","MF","GO:0016772","transferase activity, transferring phosp...",880,1,0.29,34,0.25557,0.25557,0.00113636363636364,"Polr3e"
"31","MF","GO:0030234","enzyme regulator activity",894,1,0.29,35,0.25915,0.25915,0.00111856823266219,"Thy1"
"32","MF","GO:0022857","transmembrane transporter activity",974,1,0.32,36,0.27931,0.27931,0.00102669404517454,"Piezo2"
"33","MF","GO:0005215","transporter activity",1055,1,0.35,37,0.29925,0.29925,0.000947867298578199,"Piezo2"
"34","MF","GO:0004888","transmembrane signaling receptor activit...",1212,1,0.4,39,0.3366,0.3366,0.000825082508250825,"Dcc"
"35","MF","GO:0140110","transcription regulator activity",1230,1,0.4,40,0.34077,0.34077,0.000813008130081301,"Dcc"
"36","MF","GO:0038023","signaling receptor activity",1383,1,0.45,41,0.37537,0.37537,0.000723065798987708,"Dcc"
"37","MF","GO:0060089","molecular transducer activity",1432,1,0.47,42,0.38613,0.38613,0.000698324022346369,"Dcc"
"38","MF","GO:0098772","molecular function regulator",1565,1,0.51,43,0.41455,0.41455,0.000638977635782748,"Thy1"
"39","MF","GO:0005515","protein binding",8273,5,2.71,9,0.42038,0.06997,0.00060437567992264,"C4b, Piezo2, Thy1, Dcc, Cd9"
"40","MF","GO:0042802","identical protein binding",1795,1,0.59,44,0.4611,0.4611,0.000557103064066852,"Dcc"
"41","MF","GO:0097367","carbohydrate derivative binding",2036,1,0.67,45,0.50654,0.50654,0.000491159135559921,"Thy1"
"42","MF","GO:0016740","transferase activity",2164,1,0.71,46,0.52934,0.52934,0.000462107208872458,"Polr3e"
"43","MF","GO:0019899","enzyme binding",2238,1,0.73,47,0.54212,0.54212,0.000446827524575514,"Thy1"
"44","MF","GO:0043168","anion binding",2593,1,0.85,48,0.59947,0.59947,0.000385653682992673,"Thy1"
"45","MF","GO:0005488","binding",11858,5,3.88,38,0.70981,0.3129,0.00042165626581211,"C4b, Piezo2, Thy1, Dcc, Cd9"
"46","MF","GO:0043167","ion binding",5224,1,1.71,49,0.86633,0.86633,0.000191424196018377,"Thy1"
"47","MF","GO:0003824","catalytic activity",5396,1,1.77,50,0.87651,0.87651,0.000185322461082283,"Polr3e"
"48","MF","GO:0044877","protein-containing complex binding",1185,2,0.39,8,1,0.05258,0.00168776371308017,"Thy1, Cd9"
"49","MF","GO:0005102","signaling receptor binding",1472,2,0.48,11,1,0.07774,0.00135869565217391,"Thy1, Cd9"
"50","MF","GO:0003674","molecular_function",18336,6,6,51,1,1,0.000327225130890052,"C4b, Piezo2, Thy1, Dcc, Polr3e, Cd9"
"51","MF","GO:0050839","cell adhesion molecule binding",237,2,0.08,2,1,0.00241,0.00843881856540084,"Thy1, Cd9"
"52","MF","GO:0000030","mannosyltransferase activity",26,0,0.01,52,1,1,0,""
"53","MF","GO:0000049","tRNA binding",57,0,0.02,53,1,1,0,""
